dates,incrementalcount_medicaltest_conditioncovid_19
2020-04-08,2083
2020-04-09,2052
2020-04-10,1692
2020-04-11,1731
2020-04-12,1526
2020-04-13,2376
2020-04-14,7646
2020-04-15,698
2020-04-16,3125
2020-04-17,2477
2020-04-18,2218
2020-04-19,2192
2020-04-20,2908
2020-04-21,1782
2020-04-22,2043
2020-04-23,2002
2020-04-24,2411
2020-04-25,931
2020-04-26,3247
2020-04-27,2311
2020-04-28,4648
2020-04-29,8278
2020-04-30,5353
2020-05-01,3338
2020-05-02,2854
2020-05-05,5898
2020-05-06,4242
2020-05-07,2878
2020-05-08,2337
2020-05-09,1979
2020-05-10,2233
2020-05-11,2548
2020-05-12,2756
2020-05-13,4183
2020-05-14,3933
2020-05-15,2921
2020-05-16,3100
2020-05-17,3107
2020-05-18,3520
2020-05-19,4441
2020-05-20,5947
2020-06-01,10495
2020-06-02,13463
2020-06-03,8585
2020-06-04,11960
2020-06-05,9642
2020-06-06,12543
2020-06-07,8609
2020-06-08,8927
2020-06-09,10711
2020-06-10,7835
2020-06-11,9342
2020-06-12,9757
2020-06-13,10325
2020-06-14,9920
2020-06-15,10135
2020-06-16,10330
2020-06-17,13053
2020-06-18,10578
2020-06-19,11226
2020-06-20,10022
2020-06-21,10027
2020-06-22,10075
2020-06-23,10672
2020-06-24,11445
2020-06-25,11370
2020-06-26,11920
2020-06-27,9630
2020-06-28,10595
2020-06-29,11172
2020-06-30,12425
2020-07-01,11378
2020-07-02,11762
2020-07-03,12176
2020-07-04,9516
2020-07-05,11711
2020-07-06,11519
2020-07-07,11813
2020-07-08,12807
2020-07-09,11809
2020-07-10,12054
2020-07-11,10388
2020-07-12,11154
2020-07-13,15380
2020-07-18,15229
2020-07-19,15737
2020-07-20,16498
2020-07-21,16280
2020-07-22,18416
2020-07-23,16947
2020-07-27,17141
2020-07-28,16922
2020-07-29,18556
2020-07-30,18018
2020-07-31,17634
2020-08-01,13791
2020-08-02,14399
2020-08-03,13647
2020-08-04,16813
2020-08-05,16531
2020-08-06,16591
2020-08-07,17517
2020-08-08,17125
2020-08-09,18003
2020-08-10,19663
2020-08-11,18901
2020-08-12,19933
2020-08-13,21026
2020-08-14,20446
2020-08-15,18295
2020-08-16,19278
2020-08-17,21403
2020-08-18,20772
2020-08-19,20356
2020-08-23,19679
2020-08-26,20359
2020-08-31,18578
2020-09-01,18427
2020-09-02,23123
2020-09-03,23029
2020-09-06,22772
2020-09-07,24318
2020-09-11,23186
2020-09-12,18949
2020-09-13,19353
2020-09-14,23989
2020-09-15,22141
2020-09-16,24558
2020-09-17,25206
2020-09-18,23291
2020-09-19,17438
2020-09-20,18064
2020-09-21,19756
2020-09-22,21644
2020-09-23,22816
2020-09-24,20581
2020-09-25,20662
2020-09-26,17769
2020-09-27,18543
2020-09-28,22054
2020-09-29,23168
2020-09-30,22274
2020-10-01,23522
2020-10-02,22085
2020-10-03,18424
2020-10-04,19047
2020-10-05,21915
2020-10-06,24039
2020-10-07,23865
2020-10-08,20576
2020-10-09,16954
2020-10-10,13863
2020-10-11,16538
2020-10-12,20368
2020-10-13,20663
2020-10-14,20539
2020-10-15,20023
2020-10-16,20004
2020-10-17,16686
2020-10-18,18885
2020-10-19,20419
2020-10-20,20760
2020-10-21,20214
2020-10-22,20197
2020-10-23,18387
2020-10-24,15350
2020-10-25,16687
2020-10-26,19037
2020-10-27,19372
2020-10-28,19721
2020-10-29,18575
2020-10-30,16265
2020-10-31,12672
2020-11-01,15210
2020-11-02,16910
2020-11-03,18691
2020-11-04,18523
2020-11-05,19547
2020-11-06,19926
