dates,cumulativecount_medicaltest_conditioncovid_19
2020-02-28,13
2020-02-29,45
2020-03-01,67
2020-03-02,115
2020-03-03,160
2020-03-04,241
2020-03-05,303
2020-03-06,360
2020-03-07,418
2020-03-08,455
2020-03-09,553
2020-03-10,722
2020-03-11,871
2020-03-12,1124
2020-03-13,1481
2020-03-14,1804
2020-03-15,2879
2020-03-16,4586
2020-03-17,5986
2020-03-18,7814
2020-03-19,9125
2020-03-20,9704
2020-03-21,10054
2020-03-22,10237
2020-03-23,10696
2020-03-24,11663
2020-03-25,12551
2020-03-26,13549
2020-03-27,14571
2020-03-28,15420
2020-03-29,16420
2020-03-30,17840
2020-03-31,19452
2020-04-01,20866
2020-04-02,22131
2020-04-03,23576
2020-04-04,25330
2020-04-05,27816
2020-04-06,28928
2020-04-07,30883
2020-04-08,32559
2020-04-09,34061
2020-04-10,34571
2020-04-11,35189
2020-04-12,35424
2020-04-13,36275
2020-04-14,37322
2020-04-15,38140
2020-04-16,39472
2020-04-17,41027
2020-04-18,42698
2020-04-19,43079
2020-04-20,43767
2020-04-21,44404
2020-04-22,45029
2020-04-23,45222
2020-04-24,45907
2020-04-25,46288
2020-04-26,46313
2020-04-27,47001
2020-04-28,47509
2020-04-29,48349
2020-04-30,49071
2020-05-01,49938
2020-05-02,50342
2020-05-03,50413
2020-05-04,51281
2020-05-05,51599
2020-05-06,52219
2020-05-07,52681
2020-05-08,53196
2020-05-09,54131
2020-05-10,54149
2020-05-11,54727
2020-05-12,55011
2020-05-13,55562
2020-05-14,56155
2020-05-15,56678
2020-05-16,56811
2020-05-17,56818
2020-05-18,57123
2020-05-19,57564
2020-05-20,58161
2020-05-21,58231
2020-05-22,58721
2020-05-23,58779
2020-05-24,58791
2020-05-25,59022
2020-05-26,59547
2020-05-27,60075
2020-05-28,60425
2020-05-29,60958
2020-05-30,61055
2020-05-31,61071
2020-06-01,61089
2020-06-02,61288
2020-06-03,61613
2020-06-04,62163
2020-06-05,62700
2020-06-06,62727
2020-06-07,62734
2020-06-08,62802
2020-06-09,62843
2020-06-10,62908
2020-06-11,62977
2020-06-12,63055
2020-06-13,63115
2020-06-14,63129
2020-06-15,63156
2020-06-16,63332
2020-06-17,63400
2020-06-18,63439
2020-06-19,63548
2020-06-20,63612
2020-06-21,63629
2020-06-22,63673
2020-06-23,63759
2020-06-24,63833
2020-06-25,63969
2020-06-26,64220
2020-06-27,64391
2020-06-28,64641
2020-06-29,65105
2020-06-30,65833
2020-07-01,66103
2020-07-02,66264
2020-07-03,66661
2020-07-04,66813
2020-07-05,66836
2020-07-06,67021
2020-07-07,67245
2020-07-08,67376
2020-07-09,67517
2020-07-10,67728
2020-07-11,67791
2020-07-12,67822
2020-07-13,67911
2020-07-14,68063
2020-07-15,68200
2020-07-16,68321
2020-07-17,68510
2020-07-18,68574
2020-07-19,68613
2020-07-20,68634
2020-07-21,68700
2020-07-22,68749
2020-07-23,68816
2020-07-24,68885
2020-07-25,68933
2020-07-26,68951
2020-07-27,68988
2020-07-28,69112
2020-07-29,69464
2020-07-30,70602
2020-07-31,71926
2020-08-01,72752
2020-08-02,73957
2020-08-03,74724
2020-08-04,75339
2020-08-05,76164
2020-08-06,77241
2020-08-07,77835
2020-08-08,78231
2020-08-09,78463
2020-08-10,78808
2020-08-11,79998
2020-08-12,80720
2020-08-13,81048
2020-08-14,81585
2020-08-15,81932
2020-08-16,82090
2020-08-17,82498
2020-08-18,83002
2020-08-19,83440
2020-08-20,84031
2020-08-21,84619
2020-08-22,84891
2020-08-23,85182
2020-08-24,85784
2020-08-25,86655
2020-08-26,87422
2020-08-27,88145
2020-08-28,88808
2020-08-29,89168
2020-08-30,89385
2020-08-31,90060
2020-09-01,90653
2020-09-02,91262
2020-09-03,91819
2020-09-04,92478
2020-09-05,92827
2020-09-06,92953
2020-09-07,93679
2020-09-08,94381
2020-09-09,94905
2020-09-10,95467
2020-09-11,96056
2020-09-12,96390
2020-09-13,96538
2020-09-14,97143
2020-09-15,97917
2020-09-16,99164
2020-09-17,102268
2020-09-18,105527
2020-09-19,106931
2020-09-20,108443
2020-09-21,112289
2020-09-22,116814
2020-09-23,118887
2020-09-24,121117
2020-09-25,123354
2020-09-26,124328
2020-09-27,125093
2020-09-28,126857
2020-09-29,128560
2020-09-30,129987
2020-10-01,131256
2020-10-02,132712
2020-10-03,133847
2020-10-04,134935
2020-10-05,137470
2020-10-06,139856
2020-10-07,142447
2020-10-08,145926
2020-10-09,149139
2020-10-10,150747
2020-10-11,151802
2020-10-12,154931
2020-10-13,156746
2020-10-14,158965
2020-10-15,161140
2020-10-16,162947
2020-10-17,164233
2020-10-18,165056
2020-10-19,167135
2020-10-20,168570
2020-10-21,170172
2020-10-22,171722
2020-10-23,173296
2020-10-24,174253
2020-10-25,174965
2020-10-26,177251
2020-10-27,179984
2020-10-28,181525
2020-10-29,183560
2020-10-30,185312
2020-10-31,186301
2020-11-01,187129
2020-11-02,188747
2020-11-03,190628
2020-11-04,192290
2020-11-05,193597
2020-11-06,195082
2020-11-07,195693
2020-11-08,196215
2020-11-09,197479
2020-11-10,198510
2020-11-11,199375
2020-11-12,200197
2020-11-13,201378
2020-11-14,201809
2020-11-15,202192
2020-11-16,203488
2020-11-17,204449
2020-11-18,205219
2020-11-19,205886
2020-11-20,206651
2020-11-21,206985
2020-11-22,207256
2020-11-23,208214
2020-11-24,208961
2020-11-25,209667
2020-11-26,210566
2020-11-27,211613
2020-11-28,212188
2020-11-29,212731
2020-11-30,214294
2020-12-01,215620
2020-12-02,216938
2020-12-03,217810
2020-12-04,218774
2020-12-05,219271
2020-12-06,219723
2020-12-07,221094
2020-12-08,222017
2020-12-09,222824
2020-12-10,223669
2020-12-11,224403
2020-12-12,224841
2020-12-13,225234
2020-12-14,226497
2020-12-15,227528
2020-12-16,228448
2020-12-17,229456
2020-12-18,230421
2020-12-19,231003
2020-12-20,231799
2020-12-21,233235
2020-12-22,234669
2020-12-23,235882
2020-12-24,236599
2020-12-25,236695
2020-12-26,237353
2020-12-27,237897
2020-12-28,238874
2020-12-29,239838
2020-12-30,240858
2020-12-31,241454
2021-01-01,241496
2021-01-02,242531
2021-01-03,243083
2021-01-04,244197
2021-01-05,245017
2021-01-06,245680
2021-01-07,246377
2021-01-08,247079
2021-01-09,247505
2021-01-10,247950
2021-01-11,249082
2021-01-12,249880
2021-01-13,250786
2021-01-14,251646
2021-01-15,252177
2021-01-16,252557
2021-01-17,252864
2021-01-18,253957
2021-01-19,254646
2021-01-20,255291
2021-01-21,256011
2021-01-22,256534
2021-01-23,256944
2021-01-24,257464
2021-01-25,258911
2021-01-26,260000
2021-01-27,260926
2021-01-28,261892
2021-01-29,262634
2021-01-30,262961
2021-01-31,263367
2021-02-01,264700
2021-02-02,265438
2021-02-03,266135
2021-02-04,266882
2021-02-05,267380
2021-02-06,267729
2021-02-07,268044
2021-02-08,269114
2021-02-09,269779
2021-02-10,270294
2021-02-11,270864
2021-02-12,271410
2021-02-13,271621
2021-02-14,271944
2021-02-15,272650
2021-02-16,273195
2021-02-17,273558
2021-02-18,274256
2021-02-19,274708
2021-02-20,274912
2021-02-21,275185
2021-02-22,275710
2021-02-23,276144
2021-02-24,276594
2021-02-25,277066
2021-02-26,277563
2021-02-27,277885
2021-02-28,278133
2021-03-01,278589
2021-03-02,279017
2021-03-03,279370
2021-03-04,279865
2021-03-05,280249
2021-03-06,280512
2021-03-07,280781
2021-03-08,282683
2021-03-09,283489
2021-03-10,284797
2021-03-11,286080
2021-03-12,286833
2021-03-13,287247
2021-03-14,287645
2021-03-15,288721
2021-03-16,289329
2021-03-17,289830
2021-03-18,290470
2021-03-19,291245
2021-03-20,291686
2021-03-21,292102
2021-03-23,293659
2021-03-24,295666
2021-03-25,296886
2021-03-26,299902
2021-03-27,301330
2021-03-28,302307
2021-03-29,304759
2021-03-30,306820
2021-03-31,308329
2021-04-01,309093
2021-04-02,309911
2021-04-03,310503
2021-04-04,311214
2021-04-05,312225
2021-04-06,314088
2021-04-07,315371
2021-04-08,316510
2021-04-09,317669
2021-04-10,318269
2021-04-11,318781
2021-04-12,320045
2021-04-13,321018
2021-04-14,321955
2021-04-15,322691
2021-04-16,323603
2021-04-17,324304
2021-04-18,325290
2021-04-19,329341
2021-04-20,333517
2021-04-21,335440
2021-04-22,336491
2021-04-23,338552
2021-04-24,339649
2021-04-25,340397
2021-04-26,342288
2021-04-27,344153
2021-04-28,345906
2021-04-29,347304
2021-04-30,348830
2021-05-01,349571
2021-05-02,350330
2021-05-03,351952
2021-05-04,353333
2021-05-05,354574
2021-05-06,355617
2021-05-07,356721
2021-05-08,357515
2021-05-09,358447
2021-05-10,360093
2021-05-11,361528
2021-05-12,362826
2021-05-13,363739
2021-05-14,365177
2021-05-15,365860
2021-05-16,366688
2021-05-17,368045
2021-05-18,369243
2021-05-19,370491
2021-05-20,372249
2021-05-21,373963
2021-05-22,374911
2021-05-23,375650
2021-05-24,376495
