dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,0
2020-03-02,3
2020-03-03,6
2020-03-04,5
2020-03-05,14
2020-03-06,8
2020-03-07,10
2020-03-08,7
2020-03-09,5
2020-03-10,9
2020-03-11,14
2020-03-12,24
2020-03-13,16
2020-03-14,20
2020-03-15,24
2020-03-16,20
2020-03-17,25
2020-03-18,53
2020-03-19,78
2020-03-20,77
2020-03-21,60
2020-03-22,91
2020-03-23,22
2020-03-24,67
2020-03-25,106
2020-03-26,42
2020-03-27,87
2020-03-28,70
2020-03-29,56
2020-03-30,66
2020-03-31,51
2020-04-01,83
2020-04-02,99
2020-04-03,45
2020-04-04,54
2020-04-05,70
2020-04-06,74
2020-04-07,24
2020-04-08,30
2020-04-09,32
2020-04-10,27
2020-04-11,14
2020-04-12,12
2020-04-13,10
2020-04-14,9
2020-04-15,7
2020-04-16,12
2020-04-17,15
2020-04-18,6
2020-04-19,11
2020-04-20,2
2020-04-21,5
2020-04-22,7
2020-04-23,4
2020-04-24,0
2020-04-25,1
2020-04-26,2
2020-04-27,0
2020-04-28,3
2020-04-29,2
2020-04-30,0
2020-05-01,1
2020-05-02,0
2020-05-03,1
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,2
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,1
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,1
2020-05-21,0
2020-05-22,0
2020-05-23,1
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,1
2020-05-28,0
2020-05-29,0
2020-05-30,1
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,1
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,1
2020-06-14,2
2020-06-15,0
2020-06-16,0
2020-06-17,1
2020-06-18,0
2020-06-19,2
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,1
2020-06-27,2
2020-06-28,0
2020-06-29,1
2020-06-30,1
2020-07-01,1
2020-07-02,0
2020-07-03,3
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,2
2020-07-25,0
2020-07-26,3
2020-07-27,6
2020-07-28,4
2020-07-29,4
2020-07-30,10
2020-07-31,11
2020-08-01,7
2020-08-02,13
2020-08-03,8
2020-08-04,2
2020-08-05,9
2020-08-06,4
2020-08-07,17
2020-08-08,4
2020-08-09,3
2020-08-10,2
2020-08-11,0
2020-08-12,4
2020-08-13,6
2020-08-14,1
2020-08-15,6
2020-08-16,8
2020-08-17,2
2020-08-18,3
2020-08-19,4
2020-08-20,2
2020-08-21,10
2020-08-22,9
2020-08-23,4
2020-08-24,6
2020-08-25,3
2020-08-26,6
2020-08-27,3
2020-08-28,3
2020-08-29,5
2020-08-30,2
2020-08-31,0
2020-09-01,5
2020-09-02,5
2020-09-03,4
2020-09-04,6
2020-09-05,1
2020-09-06,3
2020-09-07,0
2020-09-08,6
2020-09-09,2
2020-09-10,4
2020-09-11,0
2020-09-12,1
2020-09-13,2
2020-09-14,2
2020-09-15,6
2020-09-16,13
2020-09-17,19
2020-09-18,19
2020-09-19,74
2020-09-20,38
2020-09-21,30
2020-09-22,37
2020-09-23,56
2020-09-24,33
2020-09-25,45
2020-09-26,38
2020-09-27,20
2020-09-28,39
2020-09-29,32
2020-09-30,33
2020-10-01,36
2020-10-02,38
2020-10-03,61
2020-10-04,48
2020-10-05,60
2020-10-06,100
2020-10-07,87
2020-10-08,95
2020-10-09,99
2020-10-10,87
2020-10-11,58
2020-10-12,49
2020-10-13,82
2020-10-14,88
2020-10-15,81
2020-10-16,67
2020-10-17,69
2020-10-18,51
2020-10-19,42
2020-10-20,62
2020-10-21,45
2020-10-22,34
2020-10-23,30
2020-10-24,75
2020-10-25,60
2020-10-26,50
2020-10-27,59
2020-10-28,86
2020-10-29,42
2020-10-30,75
2020-10-31,56
2020-11-01,23
2020-11-02,26
2020-11-03,28
2020-11-04,28
2020-11-05,25
2020-11-06,18
2020-11-07,25
2020-11-08,13
2020-11-09,16
2020-11-10,11
2020-11-11,26
2020-11-12,18
2020-11-13,8
2020-11-14,17
2020-11-15,3
2020-11-16,9
2020-11-17,7
2020-11-18,11
2020-11-19,4
2020-11-20,10
2020-11-21,15
2020-11-22,5
2020-11-23,3
2020-11-24,9
2020-11-25,7
2020-11-26,11
2020-11-27,20
2020-11-28,21
2020-11-29,9
2020-11-30,8
2020-12-01,18
2020-12-02,16
2020-12-03,14
2020-12-04,12
2020-12-05,14
2020-12-06,4
2020-12-07,7
2020-12-08,7
2020-12-09,8
2020-12-10,4
2020-12-11,12
2020-12-12,5
2020-12-13,5
2020-12-14,4
2020-12-15,3
2020-12-16,5
2020-12-17,8
2020-12-18,12
2020-12-19,13
2020-12-20,13
2020-12-21,5
2020-12-22,6
2020-12-23,12
2020-12-24,7
2020-12-25,3
2020-12-26,1
2020-12-27,9
2020-12-28,3
2020-12-29,7
2020-12-30,9
2020-12-31,4
2021-01-01,3
2021-01-02,0
2021-01-03,4
2021-01-04,10
2021-01-05,4
2021-01-06,4
2021-01-07,11
2021-01-08,2
2021-01-09,10
2021-01-10,3
2021-01-11,2
2021-01-12,2
2021-01-13,5
2021-01-14,4
2021-01-15,5
2021-01-16,0
2021-01-17,1
2021-01-18,4
2021-01-19,2
2021-01-20,2
2021-01-21,4
2021-01-22,0
2021-01-23,1
2021-01-24,1
2021-01-25,1
2021-01-26,2
2021-01-27,4
2021-01-28,2
2021-01-29,0
2021-01-30,1
2021-01-31,0
2021-02-01,0
2021-02-02,1
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,1
2021-02-08,1
2021-02-09,1
2021-02-10,0
2021-02-11,0
2021-02-12,4
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,1
2021-02-20,0
2021-02-21,1
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,1
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,1
2021-03-07,2
2021-03-08,0
2021-03-09,2
2021-03-10,0
2021-03-11,1
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,1
2021-03-16,1
2021-03-17,0
2021-03-18,1
2021-03-19,0
2021-03-20,1
2021-03-21,1
2021-03-22,5
2021-03-23,1
2021-03-24,16
2021-03-25,8
2021-03-26,6
2021-03-27,4
2021-03-28,6
2021-03-29,4
2021-03-30,10
2021-03-31,9
2021-04-01,6
2021-04-02,3
2021-04-03,6
2021-04-04,3
2021-04-05,3
2021-04-06,4
2021-04-07,11
2021-04-08,4
2021-04-09,3
2021-04-10,1
2021-04-11,2
2021-04-12,1
2021-04-13,3
2021-04-14,1
2021-04-15,0
2021-04-16,4
2021-04-17,2
2021-04-18,13
2021-04-19,27
2021-04-20,21
2021-04-21,12
2021-04-22,17
2021-04-23,10
2021-04-24,17
2021-04-25,13
2021-04-26,6
2021-04-27,16
2021-04-28,9
2021-04-29,10
2021-04-30,5
2021-05-01,3
2021-05-02,3
2021-05-03,4
2021-05-04,6
2021-05-05,5
2021-05-06,2
2021-05-07,5
2021-05-08,4
2021-05-09,2
2021-05-10,5
2021-05-11,3
2021-05-12,3
2021-05-13,7
2021-05-14,2
2021-05-15,2
2021-05-16,5
2021-05-17,2
2021-05-18,0
2021-05-19,2
2021-05-20,4
2021-05-21,0
2021-05-22,0
2021-05-23,0
2021-05-24,0
2021-05-25,1
2021-05-26,5
2021-05-27,3
2021-05-28,5
2021-05-29,3
2021-05-30,6
2021-05-31,0
2021-06-01,5
2021-06-02,3
2021-06-03,1
2021-06-04,7
2021-06-05,3
2021-06-06,1
2021-06-07,0
2021-06-08,0
2021-06-09,4
2021-06-10,0
2021-06-11,1
2021-06-12,0
2021-06-13,1
2021-06-14,2
2021-06-15,0
2021-06-16,3
2021-06-17,0
2021-06-18,0
2021-06-19,0
2021-06-20,0
2021-06-21,0
2021-06-22,0
2021-06-23,0
2021-06-24,0
2021-06-25,0
2021-06-26,1
2021-06-27,4
2021-06-28,0
2021-06-29,0
2021-06-30,0
2021-07-01,2
2021-07-02,0
2021-07-03,0
2021-07-04,0
2021-07-05,0
2021-07-06,2
2021-07-07,0
2021-07-08,1
2021-07-09,2
2021-07-10,0
2021-07-11,1
2021-07-12,0
2021-07-13,2
2021-07-14,5
2021-07-15,10
2021-07-16,7
2021-07-17,13
2021-07-18,10
2021-07-19,11
2021-07-20,38
2021-07-21,56
2021-07-22,78
2021-07-23,82
2021-07-24,95
2021-07-25,88
2021-07-26,71
2021-07-27,123
2021-07-28,123
2021-07-29,130
2021-07-30,124
2021-07-31,154
2021-08-01,86
2021-08-02,68
2021-08-03,109
2021-08-04,116
2021-08-05,151
2021-08-06,107
2021-08-07,119
2021-08-08,57
2021-08-09,105
2021-08-10,141
2021-08-11,84
2021-08-12,119
2021-08-13,130
2021-08-14,82
2021-08-15,64
2021-08-16,55
