dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,9
2020-02-14,9
2020-02-15,9
2020-02-16,9
2020-02-17,9
2020-02-18,9
2020-02-19,9
2020-02-20,9
2020-02-21,9
2020-02-22,10
2020-02-23,10
2020-02-24,10
2020-02-25,11
2020-02-26,11
2020-02-27,11
2020-02-28,12
2020-02-29,15
2020-03-01,15
2020-03-02,16
2020-03-03,21
2020-03-04,24
2020-03-05,24
2020-03-06,33
2020-03-07,37
2020-03-08,41
2020-03-09,50
2020-03-10,54
2020-03-11,87
2020-03-12,105
2020-03-13,128
2020-03-14,163
2020-03-15,192
2020-03-16,232
2020-03-17,305
2020-03-18,399
2020-03-19,524
2020-03-20,659
2020-03-21,827
2020-03-22,1036
2020-03-23,1288
2020-03-24,1637
2020-03-25,2055
2020-03-26,2478
2020-03-27,2997
2020-03-28,3428
2020-03-29,3904
2020-03-30,4433
2020-03-31,4982
2020-04-01,5719
2020-04-02,6412
2020-04-03,7136
2020-04-04,7736
2020-04-05,8163
2020-04-06,8747
2020-04-07,9196
2020-04-08,9572
2020-04-09,9912
2020-04-10,10252
2020-04-11,10607
2020-04-12,10949
2020-04-13,11500
2020-04-14,11937
2020-04-15,12330
2020-04-16,12635
2020-04-17,12931
2020-04-18,13228
2020-04-19,13516
2020-04-20,13790
2020-04-21,14087
2020-04-22,14366
2020-04-23,14592
2020-04-24,14866
2020-04-25,15116
2020-04-26,15275
2020-04-27,15357
2020-04-28,15484
2020-04-29,15645
2020-04-30,15727
2020-05-01,15870
2020-05-02,15986
2020-05-03,16043
2020-05-04,16069
2020-05-05,16124
2020-05-06,16157
2020-05-07,16222
2020-05-08,16283
2020-05-09,16316
2020-05-10,16336
2020-05-11,16365
2020-05-12,16404
2020-05-13,16427
2020-05-14,16466
2020-05-15,16488
2020-05-16,16500
2020-05-17,16505
2020-05-18,16520
2020-05-19,16547
2020-05-20,16569
2020-05-21,16584
2020-05-22,16602
2020-05-23,16621
2020-05-24,16626
2020-05-25,16639
2020-05-26,16661
2020-05-27,16711
2020-05-28,16751
2020-05-29,16828
2020-05-30,16941
2020-05-31,16970
2020-06-01,17057
2020-06-02,17157
2020-06-03,17279
2020-06-04,17375
2020-06-05,17517
2020-06-06,17644
2020-06-07,17722
2020-06-08,17862
2020-06-09,18041
2020-06-10,18215
2020-06-11,18456
2020-06-12,18649
2020-06-13,18833
2020-06-14,18982
2020-06-15,19119
2020-06-16,19319
2020-06-17,19616
2020-06-18,19884
2020-06-19,20187
2020-06-20,20498
2020-06-21,20658
2020-06-22,20832
2020-06-23,21176
2020-06-24,21628
2020-06-25,22113
2020-06-26,22629
2020-06-27,23092
2020-06-28,23489
2020-06-29,23872
2020-06-30,24631
2020-07-01,25420
2020-07-02,26386
2020-07-03,27539
2020-07-04,28480
2020-07-05,29299
2020-07-06,30123
2020-07-07,31251
2020-07-08,32634
2020-07-09,33963
2020-07-10,35483
2020-07-11,36887
2020-07-12,38055
2020-07-13,39291
2020-07-14,41008
2020-07-15,42609
2020-07-16,44482
2020-07-17,46418
2020-07-18,48019
2020-07-19,49463
2020-07-20,50479
2020-07-21,52366
2020-07-22,54370
2020-07-23,56409
2020-07-24,58396
2020-07-25,60220
2020-07-26,61330
2020-07-27,62370
2020-07-28,64418
2020-07-29,66538
2020-07-30,68495
2020-07-31,70281
2020-08-01,71640
2020-08-02,72262
2020-08-03,72970
2020-08-04,74769
2020-08-05,76493
2020-08-06,78179
2020-08-07,79854
2020-08-08,81614
2020-08-09,82368
2020-08-10,83290
2020-08-11,84986
2020-08-12,86808
2020-08-13,88423
2020-08-14,90064
2020-08-15,91453
2020-08-16,92207
2020-08-17,93276
2020-08-18,94925
2020-08-19,96570
2020-08-20,98208
2020-08-21,99693
2020-08-22,101184
2020-08-23,101894
2020-08-24,102858
2020-08-25,104759
2020-08-26,106716
2020-08-27,108700
2020-08-28,110806
2020-08-29,112639
2020-08-30,113546
2020-08-31,114645
2020-09-01,116816
2020-09-02,119070
2020-09-03,122263
2020-09-04,124928
2020-09-05,127551
2020-09-06,129054
2020-09-07,131230
2020-09-08,134615
2020-09-09,138102
2020-09-10,142093
2020-09-11,146245
2020-09-12,150217
2020-09-13,152935
2020-09-14,156107
2020-09-15,160910
2020-09-16,166437
2020-09-17,171005
2020-09-18,176383
2020-09-19,181716
2020-09-20,185525
2020-09-21,188101
2020-09-22,191970
2020-09-23,198989
2020-09-24,206131
2020-09-25,214389
2020-09-26,222774
2020-09-27,228653
2020-09-28,232088
2020-09-29,233241
2020-09-30,238227
2020-10-01,247278
2020-10-02,254995
2020-10-03,262048
2020-10-04,264641
2020-10-05,267572
2020-10-06,273272
2020-10-07,277989
2020-10-08,282141
2020-10-09,285893
2020-10-10,288847
2020-10-11,289762
2020-10-12,291399
2020-10-13,294552
2020-10-14,296887
2020-10-15,299004
2020-10-16,300613
2020-10-17,302109
2020-10-18,302519
2020-10-19,303440
2020-10-20,304957
2020-10-21,306149
2020-10-22,307318
2020-10-23,308349
2020-10-24,309198
2020-10-25,309445
2020-10-26,310049
2020-10-27,310932
2020-10-28,311817
2020-10-29,312541
2020-10-30,313188
2020-10-31,313869
2020-11-01,314097
2020-11-02,314754
2020-11-03,315546
2020-11-04,316390
2020-11-05,317159
2020-11-06,317727
2020-11-07,318415
2020-11-08,318627
2020-11-09,319161
2020-11-10,319883
2020-11-11,320557
2020-11-12,321325
2020-11-13,322161
2020-11-14,322921
2020-11-15,323212
2020-11-16,323838
2020-11-17,324712
2020-11-18,325542
2020-11-19,326338
2020-11-20,327108
2020-11-21,327880
2020-11-22,328303
2020-11-23,329066
2020-11-24,330027
2020-11-25,330886
2020-11-26,331968
2020-11-27,333051
2020-11-28,334084
2020-11-29,334665
2020-11-30,335691
2020-12-01,336948
2020-12-02,338147
2020-12-03,339735
2020-12-04,341183
2020-12-05,342698
2020-12-06,343698
2020-12-07,345056
2020-12-08,346920
2020-12-09,348689
2020-12-10,350558
2020-12-11,352564
2020-12-12,354398
2020-12-13,355696
2020-12-14,357422
2020-12-15,359743
2020-12-16,362636
2020-12-17,365496
2020-12-18,368343
2020-12-19,371134
2020-12-20,373022
2020-12-21,376116
2020-12-22,379976
2020-12-23,384356
2020-12-24,388393
2020-12-25,392442
2020-12-26,396447
2020-12-27,399105
2020-12-28,402638
2020-12-29,408159
2020-12-30,413792
2020-12-31,419661
2021-01-01,425525
2021-01-02,431536
2021-01-03,435748
2021-01-04,440978
2021-01-05,449402
2021-01-06,457628
2021-01-07,465511
2021-01-08,473173
2021-01-09,481333
2021-01-10,486497
2021-01-11,493451
2021-01-12,503178
2021-01-13,512473
2021-01-14,521943
2021-01-15,531240
2021-01-16,539668
2021-01-17,544753
2021-01-18,550412
2021-01-19,560532
2021-01-20,569163
2021-01-21,577524
2021-01-22,584792
2021-01-23,592179
2021-01-24,594626
2021-01-25,599561
2021-01-26,608277
2021-01-27,616094
2021-01-28,623844
2021-01-29,631040
2021-01-30,637815
2021-01-31,640442
2021-02-01,645680
2021-02-02,654610
2021-02-03,662631
2021-02-04,670095
2021-02-05,677356
2021-02-06,683955
2021-02-07,686613
2021-02-08,691218
2021-02-09,699072
2021-02-10,705244
2021-02-11,710920
2021-02-12,716004
2021-02-13,720678
2021-02-14,722568
2021-02-15,726057
2021-02-16,731256
2021-02-17,735840
2021-02-18,740009
2021-02-19,743346
2021-02-20,747139
2021-02-21,748394
2021-02-22,751507
2021-02-23,756318
2021-02-24,760760
2021-02-25,765137
2021-02-26,768957
2021-02-27,772776
2021-02-28,774219
2021-03-01,777248
2021-03-02,782102
2021-03-03,786506
2021-03-04,791177
2021-03-05,794836
2021-03-06,798531
2021-03-07,800372
2021-03-08,802739
2021-03-09,806537
2021-03-10,809664
2021-03-11,812507
2021-03-12,815060
2021-03-13,817474
2021-03-14,818261
2021-03-15,819697
2021-03-16,821827
2021-03-17,823390
2021-03-18,824934
2021-03-19,826195
2021-03-20,827282
2021-03-21,827632
2021-03-22,828313
2021-03-23,829305
2021-03-24,829999
2021-03-25,830479
2021-03-26,831385
2021-03-27,831931
2021-03-28,832175
2021-03-29,832309
2021-03-30,832700
2021-03-31,833159
2021-04-01,833659
2021-04-02,833993
2021-04-03,834412
2021-04-04,834535
2021-04-05,834732
2021-04-06,835115
2021-04-07,835422
2021-04-08,835695
2021-04-09,835907
2021-04-10,836133
2021-04-11,836219
2021-04-12,836360
2021-04-13,836584
2021-04-14,836782
2021-04-15,836977
2021-04-16,837072
2021-04-17,837182
2021-04-18,837271
2021-04-19,837493
2021-04-20,837643
2021-04-21,837820
2021-04-22,837943
2021-04-23,838107
2021-04-24,838219
2021-04-25,838255
2021-04-26,838340
2021-04-27,838445
2021-04-28,838571
2021-04-29,838683
2021-04-30,838785
2021-05-01,838864
2021-05-02,838879
2021-05-03,838939
2021-05-04,839036
2021-05-05,839104
2021-05-06,839179
2021-05-07,839235
2021-05-08,839269
2021-05-09,839285
2021-05-10,839319
2021-05-11,839395
2021-05-12,839435
2021-05-13,839464
2021-05-14,839499
2021-05-15,839526
2021-05-16,839546
2021-05-17,839584
2021-05-18,839599
2021-05-19,839627
2021-05-20,839683
2021-05-21,839721
2021-05-22,839743
2021-05-23,839755
2021-05-24,839785
2021-05-25,839815
2021-05-26,839838
2021-05-27,839857
2021-05-28,839874
2021-05-29,839892
2021-05-30,839905
2021-05-31,839909
2021-06-01,839924
2021-06-02,839959
2021-06-03,839972
2021-06-04,839983
2021-06-05,840014
2021-06-06,840020
2021-06-07,840025
2021-06-08,840032
2021-06-09,840062
2021-06-10,840071
2021-06-11,840089
2021-06-12,840107
2021-06-13,840112
2021-06-14,840115
2021-06-15,840141
2021-06-16,840169
2021-06-17,840183
2021-06-18,840214
2021-06-19,840249
2021-06-20,840296
2021-06-21,840354
2021-06-22,840479
2021-06-23,840597
2021-06-24,840756
2021-06-25,841009
2021-06-26,841259
