dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,4
2020-03-26,5
2020-03-27,10
2020-03-28,12
2020-03-29,13
2020-03-30,16
2020-03-31,17
2020-04-01,21
2020-04-02,29
2020-04-03,38
2020-04-04,43
2020-04-05,49
2020-04-06,56
2020-04-07,64
2020-04-08,72
2020-04-09,80
2020-04-10,89
2020-04-11,97
2020-04-12,103
2020-04-13,109
2020-04-14,118
2020-04-15,126
2020-04-16,139
2020-04-17,146
2020-04-18,155
2020-04-19,166
2020-04-20,174
2020-04-21,180
2020-04-22,190
2020-04-23,193
2020-04-24,197
2020-04-25,200
2020-04-26,203
2020-04-27,205
2020-04-28,209
2020-04-29,214
2020-04-30,220
2020-05-01,226
2020-05-02,230
2020-05-03,233
2020-05-04,236
2020-05-05,239
2020-05-06,241
2020-05-07,242
2020-05-08,243
2020-05-09,249
2020-05-10,252
2020-05-11,256
2020-05-12,261
2020-05-13,264
2020-05-14,267
2020-05-15,270
2020-05-16,270
2020-05-17,273
2020-05-18,277
2020-05-19,280
2020-05-20,282
2020-05-21,283
2020-05-22,283
2020-05-23,283
2020-05-24,283
2020-05-25,284
2020-05-26,286
2020-05-27,286
2020-05-28,288
2020-05-29,289
2020-05-30,289
2020-05-31,289
2020-06-01,289
2020-06-02,292
2020-06-03,294
2020-06-04,295
2020-06-05,295
2020-06-06,296
2020-06-07,300
2020-06-08,302
2020-06-09,302
2020-06-10,303
2020-06-11,304
2020-06-12,304
2020-06-13,304
2020-06-14,305
2020-06-15,307
2020-06-16,307
2020-06-17,308
2020-06-18,308
2020-06-19,308
2020-06-20,309
2020-06-21,310
2020-06-22,310
2020-06-23,311
2020-06-24,313
2020-06-25,316
2020-06-26,320
2020-06-27,323
2020-06-28,326
2020-06-29,328
2020-06-30,328
2020-07-01,329
2020-07-02,332
2020-07-03,333
2020-07-04,336
2020-07-05,341
2020-07-06,343
2020-07-07,351
2020-07-08,356
2020-07-09,361
2020-07-10,366
2020-07-11,370
2020-07-12,375
2020-07-13,382
2020-07-14,386
2020-07-15,393
2020-07-16,399
2020-07-17,408
2020-07-18,420
2020-07-19,428
2020-07-20,438
2020-07-21,450
2020-07-22,459
2020-07-23,465
2020-07-24,481
2020-07-25,489
2020-07-26,496
2020-07-27,506
2020-07-28,513
2020-07-29,521
2020-07-30,536
2020-07-31,551
2020-08-01,565
2020-08-02,579
2020-08-03,591
2020-08-04,606
2020-08-05,617
2020-08-06,627
2020-08-07,636
2020-08-08,648
2020-08-09,661
2020-08-10,669
2020-08-11,684
2020-08-12,695
2020-08-13,711
2020-08-14,727
2020-08-15,739
2020-08-16,749
2020-08-17,769
2020-08-18,773
2020-08-19,787
2020-08-20,799
2020-08-21,813
2020-08-22,826
2020-08-23,836
2020-08-24,849
2020-08-25,865
2020-08-26,884
2020-08-27,895
2020-08-28,906
2020-08-29,919
2020-08-30,924
2020-08-31,938
2020-09-01,961
2020-09-02,976
2020-09-03,989
2020-09-04,1005
2020-09-05,1017
2020-09-06,1032
2020-09-07,1044
2020-09-08,1061
2020-09-09,1081
2020-09-10,1096
2020-09-11,1110
2020-09-12,1130
2020-09-13,1145
2020-09-14,1162
2020-09-15,1182
2020-09-16,1198
2020-09-17,1224
2020-09-18,1241
2020-09-19,1262
2020-09-20,1290
2020-09-21,1311
2020-09-22,1343
2020-09-23,1368
2020-09-24,1393
2020-09-25,1424
2020-09-26,1453
2020-09-27,1480
2020-09-28,1511
2020-09-29,1540
2020-09-30,1575
2020-10-01,1612
2020-10-02,1658
2020-10-03,1683
2020-10-04,1721
2020-10-05,1758
2020-10-06,1785
2020-10-07,1830
2020-10-08,1856
2020-10-09,1903
2020-10-10,1943
2020-10-11,1978
2020-10-12,2023
2020-10-13,2053
2020-10-14,2090
2020-10-15,2124
2020-10-16,2156
2020-10-17,2191
2020-10-18,2223
2020-10-19,2256
2020-10-20,2287
2020-10-21,2307
2020-10-22,2332
2020-10-23,2361
2020-10-24,2387
2020-10-25,2413
2020-10-26,2447
2020-10-27,2475
2020-10-28,2503
2020-10-29,2513
2020-10-30,2532
2020-10-31,2544
2020-11-01,2569
2020-11-02,2588
2020-11-03,2603
2020-11-04,2629
2020-11-05,2644
2020-11-06,2658
2020-11-07,2674
2020-11-08,2682
2020-11-09,2689
2020-11-10,2697
2020-11-11,2707
2020-11-12,2714
2020-11-13,2726
2020-11-14,2731
2020-11-15,2742
2020-11-16,2756
2020-11-17,2765
2020-11-18,2777
2020-11-19,2784
2020-11-20,2792
2020-11-21,2798
2020-11-22,2810
2020-11-23,2826
2020-11-24,2833
2020-11-25,2838
2020-11-26,2843
2020-11-27,2852
2020-11-28,2859
2020-11-29,2868
2020-11-30,2878
2020-12-01,2884
2020-12-02,2894
2020-12-03,2899
2020-12-04,2909
2020-12-05,2918
2020-12-06,2928
2020-12-07,2936
2020-12-08,2943
2020-12-09,2955
2020-12-10,2968
2020-12-11,2981
2020-12-12,2992
2020-12-13,3008
2020-12-14,3017
2020-12-15,3028
2020-12-16,3043
2020-12-17,3058
2020-12-18,3075
2020-12-19,3091
2020-12-20,3111
2020-12-21,3129
2020-12-22,3145
2020-12-23,3158
2020-12-24,3183
2020-12-25,3198
2020-12-26,3219
2020-12-27,3242
2020-12-28,3263
2020-12-29,3295
2020-12-30,3320
2020-12-31,3336
2021-01-01,3372
2021-01-02,3406
2021-01-03,3433
2021-01-04,3459
2021-01-05,3497
2021-01-06,3520
2021-01-07,3563
2021-01-08,3611
2021-01-09,3657
2021-01-10,3677
2021-01-11,3720
2021-01-12,3748
2021-01-13,3803
2021-01-14,3860
2021-01-15,3919
2021-01-16,3971
2021-01-17,4018
2021-01-18,4074
2021-01-19,4120
2021-01-20,4163
2021-01-21,4220
2021-01-22,4267
2021-01-23,4332
2021-01-24,4384
2021-01-25,4459
2021-01-26,4519
2021-01-27,4572
2021-01-28,4633
2021-01-29,4682
2021-01-30,4727
2021-01-31,4765
2021-02-01,4816
2021-02-02,4862
2021-02-03,4923
2021-02-04,4980
2021-02-05,5028
2021-02-06,5062
2021-02-07,5113
2021-02-08,5157
2021-02-09,5187
2021-02-10,5229
2021-02-11,5261
2021-02-12,5291
2021-02-13,5332
2021-02-14,5361
2021-02-15,5398
2021-02-16,5414
2021-02-17,5456
2021-02-18,5483
2021-02-19,5518
2021-02-20,5540
2021-02-21,5566
2021-02-22,5591
2021-02-23,5606
2021-02-24,5641
2021-02-25,5668
2021-02-26,5691
2021-02-27,5713
2021-02-28,5743
2021-03-01,5764
2021-03-02,5782
2021-03-03,5803
2021-03-04,5820
2021-03-05,5837
2021-03-06,5855
2021-03-07,5875
2021-03-08,5891
2021-03-09,5912
2021-03-10,5927
2021-03-11,5944
2021-03-12,5962
2021-03-13,5974
2021-03-14,5990
2021-03-15,6016
2021-03-16,6033
2021-03-17,6049
2021-03-18,6063
2021-03-19,6072
2021-03-20,6084
2021-03-21,6091
2021-03-22,6105
2021-03-23,6118
2021-03-24,6132
2021-03-25,6142
2021-03-26,6151
2021-03-27,6162
2021-03-28,6168
2021-03-29,6181
2021-03-30,6192
2021-03-31,6205
2021-04-01,6219
2021-04-02,6227
2021-04-03,6242
2021-04-04,6249
2021-04-05,6257
2021-04-06,6263
2021-04-07,6271
2021-04-08,6280
2021-04-09,6289
2021-04-10,6299
2021-04-11,6308
2021-04-12,6314
2021-04-13,6320
2021-04-14,6333
2021-04-15,6336
2021-04-16,6339
2021-04-17,6344
2021-04-18,6351
2021-04-19,6355
2021-04-20,6358
2021-04-21,6362
2021-04-22,6364
2021-04-23,6366
2021-04-24,6371
2021-04-25,6375
2021-04-26,6376
2021-04-27,6379
2021-04-28,6385
2021-04-29,6385
2021-04-30,6387
2021-05-01,6389
2021-05-02,6391
2021-05-03,6392
2021-05-04,6395
2021-05-05,6397
2021-05-06,6399
2021-05-07,6401
2021-05-08,6403
2021-05-09,6404
2021-05-10,6405
2021-05-11,6407
2021-05-12,6408
2021-05-13,6409
2021-05-14,6411
2021-05-15,6411
2021-05-16,6412
2021-05-17,6413
2021-05-18,6416
2021-05-19,6416
2021-05-20,6417
2021-05-21,6417
2021-05-22,6419
2021-05-23,6419
2021-05-24,6420
2021-05-25,6421
2021-05-26,6422
2021-05-27,6422
2021-05-28,6424
2021-05-29,6425
2021-05-30,6425
2021-05-31,6425
2021-06-01,6425
2021-06-02,6427
2021-06-03,6427
2021-06-04,6428
2021-06-05,6428
2021-06-06,6429
2021-06-07,6429
2021-06-08,6430
2021-06-09,6431
2021-06-10,6432
2021-06-11,6432
2021-06-12,6432
2021-06-13,6432
2021-06-14,6433
2021-06-15,6433
2021-06-16,6433
2021-06-17,6434
2021-06-18,6434
2021-06-19,6434
2021-06-20,6435
2021-06-21,6435
2021-06-22,6435
2021-06-23,6435
2021-06-24,6435
2021-06-25,6435
2021-06-26,6436
2021-06-27,6436
2021-06-28,6436
2021-06-29,6436
2021-06-30,6436
2021-07-01,6436
2021-07-02,6436
2021-07-03,6436
2021-07-04,6436
2021-07-05,6436
2021-07-06,6436
2021-07-07,6436
2021-07-08,6437
2021-07-09,6439
2021-07-10,6439
2021-07-11,6441
2021-07-12,6444
