dates,cumulativecount_vaccine_covid_19_administered
2020-12-27,7196
2020-12-28,8701
2020-12-29,9800
2020-12-30,14692
2020-12-31,40665
2021-01-01,51946
2021-01-02,91034
2021-01-03,126917
2021-01-04,196584
2021-01-05,276868
2021-01-06,342066
2021-01-07,434742
2021-01-08,531758
2021-01-09,620046
2021-01-10,680989
2021-01-11,763219
2021-01-12,846766
2021-01-13,942285
2021-01-14,1036918
2021-01-15,1127984
2021-01-16,1194136
2021-01-17,1231795
2021-01-18,1276515
2021-01-19,1310152
2021-01-20,1341700
2021-01-21,1378311
2021-01-22,1405801
2021-01-23,1445203
2021-01-24,1479255
2021-01-25,1548929
2021-01-26,1629821
2021-01-27,1701098
2021-01-28,1795362
2021-01-29,1894563
2021-01-30,1985370
2021-01-31,2045384
2021-02-01,2131658
2021-02-02,2220291
2021-02-03,2320500
2021-02-04,2429561
2021-02-05,2537830
2021-02-06,2615960
2021-02-07,2658410
2021-02-08,2725689
2021-02-09,2792993
2021-02-10,2866369
2021-02-11,2941721
2021-02-12,3016351
2021-02-13,3069300
2021-02-14,3099337
2021-02-15,3162386
2021-02-16,3233911
2021-02-17,3314711
2021-02-18,3405372
2021-02-19,3499069
2021-02-20,3577681
2021-02-21,3628952
2021-02-22,3735227
2021-02-23,3842294
2021-02-24,3965016
2021-02-25,4094056
2021-02-26,4233335
2021-02-27,4360534
2021-02-28,4439070
2021-03-01,4575314
2021-03-02,4737900
2021-03-03,4925990
2021-03-04,5124904
2021-03-05,5331945
2021-03-06,5510655
2021-03-07,5613929
2021-03-08,5796415
2021-03-09,5992708
2021-03-10,6209521
2021-03-11,6435183
2021-03-12,6648724
2021-03-13,6826592
2021-03-14,6932887
2021-03-15,7108688
2021-03-16,7249708
2021-03-17,7416101
2021-03-18,7580396
2021-03-19,7757250
2021-03-20,7933856
2021-03-21,8064693
2021-03-22,8261681
2021-03-23,8489120
2021-03-24,8747738
2021-03-25,9019841
2021-03-26,9292922
2021-03-27,9534679
2021-03-28,9698597
2021-03-29,9943111
2021-03-30,10214293
2021-03-31,10522086
2021-04-01,10811317
2021-04-02,11095460
2021-04-03,11326581
2021-04-04,11422965
2021-04-05,11594581
2021-04-06,11881911
2021-04-07,12217415
2021-04-08,12557748
2021-04-09,12895072
2021-04-10,13217358
2021-04-11,13420063
2021-04-12,13688562
2021-04-13,13979317
2021-04-14,14302212
2021-04-15,14655635
2021-04-16,15037666
2021-04-17,15399050
2021-04-18,15641973
2021-04-19,15954080
2021-04-20,16289359
2021-04-21,16664191
2021-04-22,17065180
2021-04-23,17472547
2021-04-24,17860906
2021-04-25,18129332
2021-04-26,18475278
2021-04-27,18850373
2021-04-28,19261253
2021-04-29,19793164
2021-04-30,20323677
2021-05-01,20758321
2021-05-02,21129431
2021-05-03,21543516
2021-05-04,21997407
2021-05-05,22484976
2021-05-06,23007492
2021-05-07,23554327
2021-05-08,24069166
2021-05-09,24453640
2021-05-10,24896109
2021-05-11,25355002
2021-05-12,25841267
2021-05-13,26371913
2021-05-14,26928642
2021-05-15,27474733
2021-05-16,27885385
2021-05-17,28353845
2021-05-18,28824841
2021-05-19,29313595
2021-05-20,29868927
2021-05-21,30442269
2021-05-22,30966016
2021-05-23,31374314
2021-05-24,31839958
2021-05-25,32320786
2021-05-26,32849879
2021-05-27,33441623
2021-05-28,34037715
2021-05-29,34563316
2021-05-30,34966111
2021-05-31,35446968
2021-06-01,35917288
2021-06-02,36330310
2021-06-03,36929068
2021-06-04,37563259
2021-06-05,38182701
2021-06-06,38695657
2021-06-07,39267901
2021-06-08,39851344
2021-06-09,40446808
2021-06-10,41081720
2021-06-11,41705720
2021-06-12,42272987
2021-06-13,42709246
2021-06-14,43243666
2021-06-15,43781064
2021-06-16,44339947
2021-06-17,44945702
2021-06-18,45556183
2021-06-19,46116069
2021-06-20,46554451
2021-06-21,47113962
2021-06-22,47686520
2021-06-23,48255873
2021-06-24,48868833
2021-06-25,49487257
2021-06-26,50043113
2021-06-27,50475202
2021-06-28,51035633
2021-06-29,51600019
2021-06-30,52174544
2021-07-01,52744599
2021-07-02,53301161
2021-07-03,53829160
2021-07-04,54244196
2021-07-05,54785809
2021-07-06,55325148
2021-07-07,55874499
2021-07-08,56461205
2021-07-09,57060929
2021-07-10,57630810
2021-07-11,58042473
2021-07-12,58610377
2021-07-13,59182773
2021-07-14,59750930
2021-07-15,60365987
2021-07-16,60962931
2021-07-17,61501500
2021-07-18,61946840
2021-07-19,62522027
2021-07-20,63090145
2021-07-21,63675258
2021-07-22,64283026
2021-07-23,64871457
2021-07-24,65367089
2021-07-25,65730933
2021-07-26,66296695
2021-07-27,66870762
2021-07-28,67410698
2021-07-29,67951188
2021-07-30,68467810
2021-07-31,68900777
2021-08-01,69197381
2021-08-02,69675568
2021-08-03,70144915
2021-08-04,70623505
2021-08-05,71086079
2021-08-06,71526538
2021-08-07,71872195
2021-08-08,72132021
2021-08-09,72539881
2021-08-10,72918071
2021-08-11,73277469
2021-08-12,73616854
2021-08-13,73914134
2021-08-14,74043025
2021-08-15,74096004
2021-08-16,74331352
2021-08-17,74582993
2021-08-18,74843152
2021-08-19,75085959
2021-08-20,75317906
2021-08-21,75474513
2021-08-22,75587929
2021-08-23,75899159
2021-08-24,76180519
2021-08-25,76476145
2021-08-26,76758643
2021-08-27,77049878
2021-08-28,77277559
2021-08-29,77438869
2021-08-30,77789935
2021-08-31,78114561
2021-09-01,78429148
2021-09-02,78728267
2021-09-03,79024898
2021-09-04,79246042
2021-09-05,79389470
2021-09-06,79679902
2021-09-07,79963247
2021-09-08,80235274
2021-09-09,80514089
2021-09-10,80788323
2021-09-11,80993776
2021-09-12,81126227
2021-09-13,81383177
2021-09-14,81623109
2021-09-15,81847254
2021-09-16,82063872
2021-09-17,82282823
2021-09-18,82490201
2021-09-19,82621265
2021-09-20,82888415
2021-09-21,83145009
2021-09-22,83397352
2021-09-23,83627782
2021-09-24,83863445
2021-09-25,84068765
2021-09-26,84196395
2021-09-27,84418872
2021-09-28,84621528
2021-09-29,84819210
2021-09-30,85023763
2021-10-01,85200674
2021-10-02,85351242
2021-10-03,85437448
2021-10-04,85613086
2021-10-05,85779530
2021-10-06,85939053
2021-10-07,86100135
2021-10-08,86273054
2021-10-09,86421604
2021-10-10,86506973
2021-10-11,86690325
2021-10-12,86880201
2021-10-13,87085563
2021-10-14,87311259
2021-10-15,87531125
2021-10-16,87702602
2021-10-17,87806712
2021-10-18,88004163
2021-10-19,88190599
2021-10-20,88378852
2021-10-21,88570886
2021-10-22,88751668
2021-10-23,88885551
2021-10-24,88953230
2021-10-25,89123465
2021-10-26,89295172
2021-10-27,89478753
2021-10-28,89674681
2021-10-29,89858211
2021-10-30,89992568
2021-10-31,90053479
2021-11-01,90106191
2021-11-02,90274856
2021-11-03,90471211
2021-11-04,90674711
2021-11-05,90891218
2021-11-06,91044276
2021-11-07,91111518
2021-11-08,91312720
2021-11-09,91520208
2021-11-10,91737898
2021-11-11,91956946
2021-11-12,92180857
2021-11-13,92348138
2021-11-14,92422337
2021-11-15,92634722
2021-11-16,92854457
2021-11-17,93079170
2021-11-18,93323502
2021-11-19,93578256
2021-11-20,93773160
2021-11-21,93857091
2021-11-22,94113326
2021-11-23,94399433
2021-11-24,94719232
2021-11-25,95070323
2021-11-26,95441202
2021-11-27,95756811
2021-11-28,95918312
2021-11-29,96298646
2021-11-30,96718666
2021-12-01,97184022
2021-12-02,97679439
2021-12-03,98204587
2021-12-04,98675905
2021-12-05,98970789
2021-12-06,99495561
2021-12-07,100039710
2021-12-08,100321410
2021-12-09,100880009
2021-12-10,101458994
2021-12-11,101970876
2021-12-12,102296102
2021-12-13,102819615
2021-12-14,103368721
2021-12-15,103939267
2021-12-16,104529648
2021-12-17,105114018
2021-12-18,105659133
2021-12-19,106009910
2021-12-20,106556269
2021-12-21,107117796
2021-12-22,107670697
2021-12-23,108165274
2021-12-24,108403112
2021-12-25,108439763
2021-12-26,108623329
2021-12-27,109220571
2021-12-28,109872250
2021-12-29,110513280
2021-12-30,111096175
2021-12-31,111377206
2022-01-01,111450377
2022-01-02,111789756
2022-01-03,112417205
2022-01-04,113105763
2022-01-05,113772547
2022-01-06,114113308
2022-01-07,114800956
2022-01-08,115442115
2022-01-09,115863414
2022-01-10,116531669
2022-01-11,117256473
2022-01-12,117969656
2022-01-13,118677330
2022-01-14,119384927
2022-01-15,120085549
2022-01-16,120519941
2022-01-17,121118868
2022-01-18,121749271
2022-01-19,122359954
2022-01-20,122963339
2022-01-21,123549683
2022-01-22,124115769
2022-01-23,124464109
2022-01-24,124994979
2022-01-25,125546536
2022-01-26,126077585
2022-01-27,126595939
2022-01-28,127128635
2022-01-29,127657202
2022-01-30,127977782
2022-01-31,128429086
2022-02-01,128854090
2022-02-02,129241898
2022-02-03,129602629
2022-02-04,129970266
2022-02-05,130335974
2022-02-06,130526709
2022-02-07,130810770
2022-02-08,131083788
2022-02-09,131326792
2022-02-10,131565207
2022-02-11,131806673
2022-02-12,132049772
2022-02-13,132169255
2022-02-14,132341992
2022-02-15,132525455
2022-02-16,132686791
2022-02-17,132836233
2022-02-18,133004518
2022-02-19,133166839
2022-02-20,133242370
2022-02-21,133375799
2022-02-22,133502908
2022-02-23,133621531
2022-02-24,133738098
2022-02-25,133868943
2022-02-26,134002582
2022-02-27,134063161
2022-02-28,134178387
2022-03-01,134263307
2022-03-02,134343020
2022-03-03,134428956
2022-03-04,134522442
2022-03-05,134611183
2022-03-06,134640540
2022-03-07,134714632
2022-03-08,134785613
2022-03-09,134852044
2022-03-10,134924994
2022-03-11,135004638
2022-03-12,135082628
2022-03-13,135106848
2022-03-14,135169271
2022-03-15,135232742
2022-03-16,135289558
2022-03-17,135349675
2022-03-18,135414323
2022-03-19,135474845
2022-03-20,135490128
2022-03-21,135542332
2022-03-22,135592869
2022-03-23,135637677
2022-03-24,135689288
2022-03-25,135745420
2022-03-26,135798871
2022-03-27,135811841
2022-03-28,135856481
2022-03-29,135898411
2022-03-30,135937161
2022-03-31,135979661
2022-04-01,136011551
2022-04-02,136041346
2022-04-03,136047313
2022-04-04,136074528
2022-04-05,136103545
2022-04-06,136131756
2022-04-07,136161310
2022-04-08,136195167
2022-04-09,136225448
2022-04-10,136231331
2022-04-11,136259975
2022-04-12,136287761
2022-04-13,136317018
2022-04-14,136353246
2022-04-15,136385781
2022-04-16,136404835
2022-04-17,136405350
2022-04-18,136407268
2022-04-19,136449790
2022-04-20,136495631
2022-04-21,136541636
2022-04-22,136590973
2022-04-23,136629303
2022-04-24,136636245
2022-04-25,136639713
2022-04-26,136690601
2022-04-27,136741110
2022-04-28,136788772
2022-04-29,136837647
2022-04-30,136874703
2022-05-01,136877153
2022-05-02,136912806
2022-05-03,136956812
2022-05-04,137002750
2022-05-05,137048673
2022-05-06,137093280
2022-05-07,137123502
2022-05-08,137129302
2022-05-09,137164856
2022-05-10,137207652
2022-05-11,137255168
2022-05-12,137300978
2022-05-13,137344429
2022-05-14,137374932
2022-05-15,137380762
2022-05-16,137412419
2022-05-17,137448958
2022-05-18,137492288
2022-05-19,137533711
2022-05-20,137571932
2022-05-21,137598458
2022-05-22,137603222
2022-05-23,137631898
2022-05-24,137666822
2022-05-25,137704922
2022-05-26,137742527
2022-05-27,137777335
2022-05-28,137800598
2022-05-29,137804932
2022-05-30,137830320
2022-05-31,137860283
2022-06-01,137884626
2022-06-02,137886055
2022-06-03,137905532
2022-06-04,137917740
2022-06-05,137919055
2022-06-06,137936895
2022-06-07,137959251
2022-06-08,137983250
2022-06-09,138007644
2022-06-10,138030680
2022-06-11,138045318
2022-06-12,138046947
2022-06-13,138061723
2022-06-14,138082276
2022-06-15,138103658
2022-06-16,138123659
2022-06-17,138143047
2022-06-18,138156661
2022-06-19,138157735
2022-06-20,138173002
2022-06-21,138192428
2022-06-22,138212907
2022-06-23,138233198
2022-06-24,138253522
2022-06-25,138269455
2022-06-26,138270700
2022-06-27,138287575
2022-06-28,138308408
2022-06-29,138329672
2022-06-30,138352844
2022-07-01,138370611
2022-07-02,138382393
2022-07-03,138383494
2022-07-04,138400110
2022-07-05,138422433
2022-07-06,138446100
2022-07-07,138472315
2022-07-08,138499426
2022-07-09,138517935
2022-07-10,138519670
2022-07-11,138545699
2022-07-12,138582595
2022-07-13,138632274
2022-07-14,138692639
2022-07-15,138762939
2022-07-16,138807179
2022-07-17,138812939
2022-07-18,138881173
2022-07-19,138959813
2022-07-20,139042688
2022-07-21,139130001
2022-07-22,139211003
2022-07-23,139260089
2022-07-24,139267360
2022-07-25,139331461
2022-07-26,139400958
2022-07-27,139475704
2022-07-28,139555137
2022-07-29,139624445
2022-07-30,139667702
2022-07-31,139674004
2022-08-01,139722896
2022-08-02,139777570
2022-08-03,139830965
2022-08-04,139886704
2022-08-05,139934621
2022-08-06,139959461
2022-08-07,139963826
2022-08-08,139995624
2022-08-09,140031876
2022-08-10,140065557
2022-08-11,140098009
2022-08-12,140122408
2022-08-13,140131657
2022-08-14,140132464
2022-08-15,140132660
2022-08-16,140150334
2022-08-17,140171270
2022-08-18,140196582
2022-08-19,140216441
2022-08-20,140225725
2022-08-21,140226634
2022-08-22,140242985
2022-08-23,140263937
2022-08-24,140283674
2022-08-25,140306097
2022-08-26,140326666
2022-08-27,140336364
2022-08-28,140337556
2022-08-29,140355685
2022-08-30,140377561
2022-08-31,140399080
2022-09-01,140418721
2022-09-02,140435238
2022-09-03,140443858
2022-09-04,140444514
2022-09-05,140459088
2022-09-06,140475489
2022-09-07,140491822
2022-09-08,140508026
2022-09-09,140522615
2022-09-10,140529029
2022-09-11,140529482
2022-09-12,140540915
2022-09-13,140555113
2022-09-14,140571360
2022-09-15,140588977
2022-09-16,140606335
2022-09-17,140614845
2022-09-18,140615896
2022-09-19,140629861
2022-09-20,140647306
2022-09-21,140665530
2022-09-22,140685599
2022-09-23,140705070
2022-09-24,140715558
2022-09-25,140716703
2022-09-26,140734650
2022-09-27,140757180
2022-09-28,140782082
2022-09-29,140808888
2022-09-30,140834904
2022-10-01,140847302
2022-10-02,140849076
2022-10-03,140870435
2022-10-04,140898397
2022-10-05,140932185
2022-10-06,140972595
2022-10-07,141016228
2022-10-08,141037806
2022-10-09,141040963
2022-10-10,141077089
2022-10-11,141123951
2022-10-12,141172884
2022-10-13,141227725
2022-10-14,141281302
2022-10-15,141307041
2022-10-16,141310782
2022-10-17,141350572
2022-10-18,141403583
2022-10-19,141458870
2022-10-20,141519708
2022-10-21,141574258
2022-10-22,141601046
2022-10-23,141605154
2022-10-24,141646108
2022-10-25,141697672
2022-10-26,141753835
2022-10-27,141812344
2022-10-28,141865303
2022-10-29,141890280
2022-10-30,141894173
2022-10-31,141922400
2022-11-01,141925537
2022-11-02,141963166
2022-11-03,142012370
2022-11-04,142059279
2022-11-05,142083053
2022-11-06,142086173
2022-11-07,142119194
2022-11-08,142162737
2022-11-09,142206467
2022-11-10,142253813
2022-11-11,142297072
2022-11-12,142319427
2022-11-13,142322785
2022-11-14,142352907
2022-11-15,142391556
2022-11-16,142432617
2022-11-17,142474462
2022-11-18,142515684
2022-11-19,142534749
2022-11-20,142537713
2022-11-21,142565377
2022-11-22,142598027
2022-11-23,142634824
2022-11-24,142673066
2022-11-25,142710159
2022-11-26,142729979
2022-11-27,142733553
2022-11-28,142761923
2022-11-29,142797735
2022-11-30,142836844
2022-12-01,142873962
2022-12-02,142910842
2022-12-03,142929933
2022-12-04,142932484
2022-12-05,142962449
2022-12-06,142999757
2022-12-07,143031422
2022-12-08,143032838
2022-12-09,143061003
2022-12-10,143075343
2022-12-11,143077425
2022-12-12,143103383
2022-12-13,143135334
2022-12-14,143169444
2022-12-15,143204128
2022-12-16,143236897
2022-12-17,143252120
2022-12-18,143254574
2022-12-19,143275704
2022-12-20,143300078
2022-12-21,143321863
2022-12-22,143338756
2022-12-23,143348076
2022-12-24,143349143
2022-12-25,143349168
2022-12-26,143349521
2022-12-27,143360829
2022-12-28,143374977
2022-12-29,143390753
2022-12-30,143404913
2022-12-31,143407333
2023-01-01,143407372
2023-01-02,143417248
2023-01-03,143434553
2023-01-04,143453626
2023-01-05,143469203
2023-01-06,143469725
2023-01-07,143475872
2023-01-08,143476933
2023-01-09,143490815
2023-01-10,143509655
2023-01-11,143528925
2023-01-12,143548710
2023-01-13,143567189
2023-01-14,143576739
2023-01-15,143577572
2023-01-16,143589167
2023-01-17,143602660
2023-01-18,143617198
2023-01-19,143632275
2023-01-20,143646188
2023-01-21,143652332
2023-01-22,143652809
2023-01-23,143660477
2023-01-24,143671476
2023-01-25,143682262
2023-01-26,143692754
2023-01-27,143702170
2023-01-28,143706065
2023-01-29,143706442
2023-01-30,143711490
2023-01-31,143718752
2023-02-01,143724765
2023-02-02,143730686
2023-02-03,143736662
2023-02-04,143739344
2023-02-05,143739455
2023-02-06,143743286
2023-02-07,143748373
2023-02-08,143753285
2023-02-09,143758230
2023-02-10,143762449
2023-02-11,143764413
2023-02-12,143764557
2023-02-13,143767502
2023-02-14,143771038
2023-02-15,143774647
2023-02-16,143778257
2023-02-17,143781246
2023-02-18,143782539
2023-02-19,143782607
2023-02-20,143784856
2023-02-21,143787603
2023-02-22,143790765
2023-02-23,143793772
2023-02-24,143796453
2023-02-25,143797550
2023-02-26,143797653
2023-02-27,143799606
2023-02-28,143802111
2023-03-01,143804035
2023-03-02,143805832
2023-03-03,143807560
2023-03-04,143808199
2023-03-05,143808279
2023-03-06,143809473
2023-03-07,143811146
2023-03-08,143812763
2023-03-09,143814332
2023-03-10,143815930
2023-03-11,143816550
2023-03-12,143816596
2023-03-13,143817813
2023-03-14,143819376
2023-03-15,143820896
2023-03-16,143822460
2023-03-17,143823682
2023-03-18,143824205
2023-03-19,143824257
2023-03-20,143825322
2023-03-21,143826681
2023-03-22,143827987
2023-03-23,143829046
2023-03-24,143830146
2023-03-25,143830589
2023-03-26,143830659
2023-03-27,143831525
2023-03-28,143832611
2023-03-29,143833714
2023-03-30,143834711
2023-03-31,143835434
2023-04-01,143835554
2023-04-02,143835559
2023-04-03,143836031
2023-04-04,143836729
2023-04-05,143837307
2023-04-06,143837714
2023-04-07,143838030
2023-04-08,143838098
2023-04-09,143838099
