dates,incrementalcount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,2
2020-02-24,1
2020-02-25,4
2020-02-26,3
2020-02-27,2
2020-02-28,5
2020-02-29,4
2020-03-01,8
2020-03-02,5
2020-03-03,18
2020-03-04,27
2020-03-05,28
2020-03-06,41
2020-03-07,49
2020-03-08,36
2020-03-09,133
2020-03-10,97
2020-03-11,168
2020-03-12,196
2020-03-13,189
2020-03-14,250
2020-03-15,175
2020-03-16,368
2020-03-17,349
2020-03-18,345
2020-03-19,475
2020-03-20,427
2020-03-21,627
2020-03-22,793
2020-03-23,651
2020-03-24,601
2020-03-25,743
2020-03-26,683
2020-03-27,662
2020-03-28,969
2020-03-29,889
2020-03-30,756
2020-03-31,812
2020-04-01,837
2020-04-02,727
2020-04-03,760
2020-04-04,766
2020-04-05,681
2020-04-06,525
2020-04-07,636
2020-04-08,604
2020-04-09,542
2020-04-10,610
2020-04-11,570
2020-04-12,619
2020-04-13,431
2020-04-14,566
2020-04-15,602
2020-04-16,578
2020-04-17,525
2020-04-18,575
2020-04-19,482
2020-04-20,433
2020-04-21,454
2020-04-22,534
2020-04-23,437
2020-04-24,464
2020-04-25,420
2020-04-26,415
2020-04-27,260
2020-04-28,333
2020-04-29,382
2020-04-30,323
2020-05-01,285
2020-05-02,269
2020-05-03,474
2020-05-04,174
2020-05-05,195
2020-05-06,236
2020-05-07,369
2020-05-08,274
2020-05-09,243
2020-05-10,194
2020-05-11,165
2020-05-12,179
2020-05-13,172
2020-05-14,195
2020-05-15,262
2020-05-16,242
2020-05-17,153
2020-05-18,145
2020-05-19,99
2020-05-20,162
2020-05-21,161
2020-05-22,156
2020-05-23,130
2020-05-24,119
2020-05-25,50
2020-05-26,92
2020-05-27,78
2020-05-28,117
2020-05-29,70
2020-05-30,87
2020-05-31,111
2020-06-01,75
2020-06-02,60
2020-06-03,55
2020-06-04,71
2020-06-05,88
2020-06-06,85
2020-06-07,72
2020-06-08,53
2020-06-09,65
2020-06-10,79
2020-06-11,71
2020-06-12,53
2020-06-13,56
2020-06-14,78
2020-06-15,44
2020-06-16,26
2020-06-17,34
2020-06-18,43
2020-06-19,66
2020-06-20,47
2020-06-21,49
2020-06-22,24
2020-06-23,23
2020-06-24,18
2020-06-25,9
2020-06-26,14
2020-06-27,10
2020-06-28,8
2020-06-29,22
2020-06-30,6
2020-07-01,23
2020-07-02,21
2020-07-03,30
2020-07-04,15
2020-07-05,21
2020-07-06,7
2020-07-07,8
2020-07-08,30
2020-07-09,15
2020-07-10,12
2020-07-11,12
2020-07-12,7
2020-07-13,9
2020-07-14,13
2020-07-15,17
2020-07-16,13
2020-07-17,20
2020-07-18,11
2020-07-19,14
2020-07-20,3
2020-07-21,13
2020-07-22,15
2020-07-23,9
2020-07-24,10
2020-07-25,5
2020-07-26,5
2020-07-27,5
2020-07-28,5
2020-07-29,11
2020-07-30,6
2020-07-31,3
2020-08-01,9
2020-08-02,5
2020-08-03,8
2020-08-04,12
2020-08-05,5
2020-08-06,10
2020-08-07,6
2020-08-08,3
2020-08-09,13
2020-08-10,2
2020-08-11,4
2020-08-12,6
2020-08-13,10
2020-08-14,6
2020-08-15,3
2020-08-16,158
2020-08-17,4
2020-08-18,4
2020-08-19,5
2020-08-20,7
2020-08-21,6
2020-08-22,9
2020-08-23,3
2020-08-24,7
2020-08-25,4
2020-08-26,4
2020-08-27,13
2020-08-28,5
2020-08-29,9
2020-08-30,1
2020-08-31,4
2020-09-01,6
2020-09-02,8
2020-09-03,6
2020-09-04,10
2020-09-05,11
2020-09-06,15
2020-09-07,8
2020-09-08,12
2020-09-09,10
2020-09-10,14
2020-09-11,10
2020-09-12,10
2020-09-13,6
2020-09-14,7
2020-09-15,14
2020-09-16,9
2020-09-17,12
2020-09-18,13
2020-09-19,10
2020-09-20,24
2020-09-21,15
2020-09-22,17
2020-09-23,14
2020-09-24,20
2020-09-25,23
2020-09-26,20
2020-09-27,17
2020-09-28,17
2020-09-29,16
2020-09-30,24
2020-10-01,19
2020-10-02,24
2020-10-03,23
2020-10-04,27
2020-10-05,18
2020-10-06,16
2020-10-07,28
2020-10-08,31
2020-10-09,22
2020-10-10,28
2020-10-11,29
2020-10-12,26
2020-10-13,39
2020-10-14,41
2020-10-15,43
2020-10-16,83
2020-10-17,55
2020-10-18,47
2020-10-19,69
2020-10-20,73
2020-10-21,89
2020-10-22,127
2020-10-23,136
2020-10-24,91
2020-10-25,151
2020-10-26,128
2020-10-27,141
2020-10-28,221
2020-10-29,205
2020-10-30,217
2020-10-31,199
2020-11-01,297
2020-11-02,208
2020-11-03,233
2020-11-04,353
2020-11-05,335
2020-11-06,445
2020-11-07,446
2020-11-08,425
2020-11-09,331
2020-11-10,356
2020-11-11,580
2020-11-12,623
2020-11-13,636
2020-11-14,550
2020-11-15,544
2020-11-16,546
2020-11-17,504
2020-11-18,731
2020-11-19,753
2020-11-20,653
2020-11-21,699
2020-11-22,692
2020-11-23,562
2020-11-24,630
2020-11-25,853
2020-11-26,722
2020-11-27,822
2020-11-28,827
2020-11-29,686
2020-11-30,541
2020-12-01,672
2020-12-02,785
2020-12-03,684
2020-12-04,993
2020-12-05,814
2020-12-06,662
2020-12-07,564
2020-12-08,528
2020-12-09,634
2020-12-10,499
2020-12-11,887
2020-12-12,761
2020-12-13,649
2020-12-14,484
2020-12-15,491
2020-12-16,846
2020-12-17,680
2020-12-18,683
2020-12-19,674
2020-12-20,553
2020-12-21,352
2020-12-22,415
2020-12-23,628
2020-12-24,553
2020-12-25,505
2020-12-26,459
2020-12-27,268
2020-12-28,298
2020-12-29,445
2020-12-30,659
2020-12-31,575
2021-01-01,555
2021-01-02,462
2021-01-03,364
2021-01-04,347
2021-01-05,348
2021-01-06,649
2021-01-07,548
2021-01-08,414
2021-01-09,620
2021-01-10,483
2021-01-11,361
2021-01-12,448
2021-01-13,616
2021-01-14,507
2021-01-15,522
2021-01-16,477
2021-01-17,475
2021-01-18,377
2021-01-19,377
2021-01-20,603
2021-01-21,524
2021-01-22,521
2021-01-23,472
2021-01-24,488
2021-01-25,299
2021-01-26,420
2021-01-27,541
2021-01-28,467
2021-01-29,492
2021-01-30,477
2021-01-31,421
2021-02-01,237
2021-02-02,329
2021-02-03,498
2021-02-04,476
2021-02-05,422
2021-02-06,377
2021-02-07,385
2021-02-08,270
2021-02-09,307
2021-02-10,422
2021-02-11,336
2021-02-12,391
2021-02-13,316
2021-02-14,311
2021-02-15,221
2021-02-16,258
2021-02-17,336
2021-02-18,369
2021-02-19,342
2021-02-20,353
2021-02-21,251
2021-02-22,232
2021-02-23,274
2021-02-24,356
2021-02-25,318
2021-02-26,308
2021-02-27,253
2021-02-28,280
2021-03-01,192
2021-03-02,246
2021-03-03,343
2021-03-04,347
2021-03-05,339
2021-03-06,297
2021-03-07,307
2021-03-08,207
2021-03-09,318
2021-03-10,376
2021-03-11,332
2021-03-12,373
2021-03-13,380
2021-03-14,317
2021-03-15,264
2021-03-16,354
2021-03-17,502
2021-03-18,431
2021-03-19,423
2021-03-20,386
2021-03-21,401
2021-03-22,300
2021-03-23,386
2021-03-24,551
2021-03-25,460
2021-03-26,460
2021-03-27,457
2021-03-28,380
2021-03-29,297
2021-03-30,417
2021-03-31,529
2021-04-01,467
2021-04-02,501
2021-04-03,481
2021-04-04,376
2021-04-05,326
2021-04-06,296
2021-04-07,421
2021-04-08,627
2021-04-09,487
2021-04-10,718
2021-04-11,344
2021-04-12,331
2021-04-13,358
2021-04-14,476
2021-04-15,469
2021-04-16,380
2021-04-17,429
2021-04-18,310
2021-04-19,251
2021-04-20,316
2021-04-21,390
2021-04-22,364
2021-04-23,360
2021-04-24,342
2021-04-25,322
2021-04-26,217
2021-04-27,301
2021-04-28,373
2021-04-29,344
2021-04-30,288
2021-05-01,263
2021-05-02,226
2021-05-03,144
2021-05-04,256
2021-05-05,305
2021-05-06,267
2021-05-07,258
2021-05-08,207
2021-05-09,224
2021-05-10,139
2021-05-11,198
2021-05-12,251
2021-05-13,262
2021-05-14,201
2021-05-15,182
2021-05-16,136
2021-05-17,93
2021-05-18,140
2021-05-19,201
2021-05-20,149
2021-05-21,164
2021-05-22,218
2021-05-23,125
2021-05-24,72
2021-05-25,110
2021-05-26,166
2021-05-27,121
2021-05-28,171
2021-05-29,126
2021-05-30,83
2021-05-31,44
2021-06-01,82
2021-06-02,93
2021-06-03,62
2021-06-04,59
2021-06-05,73
2021-06-06,57
2021-06-07,51
2021-06-08,65
2021-06-09,102
2021-06-10,77
2021-06-11,88
2021-06-12,69
2021-06-13,52
2021-06-14,26
2021-06-15,36
2021-06-16,63
2021-06-17,52
2021-06-18,37
2021-06-19,35
2021-06-20,28
2021-06-21,17
2021-06-22,21
2021-06-23,31
2021-06-24,12
2021-06-25,28
2021-06-26,56
2021-06-27,40
2021-06-28,14
2021-06-29,28
2021-06-30,42
2021-07-01,24
2021-07-02,21
2021-07-03,28
2021-07-04,22
2021-07-05,12
2021-07-06,31
2021-07-07,24
2021-07-08,14
2021-07-09,13
2021-07-10,25
2021-07-11,12
2021-07-12,7
2021-07-13,13
2021-07-14,20
2021-07-15,23
2021-07-16,9
2021-07-17,11
2021-07-18,13
2021-07-19,3
2021-07-20,7
2021-07-21,10
2021-07-22,21
2021-07-23,15
2021-07-24,17
2021-07-25,5
2021-07-26,7
2021-07-27,22
2021-07-28,24
2021-07-29,15
2021-07-30,19
2021-07-31,18
2021-08-01,16
2021-08-02,2
2021-08-03,23
2021-08-04,27
2021-08-05,21
2021-08-06,27
2021-08-07,24
2021-08-08,22
2021-08-09,11
2021-08-10,22
2021-08-11,31
2021-08-12,31
2021-08-13,30
2021-08-14,45
2021-08-15,34
2021-08-16,19
