dates,covid19mobilitytrend_residence
2020-02-15,1
2020-02-16,0
2020-02-17,1
2020-02-18,0
2020-02-19,1
2020-02-20,0
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,-2
2020-02-26,18
2020-02-27,2
2020-02-28,3
2020-02-29,1
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,2
2020-03-12,3
2020-03-13,9
2020-03-14,8
2020-03-15,7
2020-03-16,13
2020-03-17,13
2020-03-18,17
2020-03-19,18
2020-03-20,19
2020-03-21,12
2020-03-22,10
2020-03-23,18
2020-03-24,18
2020-03-25,18
2020-03-26,19
2020-03-27,20
2020-03-28,14
2020-03-29,12
2020-03-30,19
2020-03-31,19
2020-04-01,22
2020-04-02,23
2020-04-03,24
2020-04-04,16
2020-04-05,13
2020-04-06,21
2020-04-07,21
2020-04-08,20
2020-04-09,17
2020-04-10,40
2020-04-11,20
2020-04-12,15
2020-04-13,38
2020-04-14,18
2020-04-15,24
2020-04-16,26
2020-04-17,29
2020-04-18,16
2020-04-19,16
2020-04-20,26
2020-04-21,25
2020-04-22,25
2020-04-23,27
2020-04-24,27
2020-04-25,17
2020-04-26,16
2020-04-27,26
2020-04-28,23
2020-04-29,25
2020-04-30,27
2020-05-01,26
2020-05-02,17
2020-05-03,14
2020-05-04,24
2020-05-05,23
2020-05-06,23
2020-05-07,24
2020-05-08,25
2020-05-09,15
2020-05-10,12
2020-05-11,23
2020-05-12,22
2020-05-13,21
2020-05-14,20
2020-05-15,23
2020-05-16,15
2020-05-17,12
2020-05-18,21
2020-05-19,20
2020-05-20,20
2020-05-21,22
2020-05-22,21
2020-05-23,12
2020-05-24,14
2020-05-25,36
2020-05-26,16
2020-05-27,18
2020-05-28,19
2020-05-29,20
2020-05-30,12
2020-05-31,10
2020-06-01,17
2020-06-02,18
2020-06-03,18
2020-06-04,18
2020-06-05,19
2020-06-06,11
2020-06-07,9
2020-06-08,16
2020-06-09,17
2020-06-10,16
2020-06-11,17
2020-06-12,17
2020-06-13,12
2020-06-14,9
2020-06-15,16
2020-06-16,15
2020-06-17,15
2020-06-18,16
2020-06-19,15
2020-06-20,10
2020-06-21,8
2020-06-22,15
2020-06-23,15
2020-06-24,15
2020-06-25,15
2020-06-26,14
