dates,cumulativecount_vaccine_covid_19_administered
2021-03-09,0
2021-03-14,12099
2021-03-16,16096
2021-03-25,33000
2021-04-01,41901
2021-04-06,43944
2021-04-07,47728
2021-04-13,135473
2021-05-14,153146
2021-05-21,164703
2021-05-28,177883
2021-06-04,177889
2021-06-11,194315
2021-06-25,249983
2021-07-09,288320
2021-07-13,290382
2021-07-16,296243
2021-07-23,300902
2021-08-06,369960
2021-08-13,391076
2021-08-20,420627
2021-08-24,467658
2021-08-25,496976
2021-08-27,501676
2021-08-28,507469
2021-08-29,512469
2021-08-31,542888
2021-09-01,550010
2021-09-03,560898
2021-09-06,576590
2021-09-08,600021
2021-09-09,606286
2021-09-10,613962
2021-09-13,647687
2021-09-15,693827
2021-09-16,702693
2021-09-21,711694
2021-09-24,715860
2021-09-27,743184
2021-09-28,755782
2021-10-02,788984
2021-10-06,801649
2021-10-07,809234
2021-10-08,816569
2021-10-10,836309
2021-10-12,841024
2021-10-13,846389
2021-10-14,852062
2021-10-15,860482
2021-10-19,879843
2021-10-21,883738
2021-10-22,887675
2021-10-23,891142
2021-10-24,893629
2021-10-25,896658
2021-10-26,899344
2021-10-27,903310
2021-10-28,907371
2021-10-29,911601
2021-10-30,916541
2021-10-31,919992
2021-11-01,924129
2021-11-02,934529
2021-11-03,960723
2021-11-05,972401
2021-11-06,982121
2021-11-07,994691
2021-11-08,1004716
2021-11-09,1010477
2021-11-10,1018669
2021-11-11,1024440
2021-11-12,1031652
2021-11-13,1038132
2021-11-15,1050714
2021-11-16,1053739
2021-11-17,1058580
2021-11-18,1063640
2021-11-19,1067575
2021-11-20,1071648
2021-11-21,1078932
2021-11-23,1082214
2021-11-24,1086928
2021-11-25,1091252
2021-11-26,1095662
2021-11-27,1100168
2021-11-29,1105495
2021-11-30,1108662
2021-12-01,1114343
2021-12-02,1118396
2021-12-03,1123483
2021-12-04,1129743
2021-12-05,1135059
2021-12-06,1137614
2021-12-07,1141057
2021-12-08,1145290
2021-12-09,1150000
2021-12-10,1158552
2021-12-12,1161250
2021-12-13,1166958
2021-12-15,1171054
2021-12-16,1174215
2021-12-17,1178462
2021-12-18,1180792
2021-12-19,1183388
2021-12-20,1187237
2021-12-22,1194304
2021-12-23,1195126
2021-12-24,1198014
2021-12-25,1198937
2021-12-26,1198938
2021-12-28,1199076
2021-12-30,1208785
2022-01-01,1208789
2022-01-04,1215081
2022-01-05,1218281
2022-01-07,1230936
2022-01-08,1236487
2022-01-10,1238642
2022-01-11,1242001
2022-01-12,1251085
2022-01-14,1256326
2022-01-15,1259808
2022-01-16,1262064
2022-01-17,1263191
2022-01-18,1268947
2022-01-19,1271148
2022-01-20,1276028
2022-01-21,1282313
2022-01-23,1283812
2022-01-25,1291923
2022-01-27,1295447
2022-01-28,1299316
2022-01-30,1303471
2022-01-31,1303898
2022-02-01,1307228
2022-02-02,1309184
2022-02-03,1313305
2022-02-04,1316236
2022-02-05,1318426
2022-02-06,1319443
2022-02-08,1322141
2022-02-09,1324934
2022-02-10,1327491
2022-02-11,1330479
2022-02-12,1332934
2022-02-13,1334176
2022-02-14,1334731
2022-02-15,1336634
2022-02-16,1338726
2022-02-17,1341368
2022-02-18,1344079
2022-02-20,1346390
2022-02-21,1347061
2022-02-22,1349548
2022-02-23,1351493
2022-02-24,1353947
2022-02-25,1355915
2022-02-26,1357931
2022-02-27,1359009
2022-02-28,1359844
2022-03-02,1363522
2022-03-03,1363727
2022-03-04,1366010
2022-03-05,1367785
2022-03-06,1368631
2022-03-07,1368995
2022-03-08,1370534
2022-03-09,1372538
2022-03-10,1375825
2022-03-12,1377536
2022-03-13,1378039
2022-03-14,1378789
2022-03-15,1379881
2022-03-16,1381889
2022-03-17,1383240
2022-03-18,1384647
2022-03-21,1386697
2022-03-22,1387646
2022-03-23,1388975
2022-03-24,1389872
2022-03-25,1391011
2022-03-26,1392417
2022-03-28,1392820
2022-03-29,1393819
2022-03-30,1394823
2022-03-31,1395909
2022-04-03,1397018
2022-04-04,1398450
2022-04-05,1399249
2022-04-06,1400527
2022-04-07,1401431
2022-04-10,1402389
2022-04-11,1404190
2022-04-12,1404953
2022-04-13,1405776
2022-04-14,1406771
2022-04-17,1407458
2022-04-18,1407902
2022-04-19,1407939
2022-04-20,1408934
2022-04-21,1409925
2022-04-22,1410964
2022-04-25,1412239
2022-04-26,1413247
2022-04-27,1413247
2022-05-02,1413919
2022-05-03,1418660
2022-05-05,1420563
2022-05-06,1421701
2022-05-08,1422158
2022-05-09,1422615
2022-05-11,1424600
2022-05-13,1426444
2022-05-16,1427890
2022-05-17,1428889
2022-05-19,1430546
2022-05-20,1431634
2022-05-22,1432806
2022-05-24,1433097
2022-05-25,1433973
2022-05-26,1434773
2022-05-29,1436924
2022-05-30,1437876
2022-06-01,1442890
2022-06-03,1443664
2022-06-06,1444886
2022-06-07,1445613
2022-06-08,1446546
2022-06-10,1448040
2022-06-13,1449397
2022-06-16,1451499
2022-06-17,1452176
2022-06-20,1452986
2022-06-21,1453674
2022-06-22,1454354
2022-06-23,1454757
2022-06-24,1455443
2022-06-25,1455907
2022-06-27,1456348
2022-06-28,1457057
2022-06-29,1457615
2022-06-30,1458169
2022-07-01,1458755
2022-07-04,1459394
2022-07-05,1460180
2022-07-06,1460843
2022-07-07,1461463
2022-07-08,1462305
2022-07-19,1463466
2022-07-20,1467366
2022-07-25,1469330
2022-07-26,1469784
2022-08-01,1471051
2022-08-04,1472561
2022-08-05,1473140
2022-08-08,1473874
2022-08-09,1474436
2022-08-10,1474979
2022-08-11,1475394
2022-08-17,1477587
2022-08-19,1478381
2022-08-20,1478777
2022-08-21,1478924
2022-08-25,1480367
2022-08-29,1481441
2022-08-30,1481923
2022-08-31,1482408
2022-09-01,1482780
2022-09-02,1483074
2022-09-06,1484432
2022-09-08,1484792
2022-09-10,1485565
2022-09-11,1485654
2022-09-13,1486430
2022-09-15,1487460
2022-09-17,1488224
2022-09-19,1488398
2022-09-20,1488839
2022-09-21,1489310
2022-09-22,1489618
2022-09-23,1489923
2022-09-24,1490262
2022-09-26,1490323
2022-09-28,1490895
2022-09-29,1491177
2022-09-30,1491497
2022-10-03,1491795
2022-10-10,1493518
2022-11-04,1495422
2022-12-05,1503943
2022-12-15,1505105
2022-12-20,1506260
2022-12-28,1506682
2023-01-04,1507273
2023-01-11,1508319
2023-01-17,1509702
2023-01-24,1511046
2023-02-01,1512562
2023-02-23,1516888
2023-02-28,1517814
2023-03-09,1518792
2023-03-15,1519454
2023-03-22,1520542
2023-03-31,1520542
2023-04-06,1522173
