dates,incrementalcount_medicaltest_conditioncovid_19
2020-03-29,34
2020-04-18,64
2020-04-21,141
2020-04-24,385
2020-04-30,456
2020-05-01,320
2020-05-02,440
2020-05-03,416
2020-05-16,242
2020-05-17,322
2020-05-20,195
2020-05-21,157
2020-05-22,372
2020-05-23,413
2020-05-24,315
2020-05-25,335
2020-05-28,201
2020-05-29,602
2020-05-30,310
2020-05-31,328
2020-06-01,492
2020-06-02,215
2020-06-05,378
2020-06-06,230
2020-06-07,361
2020-06-08,215
2020-06-09,209
2020-06-10,138
2020-06-11,319
2020-06-12,372
2020-06-13,297
2020-06-14,344
2020-06-15,398
2020-06-16,55
2020-06-17,516
2020-06-18,1149
2020-06-19,992
2020-06-20,544
2020-06-21,274
2020-06-22,843
2020-06-23,379
2020-06-24,602
2020-06-25,451
2020-06-26,615
2020-06-27,256
2020-06-28,277
2020-06-29,319
2020-06-30,327
2020-07-01,444
2020-07-02,285
2020-07-03,510
2020-07-04,259
2020-07-05,529
2020-07-06,269
2020-07-07,343
2020-07-08,217
2020-07-09,176
2020-07-10,300
2020-07-11,255
2020-07-12,130
2020-07-13,232
2020-07-14,154
2020-07-15,354
2020-07-16,483
2020-07-17,208
2020-07-18,568
2020-07-19,733
2020-07-20,1093
2020-07-21,494
2020-07-22,628
2020-07-23,589
2020-07-24,900
2020-07-25,757
2020-07-26,775
2020-07-27,602
2020-07-28,413
2020-07-29,318
2020-07-30,579
2020-07-31,626
2020-08-01,322
2020-08-02,703
2020-08-03,335
2020-08-04,621
2020-08-05,605
2020-08-06,541
2020-08-07,598
2020-08-08,529
2020-08-09,397
2020-08-10,384
2020-08-11,591
2020-08-12,549
2020-08-13,354
2020-08-14,425
2020-08-15,507
2020-08-16,292
2020-08-17,415
2020-08-18,933
2020-08-19,1320
2020-08-20,1482
2020-08-21,1080
2020-08-22,743
2020-08-23,888
2020-08-24,665
2020-08-25,603
2020-08-26,441
2020-08-27,514
2020-08-28,889
2020-08-29,581
2020-08-30,1204
2020-08-31,828
2020-09-01,1202
2020-09-02,920
2020-09-03,461
2020-09-04,568
2020-09-05,351
2020-09-06,639
2020-09-09,915
2020-09-10,486
2020-09-11,662
2020-09-12,632
2020-09-13,625
2020-09-14,518
2020-09-15,535
2020-09-16,1049
2020-09-17,971
2020-09-18,638
2020-09-19,631
2020-09-20,629
2020-09-21,577
2020-09-22,538
2020-09-23,695
2020-09-24,641
2020-09-25,640
2020-09-26,701
2020-09-27,646
2020-09-28,871
2020-09-29,354
2020-09-30,350
2020-10-01,534
2020-10-02,549
2020-10-03,536
2020-10-04,541
2020-10-05,728
2020-10-06,551
2020-10-07,547
2020-10-08,554
2020-10-09,902
2020-10-10,363
2020-10-11,543
2020-10-12,541
2020-10-13,460
2020-10-14,454
2020-10-15,552
2020-10-16,645
2020-10-17,362
2020-10-18,555
2020-10-19,464
2020-10-20,651
2020-10-21,838
2020-10-22,649
2020-10-23,550
2020-10-24,461
2020-10-25,459
2020-10-26,457
2020-10-27,464
2020-10-28,555
2020-10-29,642
2020-10-30,726
2020-10-31,726
2020-11-01,742
2020-11-02,579
2020-11-03,565
2020-11-04,556
2020-11-05,636
2020-11-06,551
2020-11-07,444
2020-11-08,484
2020-11-09,367
2020-11-10,370
2020-11-11,549
2020-11-12,1001
2020-11-13,564
2020-11-14,853
2020-11-15,555
2020-11-16,467
2020-11-17,834
2020-11-18,656
2020-11-19,653
2020-11-20,653
2020-11-21,617
2020-11-22,668
2020-11-23,656
2020-11-24,831
2020-11-25,610
2020-11-26,665
2020-11-27,720
2020-11-28,704
2020-11-29,647
2020-11-30,858
2020-12-01,665
2020-12-02,656
2020-12-03,811
2020-12-04,730
2020-12-05,701
2020-12-06,1040
2020-12-07,933
2020-12-08,1114
2020-12-09,744
2020-12-10,647
2020-12-11,663
2020-12-12,1079
2020-12-13,1220
2020-12-14,850
2020-12-15,589
2020-12-16,738
2020-12-17,1153
2020-12-18,1037
2020-12-19,1081
2020-12-20,651
2020-12-21,608
2020-12-22,821
2020-12-23,1113
2021-01-25,831
2021-02-03,1092
2021-02-10,1314
2021-03-24,2225
2021-03-29,2029
2021-03-30,2304
2021-03-31,1193
2021-04-01,2878
2021-04-02,2976
2021-04-10,2860
2021-04-13,1704
2021-04-14,1341
2021-04-28,1325
2021-06-17,2181
2021-06-18,2980
2021-06-19,2530
2021-06-20,2083
2021-06-21,1953
2021-06-22,1804
2021-06-23,2612
2021-06-24,1822
2021-06-25,1718
2021-06-26,2059
2021-06-27,972
2021-06-28,2751
2021-07-01,2052
2021-07-02,1353
2021-07-03,809
2021-07-04,1719
2021-07-05,954
2021-07-06,1255
2021-07-07,2128
2021-07-08,1918
2021-07-09,1481
2021-07-10,1818
2021-07-11,487
2021-07-12,2596
2021-07-13,2077
2021-07-14,1593
2021-08-05,1552
2021-08-06,1860
2021-08-07,1003
2021-08-08,1360
2021-08-09,986
2021-08-10,1115
2021-08-11,1753
2021-08-12,1856
2021-08-16,1972
2021-08-17,1128
2021-08-18,2184
2021-08-19,1568
2021-08-22,2710
2021-08-25,1723
2021-08-26,2275
2021-08-27,1797
2021-08-28,2669
2021-08-29,1508
2021-08-30,1600
2021-08-31,1099
2021-09-01,1685
2021-09-02,2037
2021-09-03,2281
2021-09-04,1742
2021-09-05,1500
2021-09-06,3895
2021-09-07,2129
2021-09-08,1702
2021-09-09,1841
2021-09-12,2136
2021-09-15,1564
2021-09-16,1669
2021-09-17,2493
2021-09-18,1976
2021-09-19,1921
2021-09-20,1399
2021-09-21,756
2021-09-22,1966
2021-09-23,1510
2021-09-26,1349
2021-09-27,1341
2021-09-28,876
2021-09-29,1367
2021-10-04,1419
2021-10-05,717
2021-10-06,1470
2021-10-09,1802
2021-10-10,1601
2021-10-11,802
2021-10-12,683
2021-10-13,1379
2021-10-18,746
2021-10-19,701
2021-10-20,870
2021-10-23,1641
2021-10-24,1339
2021-10-25,615
2021-10-26,748
2021-10-27,1470
2021-10-31,1286
2021-11-01,643
2021-11-02,816
2021-11-03,802
2021-11-04,1417
2021-11-05,1025
2021-11-06,1331
2021-11-07,1346
2021-11-08,1109
2021-11-09,937
2021-11-10,987
2021-11-15,645
2021-11-18,768
2021-11-19,705
2021-11-22,930
2021-11-23,1179
2021-11-24,807
2021-11-25,621
2021-11-28,793
2021-11-29,1039
2021-11-30,808
2021-12-01,704
2021-12-02,1100
2021-12-03,1157
2021-12-04,818
2021-12-05,952
2021-12-06,530
2021-12-09,629
2021-12-10,1224
2021-12-11,1223
2021-12-12,526
2021-12-15,1972
2021-12-18,1645
2021-12-19,800
2021-12-20,871
2021-12-21,1702
2021-12-22,871
2021-12-23,931
2021-12-26,333
2021-12-27,1202
2021-12-28,1702
2021-12-29,1290
2021-12-30,1688
2021-12-31,2510
2022-01-01,1569
2022-01-02,1759
2022-01-03,1111
2022-01-04,2345
2022-01-05,2709
2022-01-06,3864
2022-01-07,4615
2022-01-08,4251
2022-01-23,3355
2022-01-24,2812
2022-01-25,2625
2022-01-26,2262
2022-01-27,1868
2022-01-28,1793
2022-01-29,2469
2022-01-30,2607
2022-01-31,2106
2022-02-03,1746
2022-02-04,1941
2022-02-05,2058
2022-02-06,2427
2022-02-07,2315
2022-02-08,792
2022-02-09,2201
2022-02-12,2595
2022-02-13,1801
2022-02-14,1487
2022-02-15,1446
2022-02-16,1816
2022-02-17,1652
2022-02-18,2219
2022-02-19,2630
2022-02-20,587
2022-02-21,3412
2022-02-22,1909
2022-02-23,2227
2022-02-24,706
2022-02-25,2110
2022-02-26,2504
2022-02-27,2990
2022-02-28,1100
2022-03-01,3443
2022-03-02,1647
2022-03-03,1936
2022-03-04,1961
2022-03-05,424
2022-03-06,5408
2022-03-07,1963
2022-03-08,2097
2022-03-09,2076
2022-03-10,2317
2022-03-11,2440
2022-03-12,2914
2022-03-13,2453
2022-03-14,1883
2022-03-15,1703
2022-03-16,2730
2022-03-17,2411
2022-03-18,3042
2022-03-19,3530
2022-03-20,2746
2022-03-21,1790
2022-03-22,2098
2022-03-23,2309
2022-03-24,2663
2022-03-25,3575
2022-03-26,3185
2022-03-27,2844
2022-03-28,2310
2022-03-31,2538
2022-04-01,2463
2022-04-06,2140
2022-04-07,1968
2022-04-10,2549
2022-04-11,3760
2022-04-12,1800
2022-04-13,2064
2022-04-14,2478
2022-04-15,2587
2022-04-16,2798
2022-04-23,3156
2022-04-28,2255
2022-05-03,2463
2022-05-04,2468
2022-05-08,2395
2022-05-11,2612
2022-05-12,2534
2022-05-13,3082
2022-05-20,3159
2022-05-31,2223
