dates,count_medicalconditionincident_covid_19_patienthospitalized
2020-04-28,5514
2020-05-07,4436
2020-05-13,3423
2020-05-21,2058
2020-05-27,1369
2020-06-03,1015
2020-06-10,781
2020-06-17,587
2020-06-24,559
2020-07-01,696
2020-07-08,1039
2020-07-15,1717
2020-07-22,2744
2020-07-29,4034
2020-08-05,5116
2020-08-12,6009
2020-08-19,5973
2020-08-26,5576
2020-09-02,4994
2020-09-09,4174
2020-09-16,3754
2020-09-23,3601
2020-09-30,3249
2020-10-07,2963
2020-10-14,3040
2020-10-21,2966
2020-10-28,3108
2020-11-04,3495
2020-11-11,4484
2020-11-18,5951
2020-11-25,7826
2020-12-02,8488
2020-12-09,9222
2020-12-16,10047
2020-12-23,10470
2020-12-30,11585
2021-01-06,13093
2021-01-13,14825
2021-01-20,14724
2021-01-27,14417
2021-02-03,13489
2021-02-10,11325
2021-02-17,9575
2021-02-24,8032
2021-03-03,6683
2021-03-10,5947
2021-03-17,5895
2021-03-24,6275
2021-03-31,7263
2021-04-07,8602
2021-04-14,9423
2021-04-21,11279
2021-04-28,13089
2021-05-05,14927
2021-05-12,16620
2021-05-19,17372
2021-05-26,16581
2021-06-02,14475
2021-06-09,11888
2021-06-16,9202
2021-06-23,7337
2021-06-30,6431
2021-07-07,5888
2021-07-14,6564
2021-07-21,8174
2021-07-28,10649
2021-08-04,15026
2021-08-11,18706
2021-08-18,21434
2021-08-25,24126
2021-09-01,24320
2021-09-08,22557
2021-09-15,17481
2021-09-22,12792
2021-09-29,7467
2021-10-06,4673
2021-10-13,2908
2021-10-20,1939
2021-10-27,1265
2021-11-03,964
2021-11-10,755
2021-11-17,626
2021-11-24,529
2021-12-01,421
2021-12-08,362
2021-12-15,416
2021-12-22,603
2021-12-29,1016
2022-01-05,2262
2022-01-12,6642
2022-01-19,10934
2022-01-26,17269
2022-02-02,22653
2022-02-09,26734
2022-02-16,29225
2022-02-23,29233
2022-03-02,27492
2022-03-09,24191
2022-03-16,19767
2022-03-23,16233
2022-03-30,12581
2022-04-06,11917
2022-04-13,12354
2022-04-20,11508
2022-04-27,10774
2022-05-04,9264
2022-05-11,9005
2022-05-18,9256
2022-05-25,9100
2022-06-01,8210
2022-06-08,6505
2022-06-15,5237
2022-06-22,4862
2022-06-29,5028
2022-07-06,6999
2022-07-13,11679
2022-07-20,18010
2022-07-27,24860
2022-08-03,30562
2022-08-10,36588
2022-08-17,37673
2022-08-24,38866
2022-08-31,36778
2022-09-07,31195
2022-09-14,24407
2022-09-21,19347
2022-09-28,13888
2022-10-05,10576
2022-10-12,8836
2022-10-19,8659
2022-10-26,9384
2022-11-02,11450
2022-11-09,15231
2022-11-16,19407
2022-11-23,22317
2022-11-30,25636
2022-12-07,28301
2022-12-14,33415
2022-12-21,37029
2022-12-28,41067
2023-01-04,44101
2023-01-11,44458
2023-01-18,40507
2023-01-25,33444
2023-02-01,25282
2023-02-15,14941
2023-02-22,10503
2023-03-01,7629
2023-03-08,6331
2023-03-15,5321
2023-03-22,4709
2023-03-29,3983
2023-04-05,3539
