dates,covid19mobilitytrend_transporthub
2020-02-15,1
2020-02-16,-10
2020-02-17,-1
2020-02-18,-2
2020-02-19,-3
2020-02-20,-3
2020-02-21,-2
2020-02-22,-3
2020-02-23,2
2020-02-24,-27
2020-02-25,-2
2020-02-26,-5
2020-02-27,-7
2020-02-28,-10
2020-02-29,-21
2020-03-01,-23
2020-03-02,-15
2020-03-03,-15
2020-03-04,-19
2020-03-05,-18
2020-03-06,-18
2020-03-07,-24
2020-03-08,-31
2020-03-09,-15
2020-03-10,-18
2020-03-11,-16
2020-03-12,-15
2020-03-13,-17
2020-03-14,-27
2020-03-15,-21
2020-03-16,-15
2020-03-17,-15
2020-03-18,-14
2020-03-19,-10
2020-03-20,-34
2020-03-21,-15
2020-03-22,-18
2020-03-23,-13
2020-03-24,-13
2020-03-25,-11
2020-03-26,-13
2020-03-27,-19
2020-03-28,-33
2020-03-29,-41
2020-03-30,-20
2020-03-31,-20
2020-04-01,-25
2020-04-02,-23
2020-04-03,-25
2020-04-04,-35
2020-04-05,-43
2020-04-06,-24
2020-04-07,-27
2020-04-08,-34
2020-04-09,-36
2020-04-10,-38
2020-04-11,-48
2020-04-12,-58
2020-04-13,-45
2020-04-14,-41
2020-04-15,-41
2020-04-16,-43
2020-04-17,-46
2020-04-18,-60
2020-04-19,-53
2020-04-20,-47
2020-04-21,-46
2020-04-22,-48
2020-04-23,-48
2020-04-24,-48
2020-04-25,-53
2020-04-26,-58
2020-04-27,-47
2020-04-28,-46
2020-04-29,-64
2020-04-30,-47
2020-05-01,-50
2020-05-02,-55
2020-05-03,-58
2020-05-04,-67
2020-05-05,-65
2020-05-06,-69
2020-05-07,-44
2020-05-08,-45
2020-05-09,-51
2020-05-10,-56
2020-05-11,-42
2020-05-12,-43
2020-05-13,-44
2020-05-14,-44
2020-05-15,-44
2020-05-16,-55
2020-05-17,-48
2020-05-18,-42
2020-05-19,-43
2020-05-20,-41
2020-05-21,-41
2020-05-22,-41
2020-05-23,-43
2020-05-24,-42
2020-05-25,-35
2020-05-26,-36
2020-05-27,-35
2020-05-28,-34
2020-05-29,-34
2020-05-30,-34
2020-05-31,-39
2020-06-01,-26
2020-06-02,-27
2020-06-03,-28
2020-06-04,-28
2020-06-05,-29
2020-06-06,-31
2020-06-07,-32
2020-06-08,-26
2020-06-09,-26
2020-06-10,-26
2020-06-11,-28
2020-06-12,-27
2020-06-13,-35
2020-06-14,-36
2020-06-15,-23
2020-06-16,-23
2020-06-17,-23
2020-06-18,-25
2020-06-19,-26
2020-06-20,-21
2020-06-21,-24
2020-06-22,-22
2020-06-23,-20
2020-06-24,-21
2020-06-25,-20
2020-06-26,-21
2020-06-27,-20
2020-06-28,-28
2020-06-29,-19
2020-06-30,-21
2020-07-01,-21
2020-07-02,-19
2020-07-03,-21
2020-07-04,-27
2020-07-05,-28
2020-07-06,-22
2020-07-07,-22
2020-07-08,-22
2020-07-09,-21
2020-07-10,-22
2020-07-11,-27
2020-07-12,-27
2020-07-13,-20
2020-07-14,-22
2020-07-15,-20
2020-07-16,-20
2020-07-17,-22
2020-07-18,-26
2020-07-19,-28
2020-07-20,-20
2020-07-21,-19
2020-07-22,-16
2020-07-23,-39
2020-07-24,-42
2020-07-25,-28
2020-07-26,-29
2020-07-27,-20
2020-07-28,-21
2020-07-29,-22
2020-07-30,-22
2020-07-31,-23
2020-08-01,-26
2020-08-02,-29
2020-08-03,-22
2020-08-04,-22
2020-08-05,-23
2020-08-06,-23
2020-08-07,-24
2020-08-08,-25
2020-08-09,-23
2020-08-10,-42
2020-08-11,-28
2020-08-12,-29
2020-08-13,-32
2020-08-14,-34
2020-08-15,-29
2020-08-16,-30
2020-08-17,-26
2020-08-18,-25
2020-08-19,-25
2020-08-20,-26
2020-08-21,-27
2020-08-22,-28
2020-08-23,-31
2020-08-24,-24
2020-08-25,-22
2020-08-26,-23
2020-08-27,-24
2020-08-28,-25
2020-08-29,-26
2020-08-30,-29
2020-08-31,-23
2020-09-01,-22
2020-09-02,-25
2020-09-03,-24
2020-09-04,-24
2020-09-05,-27
2020-09-06,-35
2020-09-07,-29
2020-09-08,-21
2020-09-09,-22
2020-09-10,-20
2020-09-11,-21
2020-09-12,-25
2020-09-13,-25
2020-09-14,-19
2020-09-15,-17
2020-09-16,-18
2020-09-17,-19
2020-09-18,-19
