dates,cumulativecount_medicaltest_conditioncovid_19
2020-02-05,4
2020-02-06,23
2020-02-07,32
2020-02-08,36
2020-02-09,46
2020-02-10,58
2020-02-11,62
2020-02-12,72
2020-02-13,88
2020-02-14,131
2020-02-15,217
2020-02-16,282
2020-02-17,395
2020-02-18,404
2020-02-19,475
2020-02-20,565
2020-02-21,650
2020-02-22,746
2020-02-23,785
2020-02-24,889
2020-02-25,933
2020-02-26,1101
2020-02-27,1252
2020-02-28,1382
2020-02-29,1560
2020-03-01,1656
2020-03-02,1727
2020-03-03,1880
2020-03-04,5820
2020-03-05,6519
2020-03-06,7072
2020-03-07,7219
2020-03-08,7329
2020-03-09,8643
2020-03-10,9067
2020-03-11,9248
2020-03-12,11103
2020-03-13,11962
2020-03-14,12069
2020-03-15,12111
2020-03-16,14194
2020-03-17,14397
2020-03-19,17887
2020-03-20,18006
2020-03-21,18138
2020-03-22,18194
2020-03-23,22056
2020-03-25,22730
2020-03-26,24535
2020-03-27,25977
2020-03-28,26273
2020-03-29,26479
2020-03-30,29960
2020-03-31,31874
2020-04-02,36559
2020-04-03,39864
2020-04-04,40135
2020-04-05,40353
2020-04-06,48229
2020-04-07,52773
2020-04-08,54156
2020-04-09,56997
2020-04-10,62386
2020-04-11,64030
2020-04-12,64087
2020-04-13,73339
2020-04-14,81594
2020-04-15,82287
2020-04-16,87612
2020-04-17,91761
2020-04-18,92765
2020-04-19,95718
2020-04-20,102534
2020-04-21,108076
2020-04-22,112491
2020-04-23,117840
2020-04-24,123027
2020-04-25,124277
2020-04-26,125413
2020-04-27,133958
2020-04-28,137202
2020-04-29,138081
2020-04-30,146207
2020-05-01,153027
2020-05-02,153907
2020-05-03,154919
2020-05-04,156251
2020-05-05,157820
2020-05-06,158267
2020-05-07,171272
2020-05-08,181952
2020-05-09,184217
2020-05-10,188212
2020-05-11,194205
2020-05-12,194493
2020-05-13,204567
2020-05-14,210433
2020-05-15,213525
2020-05-16,217862
2020-05-17,222849
2020-05-18,228829
2020-05-19,232050
2020-05-20,235719
2020-05-21,240299
2020-05-22,243794
2020-05-23,246563
2020-05-24,247815
2020-05-25,251435
2020-05-26,254429
2020-05-27,257433
2020-05-28,261414
2020-05-29,264915
2020-05-30,267567
2020-05-31,269224
2020-06-01,273013
2020-06-02,277539
2020-06-03,281518
2020-06-04,286118
2020-06-05,291057
2020-06-06,294277
2020-06-07,296002
2020-06-08,300518
2020-06-09,305118
2020-06-10,310210
2020-06-11,314783
2020-06-12,319928
2020-06-13,322561
2020-06-14,324012
2020-06-15,328312
2020-06-16,332774
2020-06-17,334122
2020-06-18,340298
2020-06-19,345121
2020-06-20,347595
2020-06-21,351722
2020-06-22,357098
2020-06-23,360820
2020-06-24,365799
2020-06-25,370254
2020-06-26,375012
2020-06-27,378545
2020-06-28,380058
2020-06-29,385568
2020-06-30,390219
2020-07-01,396783
2020-07-02,402243
2020-07-03,408840
2020-07-04,411974
2020-07-05,414592
2020-07-06,422820
2020-07-07,429919
2020-07-08,437644
2020-07-09,445344
2020-07-10,454299
2020-07-11,459661
2020-07-12,461499
2020-07-13,472051
2020-07-14,483205
2020-07-15,494548
2020-07-16,511231
2020-07-17,524225
2020-07-18,531391
2020-07-19,534653
2020-07-20,550612
2020-07-21,562726
2020-07-22,579083
2020-07-23,587393
2020-07-24,593088
2020-07-25,602618
2020-07-26,606403
2020-07-27,630585
2020-07-28,648671
2020-07-29,667340
2020-07-30,687027
2020-07-31,704381
2020-08-01,713987
2020-08-02,724586
2020-08-03,750380
2020-08-04,769120
2020-08-05,808843
2020-08-06,830858
2020-08-07,853556
2020-08-08,867232
2020-08-09,880568
2020-08-10,887008
2020-08-11,919947
2020-08-12,945729
2020-08-13,966791
2020-08-14,1022031
2020-08-15,1033781
2020-08-16,1041219
2020-08-17,1067054
2020-08-18,1088184
2020-08-19,1110121
2020-08-20,1132010
2020-08-21,1153876
2020-08-22,1167224
2020-08-23,1178177
2020-08-24,1200228
2020-08-25,1218466
2020-08-26,1237819
2020-08-27,1259365
2020-08-28,1277962
2020-08-29,1290877
2020-08-30,1300454
2020-08-31,1321983
2020-09-01,1340114
2020-09-02,1364237
2020-09-03,1387228
2020-09-04,1402685
2020-09-05,1414615
2020-09-06,1418790
2020-09-07,1442802
2020-09-08,1457439
2020-09-09,1480511
2020-09-10,1502817
2020-09-11,1519296
2020-09-12,1529841
2020-09-13,1530313
2020-09-14,1555759
2020-09-15,1575922
2020-09-16,1594236
2020-09-17,1617549
2020-09-18,1635154
2020-09-19,1644684
2020-09-20,1650837
2020-09-21,1653615
2020-09-22,1657001
2020-09-23,1683926
2020-09-24,1702947
2020-09-25,1731473
2020-09-26,1741995
2020-09-27,1746545
2020-09-28,1766295
2020-09-29,1869971
2020-09-30,1889433
2020-10-01,1907104
2020-10-02,1928964
2020-10-03,1942648
2020-10-04,1947576
2020-10-05,1969441
2020-10-06,1989876
2020-10-07,2011277
2020-10-08,2032674
2020-10-09,2052371
2020-10-10,2063174
2020-10-11,2068251
2020-10-12,2091486
2020-10-13,2111314
2020-10-14,2133151
2020-10-15,2153888
2020-10-16,2174589
2020-10-17,2184485
2020-10-18,2189608
2020-10-19,2211528
2020-10-20,2227014
2020-10-21,2249158
2020-10-22,2272576
2020-10-23,2295456
2020-10-24,2308667
2020-10-25,2314094
2020-10-26,2336696
2020-10-27,2362410
2020-10-28,2385474
2020-10-29,2405978
2020-10-30,2427760
2020-10-31,2439158
2020-11-01,2445372
2020-11-02,2466907
2020-11-03,2474384
2020-11-04,2496224
2020-11-05,2525757
2020-11-06,2553994
2020-11-07,2567454
2020-11-08,2575458
2020-11-09,2600934
2020-11-10,2626113
2020-11-11,2659794
2020-11-12,2689706
2020-11-13,2713744
2020-11-14,2730395
2020-11-15,2739522
2020-11-16,2769631
2020-11-17,2797265
2020-11-18,2831895
2020-11-19,2869705
2020-11-20,2911475
2020-11-21,2936399
2020-11-22,2956788
2020-11-23,2966348
2020-11-24,3010121
2020-11-25,3051173
2020-11-26,3093807
2020-11-27,3137158
2020-11-28,3159465
2020-11-29,3171440
2020-11-30,3212775
2020-12-01,3257064
2020-12-02,3300300
2020-12-03,3337123
2020-12-04,3375268
2020-12-05,3397581
2020-12-06,3415193
2020-12-07,3452930
2020-12-08,3492990
2020-12-09,3547547
2020-12-10,3592159
2020-12-11,3645993
2020-12-12,3674196
2020-12-13,3687340
2020-12-14,3741098
2020-12-15,3786915
2020-12-16,3841218
2020-12-17,3903657
2020-12-18,3960078
2020-12-19,3987127
2020-12-20,3999409
2020-12-21,4055059
2020-12-22,4086169
2020-12-23,4158427
2020-12-24,4221939
2020-12-25,4282200
2020-12-26,4314877
2020-12-27,4326840
2020-12-28,4401223
2020-12-29,4426073
2020-12-30,4447142
2020-12-31,4486717
2021-01-01,4511789
2021-01-02,4520535
2021-01-03,4540826
2021-01-04,4625164
2021-01-05,4713610
2021-01-06,4787577
2021-01-07,4869017
2021-01-08,4932390
2021-01-09,4968120
2021-01-10,4992128
2021-01-11,5012070
2021-01-12,5098621
