dates,cumulativecount_vaccine_covid_19_administered
2021-02-17,125
2021-02-18,611
2021-02-19,5039
2021-02-22,11934
2021-02-24,17888
2021-02-25,21896
2021-02-26,28530
2021-03-01,31785
2021-03-02,34772
2021-03-03,37303
2021-03-04,39174
2021-03-05,46469
2021-03-08,70796
2021-03-09,107558
2021-03-10,148950
2021-03-11,181184
2021-03-12,230542
2021-03-15,290275
2021-03-16,359191
2021-03-17,437485
2021-03-18,508702
2021-03-19,578835
2021-03-22,652698
2021-03-23,699126
2021-03-24,741180
2021-03-25,775122
2021-03-26,822869
2021-03-29,890662
2021-03-30,949731
2021-03-31,1002739
2021-04-01,1050112
2021-04-02,1096698
2021-04-05,1196884
2021-04-06,1288566
2021-04-07,1393108
2021-04-08,1487606
2021-04-09,1592517
2021-04-12,1694172
2021-04-13,1752499
2021-04-14,1808829
2021-04-15,1870319
2021-04-16,1950824
2021-04-17,1958496
2021-04-18,1966919
2021-04-19,2116934
2021-04-20,2291354
2021-04-21,2501628
2021-04-22,2707190
2021-04-23,2936721
2021-04-24,2972252
2021-04-25,2997773
2021-04-26,3317147
2021-04-27,3594879
2021-04-28,3914179
2021-04-29,3934522
2021-04-30,4270816
2021-05-01,4311376
2021-05-02,4338718
2021-05-03,4346972
2021-05-04,4356210
2021-05-05,4367000
2021-05-06,4755943
2021-05-07,4958667
2021-05-08,5029437
2021-05-09,5113486
2021-05-10,5471735
2021-05-11,5819037
2021-05-12,6217903
2021-05-13,6649360
2021-05-14,7080060
2021-05-15,7254999
2021-05-16,7469584
2021-05-17,8083245
2021-05-18,8659637
2021-05-19,9312816
2021-05-20,9858916
2021-05-21,10453446
2021-05-22,10784513
2021-05-23,11140046
2021-05-24,11935174
2021-05-25,12611448
2021-05-26,13348679
2021-05-27,14102617
2021-05-28,14853196
2021-05-29,15392159
2021-05-30,15925140
2021-05-31,16832726
2021-06-01,17773766
2021-06-02,18764208
2021-06-03,19741810
2021-06-04,20694913
2021-06-05,21452221
2021-06-06,22205290
2021-06-07,23316103
2021-06-08,24456980
2021-06-09,25644816
2021-06-10,26801229
2021-06-11,27939787
2021-06-12,28890332
2021-06-13,29819708
2021-06-14,31076950
2021-06-15,32353471
2021-06-16,33666806
2021-06-17,34983711
2021-06-18,36256986
2021-06-19,37380924
2021-06-20,38498641
2021-06-21,39914284
2021-06-22,41371898
2021-06-23,42881498
2021-06-24,44367438
2021-06-25,45854170
2021-06-26,47210124
2021-06-27,48545596
2021-06-28,50089772
2021-06-29,51688145
2021-06-30,53311121
2021-07-01,54724701
2021-07-02,56098989
2021-07-03,57625912
2021-07-04,59037021
2021-07-05,60734852
2021-07-06,62491150
2021-07-07,64232749
2021-07-08,65981341
2021-07-09,67738555
2021-07-10,69443807
2021-07-11,70883163
2021-07-12,72481568
2021-07-13,74103986
2021-07-14,75712314
2021-07-15,77282789
2021-07-16,78877209
2021-07-17,80405009
2021-07-18,81741087
2021-07-19,83016228
2021-07-20,84594331
2021-07-21,86162129
2021-07-22,86833477
2021-07-23,87361765
2021-07-24,88682237
2021-07-25,89893122
2021-07-26,91449308
2021-07-27,93054118
2021-07-28,94671714
2021-07-29,96281334
2021-07-30,97965891
2021-07-31,99613252
2021-08-01,100875585
2021-08-02,102267035
2021-08-03,103727176
2021-08-04,105170254
2021-08-05,106623289
2021-08-06,108153835
2021-08-07,109745468
2021-08-08,110992630
2021-08-09,111381992
2021-08-10,112708380
2021-08-11,113949536
2021-08-12,114879943
2021-08-13,115556489
2021-08-14,116323259
2021-08-15,117072998
2021-08-16,118094285
2021-08-17,119345766
2021-08-18,120607808
2021-08-19,121827541
2021-08-20,123139944
2021-08-21,124587664
2021-08-22,125827882
2021-08-23,127030071
2021-08-24,128298286
2021-08-25,129541119
2021-08-26,130715870
2021-08-27,132026340
2021-08-28,133506959
2021-08-29,134739339
2021-08-30,135417937
2021-08-31,136607448
2021-09-01,137751428
2021-09-02,138680363
2021-09-03,139844447
2021-09-04,141258802
2021-09-05,142440959
2021-09-06,143481183
2021-09-07,144644084
2021-09-08,145799107
2021-09-09,146929471
2021-09-10,148195231
2021-09-11,149708988
2021-09-12,150925538
2021-09-13,151956134
2021-09-14,153049350
2021-09-15,154120868
2021-09-16,155183014
2021-09-17,156404324
2021-09-18,157872674
2021-09-19,159019570
2021-09-20,159332932
2021-09-21,160433637
2021-09-22,161511955
2021-09-23,161945703
2021-09-24,163152194
2021-09-25,164672225
2021-09-26,165850619
2021-09-27,166845479
2021-09-28,167876579
2021-09-29,168875448
2021-09-30,169866914
2021-10-01,170950390
2021-10-02,172332268
2021-10-03,173411080
2021-10-04,174276026
2021-10-05,175179513
2021-10-06,176053533
2021-10-07,176910943
2021-10-08,177951543
2021-10-09,179285178
2021-10-10,180266562
2021-10-11,180769272
2021-10-12,181486742
2021-10-13,182067909
2021-10-14,182584615
2021-10-15,183407399
2021-10-16,184466976
2021-10-17,185214659
2021-10-18,185773930
2021-10-19,186368148
2021-10-20,186950518
2021-10-21,187489926
2021-10-22,188186493
2021-10-23,189118769
2021-10-24,189790986
2021-10-25,190256610
2021-10-26,190731317
2021-10-27,191183891
2021-10-28,191621058
2021-10-29,192179561
2021-10-30,192931375
