dates,covid19mobilitytrend_transporthub
2020-02-15,4
2020-02-16,1
2020-02-17,-1
2020-02-18,-1
2020-02-19,-7
2020-02-20,1
2020-02-21,4
2020-02-22,4
2020-02-23,4
2020-02-24,0
2020-02-25,3
2020-02-26,0
2020-02-27,5
2020-02-28,14
2020-02-29,18
2020-03-01,19
2020-03-02,14
2020-03-03,14
2020-03-04,14
2020-03-05,19
2020-03-06,20
2020-03-07,21
2020-03-08,27
2020-03-09,2
2020-03-10,16
2020-03-11,15
2020-03-12,19
2020-03-13,19
2020-03-14,22
2020-03-15,20
2020-03-16,12
2020-03-17,10
2020-03-18,11
2020-03-19,-4
2020-03-20,-7
2020-03-21,-10
2020-03-22,-18
2020-03-23,-31
2020-03-24,-29
2020-03-25,-31
2020-03-26,-21
2020-03-27,-24
2020-03-28,-31
2020-03-29,-32
2020-03-30,-36
2020-03-31,-37
2020-04-01,-44
2020-04-02,-46
2020-04-03,-45
2020-04-04,-44
2020-04-05,-47
2020-04-06,-43
2020-04-07,-49
2020-04-08,-52
2020-04-09,-50
2020-04-10,-47
2020-04-11,-43
2020-04-12,-43
2020-04-13,-48
2020-04-14,-46
2020-04-15,-49
2020-04-16,-47
2020-04-17,-50
2020-04-18,-52
2020-04-19,-53
2020-04-20,-53
2020-04-21,-50
2020-04-22,-51
2020-04-23,-49
2020-04-24,-52
2020-04-25,-51
2020-04-26,-51
2020-04-27,-48
2020-04-28,-45
2020-04-29,-45
2020-04-30,-44
2020-05-01,-46
2020-05-02,-44
2020-05-03,-45
2020-05-04,-39
2020-05-05,-33
2020-05-06,-28
2020-05-07,-26
2020-05-08,-32
2020-05-09,-32
2020-05-10,-30
2020-05-11,-21
2020-05-12,-14
2020-05-13,-14
2020-05-14,-15
2020-05-15,-15
2020-05-16,-8
2020-05-17,-7
2020-05-18,-12
2020-05-19,-13
2020-05-20,-8
2020-05-21,-5
2020-05-22,-5
2020-05-23,-1
2020-05-24,4
2020-05-25,-1
2020-05-26,-1
2020-05-27,-1
2020-05-28,1
2020-05-29,-1
2020-05-30,3
2020-05-31,3
2020-06-01,6
2020-06-02,10
2020-06-03,11
2020-06-04,13
2020-06-05,12
2020-06-06,19
2020-06-07,20
2020-06-08,13
2020-06-09,15
2020-06-10,15
2020-06-11,18
2020-06-12,16
2020-06-13,16
2020-06-14,16
2020-06-15,12
2020-06-16,13
2020-06-17,12
2020-06-18,13
2020-06-19,14
2020-06-20,-7
2020-06-21,-7
2020-06-22,9
2020-06-23,8
2020-06-24,6
2020-06-25,6
2020-06-26,5
2020-06-27,-20
2020-06-28,-20
2020-06-29,6
2020-06-30,12
2020-07-01,9
2020-07-02,11
2020-07-03,13
2020-07-04,5
2020-07-05,-11
2020-07-06,-17
2020-07-07,0
2020-07-08,-3
2020-07-09,-1
2020-07-10,-2
2020-07-11,-11
