dates,covid19mobilitytrend_transporthub
2020-02-15,7
2020-02-16,5
2020-02-17,6
2020-02-18,6
2020-02-19,1
2020-02-20,5
2020-02-21,5
2020-02-22,4
2020-02-23,5
2020-02-24,4
2020-02-25,3
2020-02-26,1
2020-02-27,4
2020-02-28,5
2020-02-29,5
2020-03-01,3
2020-03-02,2
2020-03-03,5
2020-03-04,5
2020-03-05,8
2020-03-06,8
2020-03-07,9
2020-03-08,7
2020-03-09,5
2020-03-10,7
2020-03-11,6
2020-03-12,7
2020-03-13,6
2020-03-14,3
2020-03-15,1
2020-03-16,0
2020-03-17,0
2020-03-18,-3
2020-03-19,-6
2020-03-20,-9
2020-03-21,-12
2020-03-22,-19
2020-03-23,-20
2020-03-24,-22
2020-03-25,-26
2020-03-26,-30
2020-03-27,-36
2020-03-28,-37
2020-03-29,-39
2020-03-30,-35
2020-03-31,-34
2020-04-01,-35
2020-04-02,-34
2020-04-03,-35
2020-04-04,-33
2020-04-05,-37
2020-04-06,-33
2020-04-07,-36
2020-04-08,-37
2020-04-09,-37
2020-04-10,-46
2020-04-11,-41
2020-04-12,-45
2020-04-13,-47
2020-04-14,-39
2020-04-15,-40
2020-04-16,-41
2020-04-17,-41
2020-04-18,-42
2020-04-19,-46
2020-04-20,-42
2020-04-21,-41
2020-04-22,-43
2020-04-23,-43
2020-04-24,-43
2020-04-25,-42
2020-04-26,-47
2020-04-27,-40
2020-04-28,-37
2020-04-29,-37
2020-04-30,-35
2020-05-01,-43
2020-05-02,-38
2020-05-03,-43
2020-05-04,-36
2020-05-05,-36
2020-05-06,-33
2020-05-07,-33
2020-05-08,-34
2020-05-09,-34
2020-05-10,-37
2020-05-11,-33
2020-05-12,-32
2020-05-13,-33
2020-05-14,-32
2020-05-15,-33
2020-05-16,-31
2020-05-17,-38
2020-05-18,-32
2020-05-19,-31
2020-05-20,-31
2020-05-21,-30
2020-05-22,-32
2020-05-23,-29
2020-05-24,-35
2020-05-25,-37
2020-05-26,-30
2020-05-27,-31
2020-05-28,-30
2020-05-29,-29
2020-05-30,-26
2020-05-31,-33
2020-06-01,-36
2020-06-02,-27
2020-06-03,-27
2020-06-04,-26
2020-06-05,-26
2020-06-06,-25
2020-06-07,-28
2020-06-08,-26
2020-06-09,-25
2020-06-10,-27
2020-06-11,-24
2020-06-12,-24
2020-06-13,-21
2020-06-14,-28
2020-06-15,-24
2020-06-16,-22
2020-06-17,-22
2020-06-18,-23
2020-06-19,-23
2020-06-20,-20
2020-06-21,-24
2020-06-22,-22
2020-06-23,-21
2020-06-24,-22
2020-06-25,-20
2020-06-26,-22
2020-06-27,-18
2020-06-28,-24
2020-06-29,-21
2020-06-30,-19
2020-07-01,-20
2020-07-02,-18
2020-07-03,-18
2020-07-04,-14
2020-07-05,-19
2020-07-06,-16
2020-07-07,-14
2020-07-08,-17
2020-07-09,-16
2020-07-10,-16
2020-07-11,-13
2020-07-12,-18
2020-07-13,-14
2020-07-14,-14
2020-07-15,-12
2020-07-16,-14
2020-07-17,-13
2020-07-18,-13
2020-07-19,-18
2020-07-20,-15
2020-07-21,-15
2020-07-22,-16
2020-07-23,-15
2020-07-24,-15
2020-07-25,-13
2020-07-26,-17
2020-07-27,-14
2020-07-28,-16
2020-07-29,-15
2020-07-30,-11
2020-07-31,-18
2020-08-01,-12
2020-08-02,-14
2020-08-03,-10
2020-08-04,-9
2020-08-05,-10
2020-08-06,-9
2020-08-07,-10
2020-08-08,-7
2020-08-09,-12
2020-08-10,-10
2020-08-11,-11
2020-08-12,-10
2020-08-13,-9
2020-08-14,-9
2020-08-15,-8
2020-08-16,-12
2020-08-17,-9
2020-08-18,-9
2020-08-19,-9
2020-08-20,-11
2020-08-21,-10
2020-08-22,-9
2020-08-23,-11
2020-08-24,-10
2020-08-25,-8
2020-08-26,-9
2020-08-27,-7
2020-08-28,-7
2020-08-29,-7
2020-08-30,-10
2020-08-31,-8
2020-09-01,-5
2020-09-02,-6
2020-09-03,-5
2020-09-04,-4
2020-09-05,-4
2020-09-06,-9
2020-09-07,-6
2020-09-08,-2
2020-09-09,-3
2020-09-10,-2
2020-09-11,-1
2020-09-12,0
2020-09-13,-4
2020-09-14,-3
2020-09-15,-1
2020-09-16,-1
2020-09-17,-5
2020-09-18,-4
2020-09-19,-2
2020-09-20,-5
2020-09-21,-4
2020-09-22,0
2020-09-23,2
2020-09-24,2
2020-09-25,5
2020-09-26,11
2020-09-27,11
2020-09-28,8
2020-09-29,11
2020-09-30,7
2020-10-01,7
2020-10-02,12
2020-10-03,12
2020-10-04,9
2020-10-05,10
2020-10-06,14
2020-10-07,11
2020-10-08,11
2020-10-09,11
2020-10-10,6
2020-10-11,8
2020-10-12,11
2020-10-13,12
2020-10-14,12
2020-10-15,14
2020-10-16,15
2020-10-17,12
2020-10-18,8
2020-10-19,12
2020-10-20,-1
2020-10-21,11
2020-10-22,11
2020-10-23,14
2020-10-24,12
2020-10-25,10
2020-10-26,10
2020-10-27,13
2020-10-28,11
2020-10-29,12
2020-10-30,15
2020-10-31,17
2020-11-01,19
2020-11-02,17
2020-11-03,17
2020-11-04,15
2020-11-05,14
2020-11-06,15
2020-11-07,16
2020-11-08,14
2020-11-09,14
2020-11-10,19
2020-11-11,13
2020-11-12,14
2020-11-13,16
2020-11-14,14
2020-11-15,12
2020-11-16,12
2020-11-17,15
2020-11-18,13
2020-11-19,13
2020-11-20,15
2020-11-21,16
2020-11-22,11
2020-11-23,11
2020-11-24,13
