dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,1
2020-03-16,3
2020-03-17,3
2020-03-18,4
2020-03-19,7
2020-03-20,7
2020-03-21,7
2020-03-22,7
2020-03-23,15
2020-03-24,16
2020-03-25,25
2020-03-26,25
2020-03-27,28
2020-03-28,31
2020-03-29,38
2020-03-30,42
2020-03-31,50
2020-04-01,59
2020-04-02,81
2020-04-03,122
2020-04-04,122
2020-04-05,126
2020-04-06,142
2020-04-07,142
2020-04-08,172
2020-04-09,179
2020-04-10,184
2020-04-11,189
2020-04-12,191
2020-04-13,197
2020-04-14,208
2020-04-15,216
2020-04-16,225
2020-04-17,234
2020-04-18,246
2020-04-19,262
2020-04-20,270
2020-04-21,281
2020-04-22,296
2020-04-23,303
2020-04-24,320
2020-04-25,336
2020-04-26,343
2020-04-27,355
2020-04-28,363
2020-04-29,374
2020-04-30,384
2020-05-01,396
2020-05-02,411
2020-05-03,435
2020-05-04,465
2020-05-05,490
2020-05-06,535
2020-05-07,582
2020-05-08,607
2020-05-09,621
2020-05-10,649
2020-05-11,672
2020-05-12,700
2020-05-13,715
2020-05-14,737
2020-05-15,758
2020-05-16,781
2020-05-17,830
2020-05-18,887
2020-05-19,912
2020-05-20,963
2020-05-21,1029
2020-05-22,1109
2020-05-23,1161
2020-05-24,1192
2020-05-25,1214
2020-05-26,1286
2020-05-27,1348
2020-05-28,1471
2020-05-29,1618
2020-05-30,1745
2020-05-31,1888
2020-06-01,1962
2020-06-02,2021
2020-06-03,2093
2020-06-04,2216
2020-06-05,2340
2020-06-06,2474
2020-06-07,2600
2020-06-08,2767
2020-06-09,2862
2020-06-10,2989
2020-06-11,3094
2020-06-12,3215
2020-06-13,3305
2020-06-14,3457
2020-06-15,3594
2020-06-16,3727
2020-06-17,3860
2020-06-18,4044
2020-06-19,4257
2020-06-20,4374
2020-06-21,4478
2020-06-22,4738
2020-06-23,4797
2020-06-24,4952
2020-06-25,5206
2020-06-26,5384
2020-06-27,5533
2020-06-28,5811
2020-06-29,6070
2020-06-30,6190
2020-07-01,6366
2020-07-02,6673
2020-07-03,6941
2020-07-04,7188
2020-07-05,7577
2020-07-06,7886
2020-07-07,8067
2020-07-08,8250
2020-07-09,8528
2020-07-10,8975
2020-07-11,9448
2020-07-12,9726
2020-07-13,10105
2020-07-14,10294
2020-07-15,10791
2020-07-16,11252
2020-07-17,11673
2020-07-18,12062
2020-07-19,12750
2020-07-20,13353
2020-07-21,13771
2020-07-22,14168
2020-07-23,14805
2020-07-24,15601
2020-07-25,16268
2020-07-26,16643
2020-07-27,17535
2020-07-28,17975
2020-07-29,18581
2020-07-30,19125
2020-07-31,19913
2020-08-01,20636
2020-08-02,21363
2020-08-03,22053
2020-08-04,22597
2020-08-05,23202
2020-08-06,23873
2020-08-07,24411
2020-08-08,25138
2020-08-09,25837
2020-08-10,26436
2020-08-11,26928
2020-08-12,27425
2020-08-13,28104
2020-08-14,28754
2020-08-15,29334
2020-08-16,29849
2020-08-17,30120
2020-08-18,30365
2020-08-19,30636
2020-08-20,31015
2020-08-21,31441
2020-08-22,31763
2020-08-23,32118
2020-08-24,32364
2020-08-25,32557
2020-08-26,32803
2020-08-27,33016
2020-08-28,33389
2020-08-29,33630
2020-08-30,33794
2020-08-31,34057
2020-09-01,34201
2020-09-02,34315
2020-09-03,34493
2020-09-04,34705
2020-09-05,34884
2020-09-06,35020
2020-09-07,35103
2020-09-08,35205
2020-09-09,35356
2020-09-10,35460
2020-09-11,35603
2020-09-12,35793
2020-09-13,35963
2020-09-14,36157
2020-09-15,36205
2020-09-16,36301
2020-09-17,36393
2020-09-18,36576
2020-09-19,36724
2020-09-20,36829
2020-09-21,36981
2020-09-22,37079
2020-09-23,37218
2020-09-24,37348
2020-09-25,37489
2020-09-26,37707
2020-09-27,37871
2020-09-28,38115
2020-09-29,38168
2020-09-30,38378
2020-10-01,38529
2020-10-02,38713
2020-10-03,38923
2020-10-04,39184
2020-10-05,39427
2020-10-06,39449
2020-10-07,39586
2020-10-08,39907
2020-10-09,40178
2020-10-10,40620
2020-10-11,41158
2020-10-12,41546
2020-10-13,41619
2020-10-14,41939
2020-10-15,42541
2020-10-16,43143
2020-10-17,43580
2020-10-18,44196
2020-10-19,44881
2020-10-20,45076
2020-10-21,45647
2020-10-22,46144
2020-10-23,47212
2020-10-24,47843
2020-10-25,48790
2020-10-26,49721
2020-10-27,49997
2020-10-28,50833
2020-10-29,51852
2020-10-30,52612
2020-10-31,53797
2020-11-01,55192
2020-11-02,55877
2020-11-03,56601
2020-11-04,57093
2020-11-05,58587
2020-11-06,59595
2020-11-07,60704
2020-11-08,61769
2020-11-09,62488
2020-11-10,63244
2020-11-11,64588
2020-11-12,65804
2020-11-13,66723
2020-11-14,68193
2020-11-15,69273
2020-11-16,70245
2020-11-17,70804
2020-11-18,71729
2020-11-19,72686
2020-11-20,74145
2020-11-21,75193
2020-11-22,76404
2020-11-23,77372
2020-11-24,77785
2020-11-25,78512
2020-11-26,79322
2020-11-27,80102
2020-11-28,81656
2020-11-29,82605
2020-11-30,83316
2020-12-01,83618
2020-12-02,84169
2020-12-03,85130
2020-12-04,86383
2020-12-05,87249
2020-12-06,87984
2020-12-07,88380
2020-12-08,88579
2020-12-09,89100
2020-12-10,89661
2020-12-11,90305
2020-12-12,90978
2020-12-13,91526
2020-12-14,91892
2020-12-15,92055
2020-12-16,92459
2020-12-17,92853
2020-12-18,93405
2020-12-19,93761
2020-12-20,94151
2020-12-21,94500
2020-12-22,94614
2020-12-23,94768
2020-12-24,95195
2020-12-25,95431
2020-12-26,95713
2020-12-27,95843
2020-12-28,95923
2020-12-29,95992
2020-12-30,96139
2020-12-31,96251
2021-01-01,96458
2021-01-02,96614
2021-01-03,96678
2021-01-04,96802
2021-01-05,96908
2021-01-06,97127
2021-01-07,97398
2021-01-08,97733
2021-01-09,97954
2021-01-10,98184
2021-01-11,98271
2021-01-12,98334
2021-01-13,98432
2021-01-14,98555
2021-01-15,98693
2021-01-16,98859
2021-01-17,99082
2021-01-18,99162
2021-01-19,99227
2021-01-20,99308
2021-01-21,99444
2021-01-22,99630
2021-01-23,99769
2021-01-24,99898
2021-01-25,99983
2021-01-26,100052
2021-01-27,100193
2021-01-28,100323
2021-01-29,100422
2021-01-30,100563
2021-01-31,100675
2021-02-01,100773
2021-02-02,100856
2021-02-03,101009
2021-02-04,101159
2021-02-05,101339
2021-02-06,101534
2021-02-07,101690
2021-02-08,101819
2021-02-09,101944
2021-02-10,102048
2021-02-11,102221
2021-02-12,102353
2021-02-13,102613
2021-02-14,102792
2021-02-15,102867
2021-02-16,103014
2021-02-17,103188
2021-02-18,103332
2021-02-19,103615
2021-02-20,103841
2021-02-21,103993
2021-02-22,104201
2021-02-23,104306
2021-02-24,104500
2021-02-25,104780
2021-02-26,105057
2021-02-27,105467
2021-02-28,105648
2021-03-01,105973
2021-03-02,106125
2021-03-03,106470
2021-03-04,106801
2021-03-05,107329
2021-03-06,107729
2021-03-07,108362
2021-03-08,108827
2021-03-09,109164
2021-03-10,109643
2021-03-11,110356
2021-03-12,111185
2021-03-13,111935
2021-03-14,112805
2021-03-15,113236
2021-03-16,113967
2021-03-17,115031
2021-03-18,116310
2021-03-19,117535
2021-03-20,118889
2021-03-21,120163
2021-03-22,120910
2021-03-23,122040
2021-03-24,123167
2021-03-25,124707
2021-03-26,126170
2021-03-27,128178
2021-03-28,129330
2021-03-29,130214
2021-03-30,131116
2021-03-31,132646
2021-04-01,134058
2021-04-02,135042
2021-04-03,136893
2021-04-04,138077
2021-04-05,138988
2021-04-06,139448
2021-04-07,139842
2021-04-08,141365
2021-04-09,143063
2021-04-10,144154
2021-04-11,145184
2021-04-12,145670
2021-04-13,146156
2021-04-14,147147
2021-04-15,148128
2021-04-16,149219
2021-04-17,150260
2021-04-18,151287
2021-04-19,151653
2021-04-20,151894
2021-04-21,152523
2021-04-22,153488
2021-04-23,154392
2021-04-24,155165
2021-04-25,156318
2021-04-26,156787
2021-04-27,156981
2021-04-28,157492
2021-04-29,158326
2021-04-30,158821
2021-05-01,159318
2021-05-02,160053
2021-05-03,160422
2021-05-04,160559
2021-05-05,160904
2021-05-06,161393
2021-05-07,162098
2021-05-08,162666
2021-05-09,163238
2021-05-10,163554
2021-05-11,163620
2021-05-12,163976
2021-05-13,164386
2021-05-14,164720
2021-05-15,165112
2021-05-16,165379
2021-05-17,165465
2021-05-18,165537
2021-05-19,166006
2021-05-20,166382
2021-05-21,166876
2021-05-22,167535
2021-05-23,168108
2021-05-24,168432
2021-05-25,168543
2021-05-26,168925
2021-05-27,169356
2021-05-28,169697
2021-05-29,170041
2021-05-30,170485
2021-05-31,170647
2021-06-01,170735
2021-06-02,171084
2021-06-03,171226
2021-06-04,171658
2021-06-05,171942
2021-06-06,172325
2021-06-07,172491
2021-06-08,172639
2021-06-09,173072
2021-06-10,173661
2021-06-11,174285
2021-06-12,174773
2021-06-13,175176
2021-06-14,175337
2021-06-15,175681
2021-06-16,176137
2021-06-17,176622
2021-06-18,177282
2021-06-19,178078
2021-06-20,178792
2021-06-21,179075
2021-06-22,179293
2021-06-23,179876
2021-06-24,180498
2021-06-25,181239
2021-06-26,181885
2021-06-27,182393
2021-06-28,182597
2021-06-29,182884
2021-06-30,183603
2021-07-01,184161
2021-07-02,184537
