dates,cumulativecount_medicaltest_conditioncovid_19
2020-03-06,31
2020-03-17,111
2020-03-18,132
2020-03-19,173
2020-03-26,600
2020-03-28,833
2020-03-29,902
2020-03-30,1074
2020-03-31,1308
2020-04-01,1688
2020-04-02,2350
2020-04-03,2712
2020-04-04,3084
2020-04-05,3614
2020-04-06,4277
2020-04-07,4973
2020-04-08,5278
2020-04-09,5586
2020-04-10,6192
2020-04-11,6683
2020-04-12,7449
2020-04-13,8123
2020-04-14,8817
2020-04-15,9620
2020-04-16,10324
2020-04-17,10774
2020-04-18,11889
2020-04-19,13239
2020-04-20,13872
2020-04-21,14704
2020-04-22,15411
2020-04-23,16079
2020-04-24,16738
2020-04-30,20268
2020-05-01,21702
2020-05-02,22897
2020-05-03,23780
2020-05-04,24792
2020-05-05,25869
2020-05-08,29430
2020-05-09,31041
2020-05-10,32097
2020-05-11,32938
2020-05-12,33916
2020-05-13,35432
2020-05-14,36918
2020-05-15,39018
2020-05-17,43712
2020-05-18,44851
2020-05-19,46784
2020-05-20,49405
2020-05-21,52507
2020-05-22,55074
2020-05-24,59260
2020-05-25,61971
2020-05-26,64264
2020-05-27,67341
2020-05-28,70172
2020-05-29,74003
2020-05-31,78536
2020-06-01,80054
2020-06-02,82946
2020-06-03,85058
2020-06-04,87698
2020-06-05,90875
2020-06-06,94507
2020-06-07,97340
2020-06-08,98439
2020-06-09,100683
2020-06-10,102956
2020-06-11,106247
2020-06-12,108666
2020-06-13,112171
2020-06-14,115336
2020-06-15,118701
2020-06-16,121956
2020-06-18,130498
2020-06-19,133541
2020-06-20,136361
2020-06-21,140012
2020-06-22,142366
2020-06-23,146537
2020-06-24,151396
2020-06-25,155314
2020-06-26,158404
2020-06-27,162478
2020-06-28,165196
2020-06-29,167417
2020-06-30,169836
2020-07-01,173355
2020-07-02,176059
2020-07-03,180206
2020-07-04,185035
2020-07-05,189263
2020-07-06,191394
2020-07-07,193455
2020-07-08,196508
2020-07-09,200311
2020-07-10,206584
2020-07-11,207987
2020-07-12,215037
2020-07-13,216242
2020-07-14,221234
2020-07-15,225495
2020-07-16,229390
2020-07-17,232935
2020-07-18,238163
2020-07-19,243887
2020-07-20,246361
2020-07-21,249998
2020-07-22,254273
2020-07-23,261027
2020-07-24,266102
2020-07-27,279612
2020-07-28,284500
2020-07-29,289759
2020-07-30,295280
2020-07-31,303959
2020-08-01,310330
2020-08-02,315723
2020-08-03,318376
2020-08-04,322923
2020-08-05,329123
2020-08-06,335318
2020-08-07,342132
2020-08-08,349307
2020-08-09,353727
2020-08-10,358330
2020-08-11,362501
2020-08-12,369091
2020-08-13,375859
2020-08-14,381317
2020-08-16,391416
2020-08-17,394566
2020-08-18,398585
2020-08-21,412080
2020-08-22,417804
2020-08-23,421983
2020-08-24,425364
2020-08-25,429513
2020-08-27,438193
2020-08-28,442713
2020-08-29,445722
2020-08-30,450146
2020-08-31,454406
2020-09-01,456088
2020-09-02,459562
2020-09-03,463499
2020-09-04,467677
2020-09-05,471384
2020-09-06,474477
2020-09-07,477145
2020-09-08,479697
2020-09-09,481982
2020-09-12,494560
2020-09-13,497652
2020-09-21,518350
2020-09-22,520124
2020-09-23,523998
2020-09-24,527305
2020-09-25,532729
2020-09-26,535601
2020-09-27,539308
2020-09-28,541415
2020-09-29,545019
2020-09-30,547946
2020-10-01,552646
2020-10-02,555711
2020-10-03,559098
2020-10-04,563483
2020-10-05,564078
2020-10-06,565336
2020-10-07,569678
2020-10-08,574712
2020-10-09,580039
2020-10-10,586911
2020-10-11,591198
2020-10-12,593199
2020-10-13,595791
2020-10-14,601623
2020-10-15,607241
2020-10-17,617064
2020-10-18,621976
2020-10-19,623828
2020-10-20,627781
2020-10-21,632669
2020-10-22,640225
2020-10-23,646367
2020-10-24,653229
2020-10-29,677601
2020-11-02,704605
2020-11-03,708333
2020-11-05,723210
2020-11-06,730363
2020-11-10,753959
2020-11-16,793026
2020-11-22,823700
2020-11-23,843103
2020-11-29,885933
2020-12-07,931799
2020-12-08,938936
2020-12-14,973805
2020-12-17,984435
2020-12-20,1003493
2020-12-30,1041679
2021-01-03,1055691
2021-01-06,1070249
2021-01-15,1107121
2021-01-18,1125679
2021-02-05,1200302
2021-02-07,1214732
2021-02-26,1282799
2021-04-06,1520390
2021-04-09,1542088
2021-04-13,1564827
2021-04-16,1584731
2021-04-20,1605847
2021-04-23,1624663
2021-04-26,1645209
2021-04-27,1646988
2021-04-30,1664435
2021-05-04,1675310
2021-12-17,2908081
2022-01-14,3127480
2022-01-20,3170792
2022-01-24,3186286
2022-01-25,3189945
2022-01-27,3200937
2022-01-30,3220562
2022-01-31,3222886
2022-02-01,3229023
2022-02-03,3233831
2022-02-05,3240690
2022-02-08,3261313
2022-02-10,3272286
2022-02-13,3295082
2022-02-15,3299132
2022-02-18,3322325
2022-02-21,3335912
2022-02-23,3346571
2022-02-24,3351782
2022-02-26,3363604
2022-02-27,3368063
2022-03-02,3376678
2022-03-04,3381634
2022-03-05,3393679
2022-03-07,3406413
2022-03-10,3423203
2022-03-12,3434544
2022-03-20,3470975
2022-03-24,3482807
2022-03-28,3499532
2022-04-01,3515875
2022-04-07,3537473
2022-04-10,3547755
2022-04-18,3562960
2022-04-24,3581506
2022-04-28,3588732
2022-05-01,3598809
2022-05-04,3603531
2022-05-08,3613499
2022-05-11,3620567
2022-05-15,3630986
2022-05-18,3637594
2022-05-19,3640462
2022-05-29,3662979
2022-06-02,3674528
2022-06-08,3683499
2022-06-12,3698355
2022-06-16,3706945
2022-06-20,3720078
2022-06-22,3728165
