dates,cumulativecount_vaccine_covid_19_administered
2021-03-04,0
2021-03-10,4000
2021-03-14,9144
2021-03-17,20000
2021-03-24,64100
2021-03-26,90340
2021-03-31,161771
2021-04-03,196435
2021-04-07,340121
2021-04-08,422021
2021-04-14,569244
2021-04-16,651650
2021-04-21,750471
2021-04-28,853081
2021-05-13,930460
2021-05-14,933436
2021-05-19,945597
2021-05-20,948980
2021-05-21,951026
2021-05-23,953954
2021-05-24,954515
2021-05-25,957804
2021-05-26,960379
2021-05-27,963241
2021-05-28,966433
2021-05-29,968733
2021-05-31,969692
2021-06-02,971714
2021-06-03,973987
2021-06-04,976541
2021-06-05,981887
2021-06-06,983580
2021-06-07,989029
2021-06-08,1005509
2021-06-09,1030445
2021-06-10,1059117
2021-06-11,1095122
2021-06-13,1113158
2021-06-14,1116021
2021-06-15,1138748
2021-06-16,1155745
2021-06-17,1164161
2021-06-18,1174071
2021-06-19,1181588
2021-06-20,1183376
2021-06-21,1187663
2021-06-22,1190889
2021-06-23,1201325
2021-06-24,1220151
2021-06-26,1279023
2021-06-27,1287776
2021-06-28,1293004
2021-06-29,1334749
2021-06-30,1378585
2021-07-01,1417100
2021-07-02,1447648
2021-07-03,1468908
2021-07-04,1473869
2021-07-05,1477916
2021-07-06,1495120
2021-07-07,1511693
2021-07-08,1524444
2021-07-09,1530551
2021-07-11,1539087
2021-07-12,1547092
2021-07-13,1550389
2021-07-14,1565344
2021-07-15,1607982
2021-07-17,1618356
2021-07-18,1620465
2021-07-20,1635441
2021-07-21,1636475
2021-07-22,1648869
2021-07-23,1661560
2021-07-24,1670941
2021-07-25,1672687
2021-07-26,1673272
2021-07-27,1682899
2021-07-28,1692793
2021-07-29,1707734
2021-07-30,1712550
2021-08-01,1726193
2021-08-02,1726937
2021-08-03,1734013
2021-08-04,1741581
2021-08-05,1750260
2021-08-06,1768519
2021-08-07,1793520
2021-08-09,1804375
2021-08-10,1842342
2021-08-11,1881988
2021-08-12,1922085
