dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,3
2020-03-19,3
2020-03-20,6
2020-03-21,14
2020-03-22,22
2020-03-23,42
2020-03-24,83
2020-03-25,127
2020-03-26,132
2020-03-27,169
2020-03-28,174
2020-03-29,206
2020-03-30,226
2020-03-31,255
2020-04-01,262
2020-04-02,282
2020-04-03,307
2020-04-04,340
2020-04-05,352
2020-04-06,430
2020-04-07,463
2020-04-08,514
2020-04-09,532
2020-04-10,553
2020-04-11,607
2020-04-12,656
2020-04-13,700
2020-04-14,714
2020-04-15,738
2020-04-16,755
2020-04-17,784
2020-04-18,807
2020-04-19,859
2020-04-20,885
2020-04-21,908
2020-04-22,940
2020-04-23,979
2020-04-24,1006
2020-04-25,1015
2020-04-26,1033
2020-04-27,1048
2020-04-28,1063
2020-04-29,1085
2020-04-30,1110
2020-05-01,1122
2020-05-02,1140
2020-05-03,1167
2020-05-04,1205
2020-05-05,1219
2020-05-06,1252
2020-05-07,1276
2020-05-08,1288
2020-05-09,1313
2020-05-10,1386
2020-05-11,1402
2020-05-12,1429
2020-05-13,1436
2020-05-14,1476
2020-05-15,1506
2020-05-16,1512
2020-05-17,1534
2020-05-18,1613
2020-05-19,1641
2020-05-20,1669
2020-05-21,1712
2020-05-22,1750
2020-05-23,1765
2020-05-24,1803
2020-05-25,1833
2020-05-26,1869
2020-05-27,1927
2020-05-28,2005
2020-05-29,2079
2020-05-30,2141
2020-05-31,2167
2020-06-01,2237
2020-06-02,2267
2020-06-03,2295
2020-06-04,2324
2020-06-05,2363
2020-06-06,2403
2020-06-07,2438
2020-06-08,2463
2020-06-09,2486
2020-06-10,2530
2020-06-11,2568
2020-06-12,2609
2020-06-13,2652
2020-06-14,2735
2020-06-15,2825
2020-06-16,2940
2020-06-17,3044
2020-06-18,3163
2020-06-19,3309
2020-06-20,3517
2020-06-21,3709
2020-06-22,3944
2020-06-23,4166
2020-06-24,4405
2020-06-25,4669
2020-06-26,4966
2020-06-27,5328
2020-06-28,5672
2020-06-29,6041
2020-06-30,6539
2020-07-01,7218
2020-07-02,7961
2020-07-03,8682
2020-07-04,9291
2020-07-05,9849
2020-07-06,10400
2020-07-07,11356
2020-07-08,12166
2020-07-09,13045
2020-07-10,14129
2020-07-11,15269
2020-07-12,16621
2020-07-13,17904
2020-07-14,19436
2020-07-15,20943
2020-07-16,22480
2020-07-17,24134
2020-07-18,25512
2020-07-19,26532
2020-07-20,27143
2020-07-21,28251
2020-07-22,29359
2020-07-23,30326
2020-07-24,31247
2020-07-25,32127
2020-07-26,32816
2020-07-27,33299
2020-07-28,33844
2020-07-29,34512
2020-07-30,35143
2020-07-31,35805
2020-08-01,36299
2020-08-02,36719
2020-08-03,37129
2020-08-04,37541
2020-08-05,38110
2020-08-06,38663
2020-08-07,39166
2020-08-08,39551
2020-08-09,39883
2020-08-10,40177
2020-08-11,40455
2020-08-12,40759
2020-08-13,41069
2020-08-14,41373
2020-08-15,41645
2020-08-16,41856
2020-08-17,41991
2020-08-18,42146
2020-08-19,42325
2020-08-20,42507
2020-08-21,42703
2020-08-22,42889
2020-08-23,43023
2020-08-24,43126
2020-08-25,43245
2020-08-26,43358
2020-08-27,43459
2020-08-28,43587
2020-08-29,43712
2020-08-30,43820
2020-08-31,43898
2020-09-01,43958
2020-09-02,44036
2020-09-03,44135
2020-09-04,44227
2020-09-05,44316
2020-09-06,44403
2020-09-07,44458
2020-09-08,44526
2020-09-09,44613
2020-09-10,44684
2020-09-11,44761
2020-09-12,44828
2020-09-13,44881
2020-09-14,44928
2020-09-15,44999
2020-09-16,45072
2020-09-17,45153
2020-09-18,45244
2020-09-19,45335
2020-09-20,45416
2020-09-21,45471
2020-09-22,45542
2020-09-23,45630
2020-09-24,45757
2020-09-25,45932
2020-09-26,46090
2020-09-27,46251
2020-09-28,46355
2020-09-29,46522
2020-09-30,46669
2020-10-01,46841
2020-10-02,47056
2020-10-03,47184
2020-10-04,47428
2020-10-05,47635
2020-10-06,47799
2020-10-07,48097
2020-10-08,48342
2020-10-09,48617
2020-10-10,48924
2020-10-11,49230
2020-10-12,49528
2020-10-13,49871
2020-10-14,50201
2020-10-15,50589
2020-10-16,51020
2020-10-17,51490
2020-10-18,52044
2020-10-19,52526
2020-10-20,52910
2020-10-21,53459
2020-10-22,54006
2020-10-23,54588
2020-10-24,55144
2020-10-25,55750
2020-10-26,56170
2020-10-27,56738
2020-10-28,57276
2020-10-29,57798
2020-10-30,58394
2020-10-31,58878
2020-11-01,59443
2020-11-02,59879
2020-11-03,60279
2020-11-04,60774
2020-11-05,61309
2020-11-06,61748
2020-11-07,62304
2020-11-08,62819
2020-11-09,63390
2020-11-10,63960
2020-11-11,64360
2020-11-12,64887
2020-11-13,65454
2020-11-14,65953
2020-11-15,66504
2020-11-16,66983
2020-11-17,67469
2020-11-18,67894
2020-11-19,68316
2020-11-20,68702
2020-11-21,69149
2020-11-22,69581
2020-11-23,69885
2020-11-24,70366
2020-11-25,70744
2020-11-26,71171
2020-11-27,71548
2020-11-28,71971
2020-11-29,72427
2020-11-30,72807
2020-12-01,73178
2020-12-02,73513
2020-12-03,73933
2020-12-04,74373
2020-12-05,74774
2020-12-06,75102
2020-12-07,75395
2020-12-08,75690
2020-12-09,76012
2020-12-10,76391
2020-12-11,76718
2020-12-12,77059
2020-12-13,77356
2020-12-14,77674
2020-12-15,77910
2020-12-16,78151
2020-12-17,78415
2020-12-18,78679
2020-12-19,78911
2020-12-20,79122
2020-12-21,79254
2020-12-22,79429
2020-12-23,79659
2020-12-24,79845
2020-12-25,80025
2020-12-26,80182
2020-12-27,80373
2020-12-28,80535
2020-12-29,80654
2020-12-30,80843
2020-12-31,81034
2021-01-01,81156
2021-01-02,81214
2021-01-03,81305
2021-01-04,81388
2021-01-05,81512
2021-01-06,81656
2021-01-07,81826
2021-01-08,81991
2021-01-09,82138
2021-01-10,82273
2021-01-11,82380
2021-01-12,82495
2021-01-13,82587
2021-01-14,82723
2021-01-15,82857
2021-01-16,82986
2021-01-17,83109
2021-01-18,83178
2021-01-19,83268
2021-01-20,83430
2021-01-21,83585
2021-01-22,83703
2021-01-23,83796
2021-01-24,83900
2021-01-25,83971
2021-01-26,84068
2021-01-27,84175
2021-01-28,84303
2021-01-29,84377
2021-01-30,84453
2021-01-31,84529
2021-02-01,84588
2021-02-02,84646
2021-02-03,84762
2021-02-04,84832
2021-02-05,84920
2021-02-06,84992
2021-02-07,85071
2021-02-08,85113
2021-02-09,85171
2021-02-10,85253
2021-02-11,85328
2021-02-12,85398
2021-02-13,85441
2021-02-14,85475
2021-02-15,85516
2021-02-16,85564
2021-02-17,85619
2021-02-18,85689
2021-02-19,85772
2021-02-20,85831
2021-02-21,85885
2021-02-22,85929
2021-02-23,86001
2021-02-24,86025
2021-02-25,86091
2021-02-26,86142
2021-02-27,86185
2021-02-28,86229
2021-03-01,86251
2021-03-02,86308
2021-03-03,86356
2021-03-04,86410
2021-03-05,86451
2021-03-06,86506
2021-03-07,86550
2021-03-08,86583
2021-03-09,86606
2021-03-10,86640
2021-03-11,86692
2021-03-12,86755
2021-03-13,86818
2021-03-14,86850
2021-03-15,86917
2021-03-16,86990
2021-03-17,87045
2021-03-18,87143
2021-03-19,87239
2021-03-20,87321
2021-03-21,87389
2021-03-22,87462
2021-03-23,87537
2021-03-24,87652
2021-03-25,87758
2021-03-26,87858
2021-03-27,87946
2021-03-28,88092
2021-03-29,88163
2021-03-30,88276
2021-03-31,88374
2021-04-01,88538
2021-04-02,88700
2021-04-03,88842
2021-04-04,89014
2021-04-05,89153
2021-04-06,89277
2021-04-07,89438
2021-04-08,89660
2021-04-09,89811
2021-04-10,90019
2021-04-11,90227
2021-04-12,90372
2021-04-13,90599
2021-04-14,90839
2021-04-15,91144
2021-04-16,91374
2021-04-17,91639
2021-04-18,91883
2021-04-19,92095
2021-04-20,92320
2021-04-21,92626
2021-04-22,93006
2021-04-23,93278
2021-04-24,93603
2021-04-25,93831
2021-04-26,94030
2021-04-27,94277
2021-04-28,94599
2021-04-29,94944
2021-04-30,95275
2021-05-01,95752
2021-05-02,96060
2021-05-03,96337
2021-05-04,96561
2021-05-05,96958
2021-05-06,97278
2021-05-07,97663
2021-05-08,98079
2021-05-09,98400
2021-05-10,98654
2021-05-11,99033
2021-05-12,99316
2021-05-13,99645
2021-05-14,99845
2021-05-15,100249
2021-05-16,100473
2021-05-17,100732
2021-05-18,100966
2021-05-19,101219
2021-05-20,101580
2021-05-21,101878
2021-05-22,102186
2021-05-23,102511
2021-05-24,102702
2021-05-25,103000
2021-05-26,103207
2021-05-27,103583
2021-05-28,103866
2021-05-29,104222
2021-05-30,104555
2021-05-31,104729
2021-06-01,105111
2021-06-02,105469
2021-06-03,105840
2021-06-04,106223
2021-06-05,106636
2021-06-06,106973
2021-06-07,107335
2021-06-08,107714
2021-06-09,108173
2021-06-10,108667
2021-06-11,109193
2021-06-12,109812
2021-06-13,110370
2021-06-14,110829
2021-06-15,111343
2021-06-16,111990
2021-06-17,112777
2021-06-18,113430
2021-06-19,114300
2021-06-20,115030
2021-06-21,115615
2021-06-22,116546
2021-06-23,117284
2021-06-24,118106
2021-06-25,118981
2021-06-26,119873
2021-06-27,120865
2021-06-28,121946
2021-06-29,123038
