dates,incrementalcount_vaccine_covid_19_administered
2021-04-07,205
2021-07-28,12484
2021-07-29,21129
2021-07-30,23281
2021-07-31,8036
2021-08-01,8926
2021-08-02,20968
2021-08-03,34472
2021-08-04,10720
2021-08-05,26119
2021-08-06,24537
2021-08-07,13632
2021-08-08,11954
2021-08-09,26818
2021-08-10,28248
2021-08-11,28994
2021-08-12,13707
2021-08-13,21418
2021-08-14,7008
2021-08-15,17362
2021-08-16,22282
2021-08-17,23903
2021-08-18,21112
2021-08-19,31022
2021-08-20,18070
2021-08-21,8069
2021-08-22,10372
2021-08-23,21807
2021-08-26,25577
2021-08-27,16334
2021-08-28,4277
2021-08-29,13927
2021-08-30,1613
2021-08-31,15479
2021-09-01,12921
2021-09-02,14780
2021-09-03,7164
2021-09-04,4100
2021-09-05,7730
2021-09-06,15949
2021-09-07,7698
2021-09-10,6833
2021-09-11,1542
2021-09-12,12878
2021-09-13,7216
2021-09-14,16223
2021-09-15,17114
2021-09-16,4652
2021-09-17,11652
2021-09-18,3824
2021-09-19,7920
2021-09-20,11536
2021-09-21,11260
2021-09-22,14098
2021-09-23,16612
2021-09-24,6559
2021-09-25,2022
2021-09-26,10938
2021-09-27,11024
2021-09-28,13853
2021-09-29,11594
2021-09-30,10913
2021-10-01,6892
2021-10-02,2085
2021-10-03,3584
2021-10-04,10025
2021-10-05,10969
2021-10-06,9446
2021-10-07,11502
2021-10-08,10447
2021-10-09,3224
2021-10-10,6893
2021-10-11,10836
2021-10-12,11366
2021-10-13,8877
2021-10-14,12739
2021-10-15,11449
2021-10-16,3152
2021-10-17,5079
2021-10-18,14347
2021-10-19,18464
2021-10-20,6611
2021-10-21,10852
2021-10-22,8103
2021-10-23,4786
2021-10-24,6081
2021-10-25,10570
2021-10-26,11291
2021-10-27,12405
2021-10-28,14409
2021-10-29,10892
2021-10-30,2264
2021-10-31,12094
2021-11-01,6968
2021-11-02,15150
2021-11-03,10643
2021-11-04,9551
2021-11-05,13345
2021-11-06,2935
2021-11-07,2669
2021-11-08,3359
2021-11-09,8584
2021-11-10,9842
2021-11-11,19361
2021-11-12,10703
2021-11-13,1145
2021-11-14,8647
2021-11-15,12012
2021-11-16,12599
2021-11-17,11901
2021-11-18,7096
2021-11-19,13311
2021-11-20,1895
2021-11-21,11446
2021-11-22,11469
2021-11-23,13106
2021-11-24,7607
2021-11-25,15512
2021-11-26,5056
2021-11-27,4757
2021-11-30,10021
2021-12-01,11843
2021-12-02,10134
2021-12-03,7756
2021-12-06,9807
2021-12-07,8874
2021-12-08,11959
2021-12-09,5852
2021-12-10,11181
2021-12-11,1595
2021-12-12,7102
2021-12-13,12623
2021-12-14,10121
2021-12-22,9252
2021-12-23,9904
2021-12-24,11224
2021-12-25,343
2021-12-26,4701
2021-12-27,8940
2021-12-28,9880
2021-12-29,1959
2021-12-30,9354
2021-12-31,786
2022-01-01,794
2022-01-02,4676
2022-01-03,4732
2022-01-04,6878
2022-01-05,6880
2022-01-06,2897
2022-01-07,2826
2022-01-08,1780
2022-01-09,6184
2022-01-10,10949
2022-01-11,7789
2022-01-12,12627
2022-01-13,8908
2022-01-14,8884
2022-01-15,1965
2022-01-16,8648
2022-01-19,13289
2022-01-20,18357
2022-01-21,8322
2022-01-22,2030
2022-01-23,4248
2022-01-24,8134
2022-01-25,14189
2022-01-26,11467
2022-01-27,11680
2022-01-28,11050
2022-01-29,4271
2022-01-30,8453
2022-01-31,10074
2022-02-01,11074
2022-02-02,7935
2022-02-03,8763
2022-02-04,7516
2022-02-05,1549
2022-02-06,2649
2022-02-07,11506
2022-02-08,11208
2022-02-09,8419
2022-02-10,11546
2022-02-11,10445
2022-02-12,3659
2022-02-13,4783
2022-02-14,11801
2022-02-15,8736
2022-02-16,14218
2022-02-17,15282
2022-02-18,14315
2022-02-19,2287
2022-02-20,6584
2022-02-21,11087
2022-02-22,4577
2022-02-23,6044
2022-02-24,11634
2022-02-25,11306
2022-02-26,2574
2022-02-27,6491
2022-02-28,12156
2022-03-01,9893
2022-03-02,11414
2022-03-03,10306
2022-03-04,5470
2022-03-05,520
2022-03-06,5023
2022-03-07,1208
2022-03-08,6425
2022-03-09,7623
2022-03-10,11293
2022-03-11,4528
2022-03-12,844
2022-03-15,8511
2022-03-16,5609
2022-03-17,7768
2022-03-18,6232
