dates,covid19mobilitytrend_localbusiness
2020-02-15,-4
2020-02-16,-11
2020-02-17,-7
2020-02-18,-1
2020-02-19,-5
2020-02-20,-7
2020-02-21,-15
2020-02-22,-26
2020-02-23,-31
2020-02-24,-21
2020-02-25,-33
2020-02-26,-29
2020-02-27,-30
2020-02-28,-37
2020-02-29,-38
2020-03-01,-41
2020-03-02,-23
2020-03-03,-24
2020-03-04,-30
2020-03-05,-28
2020-03-06,-27
2020-03-07,-32
2020-03-08,-27
2020-03-09,-19
2020-03-10,-27
2020-03-11,-22
2020-03-12,-23
2020-03-13,-24
2020-03-14,-25
2020-03-15,-28
2020-03-16,-17
2020-03-17,-19
2020-03-18,-19
2020-03-19,-28
2020-03-20,-20
2020-03-21,-21
2020-03-22,-20
2020-03-23,-15
2020-03-24,-16
2020-03-25,-18
2020-03-26,-25
2020-03-27,-23
2020-03-28,-23
2020-03-29,-19
2020-03-30,-13
2020-03-31,-11
2020-04-01,-18
2020-04-02,-18
2020-04-03,-18
2020-04-04,-19
2020-04-05,-17
2020-04-06,-12
2020-04-07,-12
2020-04-08,-16
2020-04-09,-18
2020-04-10,-16
2020-04-11,-16
2020-04-12,-20
2020-04-13,-9
2020-04-14,-4
2020-04-15,-3
2020-04-16,-17
2020-04-17,-23
2020-04-18,-13
2020-04-19,-24
2020-04-20,-12
2020-04-21,-13
2020-04-22,-18
2020-04-23,-16
2020-04-24,-14
2020-04-25,-12
2020-04-26,-6
2020-04-27,-6
2020-04-28,-5
2020-04-29,-2
2020-04-30,6
2020-05-01,0
2020-05-02,-9
2020-05-03,-5
2020-05-04,15
2020-05-05,13
2020-05-06,-10
2020-05-07,-7
2020-05-08,-5
2020-05-09,-18
2020-05-10,-6
2020-05-11,-3
2020-05-12,-4
2020-05-13,-7
2020-05-14,-8
2020-05-15,-17
2020-05-16,-8
2020-05-17,-1
2020-05-18,-9
2020-05-19,-6
2020-05-20,-4
2020-05-21,-5
2020-05-22,-7
2020-05-23,-3
2020-05-24,-3
2020-05-25,1
2020-05-26,-3
2020-05-27,-3
2020-05-28,-7
2020-05-29,-7
2020-05-30,-7
2020-05-31,-3
2020-06-01,0
2020-06-02,-6
2020-06-03,-6
2020-06-04,-8
2020-06-05,-6
2020-06-06,-7
2020-06-07,-2
2020-06-08,-1
2020-06-09,-2
2020-06-10,-9
2020-06-11,-6
2020-06-12,-7
2020-06-13,-6
2020-06-14,-4
2020-06-15,2
2020-06-16,-1
2020-06-17,-5
2020-06-18,-9
2020-06-19,-6
2020-06-20,-5
2020-06-21,-3
2020-06-22,-1
2020-06-23,-1
2020-06-24,-15
2020-06-25,-10
2020-06-26,-4
2020-06-27,-3
2020-06-28,-1
2020-06-29,-5
2020-06-30,-4
2020-07-01,-5
2020-07-02,-6
2020-07-03,-8
2020-07-04,-6
2020-07-05,-3
2020-07-06,-2
2020-07-07,-1
2020-07-08,-5
2020-07-09,-7
2020-07-10,-10
2020-07-11,-5
2020-07-12,-10
2020-07-13,-14
2020-07-14,-3
2020-07-15,-3
2020-07-16,-3
2020-07-17,-5
2020-07-18,-4
2020-07-19,-8
2020-07-20,-3
2020-07-21,1
2020-07-22,-11
2020-07-23,-19
2020-07-24,-8
2020-07-25,-5
2020-07-26,0
2020-07-27,-4
2020-07-28,-2
2020-07-29,-8
2020-07-30,-3
2020-07-31,0
2020-08-01,-8
2020-08-02,-9
2020-08-03,2
2020-08-04,7
2020-08-05,-1
2020-08-06,-4
2020-08-07,-5
2020-08-08,-13
2020-08-09,-12
2020-08-10,-4
2020-08-11,1
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,-9
2020-08-16,2
2020-08-17,7
2020-08-18,-6
2020-08-19,-13
2020-08-20,-16
2020-08-21,-19
2020-08-22,-28
2020-08-23,-25
2020-08-24,-15
2020-08-25,-16
