dates,incrementalcount_medicaltest_conditioncovid_19
2020-02-08,745
2020-02-09,501
2020-02-10,512
2020-02-11,1215
2020-02-12,1299
2020-02-13,887
2020-02-14,731
2020-02-15,492
2020-02-16,427
2020-02-17,557
2020-02-18,1054
2020-02-19,1401
2020-02-20,2029
2020-02-21,3198
2020-02-22,5186
2020-02-23,4593
2020-02-24,6577
2020-02-25,7548
2020-02-26,13249
2020-02-27,13099
2020-02-28,14515
2020-02-29,12888
2020-03-01,4866
2020-03-02,10670
2020-03-03,16260
2020-03-04,10856
2020-03-05,9834
2020-03-06,18199
2020-03-07,13449
2020-03-08,10329
2020-03-09,8100
2020-03-10,13526
2020-03-11,12251
2020-03-12,12603
2020-03-13,13649
2020-03-14,12687
2020-03-15,6878
2020-03-16,6292
2020-03-17,12212
2020-03-18,8931
2020-03-19,11377
2020-03-20,9640
2020-03-21,10845
2020-03-22,4271
2020-03-23,6256
2020-03-24,10546
2020-03-25,9314
2020-03-26,7046
2020-03-27,12019
2020-03-28,10964
2020-03-29,6216
2020-03-30,1053
2020-03-31,15370
2020-04-01,10983
2020-04-02,10196
2020-04-03,11530
2020-04-04,11759
2020-04-05,6201
2020-04-06,5571
2020-04-07,10500
2020-04-08,8699
2020-04-09,8708
2020-04-10,8340
2020-04-11,7428
2020-04-12,4143
2020-04-13,4121
2020-04-14,8695
2020-04-15,7114
2020-04-16,4223
2020-04-17,7688
2020-04-18,8371
2020-04-19,4275
2020-04-20,3926
2020-04-21,7979
2020-04-22,6945
2020-04-23,6012
2020-04-24,5549
2020-04-25,5641
2020-04-26,3124
2020-04-27,3375
2020-04-28,6854
2020-04-29,5683
2020-04-30,5684
2020-05-01,3188
2020-05-02,4493
2020-05-03,3411
2020-05-04,2948
2020-05-05,6316
2020-05-06,2858
2020-05-07,6293
2020-05-08,5475
2020-05-09,5167
2020-05-10,3856
2020-05-11,4606
2020-05-12,12398
2020-05-13,15030
2020-05-14,15564
2020-05-15,15263
2020-05-16,13898
2020-05-17,7008
2020-05-18,5558
2020-05-19,12363
2020-05-20,10859
2020-05-21,12251
2020-05-22,13734
2020-05-23,12002
2020-05-24,5869
2020-05-25,6148
2020-05-26,13038
2020-05-27,13401
2020-05-28,15790
2020-05-29,16454
2020-05-30,17781
2020-05-31,7921
2020-06-01,10569
2020-06-02,18460
2020-06-03,17001
2020-06-04,17006
2020-06-05,17102
2020-06-06,14345
2020-06-07,7464
2020-06-08,5445
2020-06-09,17783
2020-06-10,15975
2020-06-11,14916
2020-06-12,14599
2020-06-13,13217
2020-06-14,5624
2020-06-15,5391
2020-06-16,14048
2020-06-17,13056
2020-06-18,12889
2020-06-19,12351
2020-06-20,12838
2020-06-21,5562
2020-06-22,5603
2020-06-23,13946
2020-06-24,12585
2020-06-25,11881
2020-06-26,11837
2020-06-27,11465
2020-06-28,7915
2020-06-29,8259
2020-06-30,13812
2020-07-01,11465
2020-07-02,10731
2020-07-03,11799
2020-07-04,11762
2020-07-05,6532
2020-07-06,5741
2020-07-07,14398
2020-07-08,13541
2020-07-09,12036
2020-07-10,13119
2020-07-11,12051
2020-07-12,5203
2020-07-13,6168
2020-07-14,12304
2020-07-15,10700
2020-07-16,10032
2020-07-17,9669
2020-07-18,9187
2020-07-19,5095
2020-07-20,4894
2020-07-21,12197
2020-07-22,9681
2020-07-23,8783
2020-07-24,9473
2020-07-25,8307
2020-07-26,4292
2020-07-27,4048
2020-07-28,10730
2020-07-29,9603
2020-07-30,8908
2020-07-31,7581
2020-08-01,8034
2020-08-02,4416
2020-08-03,3511
2020-08-04,10023
2020-08-05,8407
2020-08-06,8300
2020-08-07,7165
2020-08-08,6862
2020-08-09,4136
2020-08-10,3653
2020-08-11,9541
2020-08-12,8808
2020-08-13,8246
2020-08-14,10186
2020-08-15,10212
2020-08-16,6491
2020-08-17,6683
2020-08-18,8572
2020-08-19,18022
2020-08-20,19019
2020-08-21,20040
2020-08-22,21677
2020-08-23,15386
2020-08-24,13236
2020-08-25,21415
2020-08-26,23669
2020-08-27,20073
2020-08-28,18138
2020-08-29,21612
2020-08-30,14841
2020-08-31,13519
2020-09-01,21391
2020-09-02,21215
2020-09-03,20257
2020-09-04,21354
2020-09-05,15139
2020-09-06,8890
2020-09-07,5362
2020-09-08,14781
2020-09-09,16156
2020-09-10,17357
2020-09-11,19620
2020-09-12,16246
2020-09-13,7813
2020-09-14,7732
2020-09-15,13576
2020-09-16,14254
2020-09-17,13060
2020-09-18,14473
2020-09-19,12797
2020-09-20,7539
2020-09-21,4888
2020-09-22,13523
2020-09-23,11787
2020-09-24,12100
2020-09-25,11277
2020-09-26,10069
2020-09-27,6172
2020-09-28,4786
2020-09-29,11741
2020-09-30,9955
2020-10-01,5436
2020-10-02,5342
2020-10-03,6082
2020-10-04,6486
2020-10-05,6033
2020-10-06,13055
2020-10-07,12640
2020-10-08,10771
2020-10-09,11389
2020-10-10,4451
2020-10-11,5799
2020-10-12,5127
2020-10-13,13161
2020-10-14,12683
2020-10-15,9285
2020-10-16,8687
2020-10-17,9101
2020-10-18,6002
2020-10-19,4697
2020-10-20,12085
2020-10-21,12180
2020-10-22,11834
2020-10-23,13296
2020-10-24,12058
2020-10-25,5467
2020-10-26,6118
2020-10-27,15323
2020-10-28,15373
2020-10-29,15018
2020-10-30,14253
2020-10-31,12261
2020-11-01,6138
2020-11-02,6020
2020-11-03,13209
2020-11-04,12401
2020-11-05,11446
2020-11-06,12608
2020-11-07,10935
2020-11-08,5631
2020-11-09,6319
2020-11-10,14761
2020-11-11,12574
2020-11-12,13238
2020-11-13,11639
2020-11-14,15878
2020-11-15,9589
2020-11-16,10813
2020-11-17,18064
2020-11-18,18607
2020-11-19,19481
2020-11-20,19600
2020-11-21,23303
2020-11-22,12144
2020-11-23,13245
2020-11-24,24264
2020-11-25,20006
2020-11-26,21641
2020-11-27,21531
2020-11-28,22427
2020-11-29,14967
2020-11-30,14201
2020-12-01,22825
2020-12-02,22973
2020-12-03,24916
2020-12-04,25524
2020-12-05,23086
2020-12-06,14371
2020-12-07,14509
2020-12-08,11949
2020-12-09,31911
2020-12-10,24711
2020-12-11,33266
2020-12-12,38651
2020-12-13,24731
2020-12-14,22444
2020-12-15,44181
2020-12-16,47549
2020-12-17,50071
2020-12-18,83799
2020-12-19,104945
2020-12-20,81740
2020-12-21,56520
2020-12-22,108322
2020-12-23,107217
2020-12-24,113731
2020-12-25,118078
2020-12-26,64214
2020-12-27,71122
2020-12-28,56147
2020-12-29,108385
2020-12-30,102495
2020-12-31,95082
2021-01-01,101176
2021-01-02,52986
2021-01-03,73563
2021-01-04,59379
2021-01-05,95268
2021-01-06,97943
2021-01-07,102790
2021-01-08,91127
2021-01-09,93609
2021-01-10,56948
2021-01-11,42043
2021-01-12,94537
2021-01-13,92392
2021-01-14,87625
2021-01-15,84389
2021-01-16,87806
2021-01-17,45836
2021-01-18,37980
2021-01-19,72702
2021-01-20,71747
2021-01-21,66100
2021-01-22,65649
2021-01-23,74184
2021-01-24,37645
2021-01-25,29362
2021-01-26,71041
2021-01-27,68504
2021-01-28,77650
2021-01-29,68421
2021-01-30,77164
2021-01-31,48800
2021-02-01,33651
2021-02-02,81852
2021-02-03,73843
2021-02-04,74144
2021-02-05,72452
