dates,incrementalcount_medicaltest_conditioncovid_19
2021-05-17,2340
2021-05-18,1967
2021-05-19,1482
2021-05-21,1815
2021-05-23,1631
2021-05-24,1126
2021-05-25,1484
2021-05-26,1767
2021-05-27,1990
2021-05-28,2149
2021-05-30,1928
2021-05-31,2002
2021-06-01,2216
2021-06-02,1932
2021-06-03,1725
2021-06-04,1920
2021-06-07,1873
2021-06-08,1845
2021-06-09,1401
2021-06-10,1410
2021-06-11,1826
2021-06-13,1348
2021-06-14,1407
2021-06-15,2015
2021-06-16,1824
2021-06-17,1801
2021-06-18,1801
2021-06-21,911
2021-06-22,1159
2021-06-23,1294
2021-06-24,1574
2021-06-25,1159
2021-06-27,1354
2021-06-28,1129
2021-06-29,858
2021-07-01,1524
2021-07-02,1670
2021-07-04,1717
2021-07-05,843
2021-07-06,1559
2021-07-07,2184
2021-07-08,1610
2021-07-09,1460
2021-07-10,1967
2021-07-11,1248
2021-07-12,1499
2021-07-13,1623
2021-07-14,1888
2021-07-15,1451
2021-07-16,1697
2021-07-18,2356
2021-07-19,1296
2021-07-20,1845
2021-07-21,1151
2021-07-22,2256
2021-07-23,1754
2021-07-24,2571
2021-07-25,1353
2021-07-26,1344
2021-07-27,1383
2021-07-28,2080
2021-07-29,2082
2021-07-30,2379
2021-07-31,2584
2021-08-01,2025
2021-08-02,2298
2021-08-03,1951
2021-08-04,2696
2021-08-05,2392
2021-08-06,2200
2021-08-07,3884
2021-08-08,3225
2021-08-09,2731
2021-08-10,3345
2021-08-11,2725
2021-08-12,2413
2021-08-13,2918
2021-08-14,2487
2021-08-15,2318
2021-08-16,2487
2021-08-17,2146
2021-08-18,2769
2021-08-19,2456
2021-08-20,3317
2021-08-21,2753
2021-08-22,2723
2021-08-23,2427
2021-08-24,2342
2021-08-25,3127
2021-08-26,3367
2021-08-27,3740
2021-08-28,2839
2021-08-29,2961
2021-08-30,2212
2021-08-31,3521
2021-09-01,3828
2021-09-02,3711
2021-09-03,2807
2021-09-04,3180
2021-09-05,3093
2021-09-06,2479
2021-09-07,4159
2021-09-08,5385
2021-09-09,4322
2021-09-10,4322
2021-09-11,4440
2021-09-12,4092
2021-09-13,3425
2021-09-14,3985
2021-09-15,5233
2021-09-16,5270
2021-09-17,4690
2021-09-18,6504
2021-09-19,5318
2021-09-20,5117
2021-09-21,6508
2021-09-22,5913
2021-09-23,5652
2021-09-24,5965
2021-09-25,7674
2021-09-26,4816
2021-09-27,6066
2021-09-28,5911
2021-09-29,7075
2021-09-30,6337
2021-10-01,6393
2021-10-02,6709
2021-10-03,5264
2021-10-04,4591
2021-10-05,3825
2021-10-06,4874
2021-10-07,4965
2021-10-08,5484
2021-10-09,5081
2021-10-10,5660
2021-10-11,3600
2021-10-12,5240
2021-10-13,6427
2021-10-14,6855
2021-10-15,6512
2021-10-16,6602
2021-10-17,5622
2021-10-18,3637
2021-10-19,5911
2021-10-20,5710
2021-10-21,6579
2021-10-22,5580
2021-10-24,6838
2021-10-25,5741
2021-10-26,6109
2021-10-27,5507
2021-10-28,5597
2021-10-29,5588
2021-10-30,7175
2021-10-31,6173
2021-11-01,5213
2021-11-02,5415
2021-11-03,6602
2021-11-04,7179
2021-11-05,8394
2021-11-06,7233
2021-11-07,6472
2021-11-08,6234
2021-11-09,7107
2021-11-10,7703
2021-11-11,5540
2021-11-12,6729
2021-11-15,4941
2021-11-16,6865
2021-11-17,5461
2021-11-18,7948
2021-11-19,5987
2021-11-20,6782
2021-11-21,5259
2021-11-22,4793
2021-11-23,7007
2021-11-24,6489
2021-11-25,9654
2021-11-26,5627
2021-11-28,7123
2021-11-29,5045
2021-11-30,6273
2021-12-01,6513
2021-12-02,6595
2021-12-03,9011
2021-12-05,6423
2021-12-06,3867
2021-12-07,5792
2021-12-08,10593
2021-12-09,4925
2021-12-10,6734
2021-12-11,8074
2021-12-12,4638
2021-12-13,4254
2021-12-14,6068
2021-12-15,5792
2021-12-16,6858
2021-12-17,6369
2021-12-18,6472
2021-12-19,6838
2021-12-20,5231
2021-12-21,5215
2021-12-22,4844
2021-12-25,11248
2021-12-26,3458
2021-12-27,3250
2021-12-28,4790
2021-12-30,5405
2021-12-31,5100
2022-01-01,4172
2022-01-03,2807
2022-01-04,2982
2022-01-05,4140
2022-01-06,4942
2022-01-07,5475
2022-01-10,3879
2022-01-11,5443
2022-01-12,4913
2022-01-13,5171
2022-01-14,6222
2022-01-15,5124
2022-01-16,3273
2022-01-17,4272
2022-01-18,4597
2022-01-19,5298
2022-01-20,4497
2022-01-21,4337
2022-01-24,2336
2022-01-25,3897
2022-01-26,3556
2022-01-27,4902
2022-01-31,2657
2022-02-01,3850
2022-02-03,3234
2022-02-04,2918
2022-02-07,2887
2022-02-11,3010
2022-02-13,2391
2022-02-14,2171
2022-02-16,2753
2022-02-21,1925
2022-02-22,2504
2022-02-24,2684
2022-02-25,2684
2022-02-28,1318
2022-03-02,2464
2022-03-06,1865
2022-03-07,1521
2022-03-11,2437
2022-03-14,1888
2022-03-21,3085
2022-03-25,5277
2022-03-28,3134
2022-03-31,5688
2022-04-07,4827
2022-04-11,2040
2022-04-15,1350
2022-04-18,1218
2022-04-25,1452
2022-04-29,1972
2022-05-05,2323
2022-05-09,1247
2022-05-12,981
2022-05-20,776
2022-05-26,687
2022-05-30,438
2022-06-03,485
2022-06-09,671
