dates,cumulativecount_medicaltest_conditioncovid_19
2021-05-07,4069394
2021-05-08,4097623
2021-05-10,4119202
2021-05-11,4136091
2021-05-12,4151385
2021-05-13,4163257
2021-05-16,4183866
2021-05-17,4206316
2021-05-18,4224382
2021-05-19,4241656
2021-05-21,4275276
2021-05-22,4291414
2021-05-24,4312975
2021-05-25,4329075
2021-05-26,4342606
2021-05-27,4356507
2021-05-28,4373990
2021-05-30,4392200
2021-06-01,4429826
2021-06-05,4490314
2021-06-07,4513473
2021-06-08,4529700
2021-06-09,4543738
2021-06-11,4574388
2021-06-14,4599186
2021-06-23,4731376
