dates,covid19mobilitytrend_localbusiness
2020-02-15,4
2020-02-16,6
2020-02-17,-2
2020-02-18,3
2020-02-19,2
2020-02-20,2
2020-02-21,3
2020-02-22,3
2020-02-23,6
2020-02-24,5
2020-02-25,5
2020-02-26,4
2020-02-27,3
2020-02-28,4
2020-02-29,3
2020-03-01,7
2020-03-02,4
2020-03-03,6
2020-03-04,4
2020-03-05,3
2020-03-06,5
2020-03-07,3
2020-03-08,4
2020-03-09,4
2020-03-10,3
2020-03-11,4
2020-03-12,4
2020-03-13,7
2020-03-14,2
2020-03-15,1
2020-03-16,-7
2020-03-17,-10
2020-03-18,-14
2020-03-19,-27
2020-03-20,-35
2020-03-21,-29
2020-03-22,-37
2020-03-23,-39
2020-03-24,-34
2020-03-25,-53
2020-03-26,-53
2020-03-27,-50
2020-03-28,-49
2020-03-29,-49
2020-03-30,-54
2020-03-31,-51
2020-04-01,-51
2020-04-02,-52
2020-04-03,-50
2020-04-04,-48
2020-04-05,-44
2020-04-06,-47
2020-04-07,-47
2020-04-08,-52
2020-04-09,-49
2020-04-10,-53
2020-04-11,-46
2020-04-12,-43
2020-04-13,-46
2020-04-14,-45
2020-04-15,-39
2020-04-16,-35
2020-04-17,-47
2020-04-18,-46
2020-04-19,-41
2020-04-20,-43
2020-04-21,-37
2020-04-22,-36
2020-04-23,-33
2020-04-24,-39
2020-04-25,-42
2020-04-26,-39
2020-04-27,-40
2020-04-28,-34
2020-04-29,-33
2020-04-30,-37
2020-05-01,-29
2020-05-02,-33
2020-05-03,-30
2020-05-04,-31
2020-05-05,-29
2020-05-06,-27
2020-05-07,-25
2020-05-08,-13
2020-05-09,-17
2020-05-10,-15
2020-05-11,-17
2020-05-12,-14
2020-05-13,-22
2020-05-14,-29
2020-05-15,-5
2020-05-16,-16
2020-05-17,-10
2020-05-18,-8
2020-05-19,-5
2020-05-20,1
2020-05-21,1
2020-05-22,31
2020-05-23,7
2020-05-24,-18
2020-05-25,-34
2020-05-26,-36
2020-05-27,-23
2020-05-28,-26
2020-05-29,-21
2020-05-30,-17
2020-05-31,-11
2020-06-01,-14
2020-06-02,-14
2020-06-03,-15
2020-06-04,-19
2020-06-05,-18
2020-06-06,-13
2020-06-07,-8
2020-06-08,-11
2020-06-09,-12
2020-06-10,-10
2020-06-11,-11
2020-06-12,-12
2020-06-13,-9
2020-06-14,-1
2020-06-15,-6
2020-06-16,-5
2020-06-17,-6
2020-06-18,-11
2020-06-19,-24
2020-06-20,-20
2020-06-21,2
2020-06-22,-5
2020-06-23,-3
2020-06-24,-5
2020-06-25,-8
2020-06-26,-19
2020-06-27,-18
2020-06-28,1
2020-06-29,-3
2020-06-30,-2
2020-07-01,-2
2020-07-02,-6
2020-07-03,-17
2020-07-04,-18
2020-07-05,6
2020-07-06,2
2020-07-07,5
2020-07-08,2
2020-07-09,-4
2020-07-10,-14
2020-07-11,-16
2020-07-12,5
2020-07-13,2
2020-07-14,1
2020-07-15,0
2020-07-16,-2
2020-07-17,-10
2020-07-18,-5
2020-07-19,13
2020-07-20,8
2020-07-21,8
2020-07-22,7
2020-07-23,5
2020-07-24,-1
2020-07-25,3
2020-07-26,13
2020-07-27,8
2020-07-28,16
2020-07-29,20
2020-07-30,-1
2020-07-31,-32
2020-08-01,-37
2020-08-02,-34
2020-08-03,-29
2020-08-04,-26
2020-08-05,-12
2020-08-06,-13
2020-08-07,-20
2020-08-08,-19
2020-08-09,4
2020-08-10,-3
2020-08-11,1
2020-08-12,0
2020-08-13,-2
2020-08-14,-14
2020-08-15,-13
2020-08-16,6
2020-08-17,-4
2020-08-18,-9
2020-08-19,-18
2020-08-20,-17
2020-08-21,-24
2020-08-22,-20
2020-08-23,-3
2020-08-24,-7
2020-08-25,-5
2020-08-26,-7
2020-08-27,-23
2020-08-28,-23
2020-08-29,-21
2020-08-30,-11
2020-08-31,-5
2020-09-01,-4
2020-09-02,-8
2020-09-03,-7
2020-09-04,-16
2020-09-05,-13
2020-09-06,6
2020-09-07,6
2020-09-08,6
2020-09-09,3
2020-09-10,0
2020-09-11,-13
2020-09-12,-9
2020-09-13,7
2020-09-14,9
2020-09-15,7
2020-09-16,7
2020-09-17,0
2020-09-18,-6
2020-09-19,-1
2020-09-20,12
2020-09-21,11
2020-09-22,10
2020-09-23,7
2020-09-24,-3
2020-09-25,-17
2020-09-26,-1
2020-09-27,14
2020-09-28,10
2020-09-29,6
2020-09-30,11
2020-10-01,7
2020-10-02,-3
2020-10-03,0
2020-10-04,12
2020-10-05,11
2020-10-06,19
2020-10-07,17
2020-10-08,16
2020-10-09,4
2020-10-10,12
2020-10-11,21
2020-10-12,19
2020-10-13,25
2020-10-14,19
2020-10-15,18
2020-10-16,6
2020-10-17,13
2020-10-18,23
2020-10-19,23
2020-10-20,24
2020-10-21,27
2020-10-22,29
2020-10-23,16
2020-10-24,26
2020-10-25,36
2020-10-26,37
2020-10-27,38
2020-10-28,38
2020-10-29,13
2020-10-30,11
2020-10-31,18
2020-11-01,26
2020-11-02,24
2020-11-03,28
2020-11-04,23
2020-11-05,22
2020-11-06,6
2020-11-07,16
2020-11-08,24
2020-11-09,23
2020-11-10,26
2020-11-11,24
2020-11-12,23
2020-11-13,12
2020-11-14,19
2020-11-15,27
2020-11-16,26
2020-11-17,27
2020-11-18,26
2020-11-19,24
2020-11-20,14
2020-11-21,23
2020-11-22,29
2020-11-23,22
2020-11-24,28
2020-11-25,27
2020-11-26,27
2020-11-27,20
2020-11-28,26
2020-11-29,29
2020-11-30,28
2020-12-01,33
2020-12-02,33
2020-12-03,30
2020-12-04,20
2020-12-05,27
2020-12-06,33
2020-12-07,32
2020-12-08,34
2020-12-09,27
2020-12-10,28
2020-12-11,17
2020-12-12,28
2020-12-13,26
2020-12-14,30
2020-12-15,36
2020-12-16,34
2020-12-17,31
2020-12-18,21
2020-12-19,28
2020-12-20,35
2020-12-21,33
2020-12-22,31
2020-12-23,32
2020-12-24,27
2020-12-25,19
2020-12-26,28
2020-12-27,35
2020-12-28,34
2020-12-29,33
2020-12-30,32
2020-12-31,35
2021-01-01,23
2021-01-02,30
2021-01-03,34
2021-01-04,34
2021-01-05,35
2021-01-06,33
2021-01-07,37
2021-01-08,27
2021-01-09,36
2021-01-10,43
2021-01-11,42
2021-01-12,42
2021-01-13,37
2021-01-14,37
2021-01-15,19
2021-01-16,26
2021-01-17,34
2021-01-18,34
2021-01-19,37
2021-01-20,37
2021-01-21,36
2021-01-22,26
2021-01-23,33
2021-01-24,40
2021-01-25,39
2021-01-26,36
2021-01-27,36
2021-01-28,35
2021-01-29,30
2021-01-30,38
2021-01-31,44
2021-02-01,45
2021-02-02,48
2021-02-03,37
2021-02-04,33
2021-02-05,23
2021-02-06,30
2021-02-07,34
2021-02-08,38
2021-02-09,44
2021-02-10,42
2021-02-11,42
2021-02-12,29
2021-02-13,42
2021-02-14,47
2021-02-15,37
2021-02-16,48
2021-02-17,39
2021-02-18,41
2021-02-19,34
2021-02-20,47
2021-02-21,51
2021-02-22,48
2021-02-23,49
2021-02-24,48
2021-02-25,46
2021-02-26,34
2021-02-27,45
2021-02-28,52
2021-03-01,51
2021-03-02,53
2021-03-03,52
2021-03-04,51
2021-03-05,39
2021-03-06,49
2021-03-07,55
2021-03-08,51
2021-03-09,55
2021-03-10,54
2021-03-11,52
2021-03-12,43
2021-03-13,52
2021-03-14,60
2021-03-15,57
2021-03-16,60
2021-03-17,60
2021-03-18,59
2021-03-19,44
2021-03-20,59
2021-03-21,71
2021-03-22,61
2021-03-23,58
2021-03-24,61
2021-03-25,60
2021-03-26,48
2021-03-27,60
2021-03-28,66
2021-03-29,66
2021-03-30,68
2021-03-31,67
2021-04-01,68
2021-04-02,56
2021-04-03,65
2021-04-04,73
2021-04-05,75
2021-04-06,81
2021-04-07,79
2021-04-08,82
2021-04-09,71
2021-04-10,85
2021-04-11,96
2021-04-12,107
2021-04-13,45
2021-04-14,47
2021-04-15,40
2021-04-16,51
2021-04-17,48
2021-04-18,58
2021-04-19,62
2021-04-20,65
2021-04-21,63
2021-04-22,53
2021-04-23,74
2021-04-24,62
2021-04-25,69
2021-04-26,67
2021-04-27,72
2021-04-28,71
2021-04-29,55
2021-04-30,87
2021-05-01,70
2021-05-02,82
2021-05-03,88
2021-05-04,96
2021-05-05,94
2021-05-06,86
2021-05-07,120
2021-05-08,97
2021-05-09,107
2021-05-10,119
2021-05-11,132
2021-05-12,139
2021-05-13,66
2021-05-14,65
2021-05-15,40
2021-05-16,73
2021-05-17,76
2021-05-18,84
2021-05-19,79
2021-05-20,78
2021-05-21,78
2021-05-22,85
2021-05-23,90
2021-05-24,89
2021-05-25,96
2021-05-26,92
2021-05-27,91
2021-05-28,90
2021-05-29,92
2021-05-30,104
2021-05-31,106
2021-06-01,110
2021-06-02,105
2021-06-03,101
2021-06-04,97
2021-06-05,101
2021-06-06,103
2021-06-07,107
2021-06-08,110
2021-06-09,113
2021-06-10,107
2021-06-11,91
2021-06-12,97
2021-06-13,104
2021-06-14,104
2021-06-15,107
2021-06-16,100
2021-06-17,95
2021-06-18,84
2021-06-19,83
2021-06-20,87
2021-06-21,90
2021-06-22,85
2021-06-23,83
2021-06-24,90
2021-06-25,85
2021-06-26,90
2021-06-27,97
2021-06-28,95
2021-06-29,92
2021-06-30,91
2021-07-01,90
