dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,1
2020-04-05,1
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-09,1
2020-04-10,1
2020-04-11,1
2020-04-12,1
2020-04-13,1
2020-04-14,1
2020-04-15,1
2020-04-16,1
2020-04-17,1
2020-04-18,1
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-04-25,2
2020-04-26,2
2020-04-27,2
2020-04-28,2
2020-04-29,2
2020-04-30,2
2020-05-01,2
2020-05-02,3
2020-05-03,3
2020-05-04,3
2020-05-05,3
2020-05-06,3
2020-05-07,3
2020-05-08,3
2020-05-09,3
2020-05-10,3
2020-05-11,3
2020-05-12,3
2020-05-13,3
2020-05-14,3
2020-05-15,3
2020-05-16,3
2020-05-17,3
2020-05-18,3
2020-05-19,3
2020-05-20,3
2020-05-21,3
2020-05-22,3
2020-05-23,3
2020-05-24,3
2020-05-25,3
2020-05-26,3
2020-05-27,3
2020-05-28,3
2020-05-29,4
2020-05-30,5
2020-05-31,5
2020-06-01,5
2020-06-02,5
2020-06-03,5
2020-06-04,5
2020-06-05,5
2020-06-06,5
2020-06-07,5
2020-06-08,5
2020-06-09,5
2020-06-10,5
2020-06-11,5
2020-06-12,5
2020-06-13,5
2020-06-14,6
2020-06-15,8
2020-06-16,8
2020-06-17,10
2020-06-18,10
2020-06-19,10
2020-06-20,10
2020-06-21,10
2020-06-22,10
2020-06-23,10
2020-06-24,10
2020-06-25,17
2020-06-26,18
2020-06-27,18
2020-06-28,18
2020-06-29,18
2020-06-30,21
2020-07-01,23
2020-07-02,24
2020-07-03,25
2020-07-04,26
2020-07-05,27
2020-07-06,27
2020-07-07,32
2020-07-08,34
2020-07-09,35
2020-07-10,36
2020-07-11,38
2020-07-12,38
2020-07-13,38
2020-07-14,39
2020-07-15,40
2020-07-16,42
2020-07-17,43
2020-07-18,46
2020-07-19,47
2020-07-20,48
2020-07-21,48
2020-07-22,49
2020-07-23,50
2020-07-24,53
2020-07-25,56
2020-07-26,57
2020-07-27,58
2020-07-28,60
2020-07-29,64
2020-07-30,67
2020-07-31,71
2020-08-01,73
2020-08-02,74
2020-08-03,80
2020-08-04,83
2020-08-05,93
2020-08-06,96
2020-08-07,99
2020-08-08,107
2020-08-09,108
2020-08-10,113
2020-08-11,120
2020-08-12,125
2020-08-13,132
2020-08-14,132
2020-08-15,135
2020-08-16,139
2020-08-17,145
2020-08-18,153
2020-08-19,157
2020-08-20,164
2020-08-21,169
2020-08-22,173
2020-08-23,180
2020-08-24,188
2020-08-25,199
2020-08-26,203
2020-08-27,210
2020-08-28,219
2020-08-29,226
2020-08-30,231
2020-08-31,232
2020-09-01,237
2020-09-02,242
2020-09-03,250
2020-09-04,254
2020-09-05,262
2020-09-06,272
2020-09-07,285
2020-09-08,296
2020-09-09,314
2020-09-10,324
2020-09-11,339
2020-09-12,352
2020-09-13,354
2020-09-14,362
2020-09-15,368
2020-09-16,383
2020-09-17,394
2020-09-18,405
2020-09-19,418
2020-09-20,426
2020-09-21,434
2020-09-22,450
2020-09-23,460
2020-09-24,469
2020-09-25,474
2020-09-26,491
2020-09-27,499
2020-09-28,520
2020-09-29,527
2020-09-30,540
2020-10-01,551
2020-10-02,559
2020-10-03,570
2020-10-04,578
2020-10-05,592
2020-10-06,596
2020-10-07,602
2020-10-08,608
2020-10-09,616
2020-10-10,621
2020-10-11,623
2020-10-12,631
2020-10-13,644
2020-10-14,656
2020-10-15,669
2020-10-16,681
2020-10-17,699
2020-10-18,699
2020-10-19,725
2020-10-20,732
2020-10-21,746
2020-10-22,765
2020-10-23,768
2020-10-24,774
2020-10-25,790
2020-10-26,795
2020-10-27,801
2020-10-28,812
2020-10-29,823
2020-10-30,831
2020-10-31,847
2020-11-01,857
2020-11-02,871
2020-11-03,880
2020-11-04,893
2020-11-05,900
2020-11-06,907
2020-11-07,915
2020-11-08,920
2020-11-09,929
2020-11-10,944
2020-11-11,957
2020-11-12,970
2020-11-13,985
2020-11-14,995
2020-11-15,995
2020-11-16,1017
2020-11-17,1025
2020-11-18,1041
2020-11-19,1053
2020-11-20,1062
2020-11-21,1068
2020-11-22,1068
2020-11-23,1089
2020-11-24,1102
2020-11-25,1110
2020-11-26,1125
2020-11-27,1140
2020-11-28,1153
2020-11-29,1153
2020-11-30,1166
2020-12-01,1183
2020-12-02,1196
2020-12-03,1200
2020-12-04,1212
2020-12-05,1219
2020-12-06,1219
2020-12-07,1231
2020-12-08,1243
2020-12-09,1255
2020-12-10,1261
2020-12-11,1273
2020-12-12,1278
2020-12-13,1278
2020-12-14,1299
2020-12-15,1314
2020-12-16,1319
2020-12-17,1324
2020-12-18,1337
2020-12-19,1346
2020-12-20,1346
2020-12-21,1353
2020-12-22,1369
2020-12-23,1385
2020-12-24,1393
2020-12-25,1399
2020-12-26,1415
2020-12-27,1415
2020-12-28,1436
2020-12-29,1440
2020-12-30,1444
2020-12-31,1459
2021-01-01,1478
2021-01-02,1487
2021-01-03,1487
2021-01-04,1510
2021-01-05,1526
2021-01-06,1536
2021-01-07,1546
2021-01-08,1558
2021-01-09,1568
2021-01-10,1568
2021-01-11,1581
2021-01-12,1589
2021-01-13,1622
2021-01-14,1629
2021-01-15,1645
2021-01-16,1651
2021-01-17,1651
2021-01-18,1665
2021-01-19,1698
2021-01-20,1700
2021-01-21,1715
2021-01-22,1716
2021-01-23,1737
2021-01-24,1737
2021-01-25,1763
2021-01-26,1782
2021-01-27,1789
2021-01-28,1802
2021-01-29,1832
2021-01-30,1842
2021-01-31,1842
2021-02-01,1877
2021-02-02,1883
2021-02-03,1896
2021-02-04,1914
2021-02-05,1919
2021-02-06,1936
2021-02-07,1936
2021-02-08,1953
2021-02-09,1974
2021-02-10,1982
2021-02-11,1989
2021-02-12,2009
2021-02-13,2014
2021-02-14,2014
2021-02-15,2018
2021-02-16,2042
2021-02-17,2051
2021-02-18,2056
2021-02-19,2061
2021-02-20,2088
2021-02-21,2088
2021-02-22,2114
2021-02-23,2116
2021-02-24,2125
2021-02-25,2151
2021-02-26,2156
2021-02-27,2174
2021-02-28,2174
2021-03-01,2179
2021-03-02,2210
2021-03-03,2216
2021-03-04,2219
2021-03-05,2233
2021-03-06,2236
2021-03-07,2236
2021-03-08,2273
2021-03-09,2288
2021-03-10,2297
2021-03-11,2330
2021-03-12,2340
2021-03-13,2348
2021-03-14,2348
2021-03-15,2386
2021-03-16,2402
2021-03-17,2406
2021-03-18,2422
2021-03-19,2435
2021-03-20,2487
2021-03-21,2487
2021-03-22,2506
2021-03-23,2513
2021-03-24,2564
2021-03-25,2582
2021-03-26,2591
2021-03-27,2602
2021-03-28,2602
2021-03-29,2618
2021-03-30,2653
2021-03-31,2658
2021-04-01,2667
2021-04-02,2680
2021-04-03,2684
2021-04-04,2684
2021-04-05,2737
2021-04-06,2757
2021-04-07,2765
2021-04-08,2772
2021-04-09,2799
2021-04-10,2807
2021-04-11,2807
2021-04-12,2823
2021-04-13,2828
2021-04-14,2830
2021-04-15,2834
2021-04-16,2873
2021-04-17,2882
2021-04-18,2882
2021-04-19,2896
2021-04-20,2908
2021-04-21,2919
2021-04-22,2924
2021-04-23,2936
2021-04-24,2947
2021-04-25,2947
2021-04-26,2996
2021-04-27,3005
2021-04-28,3010
2021-04-29,3019
2021-04-30,3023
2021-05-01,3029
2021-05-02,3029
2021-05-03,3039
2021-05-04,3047
2021-05-05,3049
2021-05-06,3058
2021-05-07,3059
2021-05-08,3063
2021-05-09,3063
2021-05-10,3070
2021-05-11,3072
2021-05-12,3077
2021-05-13,3082
2021-05-14,3085
2021-05-15,3085
2021-05-16,3085
2021-05-17,3088
2021-05-18,3092
2021-05-19,3097
2021-05-20,3097
2021-05-21,3102
2021-05-22,3105
2021-05-23,3105
2021-05-24,3111
2021-05-25,3112
2021-05-26,3114
2021-05-27,3115
2021-05-28,3115
2021-05-29,3116
2021-05-30,3116
2021-05-31,3125
2021-06-01,3126
2021-06-02,3127
2021-06-03,3131
2021-06-04,3132
2021-06-05,3137
2021-06-06,3137
2021-06-07,3143
2021-06-08,3146
2021-06-09,3149
2021-06-10,3152
2021-06-11,3155
2021-06-12,3158
2021-06-13,3158
2021-06-14,3161
2021-06-15,3165
2021-06-16,3166
2021-06-17,3166
2021-06-18,3170
2021-06-19,3173
2021-06-20,3173
2021-06-21,3174
2021-06-22,3178
2021-06-23,3181
2021-06-24,3183
2021-06-25,3185
2021-06-26,3185
2021-06-27,3185
2021-06-28,3187
2021-06-29,3191
2021-06-30,3191
2021-07-01,3193
2021-07-02,3198
2021-07-03,3205
2021-07-04,3205
2021-07-05,3211
2021-07-06,3213
2021-07-07,3215
2021-07-08,3223
2021-07-09,3227
2021-07-10,3232
2021-07-11,3232
2021-07-12,3240
2021-07-13,3243
2021-07-14,3245
2021-07-15,3248
2021-07-16,3249
2021-07-17,3253
2021-07-18,3253
2021-07-19,3281
2021-07-20,3299
