dates,cumulativecount_vaccine_covid_19_administered
2021-04-17,750
2021-05-10,106559
2021-06-01,243891
2021-06-09,317809
2021-06-12,330260
2021-06-16,351408
2021-06-23,370066
2021-06-29,379404
2021-07-08,393688
2021-07-11,425119
2021-07-18,480116
2021-07-25,530808
2021-07-28,546745
2021-08-04,712213
2021-08-05,737417
2021-08-09,764233
2021-08-18,889957
2021-08-25,1022882
2021-08-26,1031060
2021-09-01,1130485
2021-09-09,1274076
2021-09-10,1322307
2021-09-15,1381309
2021-09-19,1464304
2021-09-22,1501622
2021-09-25,1546967
2021-09-28,1586055
2021-10-02,1637401
2021-10-07,1666086
2021-10-09,1689252
2021-10-14,1739046
2021-10-17,1799014
2021-10-21,1809365
2021-10-24,1863974
2021-10-28,1900831
2021-10-31,1988280
2021-11-04,2020518
2021-11-06,2070595
2021-11-10,2096601
2021-11-14,2149880
2021-11-18,2178584
2021-11-21,2234121
2021-11-24,2291638
2021-11-28,2335862
2021-12-02,2377003
2021-12-04,2438246
2021-12-09,2485598
2021-12-11,2536160
2021-12-15,2554207
2021-12-19,2609405
2021-12-23,2618692
2021-12-27,2664009
2021-12-30,2679874
2022-01-06,2752390
2022-01-10,2847131
2022-01-12,2875173
2022-01-16,2910096
2022-01-18,2929961
2022-01-22,2963656
2022-01-25,3003536
2022-01-30,3051024
2022-02-01,3082052
2022-02-06,3124669
2022-02-13,3198389
2022-02-19,3256672
2022-02-20,3261687
2022-02-21,3268714
2022-02-22,3283747
2022-02-23,3292723
2022-02-24,3300845
2022-02-26,3308719
2022-02-27,3317184
2022-02-28,3324621
2022-03-02,3337591
2022-03-03,3343570
2022-03-05,3347763
2022-03-06,3353611
2022-03-08,3360306
2022-03-09,3362636
2022-03-10,3365544
2022-03-12,3369226
2022-03-13,3374740
2022-03-14,3382281
2022-03-15,3387399
2022-03-16,3390125
2022-03-17,3392163
2022-03-19,3396869
2022-03-20,3400104
2022-03-21,3406343
2022-03-22,3408820
2022-03-23,3415232
2022-03-24,3415834
2022-03-31,3436348
2022-04-07,3444646
2022-04-14,3451352
2022-05-12,3456207
2022-05-19,3460229
2022-06-05,3514582
2022-06-12,3555695
2022-06-16,3560043
2022-06-27,3579762
2022-07-03,3616272
2022-07-17,3667090
2022-07-27,3677815
2022-08-02,3680943
2022-08-09,3693986
2022-08-23,3695810
2022-09-04,3704656
2022-09-11,3709205
2022-09-21,3710544
2022-10-02,3716080
2023-01-16,3739158
