dates,incrementalcount_vaccine_covid_19_administered
2021-01-07,1
2021-01-12,10
2021-01-15,20
2021-01-16,2
2021-01-19,85
2021-01-20,53
2021-01-21,58
2021-01-22,53
2021-01-23,5
2021-01-26,75
2021-01-27,8
2021-01-28,127
2021-01-29,179
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,5
2021-02-04,36
2021-02-05,11
2021-02-09,75
2021-02-10,53
2021-02-11,65
2021-02-12,30
2021-02-16,245
2021-02-17,201
2021-02-18,120
2021-02-19,0
2021-02-23,204
2021-02-24,0
2021-02-25,189
2021-02-26,190
2021-03-02,0
2021-03-03,122
2021-03-04,196
2021-03-05,209
2021-03-06,0
2021-03-09,211
2021-03-10,201
2021-03-11,239
2021-03-12,0
2021-03-16,215
2021-03-17,232
2021-03-18,130
2021-03-19,0
2021-03-23,203
2021-03-24,239
2021-03-25,240
2021-03-26,239
2021-03-30,250
2021-03-31,123
2021-04-01,197
2021-04-02,206
2021-04-07,200
2021-04-08,240
2021-04-09,260
2021-04-10,0
2021-04-13,275
2021-04-14,307
2021-04-15,297
2021-04-16,288
2021-04-17,0
2021-04-20,542
2021-04-21,498
2021-04-22,503
2021-04-23,498
2021-04-24,0
2021-04-27,249
2021-04-28,273
2021-04-29,269
2021-04-30,510
2021-05-01,0
2021-05-04,272
2021-05-05,281
2021-05-06,280
2021-05-07,260
2021-05-08,0
2021-05-11,540
2021-05-12,296
2021-05-13,286
2021-05-14,282
2021-05-15,0
2021-05-16,0
2021-05-17,559
2021-05-18,546
2021-05-19,541
2021-05-20,542
2021-05-21,559
2021-05-22,0
2021-05-26,547
2021-05-27,568
2021-05-28,529
2021-05-29,0
2021-06-01,550
2021-06-02,560
2021-06-03,550
2021-06-04,560
2021-06-05,0
2021-06-08,578
2021-06-09,568
2021-06-10,570
2021-06-11,578
2021-06-12,0
2021-06-15,557
2021-06-16,560
2021-06-17,551
2021-06-18,580
2021-06-22,525
2021-06-23,296
2021-06-24,518
2021-06-25,278
2021-06-26,0
2021-06-29,299
2021-06-30,542
2021-07-01,546
2021-07-02,599
2021-07-03,0
2021-07-06,538
2021-07-07,589
2021-07-08,589
2021-07-09,605
2021-07-13,587
2021-07-14,294
2021-07-15,549
2021-07-16,316
2021-07-20,0
2021-07-21,0
2021-07-22,245
2021-07-23,390
2021-07-24,0
2021-07-27,0
2021-07-28,0
2021-07-29,0
2021-07-30,0
2021-07-31,0
2021-08-10,282
2021-08-11,314
2021-08-12,222
2021-08-13,310
2021-08-17,286
2021-08-18,244
2021-08-21,405
2021-08-24,281
2021-08-25,133
2021-08-26,137
2021-08-27,296
2021-08-28,0
2021-09-03,0
2021-09-04,0
2021-09-07,156
2021-09-08,0
2021-09-09,1
2021-09-10,310
2021-09-11,0
2021-09-14,312
2021-09-15,216
2021-09-16,10
2021-09-17,188
2021-09-18,384
2021-09-21,370
2021-09-22,139
2021-09-23,146
2021-09-24,334
2021-09-25,0
2021-09-28,92
2021-09-29,20
2021-09-30,8
2021-10-01,28
2021-10-02,0
2021-10-05,0
2021-10-06,20
2021-10-07,123
2021-10-08,27
2021-10-12,74
2021-10-13,21
2021-10-14,29
2021-10-15,40
2021-10-16,0
2021-10-17,0
2021-10-18,284
2021-10-19,430
2021-10-20,264
2021-10-21,25
2021-10-22,46
2021-10-23,0
2021-10-26,112
2021-10-27,84
2021-10-28,82
2021-10-29,36
2021-11-02,144
2021-11-03,89
2021-11-04,115
2021-11-05,57
2021-11-09,49
2021-11-10,24
2021-11-11,88
2021-11-12,78
2021-11-13,0
2021-11-16,66
2021-11-17,22
2021-11-18,98
2021-11-19,164
2021-11-20,0
2021-11-23,151
2021-11-24,298
2021-11-25,62
2021-11-26,19
2021-11-27,21
2021-11-28,0
2021-11-29,435
2021-11-30,103
2021-12-01,450
2021-12-02,221
2021-12-03,28
2021-12-04,0
2021-12-07,797
2021-12-08,815
2021-12-09,821
2021-12-10,650
2021-12-11,600
2021-12-12,245
2021-12-13,670
2021-12-14,973
2021-12-15,835
2021-12-16,817
2021-12-17,909
2021-12-18,592
2021-12-19,246
2021-12-20,709
2021-12-21,507
2021-12-22,496
2021-12-23,25
2021-12-24,6
2021-12-28,61
2021-12-29,0
2021-12-30,0
2022-01-04,534
2022-01-05,518
2022-01-06,0
2022-01-07,38
2022-01-08,148
2022-01-11,531
2022-01-12,356
2022-01-13,329
2022-01-14,501
2022-01-15,0
2022-01-18,241
2022-01-19,237
2022-01-20,243
2022-01-21,356
2022-01-22,0
2022-01-25,34
2022-01-26,186
2022-01-27,0
2022-01-28,12
2022-02-01,268
2022-02-02,0
2022-02-05,110
2022-02-08,150
2022-02-09,13
2022-02-10,0
2022-02-11,0
2022-02-12,204
2022-02-15,5
2022-02-16,11
2022-02-17,138
2022-03-12,0
2022-03-24,98
2022-04-02,0
2022-04-13,0
2022-04-14,0
2022-07-07,51
2022-07-15,0
2022-07-16,0
2022-07-21,87
2022-07-22,60
2022-07-27,26
2022-07-28,56
2022-07-29,28
2022-08-05,0
2022-08-26,0
2022-09-16,0
2022-10-13,253
2022-10-14,0
2022-10-15,0
2022-10-18,0
2022-10-21,0
2022-10-22,0
2022-10-25,0
2022-10-28,0
2022-10-29,0
2022-11-03,120
2022-11-04,0
2022-11-05,0
2022-11-10,232
2022-11-11,0
2022-11-17,263
2022-11-18,0
2022-11-24,207
2022-12-02,0
2022-12-07,0
2022-12-08,0
2022-12-09,0
2022-12-13,28
2022-12-14,43
2022-12-15,110
2022-12-16,54
