dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,1
2020-03-30,1
2020-03-31,2
2020-04-01,2
2020-04-02,3
2020-04-03,4
2020-04-04,5
2020-04-05,5
2020-04-06,5
2020-04-07,6
2020-04-08,0
2020-04-09,7
2020-04-10,7
2020-04-11,7
2020-04-12,7
2020-04-13,7
2020-04-14,7
2020-04-15,7
2020-04-16,7
2020-04-17,7
2020-04-18,7
2020-04-19,7
2020-04-20,7
2020-04-21,7
2020-04-22,7
2020-04-23,7
2020-04-24,7
2020-04-25,7
2020-04-26,7
2020-04-27,7
2020-04-28,7
2020-04-29,7
2020-04-30,7
2020-05-01,7
2020-05-02,7
2020-05-03,7
2020-05-04,8
2020-05-05,8
2020-05-06,9
2020-05-07,9
2020-05-08,9
2020-05-09,9
2020-05-10,9
2020-05-11,9
2020-05-12,9
2020-05-13,9
2020-05-14,9
2020-05-15,9
2020-05-16,9
2020-05-17,9
2020-05-18,9
2020-05-19,9
2020-05-20,9
2020-05-21,9
2020-05-22,9
2020-05-23,9
2020-05-24,9
2020-05-25,10
2020-05-26,10
2020-05-27,10
2020-05-28,10
2020-05-29,10
2020-05-30,10
2020-05-31,10
2020-06-01,11
2020-06-02,11
2020-06-03,11
2020-06-04,11
2020-06-05,11
2020-06-06,11
2020-06-07,11
2020-06-08,11
2020-06-09,11
2020-06-10,11
2020-06-11,11
2020-06-12,11
2020-06-13,11
2020-06-14,11
2020-06-15,11
2020-06-16,11
2020-06-17,11
2020-06-18,11
2020-06-19,11
2020-06-20,11
2020-06-21,11
2020-06-22,11
2020-06-23,11
2020-06-24,11
2020-06-25,11
2020-06-26,11
2020-06-27,11
2020-06-28,11
2020-06-29,11
2020-06-30,11
2020-07-01,11
2020-07-02,11
2020-07-03,11
2020-07-04,11
2020-07-05,11
2020-07-06,11
2020-07-07,11
2020-07-08,11
2020-07-09,11
2020-07-10,11
2020-07-11,11
2020-07-12,11
2020-07-13,11
2020-07-14,11
2020-07-15,11
2020-07-16,11
2020-07-17,11
2020-07-18,11
2020-07-19,11
2020-07-20,11
2020-07-21,11
2020-07-22,11
2020-07-23,11
2020-07-24,11
2020-07-25,11
2020-07-26,11
2020-07-27,11
2020-07-28,11
2020-07-29,11
2020-07-30,11
2020-07-31,11
2020-08-01,11
2020-08-02,11
2020-08-03,11
2020-08-04,11
2020-08-05,11
2020-08-06,11
2020-08-07,11
2020-08-08,11
2020-08-09,11
2020-08-10,11
2020-08-11,11
2020-08-12,11
2020-08-13,11
2020-08-14,11
2020-08-15,11
2020-08-16,11
2020-08-17,11
2020-08-18,11
2020-08-19,11
2020-08-20,11
2020-08-21,11
2020-08-22,11
2020-08-23,12
2020-08-24,12
2020-08-25,12
2020-08-26,12
2020-08-27,12
2020-08-28,12
2020-08-29,12
2020-08-30,12
2020-08-31,12
2020-09-01,12
2020-09-02,12
2020-09-03,12
2020-09-04,12
2020-09-05,12
2020-09-06,12
2020-09-07,12
2020-09-08,12
2020-09-09,12
2020-09-10,12
2020-09-11,12
2020-09-12,12
2020-09-13,12
2020-09-14,12
2020-09-15,13
2020-09-16,13
2020-09-17,13
2020-09-18,13
2020-09-19,13
2020-09-20,13
2020-09-21,13
2020-09-22,13
2020-09-23,13
2020-09-24,13
2020-09-25,13
2020-09-26,13
2020-09-27,13
2020-09-28,13
2020-09-29,13
2020-09-30,13
2020-10-01,13
2020-10-02,13
2020-10-03,13
2020-10-04,13
2020-10-05,13
2020-10-06,13
2020-10-07,13
2020-10-08,13
2020-10-09,13
2020-10-10,13
2020-10-11,13
2020-10-12,13
2020-10-13,13
2020-10-14,13
2020-10-15,13
2020-10-16,13
2020-10-17,13
2020-10-18,13
2020-10-19,13
2020-10-20,13
2020-10-21,13
2020-10-22,14
2020-10-23,14
2020-10-24,14
2020-10-25,15
2020-10-26,16
2020-10-27,19
2020-10-28,19
2020-10-29,19
2020-10-30,19
2020-10-31,20
2020-11-01,21
2020-11-02,21
2020-11-03,23
2020-11-04,24
2020-11-05,29
2020-11-06,30
2020-11-07,34
2020-11-08,35
2020-11-09,35
2020-11-10,41
2020-11-11,46
2020-11-12,48
2020-11-13,53
2020-11-14,53
2020-11-15,58
2020-11-16,61
2020-11-17,66
2020-11-18,69
2020-11-19,73
2020-11-20,74
2020-11-21,83
2020-11-22,87
2020-11-23,90
2020-11-24,94
2020-11-25,96
2020-11-26,99
2020-11-27,107
2020-11-28,109
2020-11-29,116
2020-11-30,118
2020-12-01,122
2020-12-02,124
2020-12-03,129
2020-12-04,130
2020-12-05,137
2020-12-06,140
2020-12-07,142
2020-12-08,142
2020-12-09,144
2020-12-10,146
2020-12-11,147
2020-12-12,149
2020-12-13,152
2020-12-14,154
2020-12-15,154
2020-12-16,160
2020-12-17,160
2020-12-18,165
2020-12-19,171
2020-12-20,176
2020-12-21,181
2020-12-22,183
2020-12-23,184
2020-12-24,185
2020-12-25,186
2020-12-26,187
2020-12-27,191
2020-12-28,194
2020-12-29,194
2020-12-30,199
2020-12-31,204
2021-01-01,204
2021-01-02,211
2021-01-03,213
2021-01-04,215
2021-01-05,217
2021-01-06,219
2021-01-07,219
2021-01-08,222
2021-01-09,229
2021-01-10,232
2021-01-11,232
2021-01-12,244
2021-01-13,247
2021-01-14,251
2021-01-15,255
2021-01-16,256
2021-01-17,264
2021-01-18,270
2021-01-19,273
2021-01-20,274
2021-01-21,276
2021-01-22,278
2021-01-23,280
2021-01-24,283
2021-01-25,283
2021-01-26,288
2021-01-27,290
2021-01-28,297
2021-01-29,305
2021-01-30,313
2021-01-31,316
2021-02-01,323
2021-02-02,330
2021-02-03,332
2021-02-04,339
2021-02-05,343
2021-02-06,351
2021-02-07,356
2021-02-08,365
2021-02-09,370
2021-02-10,375
2021-02-11,379
2021-02-12,384
2021-02-13,384
2021-02-14,397
2021-02-15,403
2021-02-16,409
2021-02-17,422
2021-02-18,430
2021-02-19,433
2021-02-20,435
2021-02-21,445
2021-02-22,450
2021-02-23,453
2021-02-24,457
2021-02-25,459
2021-02-26,464
2021-02-27,464
2021-02-28,471
2021-03-01,476
2021-03-02,483
2021-03-03,484
2021-03-04,489
2021-03-05,493
2021-03-06,493
2021-03-07,502
2021-03-08,507
2021-03-09,511
2021-03-10,511
2021-03-11,520
2021-03-12,525
2021-03-13,526
2021-03-14,527
2021-03-15,532
2021-03-16,534
2021-03-17,537
2021-03-18,538
2021-03-19,544
2021-03-20,544
2021-03-21,546
2021-03-22,551
2021-03-23,552
2021-03-24,552
2021-03-25,554
2021-03-26,557
2021-03-27,558
2021-03-28,561
2021-03-29,566
2021-03-30,566
2021-03-31,568
2021-04-01,571
2021-04-02,571
2021-04-03,575
2021-04-04,581
2021-04-05,581
2021-04-06,588
2021-04-07,591
2021-04-08,593
2021-04-09,593
2021-04-10,595
2021-04-11,598
2021-04-12,598
2021-04-13,602
2021-04-14,604
2021-04-15,608
2021-04-16,615
2021-04-17,617
2021-04-18,618
2021-04-19,620
2021-04-20,625
2021-04-21,630
2021-04-22,634
2021-04-23,634
2021-04-24,638
2021-04-25,642
2021-04-26,647
2021-04-27,647
2021-04-28,661
2021-04-29,661
2021-04-30,667
2021-05-01,687
2021-05-02,687
2021-05-03,696
2021-05-04,709
2021-05-05,720
2021-05-06,745
2021-05-07,764
2021-05-08,786
2021-05-09,801
2021-05-10,827
2021-05-11,850
2021-05-12,868
2021-05-13,892
2021-05-14,923
2021-05-15,941
2021-05-16,962
2021-05-17,981
2021-05-18,1015
2021-05-19,1051
2021-05-20,1089
2021-05-21,1089
2021-05-22,1178
2021-05-23,1210
2021-05-24,1243
2021-05-25,1269
2021-05-26,1298
2021-05-27,1325
2021-05-28,1363
2021-05-29,1405
2021-05-30,1441
2021-05-31,1484
2021-06-01,1527
2021-06-02,1566
2021-06-03,1608
2021-06-04,1656
2021-06-05,1696
2021-06-06,1742
2021-06-07,1789
2021-06-08,1844
2021-06-09,1910
2021-06-10,2011
2021-06-11,2073
2021-06-12,2136
2021-06-13,2136
2021-06-14,2203
2021-06-15,2258
2021-06-16,2317
2021-06-17,2368
2021-06-18,2423
2021-06-19,2477
2021-06-20,2524
2021-06-21,2576
2021-06-22,2647
2021-06-23,2712
2021-06-24,2757
2021-06-25,2805
2021-06-26,2848
2021-06-27,2887
2021-06-28,2928
2021-06-29,2973
2021-06-30,3020
2021-07-01,3063
2021-07-02,3100
2021-07-03,3134
2021-07-04,3179
2021-07-05,3211
2021-07-06,3256
2021-07-07,3294
2021-07-08,3334
2021-07-09,3377
2021-07-10,3410
2021-07-11,3445
2021-07-12,3476
2021-07-13,3517
2021-07-14,3554
2021-07-15,3604
2021-07-16,3645
2021-07-17,3676
2021-07-18,3722
2021-07-19,3770
2021-07-20,3813
2021-07-21,3860
2021-07-22,3902
2021-07-23,3945
2021-07-24,3997
2021-07-25,4042
2021-07-26,4090
2021-07-27,4138
2021-07-28,4201
2021-07-29,4267
2021-07-30,4323
2021-07-31,4384
2021-08-01,4451
2021-08-02,4514
2021-08-03,4588
2021-08-04,4670
2021-08-05,4764
2021-08-06,4862
2021-08-07,4960
