dates,cumulativecount_medicaltest_conditioncovid_19
2020-02-18,1
2020-02-20,2
2020-02-26,4
2020-02-27,6
2020-02-28,11
2020-02-29,14
2020-03-01,15
2020-03-02,25
2020-03-03,31
2020-03-04,40
2020-03-05,41
2020-03-06,45
2020-03-07,52
2020-03-08,55
2020-03-09,56
2020-03-10,68
2020-03-11,78
2020-03-12,95
2020-03-13,120
2020-03-14,208
2020-03-15,273
2020-03-16,362
2020-03-17,513
2020-03-18,621
2020-03-19,783
2020-03-20,902
2020-03-21,1051
2020-03-22,1225
2020-03-23,1368
2020-03-24,1532
2020-03-25,1660
2020-03-26,1791
2020-03-27,1943
2020-03-28,2051
2020-03-29,2187
2020-03-30,2342
2020-03-31,2566
2020-04-01,2785
2020-04-02,3035
2020-04-03,3346
2020-04-04,3641
2020-04-05,3965
2020-04-06,4359
2020-04-07,4712
2020-04-08,5088
2020-04-09,5375
2020-04-10,5772
2020-04-11,6165
2020-04-12,6774
2020-04-13,7205
2020-04-14,7547
2020-04-15,8012
2020-04-16,8560
2020-04-17,9270
2020-04-18,9792
2020-04-19,10494
2020-04-20,11136
2020-04-21,11786
2020-04-22,12560
2020-04-23,13701
2020-04-24,14577
2020-04-25,15393
2020-04-26,16468
2020-04-27,18337
2020-04-28,19476
2020-04-29,21021
2020-04-30,22418
2020-05-01,23525
2020-05-02,25206
2020-05-03,26842
2020-05-04,27887
2020-05-05,29378
2020-05-06,30525
2020-05-07,32078
2020-05-08,33899
2020-05-09,35323
2020-05-10,36605
2020-05-11,37662
2020-05-12,38740
2020-05-13,39629
2020-05-14,41118
2020-05-15,42056
2020-05-16,43137
2020-05-17,44391
2020-05-18,45351
2020-05-19,46413
2020-05-20,47521
2020-05-21,49124
2020-05-22,51094
2020-05-23,53092
2020-05-24,54834
2020-05-25,56181
2020-05-26,57327
2020-05-27,59165
2020-05-28,60878
2020-05-29,62208
2020-05-30,63935
2020-05-31,65355
2020-06-01,66421
2020-06-02,68204
2020-06-03,70290
2020-06-04,72180
2020-06-05,73996
2020-06-06,75239
2020-06-07,76957
2020-06-08,78723
2020-06-09,80302
2020-06-10,81735
2020-06-11,83412
2020-06-12,84802
2020-06-13,85967
2020-06-14,87083
2020-06-15,88734
2020-06-16,90010
2020-06-17,91391
2020-06-18,92765
2020-06-19,94260
2020-06-20,95087
2020-06-21,96268
2020-06-22,97402
2020-06-23,98634
2020-06-24,99983
2020-06-25,101226
2020-06-26,102665
2020-06-27,104272
2020-06-28,105105
2020-06-29,106445
2020-06-30,107810
2020-07-01,109106
2020-07-02,110505
2020-07-03,112024
2020-07-04,112876
2020-07-05,113475
2020-07-06,114765
2020-07-07,116375
2020-07-08,117557
2020-07-09,118981
2020-07-10,120730
2020-07-11,122071
2020-07-12,124322
2020-07-13,125632
2020-07-14,127920
2020-07-15,130390
2020-07-16,132796
2020-07-17,135519
2020-07-18,137407
2020-07-19,139591
2020-07-20,141515
2020-07-21,143673
2020-07-22,145373
2020-07-23,147385
2020-07-24,149196
2020-07-25,151214
2020-07-26,153065
2020-07-27,154191
2020-07-28,155540
2020-07-29,156943
2020-07-30,158626
2020-07-31,160226
2020-08-01,162090
2020-08-02,163630
2020-08-03,165342
2020-08-04,166737
2020-08-05,167672
2020-08-06,168757
2020-08-07,169826
2020-08-08,171169
2020-08-09,172972
2020-08-10,174491
2020-08-11,177400
2020-08-12,179949
2020-08-13,182681
2020-08-14,185118
2020-08-15,187957
2020-08-16,189518
2020-08-17,191507
2020-08-18,195025
2020-08-19,197272
2020-08-20,200148
2020-08-21,202907
2020-08-22,205707
2020-08-23,208397
2020-08-24,211090
2020-08-25,213462
2020-08-26,216309
2020-08-27,219162
2020-08-28,221910
2020-08-29,223982
2020-08-30,226111
2020-08-31,228052
2020-09-01,230547
2020-09-02,232710
2020-09-03,235221
2020-09-04,237610
2020-09-05,239907
2020-09-06,241631
2020-09-07,242984
2020-09-08,245112
2020-09-09,246888
2020-09-10,249328
2020-09-11,251792
2020-09-12,253842
2020-09-13,256043
2020-09-14,257477
2020-09-15,259778
2020-09-16,262378
2020-09-17,264343
2020-09-18,266057
2020-09-19,268371
2020-09-20,269483
2020-09-21,270881
2020-09-22,273708
2020-09-23,275590
2020-09-24,278145
2020-09-25,279740
2020-09-26,282197
2020-09-27,284059
2020-09-28,285457
2020-09-29,287864
2020-09-30,289588
2020-10-01,291105
2020-10-02,293219
2020-10-03,295463
2020-10-04,296611
2020-10-05,298501
2020-10-06,303381
2020-10-07,308989
2020-10-08,313813
2020-10-09,321009
2020-10-10,328504
2020-10-11,335752
2020-10-12,342343
2020-10-13,348909
2020-10-14,357698
2020-10-15,365859
2020-10-16,374448
2020-10-17,383961
2020-10-18,391060
2020-10-19,398196
2020-10-20,406466
2020-10-21,415243
2020-10-22,423332
2020-10-23,432801
2020-10-24,441990
2020-10-25,450836
2020-10-26,460455
2020-10-27,469286
2020-10-28,480838
2020-10-29,490563
2020-10-30,500736
2020-10-31,512735
2020-11-01,524448
2020-11-02,534388
2020-11-03,545043
2020-11-04,556359
2020-11-05,568183
2020-11-06,579803
2020-11-07,590435
2020-11-08,598421
2020-11-09,606693
2020-11-10,616900
2020-11-11,627011
2020-11-12,636586
2020-11-13,650257
2020-11-14,661387
2020-11-15,672100
2020-11-16,680843
2020-11-17,691948
2020-11-18,702254
2020-11-19,713652
2020-11-20,724864
2020-11-21,736959
2020-11-22,747638
2020-11-23,755105
2020-11-24,765505
2020-11-25,777610
2020-11-26,790896
2020-11-27,802832
2020-11-28,815897
2020-11-29,827928
2020-11-30,835391
2020-12-01,848814
2020-12-02,862446
2020-12-03,876044
2020-12-04,889785
2020-12-05,903910
2020-12-06,917741
2020-12-07,928923
2020-12-08,943259
2020-12-09,957675
2020-12-10,971539
2020-12-11,988964
2020-12-12,1004203
2020-12-13,1017682
2020-12-14,1027045
2020-12-15,1042318
2020-12-16,1055496
2020-12-17,1069520
2020-12-18,1086062
2020-12-19,1102665
2020-12-20,1113199
2020-12-21,1124871
2020-12-22,1138766
2020-12-23,1152619
2020-12-24,1167552
2020-12-25,1181068
2020-12-26,1192128
2020-12-27,1204350
2020-12-28,1213018
2020-12-29,1223582
2020-12-30,1236174
2020-12-31,1250417
2021-01-01,1265017
2021-01-02,1275736
2021-01-03,1288562
2021-01-04,1299336
2021-01-05,1311792
2021-01-06,1326833
2021-01-07,1343184
2021-01-08,1360401
2021-01-09,1376607
2021-01-10,1389831
2021-01-11,1401970
2021-01-12,1416299
2021-01-13,1430864
2021-01-14,1446010
2021-01-15,1459691
2021-01-16,1474909
2021-01-17,1489893
2021-01-18,1504187
2021-01-19,1522237
2021-01-20,1538345
2021-01-21,1557630
2021-01-22,1576145
2021-01-23,1593668
2021-01-24,1608615
2021-01-25,1625046
2021-01-26,1640305
2021-01-27,1659725
2021-01-28,1677857
