dates,cumulativecount_vaccine_covid_19_administered
2021-01-28,0
2021-01-29,5286
2021-01-30,37825
2021-01-31,59154
2021-02-01,95550
2021-02-02,118767
2021-02-03,139914
2021-02-04,146327
2021-02-05,156310
2021-02-06,160148
2021-02-07,161773
2021-02-08,167762
2021-02-09,174193
2021-02-10,176725
2021-02-11,178087
2021-02-12,179197
2021-02-13,186654
2021-02-14,189349
2021-02-15,192938
2021-02-16,196163
2021-02-17,210405
2021-02-18,233472
2021-02-19,263779
2021-02-20,302857
2021-02-21,338769
2021-02-22,354352
2021-02-23,366907
2021-02-24,393469
2021-02-26,406633
2021-02-27,441976
2021-02-28,466350
2021-03-01,509275
2021-03-02,553821
2021-03-03,599991
2021-03-04,650991
2021-03-05,699521
2021-03-06,724278
2021-03-07,729562
2021-03-08,737062
2021-03-09,743775
2021-03-10,752098
2021-03-11,759548
2021-03-12,760765
2021-03-13,770408
2021-03-14,773011
2021-03-15,784500
2021-03-16,796792
2021-03-17,806449
2021-03-18,815585
2021-03-19,824523
2021-03-20,829220
2021-03-21,829865
2021-03-22,838355
2021-03-27,884164
2021-03-28,894053
2021-03-29,894365
2021-03-30,903467
2021-03-31,913219
2021-04-01,919753
2021-04-02,923954
2021-04-04,924479
2021-04-06,924536
2021-04-07,924687
2021-04-09,925082
2021-04-11,925242
2021-04-29,933591
2021-04-30,953461
2021-05-01,991299
2021-05-02,1016195
2021-05-03,1024978
2021-05-04,1048113
2021-05-05,1069828
2021-05-06,1088093
2021-05-07,1105342
2021-05-09,1125740
2021-05-10,1130257
2021-05-11,1162770
2021-05-12,1220248
2021-05-13,1309840
2021-05-14,1384079
2021-05-16,1541761
2021-05-17,1570070
2021-05-18,1644957
2021-05-19,1683203
2021-05-20,1707323
2021-05-21,1726749
2021-05-22,1749366
2021-05-23,1765378
2021-05-24,1772924
2021-05-25,1782429
2021-05-26,1786343
2021-05-27,1790688
2021-05-28,1833048
2021-05-29,1851001
2021-05-30,1872990
2021-05-31,1956742
2021-06-01,2041307
