dates,covid19mobilitytrend_park
2020-02-15,44
2020-02-16,29
2020-02-17,15
2020-02-18,12
2020-02-19,18
2020-02-20,17
2020-02-21,7
2020-02-22,-11
2020-02-23,8
2020-02-24,18
2020-02-25,-5
2020-02-26,15
2020-02-27,-11
2020-02-28,2
2020-02-29,15
2020-03-01,30
2020-03-02,24
2020-03-03,15
2020-03-04,9
2020-03-05,19
2020-03-06,46
2020-03-07,21
2020-03-08,58
2020-03-09,30
2020-03-10,40
2020-03-11,44
2020-03-12,-10
2020-03-13,8
2020-03-14,-15
2020-03-15,51
2020-03-16,5
2020-03-17,48
2020-03-18,41
2020-03-19,30
2020-03-20,25
2020-03-21,0
2020-03-22,7
2020-03-23,25
2020-03-24,28
2020-03-25,37
2020-03-26,36
2020-03-27,43
2020-03-28,62
2020-03-29,-28
2020-03-30,3
2020-03-31,7
2020-04-01,-19
2020-04-02,-20
2020-04-03,-11
2020-04-04,3
2020-04-05,63
2020-04-06,74
2020-04-07,87
2020-04-08,75
2020-04-09,17
2020-04-10,22
2020-04-11,-13
2020-04-12,-12
2020-04-13,2
2020-04-14,-4
2020-04-15,-2
2020-04-16,2
2020-04-17,21
2020-04-18,22
2020-04-19,30
2020-04-20,39
2020-04-21,70
2020-04-22,89
2020-04-23,69
2020-04-24,67
2020-04-25,46
2020-04-26,56
2020-04-27,75
2020-04-28,64
2020-04-29,52
2020-04-30,84
2020-05-01,136
2020-05-02,35
2020-05-03,80
2020-05-04,81
2020-05-05,79
2020-05-06,49
2020-05-07,61
2020-05-08,92
2020-05-09,109
2020-05-10,164
2020-05-11,18
2020-05-12,23
2020-05-13,18
2020-05-14,51
2020-05-15,65
2020-05-16,31
2020-05-17,30
2020-05-18,53
2020-05-19,41
2020-05-20,80
2020-05-21,34
2020-05-22,89
2020-05-23,144
2020-05-24,39
2020-05-25,95
2020-05-26,111
2020-05-27,126
2020-05-28,82
2020-05-29,98
2020-05-30,87
2020-05-31,153
2020-06-01,90
2020-06-02,89
2020-06-03,79
2020-06-04,93
2020-06-05,115
2020-06-06,126
2020-06-07,133
2020-06-08,81
2020-06-09,95
2020-06-10,128
2020-06-11,124
2020-06-12,159
2020-06-13,154
2020-06-14,107
2020-06-15,120
2020-06-16,155
2020-06-17,177
2020-06-18,142
2020-06-19,173
2020-06-20,158
2020-06-21,172
2020-06-22,169
2020-06-23,246
2020-06-24,330
2020-06-25,186
2020-06-26,214
2020-06-27,170
2020-06-28,193
2020-06-29,133
2020-06-30,114
2020-07-01,132
2020-07-02,125
2020-07-03,152
2020-07-04,207
2020-07-05,218
2020-07-06,282
2020-07-07,130
2020-07-08,122
2020-07-09,132
2020-07-10,124
2020-07-11,136
2020-07-12,169
2020-07-13,164
2020-07-14,190
2020-07-15,224
2020-07-16,195
2020-07-17,232
2020-07-18,247
2020-07-19,251
2020-07-20,228
2020-07-21,161
2020-07-22,127
2020-07-23,128
2020-07-24,155
2020-07-25,210
2020-07-26,259
2020-07-27,205
2020-07-28,206
2020-07-29,183
2020-07-30,115
2020-07-31,128
2020-08-01,193
2020-08-02,247
2020-08-03,184
2020-08-04,127
2020-08-05,221
2020-08-06,226
2020-08-07,262
2020-08-08,259
2020-08-09,252
2020-08-10,235
2020-08-11,219
2020-08-12,216
2020-08-13,195
2020-08-14,226
2020-08-15,247
2020-08-16,258
2020-08-17,231
2020-08-18,185
2020-08-19,200
2020-08-20,169
2020-08-21,210
2020-08-22,184
2020-08-23,175
2020-08-24,155
2020-08-25,111
2020-08-26,102
2020-08-27,101
2020-08-28,165
2020-08-29,88
2020-08-30,108
2020-08-31,65
2020-09-01,134
2020-09-02,91
2020-09-03,102
2020-09-04,129
2020-09-05,139
2020-09-06,126
2020-09-07,81
2020-09-08,58
2020-09-09,109
2020-09-10,82
2020-09-11,128
2020-09-12,150
2020-09-13,128
2020-09-14,91
2020-09-15,140
2020-09-16,158
2020-09-17,48
2020-09-18,102
2020-09-19,132
2020-09-20,154
2020-09-21,102
2020-09-22,101
2020-09-23,99
2020-09-24,73
2020-09-25,104
2020-09-26,126
2020-09-27,122
2020-09-28,52
2020-09-29,60
2020-09-30,55
2020-10-01,37
2020-10-02,49
2020-10-03,29
2020-10-04,100
2020-10-05,46
2020-10-06,48
2020-10-07,69
2020-10-08,39
