dates,cumulativecount_medicaltest_conditioncovid_19
2020-03-20,137
2020-03-21,473
2020-03-22,749
2020-03-23,978
2020-03-24,1381
2020-03-25,2090
2020-03-26,2582
2020-03-27,3723
2020-03-28,4738
2020-03-29,5741
2020-03-30,7322
2020-03-31,8559
2020-04-01,11082
2020-04-02,13463
2020-04-03,15588
2020-04-04,17997
2020-04-05,20313
2020-04-06,21888
2020-04-07,24114
2020-04-08,26162
2020-04-09,29365
2020-04-10,32350
2020-04-11,35131
2020-04-12,35984
2020-04-13,36652
2020-04-14,38095
2020-04-15,41165
2020-04-16,45344
2020-04-17,50448
2020-04-18,56023
2020-04-19,59093
2020-04-20,62100
2020-04-21,67517
2020-04-22,74095
2020-04-23,81178
2020-04-24,88641
2020-04-25,95666
2020-04-26,99300
2020-04-27,101985
2020-04-28,107699
2020-04-29,114188
2020-04-30,122181
2020-05-01,128885
2020-05-02,132295
2020-05-03,134796
2020-05-04,138465
2020-05-05,144809
2020-05-06,151722
2020-05-07,160040
2020-05-08,167755
2020-05-09,173920
2020-05-10,176453
2020-05-11,180250
2020-05-12,186937
2020-05-13,194527
2020-05-14,202364
2020-05-15,210504
2020-05-16,216736
2020-05-17,219463
2020-05-18,223689
2020-05-19,231608
2020-05-20,238850
2020-05-21,245311
2020-05-22,250364
2020-05-23,254520
2020-05-24,256619
2020-05-25,260398
2020-05-26,265536
2020-05-27,272059
2020-05-28,278557
2020-05-29,283945
2020-05-30,288788
2020-05-31,290945
2020-06-01,294314
2020-06-02,300366
2020-06-03,306328
2020-06-04,311229
2020-06-05,315995
2020-06-06,318934
2020-06-07,321136
2020-06-08,324452
2020-06-09,329450
2020-06-10,334733
2020-06-11,339564
2020-06-12,343954
2020-06-13,347361
2020-06-14,349170
2020-06-15,352180
2020-06-16,357920
2020-06-17,363326
2020-06-18,368418
2020-06-19,372611
2020-06-20,375554
2020-06-21,377284
2020-06-22,380293
2020-06-23,384586
2020-06-24,388766
2020-06-25,391798
2020-06-26,396176
2020-06-27,398766
2020-06-28,400430
2020-06-29,403891
2020-06-30,408854
2020-07-01,413606
2020-07-02,417511
2020-07-03,421177
2020-07-04,423448
2020-07-05,424534
2020-07-06,425535
2020-07-07,427869
2020-07-08,431463
2020-07-09,434961
2020-07-10,438608
2020-07-11,440394
2020-07-12,441424
2020-07-13,443529
2020-07-14,446610
2020-07-15,449662
2020-07-16,453148
2020-07-17,456134
2020-07-18,457802
2020-07-19,458923
2020-07-20,460310
2020-07-21,461274
2020-07-22,461973
2020-07-23,462564
2020-07-24,463155
2020-07-25,463412
2020-07-26,463682
2020-07-27,464150
2020-07-28,465966
2020-07-29,471575
2020-07-30,476561
2020-07-31,481428
2020-08-01,483878
2020-08-02,485449
2020-08-03,487970
2020-08-04,491482
