dates,incrementalcount_medicaltest_conditioncovid_19
2020-03-20,137
2020-03-21,336
2020-03-22,276
2020-03-23,229
2020-03-24,403
2020-03-25,709
2020-03-26,492
2020-03-27,1141
2020-03-28,1015
2020-03-29,1003
2020-03-30,1581
2020-03-31,1237
2020-04-01,2523
2020-04-02,2381
2020-04-03,2125
2020-04-04,2409
2020-04-05,2316
2020-04-06,1575
2020-04-07,2226
2020-04-08,2048
2020-04-09,3203
2020-04-10,2985
2020-04-11,2781
2020-04-12,853
2020-04-13,668
2020-04-14,1443
2020-04-15,3070
2020-04-16,4179
2020-04-17,5104
2020-04-18,5575
2020-04-19,3070
2020-04-20,3007
2020-04-21,5417
2020-04-22,6578
2020-04-23,7083
2020-04-24,7463
2020-04-25,7025
2020-04-26,3634
2020-04-27,2685
2020-04-28,5714
2020-04-29,6489
2020-04-30,7993
2020-05-01,6704
2020-05-02,3410
2020-05-03,2501
2020-05-04,3669
2020-05-05,6344
2020-05-06,6913
2020-05-07,8318
2020-05-08,7715
2020-05-09,6165
2020-05-10,2533
2020-05-11,3797
2020-05-12,6687
2020-05-13,7590
2020-05-14,7837
2020-05-15,8140
2020-05-16,6232
2020-05-17,2727
2020-05-18,4226
2020-05-19,7919
2020-05-20,7242
2020-05-21,6461
2020-05-22,5053
2020-05-23,4156
2020-05-24,2099
2020-05-25,3779
2020-05-26,5138
2020-05-27,6523
2020-05-28,6498
2020-05-29,5388
2020-05-30,4843
2020-05-31,2157
2020-06-01,3369
2020-06-02,6052
2020-06-03,5962
2020-06-04,4901
2020-06-05,4766
2020-06-06,2939
2020-06-07,2202
2020-06-08,3316
2020-06-09,4998
2020-06-10,5283
2020-06-11,4831
2020-06-12,4390
2020-06-13,3407
2020-06-14,1809
2020-06-15,3010
2020-06-16,5740
2020-06-17,5406
2020-06-18,5092
2020-06-19,4193
2020-06-20,2943
2020-06-21,1730
2020-06-22,3009
2020-06-23,4293
2020-06-24,4180
2020-06-25,3032
2020-06-26,4378
2020-06-27,2590
2020-06-28,1664
2020-06-29,3461
2020-06-30,4963
2020-07-01,4752
2020-07-02,3905
2020-07-03,3666
2020-07-04,2271
2020-07-05,1086
2020-07-06,1001
2020-07-07,2334
2020-07-08,3594
2020-07-09,3498
2020-07-10,3647
2020-07-11,1786
2020-07-12,1030
2020-07-13,2105
2020-07-14,3081
2020-07-15,3052
2020-07-16,3486
2020-07-17,2986
2020-07-18,1668
2020-07-19,1121
2020-07-20,1387
2020-07-21,964
2020-07-22,699
2020-07-23,591
2020-07-24,591
2020-07-25,257
2020-07-26,270
2020-07-27,468
2020-07-28,1816
2020-07-29,5609
2020-07-30,4986
2020-07-31,4867
2020-08-01,2450
2020-08-02,1571
2020-08-03,2521
2020-08-04,3512
2020-08-05,4252
2020-08-06,4165
2020-08-07,4112
2020-08-08,2275
2020-08-09,1573
2020-08-10,3396
2020-08-11,3810
2020-08-12,3510
2020-08-13,4046
2020-08-14,5061
2020-08-15,3453
2020-08-16,1370
2020-08-17,2873
2020-08-18,4053
2020-08-19,4058
2020-08-20,3817
2020-08-21,4836
2020-08-22,3272
2020-08-23,1764
2020-08-24,2972
2020-08-25,4267
2020-08-26,5096
2020-08-27,5181
2020-08-28,5137
2020-08-29,3433
2020-08-30,1766
2020-08-31,3604
2020-09-01,4492
2020-09-02,4597
2020-09-03,4010
2020-09-04,5162
2020-09-05,2866
2020-09-06,1174
2020-09-07,3101
2020-09-08,4638
2020-09-09,5585
2020-09-10,4991
2020-09-11,5246
2020-09-12,2903
2020-09-13,1583
2020-09-14,3091
2020-09-15,5371
2020-09-16,5383
2020-09-17,5450
2020-09-18,5131
2020-09-19,3487
2020-09-20,1835
2020-09-21,3599
2020-09-22,5283
2020-09-23,6231
2020-09-24,6023
2020-09-25,6217
2020-09-26,4278
2020-09-27,1992
2020-09-28,3838
2020-09-29,6138
2020-09-30,6625
2020-10-01,6121
2020-10-02,7368
2020-10-03,4399
2020-10-04,3168
2020-10-05,4412
2020-10-06,6350
2020-10-07,6860
2020-10-08,7969
2020-10-09,7544
2020-10-10,5465
2020-10-11,3224
2020-10-12,5710
2020-10-13,7746
2020-10-14,8600
2020-10-15,8471
2020-10-16,8793
2020-10-17,5620
2020-10-18,3575
2020-10-19,5157
2020-10-20,9144
2020-10-21,9967
2020-10-22,9000
2020-10-23,10189
2020-10-24,7252
2020-10-25,4601
2020-10-26,6105
2020-10-27,10752
2020-10-28,11119
2020-10-29,11843
2020-10-30,10655
2020-10-31,9258
2020-11-01,4286
2020-11-02,5543
2020-11-03,7751
2020-11-04,12505
2020-11-05,12242
2020-11-06,14129
2020-11-07,11070
2020-11-08,6630
2020-11-09,8340
2020-11-10,12580
2020-11-11,12561
2020-11-12,14004
2020-11-13,14244
2020-11-14,9292
2020-11-15,6794
2020-11-16,8304
2020-11-17,12622
2020-11-18,12088
2020-11-19,14235
2020-11-20,14402
2020-11-21,12054
2020-11-22,5564
2020-11-23,8370
2020-11-24,14842
2020-11-25,13089
2020-11-26,14750
2020-11-27,14539
2020-11-28,10737
2020-11-29,5251
2020-11-30,7928
2020-12-01,12160
2020-12-02,14820
2020-12-03,14237
2020-12-04,14716
2020-12-05,9789
2020-12-06,5986
2020-12-07,7811
2020-12-08,14597
2020-12-09,15384
2020-12-10,14765
2020-12-11,17051
2020-12-12,11652
2020-12-13,5090
2020-12-14,9820
2020-12-15,15326
2020-12-16,15421
2020-12-17,16107
2020-12-18,17538
2020-12-19,10648
2020-12-20,7065
2020-12-21,10171
2020-12-22,18267
2020-12-23,15893
2020-12-24,11062
2020-12-25,5871
2020-12-26,5745
2020-12-27,5482
2020-12-28,10407
2020-12-29,15267
2020-12-30,13828
2020-12-31,13255
2021-01-01,5061
2021-01-02,6620
2021-01-03,5631
2021-01-04,10906
2021-01-05,17232
2021-01-06,15583
2021-01-07,13766
2021-01-08,13659
2021-01-09,9493
2021-01-10,4639
2021-01-11,9042
2021-01-12,13748
2021-01-13,11411
2021-01-14,11490
2021-01-15,10584
2021-01-16,6600
2021-01-17,4112
2021-01-18,7395
2021-01-19,10799
2021-01-20,11099
2021-01-21,10698
2021-01-22,10074
2021-01-23,6725
2021-01-24,3870
2021-01-25,8052
2021-01-26,11681
2021-01-27,11061
2021-01-28,9802
2021-01-29,8866
2021-01-30,6898
2021-01-31,2852
2021-02-01,8123
2021-02-02,8826
2021-02-03,9542
2021-02-04,8180
2021-02-05,8751
2021-02-06,4508
2021-02-07,2904
2021-02-08,6787
2021-02-09,7707
2021-02-10,8647
2021-02-11,8235
2021-02-12,8649
2021-02-13,6065
2021-02-14,2987
2021-02-15,6931
2021-02-16,5096
