dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,-1
2020-02-16,-1
2020-02-17,-3
2020-02-18,-5
2020-02-19,-6
2020-02-20,-8
2020-02-21,-2
2020-02-22,-1
2020-02-23,1
2020-02-24,4
2020-02-25,7
2020-02-26,6
2020-02-27,-10
2020-02-28,14
2020-02-29,8
2020-03-01,17
2020-03-02,7
2020-03-03,8
2020-03-04,6
2020-03-05,0
2020-03-06,7
2020-03-07,7
2020-03-08,10
2020-03-09,6
2020-03-10,6
2020-03-11,10
2020-03-12,23
2020-03-13,51
2020-03-14,6
2020-03-15,-1
2020-03-16,17
2020-03-17,3
2020-03-18,-14
2020-03-19,-29
2020-03-20,-29
2020-03-21,-49
2020-03-22,-62
2020-03-23,-35
2020-03-24,-38
2020-03-25,-38
2020-03-26,-38
2020-03-27,-32
2020-03-28,-44
2020-03-29,-70
2020-03-30,-36
2020-03-31,-38
2020-04-01,-36
2020-04-02,-38
2020-04-03,-32
2020-04-04,-41
2020-04-05,-78
2020-04-06,-32
2020-04-07,-33
2020-04-08,-31
2020-04-09,-27
2020-04-10,-22
2020-04-11,-32
2020-04-12,-82
2020-04-13,-94
2020-04-14,-24
2020-04-15,-30
2020-04-16,-26
2020-04-17,-20
2020-04-18,-40
2020-04-19,-81
2020-04-20,-42
2020-04-21,-39
2020-04-22,-39
2020-04-23,-38
2020-04-24,-32
2020-04-25,-33
2020-04-26,-75
2020-04-27,-35
2020-04-28,-35
2020-04-29,-31
2020-04-30,-20
2020-05-01,-94
2020-05-02,-24
2020-05-03,-73
2020-05-04,-30
2020-05-05,-30
2020-05-06,-31
2020-05-07,-29
2020-05-08,-16
2020-05-09,-86
2020-05-10,-39
2020-05-11,-18
2020-05-12,-19
2020-05-13,-21
2020-05-14,-22
2020-05-15,-17
2020-05-16,-20
2020-05-17,-33
2020-05-18,-20
2020-05-19,-11
2020-05-20,6
2020-05-21,-80
2020-05-22,-4
2020-05-23,-18
2020-05-24,-34
2020-05-25,-17
2020-05-26,-15
2020-05-27,-13
2020-05-28,-11
2020-05-29,-5
2020-05-30,-7
2020-05-31,-8
2020-06-01,-76
2020-06-02,0
2020-06-03,-8
2020-06-04,-10
2020-06-05,-12
2020-06-06,-12
2020-06-07,-21
2020-06-08,-16
2020-06-09,-13
2020-06-10,-11
2020-06-11,-4
2020-06-12,-7
2020-06-13,-7
2020-06-14,-11
2020-06-15,-11
2020-06-16,-8
2020-06-17,-10
2020-06-18,-8
2020-06-19,-5
2020-06-20,-8
2020-06-21,-9
2020-06-22,1
2020-06-23,-79
2020-06-24,0
2020-06-25,-5
2020-06-26,-6
2020-06-27,-2
2020-06-28,13
2020-06-29,-6
2020-06-30,-4
2020-07-01,-3
2020-07-02,-4
2020-07-03,-3
2020-07-04,-6
2020-07-05,-6
2020-07-06,-4
2020-07-07,-2
2020-07-08,-2
2020-07-09,-4
2020-07-10,-1
2020-07-11,-6
2020-07-12,-2
2020-07-13,0
2020-07-14,5
2020-07-15,-3
2020-07-16,-4
2020-07-17,-6
2020-07-18,-10
2020-07-19,-7
2020-07-20,-4
2020-07-21,-4
2020-07-22,-6
2020-07-23,-7
2020-07-24,-5
2020-07-25,-9
2020-07-26,-10
2020-07-27,-4
2020-07-28,-5
2020-07-29,-3
2020-07-30,-4
2020-07-31,-8
2020-08-01,-15
2020-08-02,-14
2020-08-03,-7
2020-08-04,-10
2020-08-05,-10
2020-08-06,-12
2020-08-07,-13
2020-08-08,-21
2020-08-09,-17
2020-08-10,-11
2020-08-11,-13
2020-08-12,-13
2020-08-13,-14
2020-08-14,-4
2020-08-15,-76
2020-08-16,0
2020-08-17,-7
2020-08-18,-14
2020-08-19,-14
2020-08-20,-19
2020-08-21,-16
2020-08-22,-22
2020-08-23,-16
2020-08-24,-13
2020-08-25,-12
2020-08-26,-14
2020-08-27,-13
2020-08-28,-13
2020-08-29,-17
2020-08-31,-10
2020-09-01,-13
2020-09-02,-14
2020-09-03,-14
2020-09-04,-15
2020-09-05,-15
2020-09-07,-11
2020-09-08,-10
2020-09-09,-13
2020-09-10,-12
2020-09-11,-9
2020-09-12,-11
2020-09-13,-2
2020-09-14,-6
2020-09-15,-5
2020-09-16,-10
2020-09-17,-8
2020-09-18,-9
2020-09-19,-9
2020-09-20,-1
2020-09-21,-9
2020-09-22,-7
2020-09-23,-10
2020-09-24,-10
2020-09-25,-8
2020-09-26,-5
2020-09-27,-13
2020-09-28,-10
2020-09-29,-5
2020-09-30,-7
2020-10-01,-8
2020-10-02,-7
2020-10-03,5
2020-10-04,-10
2020-10-05,-13
2020-10-06,-10
2020-10-07,-11
2020-10-08,-10
2020-10-09,-9
2020-10-10,-7
2020-10-11,-11
2020-10-12,-11
2020-10-13,-8
2020-10-14,-12
2020-10-15,-11
2020-10-16,-7
2020-10-17,-9
2020-10-18,-13
2020-10-19,-12
2020-10-20,-11
2020-10-21,-11
2020-10-22,-9
2020-10-23,-5
2020-10-24,-6
2020-10-25,13
2020-10-26,-11
2020-10-27,-9
2020-10-28,-9
2020-10-29,-4
2020-10-30,-5
2020-10-31,-9
2020-11-01,-56
2020-11-02,-9
2020-11-03,-10
2020-11-04,-12
2020-11-05,-12
2020-11-06,-10
2020-11-07,-9
2020-11-08,-15
2020-11-09,-13
2020-11-10,-7
2020-11-11,-6
2020-11-12,-8
2020-11-13,-4
2020-11-14,-3
2020-11-15,-9
2020-11-16,-12
2020-11-17,-8
2020-11-18,-11
2020-11-19,-9
2020-11-20,-3
2020-11-21,0
2020-11-22,-7
2020-11-23,-12
2020-11-24,-8
2020-11-25,-8
2020-11-26,-4
2020-11-27,7
2020-11-28,3
2020-11-29,20
2020-11-30,-7
2020-12-01,-6
2020-12-02,-4
2020-12-03,-5
2020-12-04,2
2020-12-05,2
2020-12-06,13
2020-12-07,-12
2020-12-08,-9
2020-12-09,-9
2020-12-10,-6
2020-12-11,-3
2020-12-12,-1
2020-12-13,18
2020-12-14,-7
2020-12-15,-1
2020-12-16,-2
2020-12-17,1
2020-12-18,4
2020-12-19,0
2020-12-20,23
2020-12-21,12
2020-12-22,22
2020-12-23,27
2020-12-24,0
2020-12-25,-94
2020-12-26,-87
2020-12-27,-29
2020-12-28,-17
2020-12-29,-13
2020-12-30,3
2020-12-31,-15
2021-01-01,-95
2021-01-02,-37
2021-01-03,-41
2021-01-04,-22
2021-01-05,-21
2021-01-06,-23
2021-01-07,-25
2021-01-08,-22
2021-01-09,-21
2021-01-10,-27
2021-01-11,-9
2021-01-12,-10
2021-01-13,-11
2021-01-14,-21
2021-01-15,-11
2021-01-16,-5
2021-01-17,-24
2021-01-18,-12
2021-01-19,-12
2021-01-20,-12
2021-01-21,-13
2021-01-22,-6
2021-01-23,0
2021-01-24,-25
2021-01-25,-12
2021-01-26,-7
2021-01-27,-15
2021-01-28,-10
2021-01-29,-4
2021-01-30,-1
2021-01-31,-25
2021-02-01,-11
2021-02-02,-7
2021-02-03,-14
2021-02-04,-9
2021-02-05,-4
2021-02-06,-4
2021-02-07,-28
2021-02-08,-16
2021-02-09,-11
2021-02-10,-9
2021-02-11,-7
2021-02-12,0
2021-02-13,4
2021-02-14,-15
2021-02-15,-10
2021-02-16,-4
2021-02-17,-8
2021-02-18,-7
2021-02-19,0
2021-02-20,-2
2021-02-21,-8
2021-02-22,-7
2021-02-23,-2
2021-02-24,-4
2021-02-25,0
2021-02-26,5
2021-02-27,7
2021-02-28,1
2021-03-01,-4
2021-03-02,0
2021-03-03,-2
2021-03-04,-1
2021-03-05,3
2021-03-06,6
2021-03-07,0
2021-03-08,-3
2021-03-09,-2
2021-03-10,-2
2021-03-11,-4
2021-03-12,3
2021-03-13,4
2021-03-14,-1
2021-03-15,-4
2021-03-16,-2
2021-03-17,-3
2021-03-18,-1
2021-03-19,5
2021-03-20,4
2021-03-21,-1
2021-03-22,-4
2021-03-23,1
2021-03-24,-2
2021-03-25,1
2021-03-26,8
2021-03-27,5
2021-03-28,7
2021-03-29,0
2021-03-30,7
2021-03-31,7
2021-04-01,15
2021-04-02,33
2021-04-03,20
2021-04-04,-20
2021-04-05,-80
2021-04-06,8
2021-04-07,-1
2021-04-08,2
2021-04-09,3
2021-04-10,2
2021-04-11,-12
2021-04-12,1
2021-04-13,3
2021-04-14,0
2021-04-15,3
2021-04-16,6
2021-04-17,5
2021-04-18,5
2021-04-19,1
2021-04-20,7
2021-04-21,4
2021-04-22,6
2021-04-23,13
2021-04-24,15
2021-04-25,22
2021-04-26,5
2021-04-27,10
2021-04-28,8
2021-04-29,17
2021-04-30,36
2021-05-01,-69
2021-05-02,58
2021-05-03,17
2021-05-04,13
2021-05-05,11
2021-05-06,10
2021-05-07,18
2021-05-08,24
2021-05-09,-27
2021-05-10,10
2021-05-11,17
2021-05-12,37
2021-05-13,-61
2021-05-14,37
2021-05-15,22
2021-05-16,13
2021-05-17,9
2021-05-18,12
2021-05-19,9
2021-05-20,11
2021-05-21,16
2021-05-22,21
2021-05-23,26
2021-05-24,-66
2021-05-25,19
2021-05-26,9
2021-05-27,10
2021-05-28,12
2021-05-29,9
2021-05-30,27
2021-05-31,13
2021-06-01,16
2021-06-02,12
2021-06-03,23
2021-06-04,14
2021-06-05,20
2021-06-06,26
2021-06-07,10
2021-06-08,13
2021-06-09,12
2021-06-10,15
2021-06-11,18
2021-06-12,17
2021-06-13,28
2021-06-14,10
2021-06-15,13
2021-06-16,11
2021-06-17,11
2021-06-18,15
2021-06-19,10
2021-06-20,24
2021-06-21,15
2021-06-22,20
2021-06-23,-71
2021-06-24,15
2021-06-25,15
2021-06-26,11
2021-06-27,38
2021-06-28,13
2021-06-29,11
2021-06-30,12
2021-07-01,16
2021-07-02,15
2021-07-03,12
2021-07-04,30
2021-07-05,14
2021-07-06,15
2021-07-07,11
2021-07-08,15
2021-07-09,14
2021-07-10,11
2021-07-11,31
2021-07-12,12
2021-07-13,12
2021-07-14,13
2021-07-15,5
2021-07-16,10
2021-07-17,4
2021-07-18,20
2021-07-19,9
2021-07-20,11
2021-07-21,10
2021-07-22,9
2021-07-23,7
2021-07-24,5
2021-07-25,18
2021-07-26,11
2021-07-27,10
2021-07-28,12
2021-07-29,11
2021-07-30,7
2021-07-31,0
2021-08-01,15
2021-08-02,5
2021-08-03,6
2021-08-04,1
2021-08-05,1
2021-08-06,1
2021-08-07,-7
2021-08-08,3
2021-08-09,1
2021-08-10,1
2021-08-11,-4
2021-08-12,-1
2021-08-13,0
2021-08-14,-8
2021-08-15,-32
2021-08-16,7
2021-08-17,1
2021-08-18,-2
2021-08-19,-3
2021-08-20,-4
2021-08-21,-11
2021-08-22,10
2021-08-23,3
2021-08-24,1
2021-08-25,-1
2021-08-26,4
2021-08-27,4
2021-08-28,1
2021-08-29,37
2021-08-30,8
2021-08-31,7
2021-09-01,5
2021-09-02,4
2021-09-03,4
2021-09-04,3
2021-09-05,23
2021-09-06,7
2021-09-07,8
2021-09-08,6
2021-09-09,9
2021-09-10,9
2021-09-11,9
2021-09-12,30
2021-09-13,14
2021-09-14,19
2021-09-15,15
2021-09-16,14
2021-09-17,12
2021-09-18,12
2021-09-19,28
2021-09-20,13
2021-09-21,15
2021-09-22,8
2021-09-23,9
2021-09-24,13
2021-09-25,8
2021-09-26,21
2021-09-27,12
2021-09-28,14
2021-09-29,10
2021-09-30,13
2021-10-01,14
2021-10-02,17
2021-10-03,25
2021-10-04,10
2021-10-05,9
2021-10-06,10
2021-10-07,12
2021-10-08,13
2021-10-09,12
2021-10-10,27
2021-10-11,13
2021-10-12,13
2021-10-13,10
2021-10-14,11
2021-10-15,13
2021-10-16,12
2021-10-17,25
2021-10-18,9
