dates,incrementalcount_vaccine_covid_19_administered
2020-12-29,348
2020-12-30,451
2021-01-07,145
2021-01-08,210
2021-01-12,430
2021-01-13,498
2021-01-14,362
2021-01-15,443
2021-01-16,79
2021-01-19,724
2021-01-20,900
2021-01-21,705
2021-01-22,682
2021-01-23,132
2021-01-26,968
2021-01-27,924
2021-01-28,923
2021-01-29,932
2021-01-30,127
2021-02-02,1012
2021-02-03,1159
2021-02-04,1012
2021-02-05,1016
2021-02-06,195
2021-02-09,514
2021-02-10,1271
2021-02-11,1468
2021-02-12,1170
2021-02-13,335
2021-02-16,1895
2021-02-17,1201
2021-02-18,1814
2021-02-19,1624
2021-02-20,425
2021-02-23,1445
2021-02-24,1391
2021-02-25,1311
2021-02-26,1297
2021-02-27,424
2021-03-02,1344
2021-03-03,1657
2021-03-04,2051
2021-03-05,1805
2021-03-06,734
2021-03-09,1442
2021-03-10,2495
2021-03-11,3417
2021-03-12,2904
2021-03-13,1274
2021-03-16,3293
2021-03-17,3086
2021-03-18,3190
2021-03-19,2853
2021-03-20,1062
2021-03-23,2464
2021-03-24,2337
2021-03-25,2326
2021-03-26,2523
2021-03-27,1381
2021-03-30,2891
2021-03-31,3085
2021-04-01,3695
2021-04-02,3430
2021-04-03,3098
2021-04-06,3831
2021-04-07,4384
2021-04-08,4825
2021-04-09,4956
2021-04-10,3381
2021-04-13,6269
2021-04-14,6172
2021-04-15,5909
2021-04-16,5689
2021-04-17,4979
2021-04-20,1207
2021-04-21,3320
2021-04-22,3115
2021-04-23,3285
2021-04-24,2369
2021-04-25,2
2021-04-26,1694
2021-04-27,1418
2021-04-28,4563
2021-04-29,4944
2021-04-30,4755
2021-05-01,4383
2021-05-04,6530
2021-05-05,7015
2021-05-06,7068
2021-05-07,7003
2021-05-08,6957
2021-05-11,7189
2021-05-12,7219
2021-05-13,6987
2021-05-14,7495
2021-05-15,7539
2021-05-18,5845
2021-05-19,6713
2021-05-20,5570
2021-05-21,5535
2021-05-22,4724
2021-05-23,2
2021-05-24,2867
2021-05-25,2150
2021-05-26,4486
2021-05-27,5379
2021-05-28,5368
2021-05-29,5438
2021-05-30,1
2021-05-31,5480
2021-06-01,5272
2021-06-02,8600
2021-06-03,8575
2021-06-04,8552
2021-06-05,7470
2021-06-08,8494
2021-06-09,7805
2021-06-10,8707
2021-06-11,8431
2021-06-12,8145
2021-06-13,1
2021-06-14,6933
2021-06-15,6012
2021-06-16,7978
2021-06-17,7796
2021-06-18,6533
2021-06-19,8642
2021-06-22,7814
2021-06-23,6456
2021-06-24,6597
2021-06-25,7289
2021-06-26,7725
2021-06-27,1
2021-06-28,7280
2021-06-29,7923
2021-06-30,8939
2021-07-01,8798
2021-07-02,8618
2021-07-03,8479
2021-07-04,1
2021-07-05,7755
2021-07-06,7465
2021-07-07,6135
2021-07-08,4890
2021-07-09,5012
2021-07-10,5620
2021-07-11,1
2021-07-12,6217
2021-07-13,5096
2021-07-14,7573
2021-07-15,6530
2021-07-16,6243
2021-07-17,6629
2021-07-20,5330
2021-07-21,4393
2021-07-22,4335
2021-07-23,5149
2021-07-24,5496
2021-07-25,2
2021-07-26,6087
2021-07-27,5032
2021-07-28,3433
2021-07-29,3768
2021-07-30,3738
2021-07-31,4672
2021-08-03,4333
2021-08-04,3549
2021-08-05,3164
2021-08-06,3064
2021-08-07,3492
2021-08-08,38
2021-08-09,2830
2021-08-10,2375
2021-08-11,2187
2021-08-12,1705
2021-08-13,1784
2021-08-14,2043
2021-08-17,1460
2021-08-18,1222
2021-08-19,1268
2021-08-20,1283
2021-08-21,1249
2021-08-22,105
2021-08-23,1031
2021-08-24,1324
2021-08-25,1137
2021-08-26,1020
2021-08-27,1299
2021-08-28,1107
2021-08-31,1363
2021-09-01,1007
2021-09-02,1064
2021-09-03,1287
2021-09-04,854
2021-09-05,89
2021-09-06,898
2021-09-07,1156
2021-09-08,869
2021-09-09,964
2021-09-10,1132
2021-09-11,994
2021-09-12,34
2021-09-13,80
2021-09-14,1583
2021-09-15,913
2021-09-16,957
2021-09-17,1375
2021-09-18,370
2021-09-19,119
2021-09-20,143
2021-09-21,1345
2021-09-22,725
2021-09-23,700
2021-09-24,1002
2021-09-25,931
2021-09-26,84
2021-09-27,712
2021-09-28,2217
2021-09-29,1383
2021-09-30,1466
2021-10-01,1967
2021-10-02,874
2021-10-03,52
2021-10-04,526
2021-10-05,1420
2021-10-06,715
2021-10-07,844
2021-10-08,1362
2021-10-09,979
2021-10-10,6
2021-10-11,83
2021-10-12,1803
2021-10-13,1086
2021-10-14,1252
2021-10-15,1435
2021-10-16,1404
2021-10-19,1800
2021-10-20,1997
2021-10-21,1771
2021-10-22,2380
2021-10-23,1282
2021-10-24,37
2021-10-25,1511
2021-10-26,3219
2021-10-27,3082
2021-10-28,2819
2021-10-29,3133
2021-10-30,2064
2021-11-02,3594
2021-11-03,2919
2021-11-04,2694
2021-11-05,2877
2021-11-06,1760
2021-11-07,24
2021-11-08,1541
2021-11-09,2823
2021-11-10,2188
2021-11-11,2343
2021-11-12,2528
2021-11-13,2075
2021-11-14,5
2021-11-15,2252
2021-11-16,2690
2021-11-17,2869
2021-11-18,3242
2021-11-19,4348
2021-11-20,2719
2021-11-21,24
2021-11-22,3071
2021-11-23,4964
2021-11-24,5184
2021-11-25,5118
2021-11-26,5504
2021-11-27,2851
2021-11-28,26
2021-11-29,3330
2021-11-30,7100
2021-12-01,6062
2021-12-02,6122
2021-12-03,6678
2021-12-04,3636
2021-12-05,96
2021-12-06,3913
2021-12-07,6567
2021-12-08,6725
2021-12-09,6546
2021-12-10,7649
2021-12-11,4258
2021-12-12,498
2021-12-13,3888
2021-12-14,7070
2021-12-15,8024
2021-12-16,8438
2021-12-17,8856
2021-12-18,4345
2021-12-19,138
2021-12-20,4344
2021-12-21,8072
2021-12-22,7655
2021-12-23,7556
2021-12-24,3838
2021-12-25,17
2021-12-26,62
2021-12-27,4203
2021-12-28,7863
2021-12-29,7745
2021-12-30,7131
2021-12-31,4035
2022-01-03,4449
2022-01-04,8269
2022-01-05,8247
2022-01-06,8173
2022-01-07,8704
2022-01-08,4143
2022-01-09,38
2022-01-10,4984
2022-01-11,9396
2022-01-12,9167
2022-01-13,9346
2022-01-14,9893
2022-01-15,4589
2022-01-16,18
2022-01-17,4488
2022-01-18,8617
2022-01-19,7897
2022-01-20,7422
2022-01-21,8030
2022-01-22,4214
2022-01-25,4576
2022-01-26,3536
2022-01-27,3735
2022-01-28,4688
2022-01-29,3098
2022-02-01,2907
2022-02-02,2714
2022-02-03,2734
2022-02-04,3527
2022-02-05,2661
2022-02-08,2580
2022-02-09,1785
2022-02-10,1851
2022-02-11,2240
2022-02-12,1522
2022-02-15,1311
2022-02-16,953
2022-02-17,965
2022-02-18,1039
2022-02-19,1094
2022-02-20,19
2022-02-21,745
2022-02-22,1008
2022-02-23,654
2022-02-24,904
2022-02-25,1148
2022-02-26,841
2022-03-01,973
2022-03-02,577
2022-03-03,769
2022-03-04,715
2022-03-05,730
2022-03-08,725
2022-03-09,397
2022-03-10,471
2022-03-11,614
2022-03-12,575
2022-03-15,658
2022-03-16,347
2022-03-17,442
2022-03-18,395
2022-03-19,390
2022-03-20,5
2022-03-21,18
2022-03-22,506
2022-03-23,255
2022-03-24,292
2022-03-25,407
2022-03-26,300
2022-03-29,422
2022-03-30,276
2022-03-31,351
2022-04-01,293
2022-04-02,274
2022-04-05,377
2022-04-06,228
2022-04-07,219
2022-04-08,244
2022-04-09,221
2022-04-12,351
2022-04-13,211
2022-04-14,234
2022-04-15,203
2022-04-16,178
2022-04-20,169
2022-04-21,182
2022-04-22,252
2022-04-23,188
2022-04-24,10
2022-04-25,67
2022-04-26,406
2022-04-27,355
2022-04-28,439
2022-04-29,522
2022-04-30,278
2022-05-01,6
2022-05-02,95
2022-05-03,580
2022-05-04,499
2022-05-05,488
2022-05-06,639
2022-05-07,267
2022-05-10,607
2022-05-11,538
2022-05-12,547
2022-05-13,538
2022-05-14,281
2022-05-17,577
2022-05-18,565
2022-05-19,646
2022-05-20,584
2022-05-21,171
2022-05-22,1
2022-05-23,149
2022-05-24,533
2022-05-25,434
2022-05-28,132
2022-05-31,448
2022-06-01,427
2022-06-02,427
2022-06-03,344
2022-06-04,166
2022-06-08,410
2022-06-09,387
2022-06-10,325
2022-06-11,144
2022-06-14,379
2022-06-15,251
2022-06-16,341
2022-06-17,404
2022-06-18,122
2022-06-21,278
2022-06-22,234
2022-06-25,183
2022-06-28,403
2022-06-29,299
2022-06-30,376
2022-07-01,395
2022-07-02,150
2022-07-05,325
2022-07-06,407
2022-07-07,405
2022-07-08,598
2022-07-09,183
2022-07-12,1724
2022-07-13,1492
2022-07-14,1323
2022-07-15,1161
2022-07-16,532
2022-07-17,51
2022-07-18,241
2022-07-19,1324
2022-07-20,1084
2022-07-21,1316
2022-07-22,1721
2022-07-23,697
2022-07-24,9
2022-07-25,300
2022-07-26,1956
2022-07-27,1950
2022-07-28,1755
2022-07-29,1687
2022-07-30,745
2022-08-02,1590
2022-08-03,1116
2022-08-04,1142
2022-08-05,1053
2022-08-06,372
2022-08-07,4
2022-08-08,191
2022-08-09,1236
2022-08-10,866
2022-08-11,1020
2022-08-12,1000
2022-08-13,339
2022-08-17,354
2022-08-18,541
2022-08-19,404
2022-08-20,7
2022-08-23,301
2022-08-24,313
2022-08-25,477
2022-08-26,351
2022-08-27,44
2022-08-28,8
2022-08-29,117
2022-08-30,450
2022-08-31,256
2022-09-01,292
2022-09-02,215
2022-09-03,55
2022-09-04,5
2022-09-05,68
2022-09-06,106
2022-09-07,220
2022-09-08,144
2022-09-09,143
2022-09-10,59
2022-09-13,365
2022-09-14,319
2022-09-15,333
2022-09-16,322
2022-09-17,24
2022-09-20,373
2022-09-21,463
2022-09-22,384
2022-09-23,429
2022-09-24,113
2022-09-25,6
2022-09-26,121
2022-09-27,293
2022-09-28,391
2022-09-29,376
2022-09-30,483
2022-10-01,77
2022-10-02,2
2022-10-03,113
2022-10-04,405
2022-10-05,374
2022-10-06,573
2022-10-07,518
2022-10-08,137
2022-10-11,545
2022-10-12,460
2022-10-13,618
2022-10-14,799
2022-10-15,293
2022-10-16,10
2022-10-17,200
2022-10-18,675
2022-10-19,559
2022-10-20,662
2022-10-21,701
2022-10-22,217
2022-10-23,1
2022-10-24,360
2022-10-25,618
2022-10-26,503
2022-10-27,581
2022-10-28,577
2022-10-29,177
2022-11-03,449
2022-11-04,344
2022-11-05,171
2022-11-08,416
2022-11-09,400
2022-11-10,495
2022-11-11,439
2022-11-12,129
2022-11-13,1
2022-11-14,149
2022-11-15,374
2022-11-16,308
2022-11-17,363
2022-11-18,326
2022-11-19,152
2022-11-22,311
2022-11-23,293
2022-11-24,391
2022-11-25,352
2022-11-26,128
2022-11-29,280
2022-11-30,281
2022-12-01,321
2022-12-02,264
2022-12-03,139
2022-12-06,261
2022-12-07,311
2022-12-08,285
2022-12-09,321
2022-12-10,106
2022-12-13,268
