dates,covid19mobilitytrend_park
2020-02-15,1
2020-02-16,7
2020-02-17,-2
2020-02-18,6
2020-02-19,3
2020-02-20,12
2020-02-21,-4
2020-02-22,-26
2020-02-23,10
2020-02-24,8
2020-02-25,0
2020-02-26,9
2020-02-27,-7
2020-02-28,0
2020-02-29,15
2020-03-01,38
2020-03-02,6
2020-03-03,7
2020-03-04,-1
2020-03-05,7
2020-03-06,26
2020-03-07,6
2020-03-08,83
2020-03-09,14
2020-03-10,8
2020-03-11,-1
2020-03-12,-7
2020-03-13,-12
2020-03-14,-22
2020-03-15,56
2020-03-16,-18
2020-03-17,26
2020-03-18,-14
2020-03-19,29
2020-03-20,3
2020-03-21,10
2020-03-22,47
2020-03-23,9
2020-03-24,16
2020-03-25,34
2020-03-26,36
2020-03-27,35
2020-03-28,47
2020-03-29,-18
2020-03-30,-11
2020-03-31,5
2020-04-01,-8
2020-04-02,-22
2020-04-03,-16
2020-04-04,-1
2020-04-05,71
2020-04-06,38
2020-04-07,61
2020-04-08,49
2020-04-09,2
2020-04-10,36
2020-04-11,22
2020-04-12,3
2020-04-13,-7
2020-04-14,-25
2020-04-15,-1
2020-04-16,-14
2020-04-17,-8
2020-04-18,7
2020-04-19,52
2020-04-20,16
2020-04-21,42
2020-04-22,58
2020-04-23,42
2020-04-24,19
2020-04-25,26
2020-04-26,47
2020-04-27,24
2020-04-28,19
2020-04-29,22
2020-04-30,40
2020-05-01,91
2020-05-02,8
2020-05-03,95
2020-05-04,120
2020-05-05,37
2020-05-06,48
2020-05-07,26
2020-05-08,40
2020-05-09,67
2020-05-10,153
2020-05-11,-21
2020-05-12,21
2020-05-13,6
2020-05-14,18
2020-05-15,11
2020-05-16,-8
2020-05-17,29
2020-05-18,35
2020-05-19,34
2020-05-20,31
2020-05-21,8
2020-05-22,51
2020-05-23,93
2020-05-24,44
2020-05-25,35
2020-05-26,89
2020-05-27,89
2020-05-28,49
2020-05-29,60
2020-05-30,78
2020-05-31,135
2020-06-01,49
2020-06-02,77
2020-06-03,64
2020-06-04,62
2020-06-05,84
2020-06-06,66
2020-06-07,109
2020-06-08,33
2020-06-09,42
2020-06-10,73
2020-06-11,59
2020-06-12,75
2020-06-13,104
2020-06-14,107
2020-06-15,36
2020-06-16,112
2020-06-17,138
2020-06-18,120
2020-06-19,119
2020-06-20,119
2020-06-21,204
2020-06-22,195
2020-06-23,235
2020-06-24,199
2020-06-25,132
2020-06-26,153
2020-06-27,162
2020-06-28,211
2020-06-29,76
2020-06-30,55
2020-07-01,86
2020-07-02,84
2020-07-03,108
2020-07-04,118
2020-07-05,124
2020-07-06,108
2020-07-07,110
2020-07-08,97
2020-07-09,96
2020-07-10,82
2020-07-11,112
2020-07-12,166
2020-07-13,113
2020-07-14,157
2020-07-15,172
2020-07-16,157
2020-07-17,175
2020-07-18,210
2020-07-19,250
2020-07-20,159
2020-07-21,120
2020-07-22,106
2020-07-23,93
2020-07-24,76
2020-07-25,125
2020-07-26,237
2020-07-27,127
2020-07-28,167
2020-07-29,133
2020-07-30,76
2020-07-31,109
2020-08-01,171
2020-08-02,225
2020-08-03,105
2020-08-04,83
2020-08-05,159
2020-08-06,165
2020-08-07,190
2020-08-08,221
2020-08-09,282
2020-08-10,154
2020-08-11,162
2020-08-12,149
2020-08-13,102
2020-08-14,160
2020-08-15,223
2020-08-16,290
2020-08-17,150
2020-08-19,172
2020-08-20,144
2020-08-21,163
2020-08-22,122
2020-08-23,147
2020-08-24,87
2020-08-25,67
2020-08-26,83
2020-08-27,78
2020-08-28,110
2020-08-29,43
2020-08-30,146
2020-08-31,41
2020-09-01,111
2020-09-02,64
2020-09-03,61
2020-09-04,71
2020-09-05,75
2020-09-06,118
2020-09-07,52
2020-09-08,39
2020-09-09,63
2020-09-10,52
2020-09-11,79
2020-09-12,102
2020-09-13,116
2020-09-14,55
2020-09-15,100
2020-09-16,119
2020-09-17,24
2020-09-18,66
2020-09-19,84
2020-09-20,139
2020-09-21,50
2020-09-22,77
2020-09-23,76
2020-09-24,57
2020-09-25,65
2020-09-26,95
2020-09-27,151
2020-09-28,16
2020-09-29,51
2020-09-30,47
2020-10-01,28
2020-10-02,36
2020-10-03,47
2020-10-04,84
2020-10-05,28
2020-10-06,30
2020-10-07,45
2020-10-08,34
2020-10-09,22
2020-10-10,44
2020-10-11,75
2020-10-12,24
2020-10-13,33
2020-10-14,-3
2020-10-15,-7
2020-10-16,11
2020-10-17,32
2020-10-18,18
2020-10-19,-1
2020-10-20,23
2020-10-21,17
2020-10-22,2
2020-10-23,20
2020-10-24,41
2020-10-25,86
2020-10-26,4
2020-10-27,15
2020-10-28,16
2020-10-29,-3
2020-10-30,5
2020-10-31,25
2020-11-01,62
2020-11-02,-5
2020-11-03,18
2020-11-04,6
2020-11-05,-8
2020-11-06,19
2020-11-07,16
2020-11-08,65
2020-11-09,-2
2020-11-10,13
2020-11-11,28
2020-11-12,-4
2020-11-13,-3
2020-11-14,13
2020-11-15,45
2020-11-16,-9
2020-11-17,1
2020-11-18,63
2020-11-19,-17
2020-11-20,-7
2020-11-21,4
2020-11-22,33
2020-11-23,-8
2020-11-24,-4
2020-11-25,0
2020-11-26,-17
2020-11-27,-13
2020-11-28,-1
2020-11-29,43
2020-11-30,-9
2020-12-01,-2
2020-12-02,-7
2020-12-03,-17
2020-12-04,-15
2020-12-05,-3
2020-12-06,25
2020-12-07,-15
2020-12-08,-11
2020-12-09,-8
2020-12-10,-12
2020-12-11,-8
2020-12-12,1
2020-12-13,39
2020-12-14,-3
2020-12-15,1
2020-12-16,-6
2020-12-17,1
2020-12-18,2
2020-12-19,12
2020-12-20,43
2020-12-21,-2
2020-12-22,10
2020-12-23,17
2020-12-24,2
2020-12-25,32
2020-12-26,29
2020-12-27,55
2020-12-28,-1
