dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,3
2020-03-09,6
2020-03-10,8
2020-03-11,10
2020-03-12,16
2020-03-13,17
2020-03-14,26
2020-03-15,30
2020-03-16,34
2020-03-17,60
2020-03-18,71
2020-03-19,86
2020-03-20,109
2020-03-21,121
2020-03-22,136
2020-03-23,180
2020-03-24,197
2020-03-25,221
2020-03-26,244
2020-03-27,280
2020-03-28,305
2020-03-29,347
2020-03-30,376
2020-03-31,398
2020-04-01,446
2020-04-02,458
2020-04-03,493
2020-04-04,509
2020-04-05,533
2020-04-06,542
2020-04-07,548
2020-04-08,577
2020-04-09,589
2020-04-10,612
2020-04-11,630
2020-04-12,651
2020-04-13,653
2020-04-14,657
2020-04-15,666
2020-04-16,675
2020-04-17,682
2020-04-18,712
2020-04-19,727
2020-04-20,739
2020-04-21,748
2020-04-22,761
2020-04-23,778
2020-04-24,784
2020-04-25,804
2020-04-26,812
2020-04-27,818
2020-04-28,836
2020-04-29,849
2020-04-30,858
2020-05-01,870
2020-05-02,871
2020-05-03,879
2020-05-04,896
2020-05-05,896
2020-05-06,900
2020-05-07,909
2020-05-08,928
2020-05-09,930
2020-05-10,939
2020-05-11,946
2020-05-12,950
2020-05-13,951
2020-05-14,962
2020-05-15,970
2020-05-16,997
2020-05-17,1008
2020-05-18,1009
2020-05-19,1012
2020-05-20,1016
2020-05-21,1025
2020-05-22,1030
2020-05-23,1046
2020-05-24,1047
2020-05-25,1049
2020-05-26,1053
2020-05-27,1057
2020-05-28,1061
2020-05-29,1064
2020-05-30,1065
2020-05-31,1066
2020-06-01,1066
2020-06-02,1071
2020-06-03,1079
2020-06-04,1082
2020-06-05,1085
2020-06-06,1086
2020-06-07,1088
2020-06-08,1088
2020-06-09,1089
2020-06-10,1092
2020-06-11,1094
2020-06-12,1096
2020-06-13,1097
2020-06-14,1097
2020-06-15,1097
2020-06-16,1098
2020-06-17,1104
2020-06-18,1108
2020-06-19,1110
2020-06-20,1111
2020-06-21,1111
2020-06-22,1111
2020-06-23,1111
2020-06-24,1111
2020-06-25,1111
2020-06-26,1112
2020-06-27,1115
2020-06-28,1116
2020-06-29,1117
2020-06-30,1118
2020-07-01,1121
2020-07-02,1122
2020-07-03,1122
2020-07-04,1123
2020-07-05,1124
2020-07-06,1127
2020-07-07,1134
2020-07-08,1141
2020-07-09,1154
2020-07-10,1165
2020-07-11,1173
2020-07-12,1173
2020-07-13,1174
2020-07-14,1174
2020-07-15,1178
2020-07-16,1179
2020-07-17,1185
2020-07-18,1189
2020-07-19,1192
2020-07-20,1192
2020-07-21,1193
2020-07-22,1197
2020-07-23,1203
2020-07-24,1205
2020-07-25,1206
2020-07-26,1219
2020-07-27,1219
2020-07-28,1220
2020-07-29,1224
2020-07-30,1228
2020-07-31,1231
2020-08-01,1238
2020-08-02,1243
2020-08-03,1246
2020-08-04,1249
2020-08-05,1257
2020-08-06,1275
2020-08-07,1281
2020-08-08,1288
2020-08-09,1290
2020-08-10,1290
2020-08-11,1293
2020-08-12,1303
2020-08-13,1307
2020-08-14,1308
2020-08-15,1315
2020-08-16,1322
2020-08-17,1323
2020-08-18,1323
2020-08-19,1326
2020-08-20,1327
2020-08-21,1330
2020-08-22,1333
2020-08-23,1337
2020-08-24,1337
2020-08-25,1342
2020-08-26,1360
2020-08-27,1366
2020-08-28,1375
2020-08-29,1381
2020-08-30,1393
2020-08-31,1396
2020-09-01,1404
2020-09-02,1406
2020-09-03,1410
2020-09-04,1416
2020-09-05,1425
2020-09-06,1428
2020-09-07,1429
2020-09-08,1432
2020-09-09,1443
2020-09-10,1448
2020-09-11,1459
2020-09-12,1464
2020-09-13,1474
2020-09-14,1477
2020-09-15,1482
2020-09-16,1486
2020-09-17,1494
2020-09-18,1498
2020-09-19,1515
2020-09-20,1525
2020-09-21,1526
2020-09-22,1560
2020-09-23,1572
2020-09-24,1594
2020-09-25,1625
2020-09-26,1654
2020-09-27,1676
2020-09-28,1697
2020-09-29,1729
2020-09-30,1824
2020-10-01,1868
2020-10-02,1945
2020-10-03,2019
2020-10-04,2086
2020-10-05,2126
2020-10-06,2194
2020-10-07,2261
2020-10-08,2370
2020-10-09,2507
2020-10-10,2596
2020-10-11,2670
2020-10-12,2765
2020-10-13,2840
2020-10-14,2942
2020-10-15,3056
2020-10-16,3204
2020-10-17,3392
2020-10-18,3450
2020-10-19,3494
2020-10-20,3609
2020-10-21,3797
2020-10-22,3958
2020-10-23,4208
2020-10-24,4467
2020-10-25,4678
2020-10-26,4757
2020-10-27,4893
2020-10-28,5144
2020-10-29,5395
2020-10-30,5679
2020-10-31,5894
2020-11-01,6136
2020-11-02,6268
2020-11-03,6439
2020-11-04,6752
2020-11-05,7119
2020-11-06,7476
2020-11-07,7880
2020-11-08,8095
2020-11-09,8187
2020-11-10,8395
2020-11-11,8848
2020-11-12,9381
2020-11-13,9836
2020-11-14,10231
2020-11-15,10547
2020-11-16,10636
2020-11-17,10914
2020-11-18,11356
2020-11-19,11722
2020-11-20,12102
2020-11-21,12744
2020-11-22,13120
2020-11-23,13236
2020-11-24,13693
2020-11-25,14273
2020-11-26,15171
2020-11-27,15808
2020-11-28,16561
2020-11-29,16975
2020-11-30,17075
2020-12-01,17687
2020-12-02,18377
2020-12-03,19307
2020-12-04,19993
2020-12-05,20787
2020-12-06,21313
2020-12-07,21520
2020-12-08,22104
2020-12-09,22816
2020-12-10,23706
2020-12-11,24386
2020-12-12,25046
2020-12-13,25675
2020-12-14,25885
2020-12-15,26472
2020-12-16,27495
2020-12-17,28535
2020-12-18,29427
2020-12-19,30297
2020-12-20,30940
2020-12-21,31335
2020-12-22,32339
2020-12-23,33484
2020-12-24,34754
2020-12-25,35420
2020-12-26,35819
2020-12-27,36330
2020-12-28,36838
2020-12-29,37676
2020-12-30,39043
2020-12-31,40904
2021-01-01,41615
2021-01-02,41929
2021-01-03,42497
2021-01-04,43118
2021-01-05,43942
2021-01-06,45171
2021-01-07,46545
2021-01-08,47782
2021-01-09,48952
2021-01-10,49568
2021-01-11,49899
2021-01-12,50777
2021-01-13,52032
2021-01-14,52982
2021-01-15,54066
2021-01-16,55097
2021-01-17,55664
2021-01-18,55908
2021-01-19,56720
2021-01-20,57808
2021-01-21,58710
2021-01-22,59586
2021-01-23,60496
2021-01-24,61008
2021-01-25,61231
2021-01-26,61924
2021-01-27,63027
2021-01-28,63992
2021-01-29,64923
2021-01-30,65708
2021-01-31,66241
2021-02-01,66652
2021-02-02,67427
2021-02-03,68658
2021-02-04,69400
2021-02-05,70276
2021-02-06,71320
2021-02-07,71800
2021-02-08,72088
2021-02-09,72869
2021-02-10,73859
2021-02-11,74701
2021-02-12,75509
2021-02-13,76282
2021-02-14,76706
2021-02-15,76984
2021-02-16,77697
2021-02-17,78643
2021-02-18,79351
2021-02-19,80040
2021-02-20,81109
2021-02-21,81519
2021-02-22,81793
2021-02-23,82462
2021-02-24,83445
2021-02-25,84258
2021-02-26,84983
2021-02-27,85810
2021-02-28,86186
2021-03-01,86458
2021-03-02,87103
2021-03-03,88022
2021-03-04,88668
2021-03-05,89414
2021-03-06,90009
2021-03-07,90331
2021-03-08,90525
2021-03-09,90997
2021-03-10,91636
2021-03-11,92274
2021-03-12,92906
2021-03-13,93484
2021-03-14,93781
2021-03-15,93959
2021-03-16,94602
2021-03-17,95420
2021-03-18,95902
2021-03-19,96524
2021-03-20,97149
2021-03-21,97409
2021-03-22,97586
2021-03-23,98094
2021-03-24,98870
2021-03-25,99476
2021-03-26,100114
2021-03-27,100716
2021-03-28,101040
2021-03-29,101207
2021-03-30,101733
2021-03-31,102363
2021-04-01,103001
2021-04-02,103588
2021-04-03,103867
2021-04-04,104105
2021-04-05,104224
2021-04-06,104533
2021-04-07,105176
2021-04-08,105916
2021-04-09,106574
2021-04-10,107240
2021-04-11,107608
2021-04-12,107818
2021-04-13,108355
2021-04-14,109088
2021-04-15,109731
2021-04-16,110343
2021-04-17,110997
2021-04-18,111334
2021-04-19,111536
2021-04-20,112224
2021-04-21,112983
2021-04-22,113561
2021-04-23,114244
2021-04-24,114955
2021-04-25,115316
2021-04-26,115536
2021-04-27,116132
2021-04-28,117099
2021-04-29,117795
2021-04-30,118558
2021-05-01,119370
2021-05-02,119750
2021-05-03,119953
2021-05-04,120378
2021-05-05,120736
2021-05-06,121509
2021-05-07,122545
2021-05-08,123331
2021-05-09,123963
2021-05-10,124301
2021-05-11,124960
2021-05-12,125689
2021-05-13,126387
2021-05-14,127053
2021-05-15,127597
2021-05-16,127978
2021-05-17,128125
2021-05-18,128688
2021-05-19,129297
2021-05-20,129794
2021-05-21,130271
2021-05-22,130712
2021-05-23,130945
2021-05-24,131079
2021-05-25,131514
2021-05-26,131910
2021-05-27,132258
2021-05-28,132612
2021-05-29,132918
2021-05-30,133098
2021-05-31,133199
2021-06-01,133518
2021-06-02,133866
2021-06-03,134162
2021-06-04,134421
2021-06-05,134677
2021-06-06,134812
2021-06-07,134888
2021-06-08,135144
2021-06-09,135388
2021-06-10,135584
2021-06-11,135762
2021-06-12,135940
2021-06-13,136030
2021-06-14,136104
2021-06-15,136247
2021-06-16,136403
2021-06-17,136544
2021-06-18,136652
2021-06-19,136736
2021-06-20,136810
2021-06-21,136850
2021-06-22,136975
2021-06-23,137077
2021-06-24,137110
2021-06-25,137130
2021-06-26,137169
2021-06-27,137210
2021-06-28,137240
2021-06-29,137329
2021-06-30,137429
2021-07-01,137500
