dates,cumulativecount_medicaltest_conditioncovid_19
2020-02-29,116
2020-03-01,126
2020-03-02,163
2020-03-03,204
2020-03-04,240
2020-03-05,275
2020-03-06,307
2020-03-07,321
2020-03-08,343
2020-03-09,391
2020-03-10,450
2020-03-11,497
2020-03-12,576
2020-03-13,703
2020-03-14,1019
2020-03-15,1353
2020-03-16,1704
2020-03-17,2199
2020-03-18,2954
2020-03-19,3674
2020-03-20,4373
2020-03-21,5762
2020-03-22,6573
2020-03-23,7758
2020-03-24,8645
2020-03-25,9796
2020-03-26,10613
2020-03-27,11702
2020-03-28,12748
2020-03-29,13805
2020-03-30,14307
2020-03-31,14807
2020-04-01,15810
2020-04-02,16834
2020-04-03,18198
2020-04-04,19380
2020-04-05,20680
2020-04-06,21453
2020-04-07,22575
2020-04-08,24036
2020-04-09,25458
2020-04-10,26656
2020-04-11,27796
2020-04-12,28214
2020-04-13,28776
2020-04-14,29018
2020-04-15,29896
2020-04-16,31302
2020-04-17,32837
2020-04-18,34697
2020-04-19,35881
2020-04-20,36668
2020-04-21,37972
2020-04-22,39336
2020-04-23,41041
2020-04-24,43080
2020-04-25,45743
2020-04-26,47617
2020-04-27,49181
2020-04-28,51561
2020-04-29,54811
2020-04-30,57886
2020-05-01,61120
2020-05-02,63102
2020-05-03,64245
2020-05-04,65464
2020-05-05,66150
2020-05-06,68627
2020-05-07,71069
2020-05-08,73016
2020-05-09,75571
2020-05-10,76592
2020-05-11,77147
2020-05-12,79047
2020-05-13,81246
2020-05-14,83275
2020-05-15,85431
2020-05-16,87377
2020-05-17,88405
2020-05-18,89123
2020-05-19,90968
2020-05-20,92751
2020-05-21,94621
2020-05-22,96366
2020-05-23,97846
2020-05-24,99049
2020-05-25,99770
2020-05-26,101598
2020-05-27,103553
2020-05-28,105504
2020-05-29,106931
2020-05-30,108174
2020-05-31,109071
2020-06-01,109723
2020-06-02,111404
2020-06-03,112965
2020-06-04,114451
2020-06-05,115461
2020-06-06,116535
2020-06-07,117660
2020-06-08,118322
2020-06-09,120052
2020-06-10,121783
2020-06-11,123364
2020-06-12,124662
2020-06-13,126054
2020-06-14,127450
2020-06-15,128145
2020-06-16,129836
2020-06-17,131646
2020-06-18,133557
2020-06-19,134881
2020-06-20,136567
2020-06-21,137861
2020-06-22,139024
2020-06-23,140437
2020-06-24,141713
2020-06-25,142794
