dates,incrementalcount_vaccine_covid_19_administered
2020-12-16,1
2020-12-17,1
2020-12-18,4
2020-12-21,4
2020-12-22,5
2020-12-23,4
2020-12-24,3
2020-12-27,5
2020-12-28,610
2020-12-29,879
2020-12-30,802
2020-12-31,7
2021-01-01,7
2021-01-02,2
2021-01-03,6
2021-01-04,709
2021-01-05,897
2021-01-06,784
2021-01-07,815
2021-01-08,921
2021-01-09,311
2021-01-10,338
2021-01-11,1377
2021-01-12,1641
2021-01-13,1524
2021-01-14,1846
2021-01-15,1881
2021-01-16,676
2021-01-17,127
2021-01-18,860
2021-01-19,889
2021-01-20,790
2021-01-21,295
2021-01-22,232
2021-01-23,136
2021-01-24,5
2021-01-25,683
2021-01-26,872
2021-01-27,836
2021-01-28,796
2021-01-29,969
2021-01-30,321
2021-01-31,350
2021-02-01,1199
2021-02-02,1830
2021-02-03,1637
2021-02-04,1517
2021-02-05,1678
2021-02-06,579
2021-02-07,133
2021-02-08,422
2021-02-09,194
2021-02-10,655
2021-02-11,1803
2021-02-12,1754
2021-02-13,410
2021-02-14,31
2021-02-15,887
2021-02-16,1446
2021-02-17,2024
2021-02-18,1596
2021-02-19,1389
2021-02-20,762
2021-02-21,819
2021-02-22,1801
2021-02-23,2431
2021-02-24,4350
2021-02-25,4217
2021-02-26,3408
2021-02-27,605
2021-02-28,140
2021-03-01,1784
2021-03-02,2193
2021-03-03,4167
2021-03-04,6036
2021-03-05,4854
2021-03-06,799
2021-03-07,96
2021-03-08,1724
2021-03-09,2378
2021-03-10,2507
2021-03-11,2683
2021-03-12,5015
2021-03-13,943
2021-03-14,81
2021-03-15,3813
2021-03-16,228
2021-03-17,200
2021-03-18,335
2021-03-19,787
2021-03-20,433
2021-03-21,46
2021-03-22,2717
2021-03-23,5588
2021-03-24,6211
2021-03-25,5421
2021-03-26,4036
2021-03-27,610
2021-03-28,43
2021-03-29,2144
2021-03-30,5055
2021-03-31,5832
2021-04-01,4206
2021-04-02,600
2021-04-03,3407
2021-04-04,1635
2021-04-05,2887
2021-04-06,5441
2021-04-07,9289
2021-04-08,7122
2021-04-09,4951
2021-04-10,1712
2021-04-11,109
2021-04-12,2448
2021-04-13,3758
2021-04-14,6363
2021-04-15,5988
2021-04-16,9162
2021-04-17,6284
2021-04-18,940
2021-04-19,4039
2021-04-20,7444
2021-04-21,10259
2021-04-22,9910
2021-04-23,10833
2021-04-24,6236
2021-04-25,1402
2021-04-26,4602
2021-04-27,7559
2021-04-28,14782
2021-04-29,14426
2021-04-30,11580
2021-05-01,6858
2021-05-02,1619
2021-05-03,2983
2021-05-04,8891
2021-05-05,16790
2021-05-06,21698
2021-05-07,20091
2021-05-08,12350
2021-05-09,1643
2021-05-10,9518
2021-05-11,18053
2021-05-12,22628
2021-05-13,22053
2021-05-14,21415
2021-05-15,13357
2021-05-16,5045
2021-05-17,11680
2021-05-18,16934
2021-05-19,22590
2021-05-20,20890
2021-05-21,20177
2021-05-22,12390
2021-05-23,2852
2021-05-24,11700
2021-05-25,20610
2021-05-26,21993
2021-05-27,22014
2021-05-28,24836
2021-05-29,11886
2021-05-30,4156
2021-05-31,13047
2021-06-01,21274
2021-06-02,22021
2021-06-03,21856
2021-06-04,20022
2021-06-05,11282
2021-06-06,5236
2021-06-07,14881
2021-06-08,18147
2021-06-09,18396
2021-06-10,17025
2021-06-11,17365
2021-06-12,8287
2021-06-13,1657
2021-06-14,10408
2021-06-15,12964
2021-06-16,15923
2021-06-17,13275
2021-06-18,17294
2021-06-19,8487
2021-06-20,3500
2021-06-21,12410
2021-06-22,10261
2021-06-23,380
2021-06-24,124
2021-06-25,3036
2021-06-26,3235
2021-06-27,2296
2021-06-28,15512
2021-06-29,14433
2021-06-30,14772
2021-07-01,11807
2021-07-02,12456
2021-07-03,8644
2021-07-04,2236
2021-07-05,7757
2021-07-06,8942
2021-07-07,10198
2021-07-08,8718
2021-07-09,11343
2021-07-10,8078
2021-07-11,2074
2021-07-12,6504
2021-07-13,6653
2021-07-14,5922
2021-07-15,4831
2021-07-16,5712
2021-07-17,3672
2021-07-18,1280
2021-07-19,5123
2021-07-20,6823
2021-07-21,7402
2021-07-22,6565
2021-07-23,6308
2021-07-24,4758
