dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,3
2020-03-23,3
2020-03-24,4
2020-03-25,4
2020-03-26,5
2020-03-27,6
2020-03-28,10
2020-03-29,23
2020-03-30,25
2020-03-31,26
2020-04-01,33
2020-04-02,36
2020-04-03,39
2020-04-04,44
2020-04-05,48
2020-04-06,59
2020-04-07,70
2020-04-08,80
2020-04-09,90
2020-04-10,93
2020-04-11,97
2020-04-12,107
2020-04-13,111
2020-04-14,118
2020-04-15,126
2020-04-16,126
2020-04-17,127
2020-04-18,130
2020-04-19,135
2020-04-20,137
2020-04-21,141
2020-04-22,143
2020-04-23,145
2020-04-24,149
2020-04-25,155
2020-04-26,158
2020-04-27,159
2020-04-28,161
2020-04-29,162
2020-04-30,165
2020-05-01,168
2020-05-02,170
2020-05-03,171
2020-05-04,173
2020-05-05,174
2020-05-06,179
2020-05-07,181
2020-05-08,183
2020-05-09,183
2020-05-10,186
2020-05-11,186
2020-05-12,188
2020-05-13,188
2020-05-14,188
2020-05-15,188
2020-05-16,190
2020-05-17,190
2020-05-18,192
2020-05-19,192
2020-05-20,192
2020-05-21,193
2020-05-22,194
2020-05-23,196
2020-05-24,197
2020-05-25,198
2020-05-26,199
2020-05-27,200
2020-05-28,202
2020-05-29,202
2020-05-30,202
2020-05-31,202
2020-06-01,204
2020-06-02,205
2020-06-03,205
2020-06-04,206
2020-06-05,206
2020-06-06,208
2020-06-07,208
2020-06-08,208
2020-06-09,208
2020-06-10,208
2020-06-11,210
2020-06-12,211
2020-06-13,211
2020-06-14,212
2020-06-15,212
2020-06-16,212
2020-06-17,212
2020-06-18,212
2020-06-19,213
2020-06-20,213
2020-06-21,213
2020-06-22,213
2020-06-23,214
2020-06-24,214
2020-06-25,214
2020-06-26,216
2020-06-27,217
2020-06-28,218
2020-06-29,220
2020-06-30,221
2020-07-01,225
2020-07-02,228
2020-07-03,228
2020-07-04,229
2020-07-05,230
2020-07-06,232
2020-07-07,235
2020-07-08,237
2020-07-09,240
2020-07-10,242
2020-07-11,242
2020-07-12,243
2020-07-13,245
2020-07-14,250
2020-07-15,255
2020-07-16,257
2020-07-17,259
2020-07-18,263
2020-07-19,264
2020-07-20,269
2020-07-21,273
2020-07-22,276
2020-07-23,280
2020-07-24,285
2020-07-25,292
2020-07-26,299
2020-07-27,305
2020-07-28,313
2020-07-29,316
2020-07-30,327
2020-07-31,334
2020-08-01,346
2020-08-02,353
2020-08-03,367
2020-08-04,382
2020-08-05,401
2020-08-06,417
2020-08-07,435
2020-08-08,449
2020-08-09,461
2020-08-10,480
2020-08-11,498
2020-08-12,516
2020-08-13,533
2020-08-14,556
2020-08-15,584
2020-08-16,611
2020-08-17,632
2020-08-18,658
2020-08-19,681
2020-08-20,714
2020-08-21,743
2020-08-22,775
2020-08-23,817
2020-08-24,858
2020-08-25,888
2020-08-26,920
2020-08-27,955
2020-08-28,984
2020-08-29,1011
2020-08-30,1052
2020-08-31,1078
2020-09-01,1111
2020-09-02,1141
2020-09-03,1184
2020-09-04,1216
2020-09-05,1253
2020-09-06,1292
2020-09-07,1329
2020-09-08,1361
2020-09-09,1394
2020-09-10,1427
2020-09-11,1453
2020-09-12,1491
2020-09-13,1524
2020-09-14,1553
2020-09-15,1578
2020-09-16,1614
2020-09-17,1648
2020-09-18,1686
2020-09-19,1714
2020-09-20,1755
2020-09-21,1795
2020-09-22,1830
2020-09-23,1855
2020-09-24,1889
2020-09-25,1918
2020-09-26,1956
2020-09-27,1998
2020-09-28,2041
2020-09-29,2069
2020-09-30,2113
2020-10-01,2152
2020-10-02,2194
2020-10-03,2229
2020-10-04,2263
2020-10-05,2293
2020-10-06,2330
2020-10-07,2369
2020-10-08,2410
2020-10-09,2439
2020-10-10,2486
2020-10-11,2530
2020-10-12,2572
2020-10-13,2605
2020-10-14,2636
2020-10-15,2685
2020-10-16,2726
2020-10-17,2772
2020-10-18,2818
2020-10-19,2878
2020-10-20,2928
2020-10-21,2976
2020-10-22,3027
2020-10-23,3079
2020-10-24,3132
2020-10-25,3205
2020-10-26,3255
2020-10-27,3301
2020-10-28,3373
2020-10-29,3445
2020-10-30,3506
2020-10-31,3572
2020-11-01,3625
2020-11-02,3695
2020-11-03,3762
2020-11-04,3826
2020-11-05,3900
2020-11-06,3982
2020-11-07,4059
2020-11-08,4127
2020-11-09,4197
2020-11-10,4272
2020-11-11,4356
2020-11-12,4425
2020-11-13,4506
2020-11-14,4570
2020-11-15,4631
2020-11-16,4697
2020-11-17,4779
2020-11-18,4850
2020-11-19,4932
2020-11-20,5013
2020-11-21,5090
2020-11-22,5182
2020-11-23,5256
2020-11-24,5316
2020-11-25,5396
2020-11-26,5496
2020-11-27,5539
2020-11-28,5619
2020-11-29,5689
2020-11-30,5739
2020-12-01,5789
2020-12-02,5846
2020-12-03,5915
2020-12-04,5985
2020-12-05,6063
2020-12-06,6136
2020-12-07,6184
2020-12-08,6245
2020-12-09,6320
2020-12-10,6370
2020-12-11,6427
2020-12-12,6492
2020-12-13,6542
2020-12-14,6589
2020-12-15,6624
2020-12-16,6659
2020-12-17,6711
2020-12-18,6749
2020-12-19,6804
2020-12-20,6909
2020-12-21,6909
2020-12-22,6957
2020-12-23,7000
2020-12-24,7030
2020-12-25,7086
2020-12-26,7130
2020-12-27,7170
2020-12-28,7204
2020-12-29,7240
2020-12-30,7272
2020-12-31,7314
2021-01-01,7355
2021-01-02,7388
2021-01-03,7425
2021-01-04,7452
2021-01-05,7485
2021-01-06,7538
2021-01-07,7581
2021-01-08,7618
2021-01-09,7645
2021-01-10,7685
2021-01-11,7709
2021-01-12,7743
2021-01-13,7767
2021-01-14,7784
2021-01-15,7810
2021-01-16,7854
2021-01-17,7888
2021-01-18,7911
2021-01-19,7942
2021-01-20,7977
2021-01-21,8011
2021-01-22,8043
2021-01-23,8076
2021-01-24,8105
2021-01-25,8128
2021-01-26,8150
2021-01-27,8172
2021-01-28,8187
2021-01-29,8207
2021-01-30,8224
2021-01-31,8246
2021-02-01,8259
2021-02-02,8275
2021-02-03,8287
2021-02-04,8309
2021-02-05,8323
2021-02-06,8351
2021-02-07,8368
2021-02-08,8381
2021-02-09,8394
2021-02-10,8408
2021-02-11,8424
2021-02-12,8436
2021-02-13,8440
2021-02-14,8450
2021-02-15,8460
2021-02-16,8477
2021-02-17,8491
2021-02-18,8504
2021-02-19,8517
2021-02-20,8524
2021-02-21,8540
2021-02-22,8548
2021-02-23,8554
2021-02-24,8559
2021-02-25,8574
2021-02-26,8592
2021-02-27,8598
2021-02-28,8608
2021-03-01,8615
2021-03-02,8623
2021-03-03,8637
2021-03-04,8645
2021-03-05,8653
2021-03-06,8669
2021-03-07,8673
2021-03-08,8676
2021-03-09,8682
2021-03-10,8683
2021-03-11,8695
2021-03-12,8705
2021-03-13,8712
2021-03-14,8716
2021-03-15,8718
2021-03-16,8723
2021-03-17,8733
2021-03-18,8737
2021-03-19,8745
2021-03-20,8748
2021-03-21,8755
2021-03-22,8763
2021-03-23,8767
2021-03-24,8769
2021-03-25,8775
2021-03-26,8786
2021-03-27,8788
2021-03-28,8793
2021-03-29,8798
2021-03-30,8798
2021-03-31,8807
2021-04-01,8813
2021-04-02,8818
2021-04-03,8825
2021-04-04,8835
2021-04-05,8842
2021-04-06,8850
2021-04-07,8857
2021-04-08,8865
2021-04-09,8867
2021-04-10,8873
2021-04-11,8885
2021-04-12,8891
2021-04-13,8900
2021-04-14,8909
2021-04-15,8915
2021-04-16,8920
2021-04-17,8927
2021-04-18,8934
2021-04-19,8944
2021-04-20,8945
2021-04-21,8952
2021-04-22,8959
2021-04-23,8969
2021-04-24,8976
2021-04-25,8983
2021-04-26,8988
2021-04-27,8992
2021-04-28,8999
2021-04-29,9005
2021-04-30,9015
2021-05-01,9020
2021-05-02,9023
2021-05-03,9026
2021-05-04,9028
2021-05-05,9032
2021-05-06,9038
2021-05-07,9043
2021-05-08,9049
2021-05-09,9057
2021-05-10,9064
2021-05-11,9072
2021-05-12,9077
2021-05-13,9083
2021-05-14,9088
2021-05-15,9091
2021-05-16,9092
2021-05-17,9098
2021-05-18,9098
2021-05-19,9104
2021-05-20,9105
2021-05-21,9106
2021-05-22,9109
2021-05-23,9115
2021-05-24,9119
2021-05-25,9122
2021-05-26,9126
2021-05-27,9129
2021-05-28,9131
2021-05-29,9134
2021-05-30,9135
2021-05-31,9138
2021-06-01,9143
2021-06-02,9147
2021-06-03,9154
2021-06-04,9160
2021-06-05,9165
2021-06-06,9169
2021-06-07,9173
2021-06-08,9178
2021-06-09,9181
2021-06-10,9187
2021-06-11,9190
2021-06-12,9192
2021-06-13,9202
2021-06-14,9207
2021-06-15,9211
2021-06-16,9213
2021-06-17,9217
2021-06-18,9221
2021-06-19,9225
2021-06-20,9233
2021-06-21,9237
2021-06-22,9238
2021-06-23,9244
2021-06-24,9247
2021-06-25,9254
2021-06-26,9265
2021-06-27,9268
2021-06-28,9273
2021-06-29,9277
2021-06-30,9283
2021-07-01,9292
2021-07-02,9296
2021-07-03,9298
2021-07-04,9307
2021-07-05,9315
2021-07-06,9319
2021-07-07,9329
2021-07-08,9336
2021-07-09,9341
2021-07-10,9346
2021-07-11,9351
2021-07-12,9360
