dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,1
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,2
2020-03-12,0
2020-03-13,1
2020-03-14,4
2020-03-15,0
2020-03-16,15
2020-03-17,0
2020-03-18,7
2020-03-19,6
2020-03-20,13
2020-03-21,31
2020-03-22,0
2020-03-23,14
2020-03-24,15
2020-03-25,40
2020-03-26,0
2020-03-27,50
2020-03-28,0
2020-03-29,32
2020-03-30,32
2020-03-31,90
2020-04-01,70
2020-04-02,0
2020-04-03,168
2020-04-04,0
2020-04-05,161
2020-04-06,112
2020-04-07,101
2020-04-08,91
2020-04-09,118
2020-04-10,115
2020-04-11,149
2020-04-12,122
2020-04-13,102
2020-04-14,50
2020-04-15,222
2020-04-16,115
2020-04-17,105
2020-04-18,110
2020-04-19,87
2020-04-20,121
2020-04-21,76
2020-04-22,93
2020-04-23,137
2020-04-24,148
2020-04-25,184
2020-04-26,194
2020-04-27,104
2020-04-28,73
2020-04-29,157
2020-04-30,133
2020-05-01,126
2020-05-02,83
2020-05-03,72
2020-05-04,69
2020-05-05,127
2020-05-06,115
2020-05-07,113
2020-05-08,129
2020-05-09,123
2020-05-10,139
2020-05-11,60
2020-05-12,68
2020-05-13,159
2020-05-14,252
2020-05-15,147
2020-05-16,192
2020-05-17,189
2020-05-18,126
2020-05-19,78
2020-05-20,202
2020-05-21,213
2020-05-22,151
2020-05-23,143
2020-05-24,147
2020-05-25,99
2020-05-26,56
2020-05-27,156
2020-05-28,232
2020-05-29,188
2020-05-30,171
2020-05-31,202
2020-06-01,153
2020-06-02,109
2020-06-03,188
2020-06-04,247
2020-06-05,223
2020-06-06,229
2020-06-07,264
2020-06-08,189
2020-06-09,107
2020-06-10,218
2020-06-11,296
2020-06-12,406
2020-06-13,366
2020-06-14,366
2020-06-15,281
2020-06-16,139
2020-06-17,375
2020-06-18,478
2020-06-19,374
2020-06-20,450
2020-06-21,397
2020-06-22,247
2020-06-23,163
2020-06-24,351
2020-06-25,364
2020-06-26,375
2020-06-27,323
2020-06-28,304
2020-06-29,170
2020-06-30,107
2020-07-01,256
2020-07-02,285
2020-07-03,252
2020-07-04,295
2020-07-05,227
2020-07-06,142
2020-07-07,92
2020-07-08,235
2020-07-09,330
2020-07-10,195
2020-07-11,258
2020-07-12,284
2020-07-13,174
2020-07-14,57
2020-07-15,269
2020-07-16,332
2020-07-17,224
2020-07-18,230
2020-07-19,300
2020-07-20,186
2020-07-21,135
2020-07-22,327
2020-07-23,356
2020-07-24,307
2020-07-25,378
2020-07-26,345
2020-07-27,206
2020-07-28,120
2020-07-29,367
2020-07-30,426
2020-07-31,396
2020-08-01,390
2020-08-02,380
2020-08-03,249
2020-08-04,120
2020-08-05,332
2020-08-06,408
2020-08-07,406
2020-08-08,362
2020-08-09,453
2020-08-10,217
2020-08-11,181
2020-08-12,382
2020-08-13,474
2020-08-14,390
2020-08-15,396
2020-08-16,422
2020-08-17,278
2020-08-18,194
2020-08-19,412
2020-08-20,626
2020-08-21,522
2020-08-22,547
2020-08-23,588
2020-08-24,406
2020-08-25,350
2020-08-26,530
2020-08-27,624
2020-08-28,564
2020-08-29,358
2020-08-30,500
2020-08-31,296
2020-09-01,220
2020-09-02,288
2020-09-03,532
2020-09-04,632
2020-09-05,534
2020-09-06,567
2020-09-07,324
2020-09-08,258
2020-09-09,501
2020-09-10,588
2020-09-11,560
2020-09-12,479
2020-09-13,531
2020-09-14,264
2020-09-15,229
2020-09-16,527
2020-09-17,627
2020-09-18,622
2020-09-19,665
2020-09-20,688
2020-09-21,260
2020-09-22,200
2020-09-23,650
2020-09-24,786
2020-09-25,721
2020-09-26,713
2020-09-27,868
2020-09-28,341
2020-09-29,319
2020-09-30,835
2020-10-01,1013
2020-10-02,1022
2020-10-03,952
2020-10-04,872
2020-10-05,691
2020-10-06,322
2020-10-07,831
2020-10-08,1062
2020-10-09,1121
2020-10-10,918
2020-10-11,929
2020-10-12,389
2020-10-13,467
2020-10-14,657
2020-10-15,1149
2020-10-16,652
2020-10-17,784
2020-10-18,792
2020-10-19,398
2020-10-20,252
2020-10-21,656
2020-10-22,833
2020-10-23,777
2020-10-24,688
2020-10-25,833
2020-10-26,414
2020-10-27,308
2020-10-28,649
2020-10-29,861
2020-10-30,912
2020-10-31,968
2020-11-01,839
2020-11-02,542
2020-11-03,195
2020-11-04,710
2020-11-05,1020
2020-11-06,1059
2020-11-07,935
2020-11-08,1174
2020-11-09,671
2020-11-10,331
2020-11-11,915
2020-11-12,1115
2020-11-13,1331
2020-11-14,1323
2020-11-15,1411
2020-11-16,507
2020-11-17,564
2020-11-18,1069
2020-11-19,1607
2020-11-20,1442
2020-11-21,1422
2020-11-22,1306
2020-11-23,1252
2020-11-24,477
2020-11-25,1215
2020-11-26,1570
2020-11-27,1691
2020-11-28,1246
2020-11-29,1712
2020-11-30,1165
2020-12-01,347
2020-12-02,1499
2020-12-03,1717
2020-12-04,1727
2020-12-05,1522
2020-12-06,1728
2020-12-07,1078
2020-12-08,860
2020-12-09,1709
2020-12-10,1766
2020-12-11,1715
2020-12-12,1579
2020-12-13,1459
2020-12-14,795
2020-12-15,735
2020-12-16,1403
2020-12-17,1673
2020-12-18,1590
2020-12-19,1441
2020-12-20,1218
2020-12-21,629
2020-12-22,703
2020-12-23,1021
2020-12-24,1282
2020-12-25,1222
2020-12-26,815
2020-12-27,746
2020-12-28,359
2020-12-29,569
2020-12-30,927
2020-12-31,990
2021-01-01,977
2021-01-02,440
2021-01-03,436
2021-01-04,179
2021-01-05,436
2021-01-06,612
2021-01-07,950
2021-01-08,423
2021-01-09,375
2021-01-10,424
2021-01-11,298
2021-01-12,271
2021-01-13,476
2021-01-14,808
2021-01-15,741
2021-01-16,576
2021-01-17,377
2021-01-18,214
2021-01-19,258
2021-01-20,394
2021-01-21,612
2021-01-22,670
2021-01-23,514
2021-01-24,635
2021-01-25,265
2021-01-26,224
2021-01-27,546
2021-01-28,654
2021-01-29,683
2021-01-30,551
2021-01-31,653
2021-02-01,291
2021-02-02,282
2021-02-03,639
2021-02-04,917
2021-02-05,982
2021-02-06,776
2021-02-07,843
2021-02-08,326
2021-02-09,289
2021-02-10,805
2021-02-11,890
2021-02-12,993
2021-02-13,1280
2021-02-14,979
2021-02-15,381
2021-02-16,363
2021-02-17,965
2021-02-18,1301
2021-02-19,1340
2021-02-20,1028
2021-02-21,1062
2021-02-22,507
2021-02-23,655
2021-02-24,1133
2021-02-25,1610
2021-02-26,1736
2021-02-27,1452
2021-02-28,1518
2021-03-01,597
2021-03-02,994
2021-03-03,1400
2021-03-04,1550
2021-03-05,1800
2021-03-06,1788
2021-03-07,1620
2021-03-08,647
2021-03-09,350
2021-03-10,873
2021-03-11,1753
2021-03-12,1896
2021-03-13,1785
2021-03-14,1801
2021-03-15,753
2021-03-16,861
2021-03-17,1688
2021-03-18,1916
2021-03-19,1797
2021-03-20,1843
2021-03-21,1635
2021-03-22,831
2021-03-23,1060
2021-03-24,1621
2021-03-25,2273
2021-03-26,2132
2021-03-27,1866
2021-03-28,1674
2021-03-29,861
2021-03-30,932
2021-03-31,917
2021-04-01,1871
2021-04-02,1515
2021-04-03,1380
2021-04-04,1258
2021-04-05,693
2021-04-06,703
2021-04-07,773
2021-04-08,1155
2021-04-09,1428
2021-04-10,910
2021-04-11,830
2021-04-12,331
2021-04-13,603
2021-04-14,544
2021-04-15,1001
2021-04-16,812
2021-04-17,689
2021-04-18,628
2021-04-19,403
2021-04-20,341
2021-04-21,453
2021-04-22,700
2021-04-23,618
2021-04-24,509
2021-04-25,380
2021-04-26,241
2021-04-27,246
2021-04-28,329
2021-04-29,424
2021-04-30,370
2021-05-01,329
2021-05-02,323
2021-05-03,175
2021-05-04,43
2021-05-05,126
2021-05-06,316
2021-05-07,333
2021-05-08,260
2021-05-09,191
2021-05-10,145
2021-05-11,49
2021-05-12,151
2021-05-13,224
2021-05-14,213
2021-05-15,181
2021-05-16,169
2021-05-17,109
2021-05-18,109
2021-05-19,121
2021-05-20,138
2021-05-21,166
2021-05-22,120
2021-05-23,102
2021-05-24,75
2021-05-25,65
2021-05-26,73
2021-05-27,94
2021-05-28,77
2021-05-29,75
2021-05-30,45
2021-05-31,40
2021-06-01,41
2021-06-02,55
2021-06-03,44
2021-06-04,69
2021-06-05,48
2021-06-06,30
2021-06-07,21
2021-06-08,48
2021-06-09,40
2021-06-10,60
2021-06-11,60
2021-06-12,54
2021-06-13,43
2021-06-14,39
2021-06-15,33
2021-06-16,48
2021-06-17,59
2021-06-18,57
2021-06-19,60
2021-06-20,49
2021-06-21,37
2021-06-22,47
2021-06-23,45
2021-06-24,92
2021-06-25,63
2021-06-26,88
2021-06-27,52
2021-06-28,32
2021-06-29,55
2021-06-30,55
2021-07-01,65
2021-07-02,82
2021-07-03,54
2021-07-04,61
2021-07-05,39
2021-07-06,65
2021-07-07,70
2021-07-08,82
2021-07-09,85
2021-07-10,71
2021-07-11,76
2021-07-12,48
2021-07-13,62
2021-07-14,59
2021-07-15,90
2021-07-16,88
2021-07-17,76
2021-07-18,61
2021-07-19,43
2021-07-20,61
2021-07-21,89
2021-07-22,141
2021-07-23,128
2021-07-24,119
2021-07-25,97
2021-07-26,43
2021-07-27,89
2021-07-28,139
2021-07-29,166
2021-07-30,184
2021-07-31,154
2021-08-01,122
2021-08-02,71
2021-08-03,118
2021-08-04,161
2021-08-05,196
2021-08-06,159
2021-08-07,241
