dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,1
2020-05-02,1
2020-05-03,1
2020-05-04,1
2020-05-05,1
2020-05-06,1
2020-05-07,1
2020-05-08,1
2020-05-09,1
2020-05-10,1
2020-05-11,1
2020-05-12,1
2020-05-13,1
2020-05-14,1
2020-05-15,1
2020-05-16,1
2020-05-17,1
2020-05-18,2
2020-05-19,2
2020-05-20,3
2020-05-21,3
2020-05-22,3
2020-05-23,3
2020-05-24,3
2020-05-25,3
2020-05-26,3
2020-05-27,3
2020-05-28,3
2020-05-29,3
2020-05-30,6
2020-05-31,6
2020-06-01,6
2020-06-02,6
2020-06-03,6
2020-06-04,6
2020-06-05,7
2020-06-06,7
2020-06-07,8
2020-06-08,9
2020-06-09,9
2020-06-10,9
2020-06-11,10
2020-06-12,10
2020-06-13,10
2020-06-14,10
2020-06-15,10
2020-06-16,10
2020-06-17,12
2020-06-18,12
2020-06-19,13
2020-06-20,13
2020-06-21,13
2020-06-22,14
2020-06-23,15
2020-06-24,15
2020-06-25,16
2020-06-26,16
2020-06-27,16
2020-06-28,16
2020-06-29,18
2020-06-30,20
2020-07-01,20
2020-07-02,22
2020-07-03,24
2020-07-04,26
2020-07-05,29
2020-07-06,32
2020-07-07,33
2020-07-08,33
2020-07-09,33
2020-07-10,33
2020-07-11,34
2020-07-12,34
2020-07-13,35
2020-07-14,37
2020-07-15,39
2020-07-16,43
2020-07-17,53
2020-07-18,54
2020-07-19,55
2020-07-20,59
2020-07-21,62
2020-07-22,65
2020-07-23,69
2020-07-24,70
2020-07-25,76
2020-07-26,78
2020-07-27,85
2020-07-28,91
2020-07-29,93
2020-07-30,99
2020-07-31,105
2020-08-01,106
2020-08-02,107
2020-08-03,114
2020-08-04,118
2020-08-05,123
2020-08-06,127
2020-08-07,134
2020-08-08,135
2020-08-09,141
2020-08-10,148
2020-08-11,151
2020-08-12,152
2020-08-13,156
2020-08-14,162
2020-08-15,164
2020-08-16,166
2020-08-17,170
2020-08-18,171
2020-08-19,173
2020-08-20,173
2020-08-21,177
2020-08-22,178
2020-08-23,178
2020-08-24,178
2020-08-25,178
2020-08-26,178
2020-08-27,181
2020-08-28,184
2020-08-29,187
2020-08-30,190
2020-08-31,191
2020-09-01,192
2020-09-02,195
2020-09-03,196
2020-09-04,197
2020-09-05,198
2020-09-06,199
2020-09-07,200
2020-09-08,202
2020-09-09,206
2020-09-10,206
2020-09-11,208
2020-09-12,209
2020-09-13,210
2020-09-14,211
2020-09-15,213
2020-09-16,214
2020-09-17,215
2020-09-18,216
2020-09-19,217
2020-09-20,219
2020-09-21,223
2020-09-22,225
2020-09-23,226
2020-09-24,226
2020-09-25,227
2020-09-26,228
2020-09-27,229
2020-09-28,229
2020-09-29,229
2020-09-30,229
2020-10-01,230
2020-10-02,232
2020-10-03,232
2020-10-04,232
2020-10-05,232
2020-10-06,233
2020-10-07,234
2020-10-08,235
2020-10-09,235
2020-10-10,237
2020-10-11,237
2020-10-12,237
2020-10-13,237
2020-10-14,237
2020-10-15,237
2020-10-16,237
2020-10-17,238
2020-10-18,238
2020-10-19,238
2020-10-20,238
2020-10-21,238
2020-10-22,238
2020-10-23,238
2020-10-24,244
2020-10-25,244
2020-10-26,244
2020-10-27,244
2020-10-28,244
2020-10-29,244
2020-10-30,244
2020-10-31,244
2020-11-01,244
2020-11-02,244
2020-11-03,244
2020-11-04,244
2020-11-05,244
2020-11-06,244
2020-11-07,244
2020-11-08,249
2020-11-09,249
2020-11-10,249
2020-11-11,249
2020-11-12,249
2020-11-13,249
2020-11-14,249
2020-11-15,250
2020-11-16,250
2020-11-17,250
2020-11-18,250
2020-11-19,251
2020-11-20,251
2020-11-21,251
2020-11-22,251
2020-11-23,251
2020-11-24,251
2020-11-25,251
2020-11-26,251
2020-11-27,251
2020-11-28,251
2020-11-29,251
2020-11-30,251
2020-12-01,251
2020-12-02,251
2020-12-03,251
2020-12-04,255
2020-12-05,255
2020-12-06,255
2020-12-07,255
2020-12-08,255
2020-12-09,255
2020-12-10,255
2020-12-11,259
2020-12-12,259
2020-12-13,259
2020-12-14,259
2020-12-15,259
2020-12-16,259
2020-12-17,259
2020-12-18,259
2020-12-19,260
2020-12-20,260
2020-12-21,260
2020-12-22,260
2020-12-23,260
2020-12-24,260
2020-12-25,260
2020-12-26,261
2020-12-27,261
2020-12-28,261
2020-12-29,261
2020-12-30,261
2020-12-31,261
2021-01-01,261
2021-01-02,262
2021-01-03,262
2021-01-04,262
2021-01-05,262
2021-01-06,262
2021-01-07,262
2021-01-08,262
2021-01-09,267
2021-01-10,267
2021-01-11,267
2021-01-12,267
2021-01-13,267
2021-01-14,267
2021-01-15,267
2021-01-16,273
2021-01-17,273
2021-01-18,273
2021-01-19,273
2021-01-20,273
2021-01-21,273
2021-01-22,273
2021-01-23,279
2021-01-24,279
2021-01-25,279
2021-01-26,279
2021-01-27,279
2021-01-28,279
2021-01-29,279
2021-01-30,281
2021-01-31,281
2021-02-01,281
2021-02-02,281
2021-02-03,281
2021-02-04,281
2021-02-05,281
2021-02-06,285
2021-02-07,285
2021-02-08,285
2021-02-09,285
2021-02-10,285
2021-02-11,285
2021-02-12,285
2021-02-13,292
2021-02-14,292
2021-02-15,292
2021-02-16,292
2021-02-17,292
2021-02-18,292
2021-02-19,292
2021-02-20,297
2021-02-21,297
2021-02-22,297
2021-02-23,297
2021-02-24,297
2021-02-25,297
2021-02-26,297
2021-02-27,300
2021-02-28,300
2021-03-01,300
2021-03-02,300
2021-03-03,300
2021-03-04,300
2021-03-05,310
2021-03-06,310
2021-03-07,310
2021-03-08,310
2021-03-09,310
2021-03-10,310
2021-03-11,310
2021-03-12,310
2021-03-13,326
2021-03-14,329
2021-03-15,334
2021-03-16,335
2021-03-17,337
2021-03-18,338
2021-03-19,340
2021-03-20,345
2021-03-21,351
2021-03-22,355
2021-03-23,361
2021-03-24,363
2021-03-25,369
2021-03-26,378
2021-03-27,381
2021-03-28,387
2021-03-29,394
2021-03-30,403
2021-03-31,418
2021-04-01,433
2021-04-02,444
2021-04-03,449
2021-04-04,454
2021-04-05,459
2021-04-06,462
2021-04-07,469
2021-04-08,475
2021-04-09,486
2021-04-10,493
2021-04-11,500
2021-04-12,506
2021-04-13,512
2021-04-14,520
2021-04-15,527
2021-04-16,531
2021-04-17,538
2021-04-18,542
2021-04-19,552
2021-04-20,563
2021-04-21,569
2021-04-22,579
2021-04-23,588
2021-04-24,593
2021-04-25,599
2021-04-26,605
2021-04-27,614
2021-04-28,631
2021-04-29,637
2021-04-30,643
2021-05-01,654
2021-05-02,666
2021-05-03,677
2021-05-04,682
2021-05-05,690
2021-05-06,695
2021-05-07,701
2021-05-08,716
2021-05-09,722
2021-05-10,729
2021-05-11,732
2021-05-12,738
2021-05-13,745
2021-05-14,748
2021-05-15,754
2021-05-16,763
2021-05-17,771
2021-05-18,774
2021-05-19,777
2021-05-20,783
2021-05-21,786
2021-05-22,793
2021-05-23,800
2021-05-24,806
2021-05-25,810
2021-05-26,817
2021-05-27,822
2021-05-28,827
2021-05-29,829
2021-05-30,835
2021-05-31,839
2021-06-01,841
2021-06-02,846
2021-06-03,850
2021-06-04,857
2021-06-05,859
2021-06-06,861
2021-06-07,866
2021-06-08,871
2021-06-09,874
2021-06-10,875
2021-06-11,879
2021-06-12,882
2021-06-13,887
2021-06-14,889
2021-06-15,891
2021-06-16,892
2021-06-17,892
2021-06-18,895
2021-06-19,896
2021-06-20,901
2021-06-21,903
2021-06-22,903
2021-06-23,905
2021-06-24,905
2021-06-25,906
2021-06-26,906
2021-06-27,906
2021-06-28,909
2021-06-29,909
2021-06-30,909
2021-07-01,909
2021-07-02,909
2021-07-03,924
2021-07-04,925
2021-07-05,927
2021-07-06,927
2021-07-07,929
2021-07-08,930
2021-07-09,931
2021-07-10,931
2021-07-11,931
2021-07-12,933
2021-07-13,936
2021-07-14,936
2021-07-15,936
2021-07-16,936
2021-07-17,940
2021-07-18,941
2021-07-19,941
2021-07-20,941
2021-07-21,941
2021-07-22,941
2021-07-23,943
2021-07-24,943
2021-07-25,943
2021-07-26,944
2021-07-27,945
2021-07-28,946
2021-07-29,946
2021-07-30,947
2021-07-31,947
2021-08-01,947
2021-08-02,947
2021-08-03,947
2021-08-04,947
2021-08-05,947
2021-08-06,947
2021-08-07,947
2021-08-08,948
2021-08-09,948
2021-08-10,948
2021-08-11,949
2021-08-12,950
2021-08-13,951
2021-08-14,952
2021-08-15,952
2021-08-16,954
