dates,incrementalcount_medicaltest_conditioncovid_19
2020-03-17,33
2020-03-18,209
2020-03-19,56
2020-03-20,44
2020-03-21,30
2020-03-22,50
2020-03-23,30
2020-03-26,23
2020-03-27,24
2020-03-28,57
2020-03-29,36
2020-04-01,67
2020-04-02,92
2020-04-03,92
2020-04-04,103
2020-04-05,22
2020-04-06,285
2020-04-13,60
2020-04-14,24
2020-04-15,374
2020-04-16,88
2020-04-24,549
2020-04-25,263
2020-04-26,428
2020-04-27,326
2020-04-28,420
2020-05-01,443
2020-05-02,465
2020-05-03,382
2020-05-04,288
2020-05-05,497
2020-05-06,482
2020-05-07,407
2020-05-08,474
2020-05-09,588
2020-05-10,479
2020-05-11,430
2020-05-12,155
2020-05-15,398
2020-05-16,787
2020-05-17,378
2020-05-18,426
2020-05-19,547
2020-05-20,524
2020-05-21,495
2020-05-22,328
2020-05-23,598
2020-05-24,711
2020-05-25,676
2020-05-26,861
2020-05-27,822
2020-05-28,797
2020-05-29,680
2020-05-30,808
2020-05-31,698
2020-06-01,959
2020-06-02,807
2020-06-03,652
2020-06-04,801
2020-06-05,933
2020-06-06,730
2020-06-07,875
2020-06-10,772
2020-06-11,657
2020-06-12,564
2020-06-13,764
2020-06-14,629
2020-06-17,634
2020-06-18,1132
2020-06-21,706
2020-06-22,1276
2020-06-23,1168
2020-06-24,1187
2020-06-25,997
2020-06-26,709
2020-06-27,850
2020-06-28,862
2020-06-29,735
2020-06-30,998
2020-07-01,1240
2020-07-02,1386
2020-07-03,905
2020-07-04,1378
2020-07-05,893
2020-07-06,778
2020-07-07,695
2020-07-08,972
2020-07-09,947
2020-07-10,451
2020-07-11,236
2020-07-12,1602
2020-07-13,948
2020-07-14,792
2020-07-15,680
2020-07-16,937
2020-07-17,623
2020-07-18,807
2020-07-19,658
2020-07-20,721
2020-07-21,711
2020-07-22,674
2020-07-23,680
2020-07-24,795
2020-07-25,1129
2020-07-26,987
2020-07-27,1146
2020-07-28,1443
2020-07-29,1387
2020-07-30,1103
2020-07-31,860
2020-08-01,917
