dates,incrementalcount_vaccine_covid_19_administered
2020-12-28,2755
2020-12-29,8950
2020-12-30,6469
2021-01-05,4276
2021-01-06,4949
2021-01-07,5217
2021-01-08,9066
2021-01-09,7326
2021-01-10,6506
2021-01-11,5760
2021-01-12,5819
2021-01-13,99688
2021-01-14,137416
2021-01-15,87392
2021-01-16,45871
2021-01-17,8896
2021-01-18,20387
2021-01-19,5593
2021-01-20,2908
2021-01-21,51305
2021-01-22,62473
2021-01-23,3960
2021-01-24,10858
2021-01-25,15479
2021-01-26,7214
2021-01-27,3725
2021-01-28,1798
2021-01-29,4375
2021-01-30,8090
2021-01-31,3020
2021-02-01,1875
2021-02-02,2337
2021-02-03,9062
2021-02-04,8487
2021-02-05,5228
2021-02-06,9882
2021-02-07,3319
2021-02-08,4303
2021-02-11,740
2021-02-12,555
2021-02-13,311
2021-02-16,165701
2021-02-17,142756
2021-02-18,259916
2021-02-19,256103
2021-02-20,82146
2021-02-21,32854
2021-02-22,44246
2021-02-23,67752
2021-02-24,99628
2021-02-25,188029
2021-02-26,182219
2021-02-27,112379
2021-02-28,71684
2021-03-01,71768
2021-03-02,56572
2021-03-03,50145
2021-03-04,42455
2021-03-05,55865
2021-03-06,33905
2021-03-07,27301
2021-03-08,56524
2021-03-09,251238
2021-03-10,387132
2021-03-11,312000
2021-03-12,205131
2021-03-13,209163
2021-03-14,125632
2021-03-15,64682
2021-03-16,126176
2021-03-17,206838
2021-03-18,209900
2021-03-19,239229
2021-03-20,272263
2021-03-21,153277
2021-03-22,169068
2021-03-23,145608
2021-03-24,192331
2021-03-25,124588
2021-03-26,243284
2021-03-27,237619
2021-03-28,127807
2021-03-29,165853
2021-03-30,386463
2021-03-31,446141
2021-04-03,342744
2021-04-04,48810
2021-04-05,251405
2021-04-06,388112
2021-04-07,413903
2021-04-08,553453
2021-04-09,341996
2021-04-10,219314
2021-04-11,190954
2021-04-12,308027
2021-04-13,704461
2021-04-14,505338
2021-04-15,508745
2021-04-16,556473
2021-04-17,262649
2021-04-18,127244
2021-04-19,203435
2021-04-20,432101
2021-04-21,473907
2021-04-22,397292
2021-04-23,339675
2021-04-24,195550
2021-04-25,91705
2021-04-26,185450
2021-04-29,360813
2021-04-30,361199
2021-05-01,246721
2021-05-02,144943
2021-05-03,355954
2021-05-04,512611
2021-05-05,610887
2021-05-06,589709
2021-05-07,467788
2021-05-08,219741
2021-05-09,72055
2021-05-12,397184
2021-05-13,426829
2021-05-17,133422
2021-05-20,764769
2021-05-21,638347
2021-05-22,522535
2021-05-23,329918
2021-05-24,176894
2021-05-25,298028
2021-05-26,756065
2021-05-29,621334
2021-05-30,432351
2021-05-31,184021
2021-06-01,513205
2021-06-02,821023
2021-06-03,1062926
2021-06-04,905125
2021-06-05,677620
2021-06-08,507703
2021-06-09,997763
2021-06-10,266942
2021-06-11,552688
2021-06-12,311318
2021-06-13,227017
2021-06-14,281486
2021-06-15,445100
2021-06-16,384900
2021-06-17,519874
2021-06-18,469752
2021-06-19,408239
2021-06-20,196647
2021-06-21,472980
2021-06-22,667112
2021-06-23,787773
2021-06-24,635628
2021-06-25,577629
2021-06-26,384718
2021-06-27,159176
2021-06-28,472594
2021-06-29,727634
2021-06-30,784992
2021-07-01,553506
2021-07-02,493795
2021-07-05,542289
2021-07-06,759541
2021-07-07,702928
2021-07-08,654768
2021-07-09,505198
2021-07-10,336300
2021-07-11,119461
2021-07-12,513599
2021-07-13,654835
2021-07-14,718547
2021-07-15,637713
2021-07-16,572350
2021-07-17,367376
2021-07-18,260152
2021-07-21,804137
2021-07-22,961069
2021-07-23,1376213
2021-07-24,1330863
2021-07-25,978283
2021-07-26,327401
2021-07-27,972941
2021-07-28,1454578
2021-07-29,1176387
2021-07-30,1142084
2021-07-31,1080806
2021-08-01,642856
2021-08-02,239043
2021-08-03,495274
2021-08-04,736289
2021-08-05,994283
2021-08-06,988155
2021-08-09,477683
2021-08-10,355569
2021-08-11,498120
2021-08-12,785400
2021-08-13,1031029
2021-08-14,977450
2021-08-15,807193
2021-08-16,638029
2021-08-17,348015
2021-08-18,1191607
2021-08-19,634325
2021-08-20,534364
2021-08-21,470405
2021-08-22,279498
2021-08-23,202947
2021-08-24,388148
2021-08-25,648942
2021-08-26,755015
2021-08-27,754860
2021-08-28,592870
2021-08-29,353104
2021-08-30,169531
2021-08-31,397361
2021-09-01,429038
2021-09-02,470311
2021-09-05,220689
2021-09-06,210494
2021-09-07,525667
2021-09-10,1773377
2021-09-11,815673
2021-09-12,538112
2021-09-13,360204
2021-09-14,668700
2021-09-15,839424
2021-09-16,555532
2021-09-17,156275
2021-09-18,557542
2021-09-19,413331
2021-09-20,367223
2021-09-21,442011
2021-09-22,712551
2021-09-23,730529
2021-09-24,758831
2021-09-25,612781
2021-09-26,291192
2021-09-27,179886
2021-09-28,502268
2021-09-29,648293
2021-09-30,673520
2021-10-07,765791
2021-10-08,801652
2021-10-09,608818
2021-10-10,423652
2021-10-11,227123
2021-10-12,540197
2021-10-18,1623902
2021-10-19,404836
2021-10-20,392723
2021-10-21,475215
2021-10-22,486395
2021-10-23,600749
2021-10-24,627626
2021-10-25,438643
2021-10-26,1616221
2021-10-30,7246123
2021-10-31,243451
2021-11-01,89901
2021-11-04,362553
2021-11-08,115337
2021-11-11,261575
2021-11-15,53311
2021-11-16,14938
2021-11-17,118760
2021-11-18,251754
2021-11-21,185842
2021-11-22,99511
2021-11-25,221510
2021-11-28,211396
2021-11-29,114108
2021-11-30,213915
2021-12-01,204091
2021-12-02,415326
2021-12-09,459229
2021-12-12,340364
2021-12-13,187521
2021-12-16,968736
2021-12-20,6744716
2022-01-02,4753
2022-01-03,175
2022-01-04,439327
2022-01-05,191455
2022-01-06,606512
2022-01-09,480491
2022-01-10,106564
2022-01-11,263819
2022-01-14,937885
2022-01-15,808948
2022-01-16,462091
2022-01-19,726643
2022-01-20,729356
