dates,covid19mobilitytrend_residence
2020-02-15,0
2020-02-16,0
2020-02-17,-2
2020-02-18,-1
2020-02-19,-2
2020-02-20,0
2020-02-21,-1
2020-02-22,0
2020-02-23,0
2020-02-24,-1
2020-02-25,-1
2020-02-26,-2
2020-02-27,0
2020-02-28,1
2020-02-29,0
2020-03-01,-1
2020-03-02,-2
2020-03-03,-1
2020-03-04,0
2020-03-05,-2
2020-03-06,-1
2020-03-07,1
2020-03-08,0
2020-03-09,-1
2020-03-10,0
2020-03-11,3
2020-03-12,5
2020-03-13,7
2020-03-14,6
2020-03-15,12
2020-03-16,12
2020-03-17,13
2020-03-18,14
2020-03-19,16
2020-03-20,18
2020-03-21,13
2020-03-22,15
2020-03-23,22
2020-03-24,23
2020-03-25,22
2020-03-26,23
2020-03-27,25
2020-03-28,21
2020-03-29,18
2020-03-30,18
2020-03-31,20
2020-04-01,22
2020-04-02,22
2020-04-03,22
2020-04-04,21
2020-04-05,19
2020-04-06,19
2020-04-07,18
2020-04-08,22
2020-04-09,22
2020-04-10,20
2020-04-11,28
2020-04-12,24
2020-04-13,17
2020-04-14,21
2020-04-15,21
2020-04-16,19
2020-04-17,23
2020-04-18,28
2020-04-19,24
2020-04-20,36
2020-04-21,18
2020-04-22,21
2020-04-23,16
2020-04-24,18
2020-04-25,15
2020-04-26,23
2020-04-27,13
2020-04-28,14
2020-04-29,15
2020-04-30,12
2020-05-01,24
2020-05-02,16
2020-05-03,13
2020-05-04,11
2020-05-05,13
2020-05-06,15
2020-05-07,14
2020-05-08,14
2020-05-09,8
2020-05-10,7
2020-05-11,12
2020-05-12,13
2020-05-13,12
2020-05-14,11
2020-05-15,13
2020-05-16,7
2020-05-17,5
2020-05-18,10
2020-05-19,11
2020-05-20,11
2020-05-21,13
2020-05-22,12
2020-05-23,6
2020-05-24,15
2020-05-25,33
2020-05-26,7
2020-05-27,6
2020-05-28,7
2020-05-29,9
2020-05-30,3
2020-05-31,5
2020-06-01,6
2020-06-02,8
2020-06-03,5
2020-06-04,3
2020-06-05,30
2020-06-06,20
2020-06-07,16
2020-06-08,1
2020-06-09,6
2020-06-10,6
2020-06-11,6
2020-06-12,6
