dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,2
2020-03-08,2
2020-03-09,2
2020-03-10,7
2020-03-11,7
2020-03-12,9
2020-03-13,9
2020-03-14,13
2020-03-15,19
2020-03-16,19
2020-03-17,24
2020-03-18,36
2020-03-19,48
2020-03-20,67
2020-03-21,85
2020-03-22,114
2020-03-23,136
2020-03-24,148
2020-03-25,177
2020-03-26,201
2020-03-27,219
2020-03-28,241
2020-03-29,259
2020-03-30,285
2020-03-31,329
2020-04-01,354
2020-04-02,384
2020-04-03,430
2020-04-04,483
2020-04-05,555
2020-04-06,570
2020-04-07,599
2020-04-08,617
2020-04-09,663
2020-04-10,711
2020-04-11,760
2020-04-12,828
2020-04-13,854
2020-04-14,908
2020-04-15,974
2020-04-16,1081
2020-04-17,1117
2020-04-18,1170
2020-04-19,1207
2020-04-20,1225
2020-04-21,1231
2020-04-22,1259
2020-04-23,1300
2020-04-24,1326
2020-04-25,1367
2020-04-26,1386
2020-04-27,1399
2020-04-28,1421
2020-04-29,1442
2020-04-30,1465
2020-05-01,1494
2020-05-02,1506
2020-05-03,1511
2020-05-04,1518
2020-05-05,1526
2020-05-06,1539
2020-05-07,1572
2020-05-08,1586
2020-05-09,1622
2020-05-10,1642
2020-05-11,1664
2020-05-12,1674
2020-05-13,1694
2020-05-14,1723
2020-05-15,1740
2020-05-16,1762
2020-05-17,1792
2020-05-18,1817
2020-05-19,1839
2020-05-20,1858
2020-05-21,1898
2020-05-22,1921
2020-05-23,1941
2020-05-24,1978
2020-05-25,1999
2020-05-26,2014
2020-05-27,2039
2020-05-28,2077
2020-05-29,2129
2020-05-30,2164
2020-05-31,2226
2020-06-01,2315
2020-06-02,2391
2020-06-03,2491
2020-06-04,2610
2020-06-05,2790
2020-06-06,2914
2020-06-07,3025
2020-06-08,3152
2020-06-09,3239
2020-06-10,3363
2020-06-11,3538
2020-06-12,3701
2020-06-13,3895
2020-06-14,4057
2020-06-15,4157
2020-06-16,4289
2020-06-17,4482
2020-06-18,4664
2020-06-19,4820
2020-06-20,5005
2020-06-21,5106
2020-06-22,5196
2020-06-23,5311
2020-06-24,5445
2020-06-25,5595
2020-06-26,5758
2020-06-27,5906
2020-06-28,6080
2020-06-29,6209
2020-06-30,6334
2020-07-01,6454
2020-07-02,6625
2020-07-03,6790
2020-07-04,6937
2020-07-05,7046
2020-07-06,7124
2020-07-07,7244
2020-07-08,7406
2020-07-09,7572
2020-07-10,7777
2020-07-11,7975
2020-07-12,8111
2020-07-13,8197
2020-07-14,8332
2020-07-15,8529
2020-07-16,8622
2020-07-17,8785
2020-07-18,9026
2020-07-19,9153
2020-07-20,9249
2020-07-21,9410
2020-07-22,9546
2020-07-23,9668
2020-07-24,9797
2020-07-25,9934
2020-07-26,10085
2020-07-27,10213
2020-07-28,10315
2020-07-29,10498
2020-07-30,10615
2020-07-31,10753
2020-08-01,10888
2020-08-02,11054
2020-08-03,11127
2020-08-04,11201
2020-08-05,11286
2020-08-06,11399
2020-08-07,11554
2020-08-08,11754
2020-08-09,11833
2020-08-10,11942
2020-08-11,12078
2020-08-12,12216
2020-08-13,12355
2020-08-14,12512
2020-08-15,12652
2020-08-16,12737
2020-08-17,12840
2020-08-18,12968
2020-08-19,13076
2020-08-20,13193
2020-08-21,13299
2020-08-22,13458
2020-08-23,13595
2020-08-24,13672
2020-08-25,13795
2020-08-26,13915
2020-08-27,14004
2020-08-28,14162
2020-08-29,14291
2020-08-30,14330
2020-08-31,14340
2020-09-01,14455
2020-09-02,14596
2020-09-03,14762
2020-09-04,14871
2020-09-05,14998
2020-09-06,15090
2020-09-07,15127
2020-09-08,15221
2020-09-09,15293
2020-09-10,15413
2020-09-11,15554
2020-09-12,15693
2020-09-13,15790
2020-09-14,15827
2020-09-15,15925
2020-09-16,16088
2020-09-17,16273
2020-09-18,16417
2020-09-19,16557
2020-09-20,16735
2020-09-21,16779
2020-09-22,16866
2020-09-23,17048
2020-09-24,17200
2020-09-25,17342
2020-09-26,17481
2020-09-27,17626
2020-09-28,17674
2020-09-29,17783
2020-09-30,17976
2020-10-01,18138
2020-10-02,18359
2020-10-03,18599
2020-10-04,18790
2020-10-05,18871
2020-10-06,19096
2020-10-07,19413
2020-10-08,19777
2020-10-09,20162
2020-10-10,20554
2020-10-11,20936
2020-10-12,21113
2020-10-13,21191
2020-10-14,21635
2020-10-15,22170
2020-10-16,22607
2020-10-17,23201
2020-10-18,23627
2020-10-19,23788
2020-10-20,24195
2020-10-21,24833
2020-10-22,25473
2020-10-23,25990
2020-10-24,26393
2020-10-25,26952
2020-10-26,27199
2020-10-27,27827
2020-10-28,28696
2020-10-29,29554
2020-10-30,30487
2020-10-31,31571
2020-11-01,32432
2020-11-02,32995
2020-11-03,33905
2020-11-04,35097
2020-11-05,36371
2020-11-06,37497
2020-11-07,38782
2020-11-08,39760
2020-11-09,40275
2020-11-10,41219
2020-11-11,42540
2020-11-12,43834
2020-11-13,44894
2020-11-14,46060
2020-11-15,47045
2020-11-16,47636
2020-11-17,48609
2020-11-18,50015
2020-11-19,51212
2020-11-20,52449
2020-11-21,53631
2020-11-22,54740
2020-11-23,55125
2020-11-24,56163
2020-11-25,57448
2020-11-26,58608
2020-11-27,59701
2020-11-28,60723
2020-11-29,61542
2020-11-30,61876
2020-12-01,62944
2020-12-02,63889
2020-12-03,65230
2020-12-04,66327
2020-12-05,67309
2020-12-06,67967
2020-12-07,68332
2020-12-08,69450
2020-12-09,69954
2020-12-10,70883
2020-12-11,72043
2020-12-12,73025
2020-12-13,73638
2020-12-14,73851
2020-12-15,74732
2020-12-16,75594
2020-12-17,76251
2020-12-18,77134
2020-12-19,77948
2020-12-20,78305
2020-12-21,78432
2020-12-22,79188
2020-12-23,79815
2020-12-24,80407
2020-12-25,80895
2020-12-26,81425
2020-12-27,81721
2020-12-28,81803
2020-12-29,82301
2020-12-30,82793
2020-12-31,83329
2021-01-01,83743
2021-01-02,83787
2021-01-03,84023
2021-01-04,84129
2021-01-05,84706
2021-01-06,85328
2021-01-07,85494
2021-01-08,85594
2021-01-09,86149
2021-01-10,86494
2021-01-11,86605
2021-01-12,87113
2021-01-13,87590
2021-01-14,87986
2021-01-15,88388
2021-01-16,88748
2021-01-17,88929
2021-01-18,88992
2021-01-19,89391
2021-01-20,89461
2021-01-21,89817
2021-01-22,90124
2021-01-23,90471
2021-01-24,90654
2021-01-25,90717
2021-01-26,91161
2021-01-27,91555
2021-01-28,91891
2021-01-29,92193
2021-01-30,92518
2021-01-31,92692
2021-02-01,92753
2021-02-02,93160
2021-02-03,93509
2021-02-04,93882
2021-02-05,94195
2021-02-06,94599
2021-02-07,94796
2021-02-08,94871
2021-02-09,95347
2021-02-10,95736
2021-02-11,96151
2021-02-12,96515
2021-02-13,96872
2021-02-14,97050
2021-02-15,97098
2021-02-16,97456
2021-02-17,97801
2021-02-18,98169
2021-02-19,98582
2021-02-20,99031
2021-02-21,99279
2021-02-22,99408
2021-02-23,99907
2021-02-24,100632
2021-02-25,101208
2021-02-26,101761
2021-02-27,102482
2021-02-28,102786
2021-03-01,103020
2021-03-02,103741
2021-03-03,104548
2021-03-04,105267
2021-03-05,106110
2021-03-06,106830
2021-03-07,107163
2021-03-08,107478
2021-03-09,108349
2021-03-10,109262
2021-03-11,110209
2021-03-12,111076
2021-03-13,112105
2021-03-14,112646
2021-03-15,112930
2021-03-16,113929
2021-03-17,115222
2021-03-18,116438
2021-03-19,117437
2021-03-20,118736
2021-03-21,119371
2021-03-22,119826
2021-03-23,120880
2021-03-24,122227
2021-03-25,123488
2021-03-26,124910
2021-03-27,126230
2021-03-28,126937
2021-03-29,127239
2021-03-30,128511
2021-03-31,130022
2021-04-01,131420
2021-04-02,132740
2021-04-03,134133
2021-04-04,134866
2021-04-05,135167
2021-04-06,136426
2021-04-07,137728
2021-04-08,138891
2021-04-09,140065
2021-04-10,141157
2021-04-11,141841
2021-04-12,142033
2021-04-13,143162
2021-04-14,144111
2021-04-15,145001
2021-04-16,145909
2021-04-17,146730
2021-04-18,147094
2021-04-19,147229
2021-04-20,147991
2021-04-21,148618
2021-04-22,149221
2021-04-23,149710
2021-04-24,150274
2021-04-25,150586
2021-04-26,150672
2021-04-27,151122
2021-04-28,151569
2021-04-29,152002
2021-04-30,152367
2021-05-01,152580
2021-05-02,152685
2021-05-03,152747
2021-05-04,152814
2021-05-05,153137
2021-05-06,153460
2021-05-07,153693
2021-05-08,153891
2021-05-09,154026
2021-05-10,154051
2021-05-11,154222
2021-05-12,154371
2021-05-13,154494
2021-05-14,154524
2021-05-15,154636
2021-05-16,154698
2021-05-17,154725
2021-05-18,154804
2021-05-19,154887
2021-05-20,154936
2021-05-21,154977
2021-05-22,155026
2021-05-23,155060
2021-05-24,155067
2021-05-25,155071
2021-05-26,155116
2021-05-27,155167
2021-05-28,155213
2021-05-29,155246
2021-05-30,155269
2021-05-31,155277
2021-06-01,155302
2021-06-02,155345
2021-06-03,155363
2021-06-04,155378
2021-06-05,155407
2021-06-06,155417
2021-06-07,155418
2021-06-08,155441
2021-06-09,155469
2021-06-10,155487
2021-06-11,155507
2021-06-12,155528
2021-06-13,155536
2021-06-14,155540
2021-06-15,155568
2021-06-16,155583
2021-06-17,155593
2021-06-18,155612
2021-06-19,155616
2021-06-20,155624
2021-06-21,155627
2021-06-22,155640
2021-06-23,155645
2021-06-24,155654
2021-06-25,155663
2021-06-26,155669
2021-06-27,155673
2021-06-28,155676
