dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,1
2020-03-08,0
2020-03-09,0
2020-03-10,5
2020-03-11,0
2020-03-12,2
2020-03-13,0
2020-03-14,4
2020-03-15,6
2020-03-16,0
2020-03-17,5
2020-03-18,12
2020-03-19,12
2020-03-20,19
2020-03-21,18
2020-03-22,29
2020-03-23,22
2020-03-24,12
2020-03-25,29
2020-03-26,24
2020-03-27,18
2020-03-28,22
2020-03-29,18
2020-03-30,26
2020-03-31,44
2020-04-01,25
2020-04-02,30
2020-04-03,46
2020-04-04,53
2020-04-05,72
2020-04-06,15
2020-04-07,29
2020-04-08,18
2020-04-09,46
2020-04-10,48
2020-04-11,49
2020-04-12,68
2020-04-13,26
2020-04-14,54
2020-04-15,66
2020-04-16,107
2020-04-17,36
2020-04-18,53
2020-04-19,37
2020-04-20,18
2020-04-21,6
2020-04-22,28
2020-04-23,41
2020-04-24,26
2020-04-25,41
2020-04-26,19
2020-04-27,13
2020-04-28,22
2020-04-29,21
2020-04-30,23
2020-05-01,29
2020-05-02,12
2020-05-03,5
2020-05-04,7
2020-05-05,8
2020-05-06,13
2020-05-07,33
2020-05-08,14
2020-05-09,36
2020-05-10,20
2020-05-11,22
2020-05-12,10
2020-05-13,20
2020-05-14,29
2020-05-15,17
2020-05-16,22
2020-05-17,30
2020-05-18,25
2020-05-19,22
2020-05-20,19
2020-05-21,40
2020-05-22,23
2020-05-23,20
2020-05-24,37
2020-05-25,21
2020-05-26,15
2020-05-27,25
2020-05-28,38
2020-05-29,52
2020-05-30,35
2020-05-31,62
2020-06-01,89
2020-06-02,76
2020-06-03,100
2020-06-04,119
2020-06-05,180
2020-06-06,124
2020-06-07,111
2020-06-08,127
2020-06-09,87
2020-06-10,124
2020-06-11,175
2020-06-12,163
2020-06-13,194
2020-06-14,162
2020-06-15,100
2020-06-16,132
2020-06-17,193
2020-06-18,182
2020-06-19,156
2020-06-20,185
2020-06-21,101
2020-06-22,90
2020-06-23,115
2020-06-24,134
2020-06-25,150
2020-06-26,163
2020-06-27,148
2020-06-28,174
2020-06-29,129
2020-06-30,125
2020-07-01,120
2020-07-02,171
2020-07-03,165
2020-07-04,147
2020-07-05,109
2020-07-06,78
2020-07-07,120
2020-07-08,162
2020-07-09,166
2020-07-10,205
2020-07-11,198
2020-07-12,136
2020-07-13,86
2020-07-14,135
2020-07-15,197
2020-07-16,93
2020-07-17,163
2020-07-18,241
2020-07-19,127
2020-07-20,96
2020-07-21,161
2020-07-22,136
2020-07-23,122
2020-07-24,129
2020-07-25,137
2020-07-26,151
2020-07-27,128
2020-07-28,102
2020-07-29,183
2020-07-30,117
2020-07-31,138
2020-08-01,135
2020-08-02,166
2020-08-03,73
2020-08-04,74
2020-08-05,85
2020-08-06,113
2020-08-07,155
2020-08-08,200
2020-08-09,79
2020-08-10,109
2020-08-11,136
2020-08-12,138
2020-08-13,139
2020-08-14,157
2020-08-15,140
2020-08-16,85
2020-08-17,103
2020-08-18,128
2020-08-19,108
2020-08-20,117
2020-08-21,106
2020-08-22,159
2020-08-23,137
2020-08-24,77
2020-08-25,123
2020-08-26,120
2020-08-27,89
2020-08-28,158
2020-08-29,129
2020-08-30,39
2020-08-31,10
2020-09-01,115
2020-09-02,141
2020-09-03,166
2020-09-04,109
2020-09-05,127
2020-09-06,92
2020-09-07,37
2020-09-08,94
2020-09-09,72
2020-09-10,120
2020-09-11,141
2020-09-12,139
2020-09-13,97
2020-09-14,37
2020-09-15,98
2020-09-16,163
2020-09-17,185
2020-09-18,144
2020-09-19,140
2020-09-20,178
2020-09-21,44
2020-09-22,87
2020-09-23,182
2020-09-24,152
2020-09-25,142
2020-09-26,139
2020-09-27,145
2020-09-28,48
2020-09-29,109
2020-09-30,193
2020-10-01,162
2020-10-02,221
2020-10-03,240
2020-10-04,191
2020-10-05,81
2020-10-06,225
2020-10-07,317
2020-10-08,364
2020-10-09,385
2020-10-10,392
2020-10-11,382
2020-10-12,177
2020-10-13,78
2020-10-14,444
2020-10-15,535
2020-10-16,437
2020-10-17,594
2020-10-18,426
2020-10-19,161
2020-10-20,407
2020-10-21,638
2020-10-22,640
2020-10-23,517
2020-10-24,403
2020-10-25,559
2020-10-26,247
2020-10-27,628
2020-10-28,869
2020-10-29,858
2020-10-30,933
2020-10-31,1084
2020-11-01,861
2020-11-02,563
2020-11-03,910
2020-11-04,1192
2020-11-05,1274
2020-11-06,1126
2020-11-07,1285
2020-11-08,978
2020-11-09,515
2020-11-10,944
2020-11-11,1321
2020-11-12,1294
2020-11-13,1060
2020-11-14,1166
2020-11-15,985
2020-11-16,591
2020-11-17,973
2020-11-18,1406
2020-11-19,1197
2020-11-20,1237
2020-11-21,1182
2020-11-22,1109
2020-11-23,385
2020-11-24,1038
2020-11-25,1285
2020-11-26,1160
2020-11-27,1093
2020-11-28,1022
2020-11-29,819
2020-11-30,334
2020-12-01,1068
2020-12-02,945
2020-12-03,1341
2020-12-04,1097
2020-12-05,982
2020-12-06,658
2020-12-07,365
2020-12-08,1118
2020-12-09,504
2020-12-10,929
2020-12-11,1160
2020-12-12,982
2020-12-13,613
2020-12-14,213
2020-12-15,881
2020-12-16,862
2020-12-17,657
2020-12-18,883
2020-12-19,814
2020-12-20,357
2020-12-21,127
2020-12-22,756
2020-12-23,627
2020-12-24,592
2020-12-25,488
2020-12-26,530
2020-12-27,296
2020-12-28,82
2020-12-29,498
2020-12-30,492
2020-12-31,536
2021-01-01,414
2021-01-02,44
2021-01-03,236
2021-01-04,106
2021-01-05,577
2021-01-06,622
2021-01-07,166
2021-01-08,100
2021-01-09,555
2021-01-10,345
2021-01-11,111
2021-01-12,508
2021-01-13,477
2021-01-14,396
2021-01-15,402
2021-01-16,360
2021-01-17,181
2021-01-18,63
2021-01-19,399
2021-01-20,70
2021-01-21,356
2021-01-22,307
2021-01-23,347
2021-01-24,183
2021-01-25,63
2021-01-26,444
2021-01-27,394
2021-01-28,336
2021-01-29,302
2021-01-30,325
2021-01-31,174
2021-02-01,61
2021-02-02,407
2021-02-03,349
2021-02-04,373
2021-02-05,313
2021-02-06,404
2021-02-07,197
2021-02-08,75
2021-02-09,476
2021-02-10,389
2021-02-11,415
2021-02-12,364
2021-02-13,357
2021-02-14,178
2021-02-15,48
2021-02-16,358
2021-02-17,345
2021-02-18,368
2021-02-19,413
2021-02-20,449
2021-02-21,248
2021-02-22,129
2021-02-23,499
2021-02-24,725
2021-02-25,576
2021-02-26,553
2021-02-27,721
2021-02-28,304
2021-03-01,234
2021-03-02,721
2021-03-03,807
2021-03-04,719
2021-03-05,843
2021-03-06,720
2021-03-07,333
2021-03-08,315
2021-03-09,871
2021-03-10,913
2021-03-11,947
2021-03-12,867
2021-03-13,1029
2021-03-14,541
2021-03-15,284
2021-03-16,999
2021-03-17,1293
2021-03-18,1216
2021-03-19,999
2021-03-20,1299
2021-03-21,635
2021-03-22,455
2021-03-23,1054
2021-03-24,1347
2021-03-25,1261
2021-03-26,1422
2021-03-27,1320
2021-03-28,707
2021-03-29,302
2021-03-30,1272
2021-03-31,1511
2021-04-01,1398
2021-04-02,1320
2021-04-03,1393
2021-04-04,733
2021-04-05,301
2021-04-06,1259
2021-04-07,1302
2021-04-08,1163
2021-04-09,1174
2021-04-10,1092
2021-04-11,684
2021-04-12,192
2021-04-13,1129
2021-04-14,949
2021-04-15,890
2021-04-16,908
2021-04-17,821
2021-04-18,364
2021-04-19,135
2021-04-20,762
2021-04-21,627
2021-04-22,603
2021-04-23,489
2021-04-24,564
2021-04-25,312
2021-04-26,86
2021-04-27,450
2021-04-28,447
2021-04-29,433
2021-04-30,365
2021-05-01,213
2021-05-02,105
2021-05-03,62
2021-05-04,67
2021-05-05,323
2021-05-06,323
2021-05-07,233
2021-05-08,198
2021-05-09,135
2021-05-10,25
2021-05-11,171
2021-05-12,149
2021-05-13,123
2021-05-14,30
2021-05-15,112
2021-05-16,62
2021-05-17,27
2021-05-18,79
2021-05-19,83
2021-05-20,49
2021-05-21,41
2021-05-22,49
2021-05-23,34
2021-05-24,7
2021-05-25,4
2021-05-26,45
2021-05-27,51
2021-05-28,46
2021-05-29,33
2021-05-30,23
2021-05-31,8
2021-06-01,25
2021-06-02,43
2021-06-03,18
2021-06-04,15
2021-06-05,29
2021-06-06,10
2021-06-07,1
2021-06-08,23
2021-06-09,28
2021-06-10,18
2021-06-11,20
2021-06-12,21
2021-06-13,8
2021-06-14,4
2021-06-15,28
2021-06-16,15
2021-06-17,10
2021-06-18,19
2021-06-19,4
2021-06-20,8
2021-06-21,3
2021-06-22,13
2021-06-23,5
2021-06-24,9
2021-06-25,9
2021-06-26,6
2021-06-27,4
2021-06-28,3
2021-06-29,6
2021-06-30,2
2021-07-01,5
2021-07-02,11
2021-07-03,6
2021-07-04,4
2021-07-05,6
2021-07-06,16
2021-07-07,9
2021-07-08,19
2021-07-09,10
2021-07-10,13
2021-07-11,14
2021-07-12,5
2021-07-13,21
2021-07-14,17
2021-07-15,24
2021-07-16,18
2021-07-17,19
2021-07-18,21
2021-07-19,8
2021-07-20,21
2021-07-21,13
2021-07-22,17
2021-07-23,36
2021-07-24,37
2021-07-25,24
2021-07-26,7
2021-07-27,39
2021-07-28,47
2021-07-29,54
2021-07-30,74
2021-07-31,81
2021-08-01,72
2021-08-02,54
2021-08-03,37
2021-08-04,164
2021-08-05,219
2021-08-06,323
2021-08-07,378
2021-08-08,394
2021-08-09,143
2021-08-10,517
2021-08-11,588
