dates,covid19mobilitytrend_transporthub
2020-02-15,3
2020-02-16,-2
2020-02-17,8
2020-02-18,7
2020-02-19,0
2020-02-20,-1
2020-02-21,-4
2020-02-22,-5
2020-02-23,-4
2020-02-24,2
2020-02-25,4
2020-02-26,-1
2020-02-27,0
2020-02-28,-2
2020-02-29,-3
2020-03-01,-2
2020-03-02,0
2020-03-03,0
2020-03-04,-2
2020-03-05,-2
2020-03-06,-2
2020-03-07,-7
2020-03-08,-5
2020-03-09,-4
2020-03-10,3
2020-03-11,-4
2020-03-12,-7
2020-03-13,-7
2020-03-14,-14
2020-03-15,-15
2020-03-16,-7
2020-03-17,-8
2020-03-18,-9
2020-03-19,-13
2020-03-20,-10
2020-03-21,-20
2020-03-22,-26
2020-03-23,-17
2020-03-24,-14
2020-03-25,-16
2020-03-26,-29
2020-03-27,-25
2020-03-28,-30
2020-03-29,-36
2020-03-30,-25
2020-03-31,-26
2020-04-01,-32
2020-04-02,-24
2020-04-03,-31
2020-04-04,-31
2020-04-05,-38
2020-04-06,-29
2020-04-07,-28
2020-04-08,-34
2020-04-09,-34
2020-04-10,-32
2020-04-11,-33
2020-04-12,-38
2020-04-13,-38
2020-04-14,-32
2020-04-15,-30
2020-04-16,-33
2020-04-17,-36
2020-04-18,-42
2020-04-19,-44
2020-04-20,-34
2020-04-21,-33
2020-04-22,-38
2020-04-23,-33
2020-04-24,-40
2020-04-25,-42
2020-04-26,-47
2020-04-27,-39
2020-04-28,-37
2020-04-29,-40
2020-04-30,-40
2020-05-01,-50
2020-05-02,-46
2020-05-03,-51
2020-05-04,-40
2020-05-05,-39
2020-05-06,-40
2020-05-07,-39
2020-05-08,-37
2020-05-09,-36
2020-05-10,-36
2020-05-11,-33
2020-05-12,-37
2020-05-13,-35
2020-05-14,-33
2020-05-15,-28
2020-05-16,-35
2020-05-17,-34
2020-05-18,-33
2020-05-19,-26
2020-05-20,-35
2020-05-21,-19
2020-05-22,-16
2020-05-23,-51
2020-05-24,-38
2020-05-25,-41
2020-05-26,-28
2020-05-27,-31
