dates,covid19mobilitytrend_localbusiness
2020-02-15,6
2020-02-16,6
2020-02-17,5
2020-02-18,9
2020-02-19,7
2020-02-20,9
2020-02-21,10
2020-02-22,7
2020-02-23,11
2020-02-24,13
2020-02-25,16
2020-02-26,5
2020-02-27,4
2020-02-28,7
2020-02-29,7
2020-03-01,12
2020-03-02,6
2020-03-03,4
2020-03-04,1
2020-03-05,7
2020-03-06,8
2020-03-07,1
2020-03-08,0
2020-03-09,-1
2020-03-10,-1
2020-03-11,-3
2020-03-12,-11
2020-03-13,-28
2020-03-14,-43
2020-03-15,-55
2020-03-16,-39
2020-03-17,-45
2020-03-18,-52
2020-03-19,-70
2020-03-20,-60
2020-03-21,-74
2020-03-22,-80
2020-03-23,-64
2020-03-24,-65
2020-03-25,-72
2020-03-26,-67
2020-03-27,-67
2020-03-28,-72
2020-03-29,-76
2020-03-30,-66
2020-03-31,-71
2020-04-01,-62
2020-04-02,-65
2020-04-03,-70
2020-04-04,-73
2020-04-05,-74
2020-04-06,-61
2020-04-07,-62
2020-04-08,-61
2020-04-09,-60
2020-04-10,-78
2020-04-11,-71
2020-04-12,-77
2020-04-13,-61
2020-04-14,-62
2020-04-15,-63
2020-04-16,-63
2020-04-17,-64
2020-04-18,-69
2020-04-19,-72
2020-04-20,-63
2020-04-21,-59
2020-04-22,-61
2020-04-23,-60
2020-04-24,-62
2020-04-25,-66
2020-04-26,-68
2020-04-27,-56
2020-04-28,-55
2020-04-29,-59
2020-04-30,-52
2020-05-01,-67
2020-05-02,-62
2020-05-03,-65
2020-05-04,-45
2020-05-05,-46
2020-05-06,-46
2020-05-07,-47
2020-05-08,-48
2020-05-09,-50
2020-05-10,-61
2020-05-11,-45
2020-05-12,-44
2020-05-13,-47
2020-05-14,-47
2020-05-15,-50
2020-05-16,-54
2020-05-17,-61
2020-05-18,-44
2020-05-19,-41
2020-05-20,-41
2020-05-21,-41
2020-05-22,-39
2020-05-23,-43
2020-05-24,-49
2020-05-25,-32
2020-05-26,-30
2020-05-27,-40
2020-05-28,-29
2020-05-29,-31
2020-05-30,-41
2020-05-31,-41
2020-06-01,-27
2020-06-02,-25
2020-06-03,-25
2020-06-04,-25
2020-06-05,-27
2020-06-06,-28
2020-06-07,-34
2020-06-08,-23
2020-06-09,-20
2020-06-10,-20
2020-06-11,-19
2020-06-12,-20
2020-06-13,-25
2020-06-14,-31
2020-06-15,-19
2020-06-16,-14
2020-06-17,-14
2020-06-18,-14
2020-06-19,-14
2020-06-20,-17
2020-06-21,-24
2020-06-22,-15
2020-06-23,-11
2020-06-24,-11
2020-06-25,-10
2020-06-26,-10
2020-06-27,-16
2020-06-28,-22
2020-06-29,-16
2020-06-30,-3
2020-07-01,-5
2020-07-02,-5
2020-07-03,-7
2020-07-04,-13
2020-07-05,-20
2020-07-06,-6
2020-07-07,0
2020-07-08,-3
2020-07-09,-4
2020-07-10,-5
2020-07-11,-12
2020-07-12,-20
2020-07-13,-4
2020-07-14,1
2020-07-15,1
2020-07-16,1
2020-07-17,0
2020-07-18,-8
2020-07-19,-14
2020-07-20,-2
2020-07-21,5
2020-07-22,5
2020-07-23,5
2020-07-24,1
2020-07-25,-7
2020-07-26,-14
2020-07-27,0
2020-07-28,4
2020-07-29,3
2020-07-30,3
2020-07-31,2
2020-08-01,-8
2020-08-02,-14
2020-08-03,2
2020-08-04,8
2020-08-05,9
2020-08-06,7
2020-08-07,-1
2020-08-08,-7
2020-08-09,-14
2020-08-10,4
2020-08-11,10
2020-08-12,5
2020-08-13,6
2020-08-14,0
2020-08-15,-29
2020-08-16,-20
2020-08-17,-2
2020-08-18,2
2020-08-19,-2
2020-08-20,-3
2020-08-21,-10
2020-08-22,-17
2020-08-23,-22
2020-08-24,-4
2020-08-25,-1
2020-08-26,-3
2020-08-27,-2
2020-08-28,-6
2020-08-29,-14
2020-08-30,-20
2020-08-31,-6
2020-09-01,0
2020-09-02,-2
2020-09-03,-3
2020-09-04,-5
2020-09-05,-12
2020-09-06,-19
2020-09-07,5
2020-09-08,-6
2020-09-09,-3
2020-09-10,-2
2020-09-11,-6
2020-09-12,-12
2020-09-13,-24
2020-09-14,-18
2020-09-15,1
2020-09-16,-3
2020-09-17,-2
2020-09-18,-3
2020-09-19,-8
2020-09-20,-11
2020-09-21,-4
2020-09-22,-2
2020-09-23,-6
2020-09-24,-3
2020-09-25,-6
2020-09-26,-9
2020-09-27,-19
2020-09-28,-5
2020-09-29,-3
2020-09-30,-3
2020-10-01,-6
2020-10-02,-8
2020-10-03,-10
2020-10-04,-14
2020-10-05,-14
2020-10-06,-5
2020-10-07,-8
2020-10-08,-7
2020-10-09,-9
2020-10-10,-8
2020-10-11,-13
2020-10-12,-22
2020-10-13,-11
2020-10-14,-11
2020-10-15,-14
2020-10-16,-13
2020-10-17,-18
2020-10-18,-22
2020-10-19,-22
2020-10-20,-16
2020-10-21,-15
2020-10-22,-16
2020-10-23,-17
2020-10-24,-18
2020-10-25,-18
2020-10-26,-18
2020-10-27,-23
2020-10-28,-16
2020-10-29,-17
2020-10-30,-18
2020-10-31,-17
2020-11-01,-24
2020-11-02,-15
2020-11-03,-13
2020-11-04,-16
2020-11-05,-22
2020-11-06,-23
2020-11-07,-21
2020-11-08,-25
2020-11-09,-21
2020-11-10,-19
2020-11-11,-19
2020-11-12,-20
2020-11-13,-21
2020-11-14,-20
2020-11-15,-28
2020-11-16,-20
2020-11-17,-27
2020-11-18,-19
2020-11-19,-20
2020-11-20,-22
2020-11-21,-25
2020-11-22,-36
2020-11-23,-20
2020-11-24,-17
2020-11-25,-18
2020-11-26,-13
2020-11-27,-7
2020-11-28,-18
2020-11-29,-28
2020-11-30,-14
2020-12-01,-14
2020-12-02,-17
2020-12-03,-23
2020-12-04,-16
2020-12-05,-15
2020-12-06,-23
2020-12-07,3
2020-12-08,-1
2020-12-09,-17
2020-12-10,-18
2020-12-11,-20
2020-12-12,-16
2020-12-13,-20
2020-12-14,-13
2020-12-15,-9
2020-12-16,-10
2020-12-17,-9
2020-12-18,-10
2020-12-19,-15
2020-12-20,-24
2020-12-21,0
2020-12-22,11
2020-12-23,16
2020-12-24,10
2020-12-25,-59
2020-12-26,-35
2020-12-27,-33
2020-12-28,1
2020-12-29,5
2020-12-30,6
2020-12-31,-3
2021-01-01,-55
2021-01-02,-29
2021-01-03,-24
2021-01-04,-17
2021-01-05,-18
2021-01-06,-18
2021-01-07,-24
2021-01-08,-27
2021-01-09,-26
2021-01-10,-30
2021-01-11,-25
2021-01-12,-27
2021-01-13,-28
2021-01-14,-30
2021-01-15,-31
2021-01-16,-29
2021-01-17,-34
2021-01-18,-30
2021-01-19,-22
2021-01-20,-25
2021-01-21,-25
2021-01-22,-25
2021-01-23,-25
2021-01-24,-32
2021-01-25,-25
2021-01-26,-29
2021-01-27,-24
2021-01-28,-23
2021-01-29,-21
2021-01-30,-18
2021-01-31,-30
2021-02-01,-23
2021-02-02,-22
2021-02-03,-20
2021-02-04,-20
2021-02-05,-20
2021-02-06,-17
2021-02-07,-27
2021-02-08,-22
2021-02-09,-8
2021-02-10,-10
2021-02-11,-18
2021-02-12,-18
2021-02-13,-20
2021-02-14,-22
2021-02-15,-18
2021-02-16,-12
2021-02-17,-17
2021-02-18,-18
2021-02-19,-20
2021-02-20,-16
2021-02-21,-20
2021-02-22,-19
2021-02-23,-17
2021-02-24,-16
2021-02-25,-15
2021-02-26,-17
2021-02-27,-13
2021-02-28,-17
2021-03-01,-19
2021-03-02,-16
2021-03-03,-19
2021-03-04,-17
2021-03-05,-35
2021-03-06,-34
2021-03-07,-44
2021-03-08,-35
2021-03-09,-32
2021-03-10,-33
2021-03-11,-42
2021-03-12,-46
2021-03-13,-49
2021-03-14,-52
2021-03-15,-43
2021-03-16,-48
2021-03-17,-41
2021-03-18,-41
2021-03-19,-48
2021-03-20,-47
2021-03-21,-57
2021-03-22,-41
2021-03-23,-45
2021-03-24,-39
2021-03-25,-38
2021-03-26,-42
2021-03-27,-40
2021-03-28,-42
2021-03-29,-32
2021-03-30,-26
2021-03-31,-36
2021-04-01,-22
2021-04-02,-55
2021-04-03,-41
2021-04-04,-58
2021-04-05,-39
2021-04-06,-32
2021-04-07,-34
2021-04-08,-35
2021-04-09,-38
2021-04-10,-42
2021-04-11,-46
2021-04-12,-37
2021-04-13,-35
2021-04-14,-33
2021-04-15,-38
2021-04-16,-46
2021-04-17,-41
2021-04-18,-41
2021-04-19,-36
2021-04-20,-31
2021-04-21,-35
2021-04-22,-37
2021-04-23,-40
2021-04-24,-38
2021-04-25,-37
2021-04-26,-15
2021-04-27,-14
2021-04-28,-16
2021-04-29,-17
2021-04-30,-19
2021-05-01,-29
2021-05-02,-31
2021-05-03,-17
2021-05-04,-13
2021-05-05,-17
2021-05-06,-17
2021-05-07,-19
2021-05-08,-17
2021-05-09,-28
2021-05-10,-10
2021-05-11,-8
2021-05-12,-8
2021-05-13,-7
2021-05-14,-12
2021-05-15,-12
2021-05-16,-8
2021-05-17,-8
2021-05-18,-7
2021-05-19,-7
2021-05-20,-7
2021-05-21,-10
2021-05-22,-13
2021-05-23,-11
2021-05-24,-2
2021-05-25,1
2021-05-26,1
2021-05-27,1
2021-05-28,0
2021-05-29,-1
2021-05-30,0
