dates,cumulativecount_medicaltest_conditioncovid_19
2020-07-20,113820
2020-07-21,114779
2020-07-22,115795
2020-07-23,116909
2020-07-24,117840
2020-07-25,118925
2020-07-26,120145
2020-07-27,120995
2020-07-28,122348
2020-07-29,123963
2020-07-30,125685
2020-07-31,126999
2020-08-01,128747
2020-08-02,130165
2020-08-03,131603
2020-08-04,133105
2020-08-05,134944
2020-08-06,136713
2020-08-07,138430
2020-08-08,139978
2020-08-09,141767
2020-08-10,143385
2020-08-11,145267
2020-08-12,147411
2020-08-13,149896
2020-08-14,152087
2020-08-15,154522
2020-08-16,156664
2020-08-17,158933
2020-08-18,161057
2020-08-19,163318
2020-08-20,166348
2020-08-21,168793
2020-08-22,171103
2020-08-23,173276
2020-08-24,175470
2020-08-25,177518
2020-08-26,179703
2020-08-27,182245
2020-08-28,184354
2020-08-29,186644
2020-08-30,188553
2020-08-31,190593
2020-09-01,192509
2020-09-02,194576
2020-09-03,197014
2020-09-04,198883
2020-09-05,200586
2020-09-06,202137
2020-09-07,203777
2020-09-08,205141
2020-09-09,207185
2020-09-10,209142
2020-09-11,211236
2020-09-12,212883
2020-09-13,215290
2020-09-14,217026
2020-09-15,218692
2020-09-16,221162
2020-09-17,223698
2020-09-18,226330
2020-09-19,229252
2020-09-20,231448
2020-09-21,233231
2020-09-22,235640
2020-09-23,238084
2020-09-24,240387
2020-09-25,242932
2020-09-26,245028
2020-09-27,247354
2020-09-28,249656
2020-09-29,251772
2020-09-30,253983
2020-10-01,256557
2020-10-02,258809
2020-10-03,260917
2020-10-04,263454
2020-10-05,265630
2020-10-06,267591
2020-10-07,270088
2020-10-08,272579
2020-10-09,275311
2020-10-10,277626
2020-10-11,280155
2020-10-12,282095
2020-10-13,284352
2020-10-14,287113
2020-10-15,289594
2020-10-16,292476
2020-10-17,295361
2020-10-18,297765
2020-10-19,300326
2020-10-20,303016
2020-10-21,305839
2020-10-22,308790
2020-10-23,311475
2020-10-24,314619
2020-10-25,317904
2020-10-26,320715
2020-10-27,323634
2020-10-28,326580
2020-10-29,329546
2020-10-30,332621
2020-10-31,336319
2020-11-01,339733
2020-11-02,343290
2020-11-03,346106
2020-11-04,349150
2020-11-05,351992
2020-11-06,355515
2020-11-07,358456
2020-11-08,361398
2020-11-09,364249
2020-11-10,367545
2020-11-11,370559
2020-11-12,374019
2020-11-13,377054
2020-11-14,380009
2020-11-15,383129
2020-11-16,386318
2020-11-17,388663
2020-11-18,392043
2020-11-19,395136
2020-11-20,398513
2020-11-21,401904
2020-11-22,405125
2020-11-23,407317
2020-11-24,409981
2020-11-25,413011
2020-11-26,415971
2020-11-27,419020
2020-11-28,421890
2020-11-29,424923
2020-11-30,428014
2020-12-01,430782
2020-12-02,433468
2020-12-03,436377
2020-12-04,439477
2020-12-05,442487
2020-12-06,445394
2020-12-07,448586
2020-12-08,450362
2020-12-09,453271
2020-12-10,455897
2020-12-11,458737
2020-12-12,461770
2020-12-13,464429
2020-12-14,467407
2020-12-15,469853
2020-12-16,472902
2020-12-17,475539
2020-12-18,479097
2020-12-19,481709
2020-12-20,485650
2020-12-21,488518
2020-12-22,491306
2020-12-23,493915
2020-12-24,496843
2020-12-25,499340
2020-12-26,501411
2020-12-27,503660
2020-12-28,506059
2020-12-29,508856
2020-12-30,511899
2020-12-31,514757
2021-01-01,517536
2021-01-02,519346
2021-01-03,521341
2021-01-04,524256
2021-01-05,526858
2021-01-06,530223
2021-01-07,533029
2021-01-08,536668
2021-01-09,540260
2021-01-10,543558
2021-01-11,546913
2021-01-12,550267
2021-01-13,553672
2021-01-14,557184
2021-01-15,560786
2021-01-16,564079
2021-01-17,566945
2021-01-18,570184
2021-01-19,573665
2021-01-20,577544
2021-01-21,580752
2021-01-22,583863
2021-01-23,586434
2021-01-24,589545
2021-01-25,592890
2021-01-26,596138
2021-01-27,599461
2021-01-28,603026
2021-01-29,606306
2021-01-30,609737
2021-01-31,612580
2021-02-01,615617
2021-02-02,618453
2021-02-03,621426
2021-02-04,624370
2021-02-05,627607
2021-02-06,630379
2021-02-07,633463
2021-02-08,636729
2021-02-09,639935
2021-02-10,642152
2021-02-11,645643
2021-02-12,648516
2021-02-13,651155
2021-02-14,653986
2021-02-15,656803
2021-02-16,658919
2021-02-17,662126
2021-02-18,665335
2021-02-19,668617
2021-02-20,672137
2021-02-21,675119
2021-02-22,678160
2021-02-23,681434
2021-02-24,684231
2021-02-25,687974
2021-02-26,691614
2021-02-27,695192
2021-02-28,698239
2021-03-01,702110
2021-03-02,705682
2021-03-03,709336
2021-03-04,713482
2021-03-05,717281
2021-03-06,721113
2021-03-07,725058
2021-03-08,729004
2021-03-09,733474
2021-03-10,737897
2021-03-11,742643
2021-03-12,746422
2021-03-13,750755
2021-03-14,755060
2021-03-15,758930
2021-03-16,763393
2021-03-17,767446
2021-03-18,772206
2021-03-19,776252
2021-03-20,779986
2021-03-21,783735
2021-03-22,787148
2021-03-23,789809
2021-03-24,792598
2021-03-25,795647
2021-03-26,797899
2021-03-27,800827
2021-03-28,803183
2021-03-29,805284
2021-03-30,807370
2021-03-31,809340
2021-04-01,811102
2021-04-02,813463
2021-04-03,815752
2021-04-04,817914
2021-04-05,819860
2021-04-06,822024
2021-04-07,824234
2021-04-08,826461
2021-04-09,828497
2021-04-10,830740
2021-04-11,832727
2021-04-12,834729
2021-04-13,836521
2021-04-14,838522
2021-04-15,840325
2021-04-16,842208
2021-04-17,844016
2021-04-18,846001
2021-04-19,847581
2021-04-20,849165
2021-04-21,851157
2021-04-22,853286
2021-04-23,855090
2021-04-24,856718
2021-04-25,858830
2021-04-26,860279
2021-04-27,861791
2021-04-28,863481
2021-04-29,865521
2021-04-30,867282
2021-05-01,869063
2021-05-02,871099
2021-05-03,872649
2021-05-04,874285
2021-05-05,876070
2021-05-06,878041
2021-05-07,879997
2021-05-08,882019
2021-05-09,883785
2021-05-10,885309
2021-05-11,886909
2021-05-12,889079
2021-05-13,891075
2021-05-14,893092
2021-05-15,894803
2021-05-16,897257
2021-05-17,898798
2021-05-18,900491
2021-05-19,902366
2021-05-20,904600
2021-05-21,906618
2021-05-22,908544
2021-05-23,910953
2021-05-24,912577
2021-05-25,914069
2021-05-26,916149
2021-05-27,918465
2021-05-28,920753
2021-05-29,922763
2021-05-30,925042
2021-05-31,926764
2021-06-01,928790
2021-06-02,931065
2021-06-03,933864
2021-06-04,936409
2021-06-05,939173
2021-06-06,941197
2021-06-07,942552
2021-06-08,943984
2021-06-09,945642
2021-06-10,947765
2021-06-11,949582
2021-06-12,951303
2021-06-13,953096
2021-06-14,954117
2021-06-15,955643
2021-06-16,957441
2021-06-17,959419
2021-06-18,961384
2021-06-19,963044
2021-06-20,964883
2021-06-21,966363
2021-06-22,968012
2021-06-23,969704
2021-06-24,971975
2021-06-25,975102
2021-06-26,977462
2021-06-27,979689
2021-06-28,981005
2021-06-29,983255
2021-06-30,985629
2021-07-01,988157
2021-07-02,990874
2021-07-03,993715
2021-07-04,996631
2021-07-05,998866
2021-07-06,1001347
2021-07-07,1003842
2021-07-08,1006510
2021-07-09,1009413
2021-07-10,1012577
2021-07-11,1015801
2021-07-12,1018448
2021-07-13,1021801
2021-07-14,1025989
2021-07-15,1029618
2021-07-16,1033497
2021-07-17,1037870
2021-07-18,1041418
2021-07-19,1045227
2021-07-20,1049318
2021-07-21,1053294
2021-07-22,1057596
2021-07-23,1061236
2021-07-24,1065162
2021-07-25,1068666
2021-07-26,1071802
2021-07-27,1075833
2021-07-28,1079695
2021-07-29,1083490
2021-07-30,1087183
2021-07-31,1090666
2021-08-01,1094044
2021-08-02,1096806
2021-08-03,1099963
2021-08-04,1103309
2021-08-05,1106569
2021-08-06,1110077
2021-08-07,1113670
2021-08-08,1117196
2021-08-09,1119811
2021-08-10,1122904
2021-08-11,1126370
2021-08-12,1129787
2021-08-13,1133384
2021-08-14,1136982
2021-08-15,1140272
2021-08-16,1143094
2021-08-17,1146206
2021-08-18,1149398
2021-08-19,1152894
2021-08-20,1156019
2021-08-21,1159266
2021-08-22,1162291
2021-08-23,1164947
2021-08-24,1168387
2021-08-25,1171634
2021-08-26,1174898
2021-08-27,1178309
2021-08-28,1181558
2021-08-29,1184836
2021-08-30,1187198
2021-08-31,1190315
2021-09-01,1194358
2021-09-02,1198067
2021-09-03,1201506
2021-09-04,1204857
2021-09-05,1208855
2021-09-06,1211456
2021-09-07,1214525
2021-09-08,1218540
2021-09-09,1221647
2021-09-10,1225118
2021-09-11,1228012
2021-09-12,1231651
2021-09-13,1234274
2021-09-14,1237629
2021-09-15,1241536
2021-09-16,1245246
2021-09-17,1248616
2021-09-18,1252398
2021-09-19,1255623
2021-09-20,1257776
2021-09-21,1260746
2021-09-22,1263503
2021-09-23,1266657
2021-09-24,1269800
2021-09-25,1272746
2021-09-26,1275706
2021-09-27,1277830
2021-09-28,1280535
2021-09-29,1283214
2021-09-30,1285965
2021-10-01,1288587
2021-10-02,1290916
2021-10-03,1293349
2021-10-04,1295106
2021-10-05,1296742
2021-10-06,1298572
2021-10-07,1300358
2021-10-08,1302240
2021-10-09,1303892
2021-10-10,1305597
2021-10-11,1306982
2021-10-12,1308697
2021-10-13,1310598
2021-10-14,1312451
2021-10-15,1314473
2021-10-16,1316178
2021-10-17,1317826
2021-10-18,1319301
2021-10-19,1321094
2021-10-20,1323043
2021-10-21,1325127
2021-10-22,1327250
2021-10-23,1328936
2021-10-24,1330485
2021-10-25,1332026
2021-10-26,1333868
2021-10-27,1335655
2021-10-28,1337537
2021-10-29,1339655
2021-10-30,1341398
2021-10-31,1343062
2021-11-01,1344399
2021-11-02,1346132
2021-11-03,1347937
2021-11-04,1349895
2021-11-05,1352075
2021-11-06,1353866
2021-11-07,1355645
2021-11-08,1357122
2021-11-09,1358998
2021-11-10,1360953
2021-11-11,1363010
2021-11-12,1365205
2021-11-13,1366965
2021-11-14,1368899
2021-11-15,1370520
2021-11-16,1372664
2021-11-17,1374704
2021-11-18,1377183
2021-11-19,1379738
2021-11-20,1381806
2021-11-21,1383858
2021-11-22,1385822
2021-11-23,1388396
2021-11-24,1391295
2021-11-25,1394004
2021-11-26,1396567
2021-11-27,1399316
2021-11-28,1401792
2021-11-29,1403921
2021-11-30,1406208
2021-12-01,1408926
2021-12-02,1411639
2021-12-03,1414893
2021-12-04,1417583
2021-12-05,1420519
2021-12-06,1422812
2021-12-07,1425599
2021-12-08,1429002
2021-12-09,1432212
2021-12-10,1435726
2021-12-11,1439023
2021-12-12,1441878
2021-12-13,1444590
2021-12-14,1447690
2021-12-15,1450909
2021-12-16,1454602
