dates,covid19mobilitytrend_localbusiness
2020-02-15,0
2020-02-16,-1
2020-02-17,-1
2020-02-18,0
2020-02-19,-3
2020-02-20,-1
2020-02-21,-2
2020-02-22,1
2020-02-23,-2
2020-02-24,-1
2020-02-25,0
2020-02-26,-3
2020-02-27,0
2020-02-28,3
2020-02-29,5
2020-03-01,5
2020-03-02,6
2020-03-03,4
2020-03-04,3
2020-03-05,4
2020-03-06,4
2020-03-07,5
2020-03-08,4
2020-03-09,5
2020-03-10,4
2020-03-11,3
2020-03-12,3
2020-03-13,0
2020-03-14,-4
2020-03-15,-6
2020-03-16,0
2020-03-17,-1
2020-03-18,-1
2020-03-19,-4
2020-03-20,-5
2020-03-21,-8
2020-03-22,-12
2020-03-23,-6
2020-03-24,-8
2020-03-25,-19
2020-03-26,-22
2020-03-27,-36
2020-03-28,-40
2020-03-29,-46
2020-03-30,-39
2020-03-31,-39
2020-04-01,-44
2020-04-02,-44
2020-04-03,-47
2020-04-04,-49
2020-04-05,-51
2020-04-06,-44
2020-04-07,-46
2020-04-08,-48
2020-04-09,-47
2020-04-10,-65
2020-04-11,-66
2020-04-12,-70
2020-04-13,-71
2020-04-14,-73
2020-04-15,-74
2020-04-16,-73
2020-04-17,-74
2020-04-18,-71
2020-04-19,-69
2020-04-20,-60
2020-04-21,-60
2020-04-22,-60
2020-04-23,-60
2020-04-24,-61
2020-04-25,-63
2020-04-26,-65
2020-04-27,-59
2020-04-28,-57
2020-04-29,-56
2020-04-30,-52
2020-05-01,-58
2020-05-02,-57
2020-05-03,-59
2020-05-04,-51
2020-05-05,-49
2020-05-06,-54
2020-05-07,-47
2020-05-08,-48
2020-05-09,-51
2020-05-10,-52
2020-05-11,-46
2020-05-12,-45
2020-05-13,-47
2020-05-14,-45
2020-05-15,-44
2020-05-16,-44
2020-05-17,-46
2020-05-18,-39
2020-05-19,-42
2020-05-20,-42
2020-05-21,-41
2020-05-22,-39
2020-05-23,-40
2020-05-24,-41
2020-05-25,-35
2020-05-26,-35
2020-05-27,-38
2020-05-28,-36
2020-05-29,-33
2020-05-30,-32
2020-05-31,-34
2020-06-01,-26
2020-06-02,-25
2020-06-03,-26
2020-06-04,-26
2020-06-05,-25
2020-06-06,-25
2020-06-07,-26
2020-06-08,-22
2020-06-09,-22
2020-06-10,-23
2020-06-11,-22
2020-06-12,-21
2020-06-13,-22
2020-06-14,-26
2020-06-15,-19
2020-06-16,-16
2020-06-17,-20
2020-06-18,-22
2020-06-19,-20
2020-06-20,-20
2020-06-21,-21
2020-06-22,-16
2020-06-23,-16
2020-06-24,-18
2020-06-25,-19
2020-06-26,-20
2020-06-27,-20
2020-06-28,-24
2020-06-29,-14
2020-06-30,-8
2020-07-01,-14
2020-07-02,-11
2020-07-03,-12
2020-07-04,-15
2020-07-05,-11
2020-07-06,-11
2020-07-07,-9
2020-07-08,-13
2020-07-09,-12
2020-07-10,-13
2020-07-11,-13
2020-07-12,-17
2020-07-13,-13
2020-07-14,-10
2020-07-15,-12
2020-07-16,-13
2020-07-17,-12
2020-07-18,-12
2020-07-19,-11
2020-07-20,-9
2020-07-21,-11
2020-07-22,-13
2020-07-23,-12
2020-07-24,-11
2020-07-25,-13
2020-07-26,-14
2020-07-27,-11
2020-07-28,-11
2020-07-29,-10
2020-07-30,-2
2020-07-31,-2
2020-08-01,-6
2020-08-02,-7
2020-08-03,-12
2020-08-04,-8
2020-08-05,-6
2020-08-06,-8
2020-08-07,-9
2020-08-08,-7
2020-08-09,-5
2020-08-10,-5
2020-08-11,-6
2020-08-12,-6
2020-08-13,-7
2020-08-14,-8
2020-08-15,-8
2020-08-16,-9
2020-08-17,-8
2020-08-18,-8
2020-08-19,-8
2020-08-20,-10
2020-08-21,-12
2020-08-22,-17
2020-08-23,-15
2020-08-24,-12
2020-08-25,-8
2020-08-26,-16
2020-08-27,-14
2020-08-28,-17
2020-08-29,-19
2020-08-30,-22
2020-08-31,-13
2020-09-01,-12
2020-09-02,-18
2020-09-03,-20
2020-09-04,-23
2020-09-05,-27
2020-09-06,-30
2020-09-07,-26
2020-09-08,-29
2020-09-09,-32
2020-09-10,-33
2020-09-11,-36
2020-09-12,-42
2020-09-13,-47
2020-09-14,-42
2020-09-15,-42
2020-09-16,-45
2020-09-17,-46
2020-09-18,-49
2020-09-19,-54
2020-09-20,-57
2020-09-21,-52
2020-09-22,-54
2020-09-23,-56
2020-09-24,-61
2020-09-25,-62
2020-09-26,-63
2020-09-27,-65
2020-09-28,-64
2020-09-29,-64
2020-09-30,-61
2020-10-01,-64
2020-10-02,-63
2020-10-03,-65
2020-10-04,-66
2020-10-05,-61
2020-10-06,-61
2020-10-07,-61
2020-10-08,-59
2020-10-09,-61
2020-10-10,-62
2020-10-11,-63
2020-10-12,-58
2020-10-13,-57
2020-10-14,-57
2020-10-15,-56
2020-10-16,-59
2020-10-17,-61
2020-10-18,-60
2020-10-19,-56
2020-10-20,-57
2020-10-21,-55
2020-10-22,-54
2020-10-23,-54
2020-10-24,-55
2020-10-25,-54
2020-10-26,-50
2020-10-27,-48
2020-10-28,-46
2020-10-29,-47
2020-10-30,-47
2020-10-31,-54
2020-11-01,-50
2020-11-02,-51
2020-11-03,-44
2020-11-04,-48
2020-11-05,-46
2020-11-06,-49
2020-11-07,-50
2020-11-08,-48
2020-11-09,-46
2020-11-10,-44
2020-11-11,-45
2020-11-12,-45
2020-11-13,-47
2020-11-14,-49
2020-11-15,-49
2020-11-16,-44
2020-11-17,-44
2020-11-18,-45
2020-11-19,-44
2020-11-20,-44
2020-11-21,-49
2020-11-22,-50
2020-11-23,-46
2020-11-24,-45
2020-11-25,-45
2020-11-26,-41
2020-11-27,-45
2020-11-28,-46
2020-11-29,-46
2020-11-30,-44
2020-12-01,-41
2020-12-02,-42
2020-12-03,-42
2020-12-04,-42
2020-12-05,-47
2020-12-06,-47
2020-12-07,-44
2020-12-08,-43
2020-12-09,-46
2020-12-10,-44
2020-12-11,-46
2020-12-12,-47
2020-12-13,-47
2020-12-14,-44
2020-12-15,-42
2020-12-16,-44
2020-12-17,-44
2020-12-18,-44
2020-12-19,-44
2020-12-20,-44
2020-12-21,-40
2020-12-22,-41
2020-12-23,-40
2020-12-24,-38
