dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,2
2020-03-25,1
2020-03-26,0
2020-03-27,2
2020-03-28,3
2020-03-29,0
2020-03-30,2
2020-03-31,4
2020-04-01,1
2020-04-02,1
2020-04-03,4
2020-04-04,1
2020-04-05,0
2020-04-06,0
2020-04-07,1
2020-04-08,0
2020-04-09,0
2020-04-10,5
2020-04-11,1
2020-04-12,10
2020-04-13,3
2020-04-14,21
2020-04-15,12
2020-04-16,11
2020-04-17,0
2020-04-18,9
2020-04-19,13
2020-04-20,4
2020-04-21,8
2020-04-22,2
2020-04-23,6
2020-04-24,12
2020-04-25,5
2020-04-26,2
2020-04-27,0
2020-04-28,0
2020-04-29,4
2020-04-30,0
2020-05-01,1
2020-05-02,0
2020-05-03,0
2020-05-04,10
2020-05-05,0
2020-05-06,0
2020-05-07,1
2020-05-08,14
2020-05-09,1
2020-05-10,1
2020-05-11,2
2020-05-12,0
2020-05-13,0
2020-05-14,1
2020-05-15,0
2020-05-16,1
2020-05-17,2
2020-05-18,4
2020-05-19,5
2020-05-20,6
2020-05-21,0
2020-05-22,0
2020-05-23,2
2020-05-24,0
2020-05-25,2
2020-05-26,3
2020-05-27,0
2020-05-28,0
2020-05-29,1
2020-05-30,17
2020-05-31,0
2020-06-01,4
2020-06-02,4
2020-06-03,1
2020-06-04,1
2020-06-05,2
2020-06-06,4
2020-06-07,2
2020-06-08,1
2020-06-09,3
2020-06-10,2
2020-06-11,12
2020-06-12,1
2020-06-13,0
2020-06-14,0
2020-06-15,1
2020-06-16,0
2020-06-17,0
2020-06-18,1
2020-06-19,23
2020-06-20,0
2020-06-21,4
2020-06-22,0
2020-06-23,2
2020-06-24,1
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,6
2020-06-29,0
2020-06-30,0
2020-07-01,4
2020-07-02,1
2020-07-03,2
2020-07-04,7
2020-07-05,0
2020-07-06,3
2020-07-07,0
2020-07-08,1
2020-07-09,4
2020-07-10,5
2020-07-11,4
2020-07-12,1
2020-07-13,5
2020-07-14,1
2020-07-15,0
2020-07-16,2
2020-07-17,0
2020-07-18,1
2020-07-19,1
2020-07-20,0
2020-07-21,0
2020-07-22,2
2020-07-23,0
2020-07-24,3
2020-07-25,2
2020-07-26,2
2020-07-27,0
2020-07-28,0
2020-07-29,1
2020-07-30,2
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,2
2020-08-04,0
2020-08-05,2
2020-08-06,0
2020-08-07,2
2020-08-08,0
2020-08-09,1
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,1
2020-08-14,8
2020-08-15,5
2020-08-16,0
2020-08-17,1
2020-08-18,1
2020-08-19,3
2020-08-20,17
2020-08-21,13
2020-08-22,26
2020-08-23,9
2020-08-24,19
2020-08-25,11
2020-08-26,106
2020-08-27,6
2020-08-28,42
2020-08-29,105
2020-08-30,42
2020-08-31,107
2020-09-01,37
2020-09-02,76
2020-09-03,63
2020-09-04,75
2020-09-05,120
2020-09-06,166
2020-09-07,45
2020-09-08,146
2020-09-09,197
2020-09-10,202
2020-09-11,256
2020-09-12,330
2020-09-13,337
2020-09-14,263
2020-09-15,104
2020-09-16,337
2020-09-17,258
2020-09-18,405
2020-09-19,322
2020-09-20,642
2020-09-21,542
2020-09-22,666
2020-09-23,689
2020-09-24,667
2020-09-25,688
2020-09-26,597
2020-09-27,879
2020-09-28,743
2020-09-29,897
2020-09-30,794
2020-10-01,948
2020-10-02,1010
2020-10-03,1142
2020-10-04,978
2020-10-05,1291
2020-10-06,987
2020-10-07,1252
2020-10-08,1400
2020-10-09,1012
2020-10-10,1461
2020-10-11,2158
2020-10-12,1910
2020-10-13,1340
2020-10-14,1123
2020-10-15,888
2020-10-16,1026
2020-10-17,1137
2020-10-18,1387
2020-10-19,1150
2020-10-20,1180
2020-10-21,1297
2020-10-22,1194
2020-10-23,1312
2020-10-24,1357
2020-10-25,1423
2020-10-26,986
2020-10-27,1426
2020-10-28,1466
2020-10-29,1406
2020-10-30,1331
2020-10-31,1093
2020-11-01,1210
2020-11-02,699
2020-11-03,1202
2020-11-04,1197
2020-11-05,1136
2020-11-06,995
2020-11-07,1342
2020-11-08,1071
2020-11-09,1029
2020-11-10,598
2020-11-11,1266
2020-11-12,1212
2020-11-13,1145
2020-11-14,1136
2020-11-15,1144
2020-11-16,1116
2020-11-17,1167
2020-11-18,1569
2020-11-19,1592
2020-11-20,1560
2020-11-21,1532
2020-11-22,1434
2020-11-23,1398
2020-11-24,1259
2020-11-25,1731
2020-11-26,1330
2020-11-27,1639
2020-11-28,1428
2020-11-29,1344
2020-11-30,1509
2020-12-01,1227
2020-12-02,1476
2020-12-03,1411
2020-12-04,1418
2020-12-05,1502
2020-12-06,1527
2020-12-07,1108
2020-12-08,1276
2020-12-09,1308
2020-12-10,1427
2020-12-11,1321
2020-12-12,1376
2020-12-13,1352
2020-12-14,1127
2020-12-15,1170
2020-12-16,1155
2020-12-17,1233
2020-12-18,1182
2020-12-19,1116
2020-12-20,989
2020-12-21,947
2020-12-22,848
2020-12-23,964
2020-12-24,923
2020-12-25,919
2020-12-26,1492
2020-12-27,606
2020-12-28,648
2020-12-29,619
2020-12-30,587
2020-12-31,890
2021-01-01,423
2021-01-02,563
2021-01-03,729
2021-01-04,590
2021-01-05,647
2021-01-06,596
2021-01-07,594
2021-01-08,711
2021-01-09,566
2021-01-10,555
2021-01-11,582
2021-01-12,551
2021-01-13,523
2021-01-14,605
2021-01-15,513
2021-01-16,491
2021-01-17,449
2021-01-18,477
2021-01-19,448
2021-01-20,478
2021-01-21,445
2021-01-22,425
2021-01-23,507
2021-01-24,476
2021-01-25,383
2021-01-26,411
2021-01-27,434
2021-01-28,350
2021-01-29,363
2021-01-30,349
2021-01-31,281
2021-02-01,209
2021-02-02,310
2021-02-03,263
2021-02-04,177
2021-02-05,200
2021-02-06,0
2021-02-07,0
2021-02-08,123
2021-02-09,21
2021-02-10,39
2021-02-11,35
2021-02-12,21
2021-02-13,42
2021-02-14,16
2021-02-15,36
2021-02-16,22
2021-02-17,31
2021-02-18,19
2021-02-19,0
2021-02-20,26
2021-02-21,15
2021-02-22,11
2021-02-23,22
2021-02-24,33
2021-02-25,25
2021-02-26,34
2021-02-27,15
2021-02-28,6
2021-03-01,20
2021-03-02,49
2021-03-03,19
2021-03-04,16
2021-03-05,0
2021-03-06,23
2021-03-07,11
2021-03-08,11
2021-03-09,14
2021-03-10,14
2021-03-11,41
2021-03-12,8
2021-03-13,14
2021-03-14,11
2021-03-15,0
2021-03-16,15
2021-03-17,28
2021-03-18,22
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,34
2021-03-23,46
2021-03-24,23
2021-03-25,25
2021-03-26,19
2021-03-27,18
2021-03-28,8
2021-03-29,8
2021-03-30,19
2021-03-31,22
2021-04-01,32
2021-04-02,13
2021-04-03,18
2021-04-04,14
2021-04-05,19
2021-04-06,11
2021-04-07,8
2021-04-08,9
2021-04-09,14
2021-04-10,4
2021-04-11,11
2021-04-12,9
2021-04-13,9
2021-04-14,5
2021-04-15,7
2021-04-16,2
2021-04-17,9
2021-04-18,16
2021-04-19,0
2021-04-20,0
2021-04-21,17
2021-04-22,13
2021-04-23,13
2021-04-24,17
2021-04-25,18
2021-04-26,18
2021-04-27,38
2021-04-28,12
2021-04-29,10
2021-04-30,17
2021-05-01,14
2021-05-02,7
2021-05-03,4
2021-05-04,16
2021-05-05,16
2021-05-06,29
2021-05-07,31
2021-05-08,13
2021-05-09,7
2021-05-10,9
2021-05-11,11
2021-05-12,23
2021-05-13,7
2021-05-14,31
2021-05-15,24
2021-05-16,6
2021-05-17,32
2021-05-18,34
2021-05-19,28
2021-05-20,24
2021-05-21,28
2021-05-22,17
2021-05-23,6
2021-05-24,28
2021-05-25,34
2021-05-26,22
2021-05-27,96
2021-05-28,72
2021-05-29,40
2021-05-30,45
2021-05-31,58
2021-06-01,122
2021-06-02,72
2021-06-03,122
2021-06-04,212
2021-06-05,96
2021-06-06,64
2021-06-07,139
2021-06-08,123
2021-06-09,136
2021-06-10,161
2021-06-11,188
2021-06-12,166
2021-06-13,373
2021-06-14,223
2021-06-15,225
2021-06-16,355
2021-06-17,362
2021-06-18,301
2021-06-19,546
2021-06-20,407
2021-06-21,595
2021-06-22,630
2021-06-23,680
2021-06-24,787
2021-06-25,859
2021-06-26,783
2021-06-27,804
2021-06-28,1225
2021-06-29,1312
2021-06-30,1580
2021-07-01,2070
2021-07-02,1863
2021-07-03,1877
2021-07-04,2318
2021-07-05,2969
2021-07-06,3602
2021-07-07,3947
2021-07-08,4132
2021-07-09,4320
2021-07-10,4377
2021-07-11,3461
2021-07-12,5014
2021-07-13,4047
2021-07-14,7083
2021-07-15,4188
2021-07-16,6194
2021-07-17,5497
2021-07-18,5285
2021-07-19,5189
2021-07-20,5860
2021-07-21,6093
2021-07-22,6701
2021-07-23,5506
2021-07-24,5657
2021-07-25,4998
2021-07-26,4630
2021-07-27,4964
2021-07-28,4980
2021-07-29,5234
2021-07-30,5127
2021-07-31,4725
2021-08-01,3480
2021-08-02,3689
2021-08-03,4713
2021-08-04,4051
