dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,6
2020-02-16,10
2020-02-17,4
2020-02-18,9
2020-02-19,11
2020-02-20,13
2020-02-21,23
2020-02-22,34
2020-02-23,15
2020-02-24,-44
2020-02-25,-47
2020-02-26,-45
2020-02-27,-25
2020-02-28,-23
2020-02-29,-21
2020-03-01,-20
2020-03-02,-15
2020-03-03,0
2020-03-04,-1
2020-03-05,2
2020-03-06,4
2020-03-07,9
2020-03-08,26
2020-03-09,-4
2020-03-10,13
2020-03-11,-22
2020-03-12,-24
2020-03-13,-20
2020-03-14,-20
2020-03-15,-17
2020-03-16,2
2020-03-17,4
2020-03-18,5
2020-03-19,-9
2020-03-20,0
2020-03-21,2
2020-03-22,1
2020-03-23,1
2020-03-24,-1
2020-03-25,-5
2020-03-26,-4
2020-03-27,1
2020-03-28,1
2020-03-29,5
2020-03-30,-3
2020-03-31,2
2020-04-01,6
2020-04-02,7
2020-04-03,9
2020-04-04,14
2020-04-05,11
2020-04-06,4
2020-04-07,7
2020-04-08,7
2020-04-09,6
2020-04-10,10
2020-04-11,15
2020-04-12,11
2020-04-13,4
2020-04-14,6
2020-04-15,5
2020-04-16,8
2020-04-17,14
2020-04-18,8
2020-04-19,2
2020-04-20,7
2020-04-21,10
2020-04-22,5
2020-04-23,4
2020-04-24,8
2020-04-25,17
2020-04-26,20
2020-04-27,10
2020-04-28,16
2020-04-29,13
2020-04-30,20
2020-05-01,28
2020-05-02,24
2020-05-03,30
2020-05-04,20
2020-05-05,26
2020-05-06,29
2020-05-07,27
2020-05-08,31
2020-05-09,22
2020-05-10,28
2020-05-11,24
2020-05-12,32
2020-05-13,28
2020-05-14,28
2020-05-15,17
2020-05-16,18
2020-05-17,30
2020-05-18,29
2020-05-19,31
2020-05-20,31
2020-05-21,34
2020-05-22,32
2020-05-23,34
2020-05-24,39
2020-05-25,34
2020-05-26,32
2020-05-27,32
2020-05-28,29
2020-05-29,34
2020-05-30,42
