dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,3
2020-03-18,1
2020-03-19,1
2020-03-20,0
2020-03-21,4
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,1
2020-03-27,0
2020-03-28,1
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,2
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,2
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,14
2020-04-15,0
2020-04-16,1
2020-04-17,0
2020-04-18,0
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-22,1
2020-04-23,0
2020-04-24,0
2020-04-25,1
2020-04-26,2
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,1
2020-05-04,1
2020-05-05,1
2020-05-06,0
2020-05-07,0
2020-05-08,1
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,19
2020-05-15,37
2020-05-16,37
2020-05-17,1
2020-05-18,4
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,1
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,7
2020-05-28,13
2020-05-29,18
2020-05-30,0
2020-05-31,0
2020-06-01,6
2020-06-02,0
2020-06-03,0
2020-06-04,1
2020-06-05,0
2020-06-06,5
2020-06-07,2
2020-06-08,0
2020-06-09,1
2020-06-10,0
2020-06-11,0
2020-06-12,3
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,4
2020-06-19,0
2020-06-20,3
2020-06-21,0
2020-06-22,9
2020-06-23,2
2020-06-24,0
2020-06-25,1
2020-06-26,0
2020-06-27,3
2020-06-28,0
2020-06-29,1
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,7
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,3
2020-07-13,0
2020-07-14,0
2020-07-15,31
2020-07-16,0
2020-07-17,1
2020-07-18,25
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,1
2020-07-26,0
2020-07-27,0
2020-07-28,1
2020-07-29,2
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,2
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,4
2020-08-15,1
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,2
2020-08-28,1
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,3
2020-09-03,2
2020-09-04,0
2020-09-05,4
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,0
2020-09-12,1
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,1
2020-09-22,0
2020-09-23,1
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,1
2020-10-07,1
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,1
2020-10-13,2
2020-10-14,2
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,4
2020-10-20,0
2020-10-21,2
2020-10-22,1
2020-10-23,1
2020-10-24,0
2020-10-25,9
2020-10-26,1
2020-10-27,1
2020-10-28,1
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,6
2020-11-02,0
2020-11-03,3
2020-11-04,1
2020-11-05,2
2020-11-06,1
2020-11-07,3
2020-11-08,1
2020-11-09,5
2020-11-10,6
2020-11-11,6
2020-11-12,8
2020-11-13,24
2020-11-14,6
2020-11-15,4
2020-11-16,12
2020-11-17,12
2020-11-18,33
2020-11-19,45
2020-11-20,39
2020-11-21,25
2020-11-22,47
2020-11-23,11
2020-11-24,32
2020-11-25,27
2020-11-26,13
2020-11-27,26
2020-11-28,22
2020-11-29,24
2020-11-30,7
2020-12-01,10
2020-12-02,11
2020-12-03,7
2020-12-04,12
2020-12-05,11
2020-12-06,7
2020-12-07,38
2020-12-08,1
2020-12-09,5
2020-12-10,5
2020-12-11,7
2020-12-12,1
2020-12-13,1
2020-12-14,5
2020-12-15,5
2020-12-16,1
2020-12-17,5
2020-12-18,18
2020-12-19,12
2020-12-20,8
2020-12-21,32
2020-12-22,13
2020-12-23,57
2020-12-24,6
2020-12-25,6
2020-12-26,7
2020-12-27,39
2020-12-28,16
2020-12-29,38
2020-12-30,20
2020-12-31,20
2021-01-01,27
2021-01-02,21
2021-01-03,23
2021-01-04,22
2021-01-05,41
2021-01-06,13
2021-01-07,33
2021-01-08,13
2021-01-09,21
2021-01-10,13
2021-01-11,14
2021-01-12,13
2021-01-13,10
2021-01-14,12
2021-01-15,21
2021-01-16,5
2021-01-17,9
2021-01-18,10
2021-01-19,32
2021-01-20,16
2021-01-21,8
2021-01-22,19
2021-01-23,16
2021-01-24,16
2021-01-25,13
2021-01-26,11
2021-01-27,25
2021-01-28,18
2021-01-29,32
2021-01-30,37
2021-01-31,35
2021-02-01,18
2021-02-02,27
2021-02-03,31
2021-02-04,38
2021-02-05,61
2021-02-06,34
2021-02-07,50
2021-02-08,47
2021-02-09,54
2021-02-10,33
2021-02-11,40
2021-02-12,46
2021-02-13,58
2021-02-14,32
2021-02-15,33
2021-02-16,28
2021-02-17,49
2021-02-18,58
2021-02-19,35
2021-02-20,52
2021-02-21,55
2021-02-22,30
2021-02-23,32
2021-02-24,46
2021-02-25,30
2021-02-26,35
2021-02-27,41
2021-02-28,45
2021-03-01,48
2021-03-02,32
2021-03-03,44
2021-03-04,77
2021-03-05,8
2021-03-06,67
2021-03-07,108
2021-03-08,36
2021-03-09,109
2021-03-10,80
2021-03-11,103
2021-03-12,169
2021-03-13,128
2021-03-14,122
2021-03-15,127
2021-03-16,130
2021-03-17,158
2021-03-18,160
2021-03-19,148
2021-03-20,170
2021-03-21,210
2021-03-22,206
2021-03-23,218
2021-03-24,285
2021-03-25,437
2021-03-26,361
2021-03-27,321
2021-03-28,575
2021-03-29,481
2021-03-30,377
2021-03-31,394
2021-04-01,486
2021-04-02,271
2021-04-03,620
2021-04-04,602
2021-04-05,831
2021-04-06,575
2021-04-07,554
2021-04-08,714
2021-04-09,689
2021-04-10,831
2021-04-11,704
2021-04-12,885
2021-04-13,1220
2021-04-14,742
2021-04-15,1107
2021-04-16,983
2021-04-17,1340
2021-04-18,889
2021-04-19,1311
2021-04-20,1169
2021-04-21,1328
2021-04-22,1264
2021-04-23,1263
2021-04-24,1264
2021-04-25,856
2021-04-26,1098
2021-04-27,1171
2021-04-28,1015
2021-04-29,1356
2021-04-30,1306
2021-05-01,1185
2021-05-02,911
2021-05-03,1015
2021-05-04,1128
2021-05-05,940
2021-05-06,737
2021-05-07,815
2021-05-08,804
2021-05-09,639
2021-05-10,477
2021-05-11,512
2021-05-12,585
2021-05-13,515
2021-05-14,553
2021-05-15,541
2021-05-16,533
2021-05-17,349
2021-05-18,575
2021-05-19,519
2021-05-20,629
2021-05-21,684
2021-05-22,539
2021-05-23,630
2021-05-24,634
2021-05-25,680
2021-05-26,653
2021-05-27,785
2021-05-28,769
2021-05-29,891
2021-05-30,927
2021-05-31,790
2021-06-01,1143
2021-06-02,1024
2021-06-03,1189
2021-06-04,1393
2021-06-05,1288
2021-06-06,1177
2021-06-07,1267
2021-06-08,1312
2021-06-09,1460
2021-06-10,1622
2021-06-11,1792
2021-06-12,2188
2021-06-13,2263
2021-06-14,2386
2021-06-15,2395
2021-06-16,2642
2021-06-17,2746
2021-06-18,2635
2021-06-19,2400
2021-06-20,2268
2021-06-21,2231
2021-06-22,2213
2021-06-23,2366
2021-06-24,2271
2021-06-25,2362
2021-06-26,2432
2021-06-27,1811
2021-06-28,1727
2021-06-29,2246
2021-06-30,2485
2021-07-01,2376
2021-07-02,2401
2021-07-03,2520
2021-07-04,1551
2021-07-05,1643
2021-07-06,1998
2021-07-07,1510
2021-07-08,2308
2021-07-09,1783
2021-07-10,1735
2021-07-11,1496
2021-07-12,1246
2021-07-13,1159
2021-07-14,1439
2021-07-15,1364
2021-07-16,1295
2021-07-17,1466
2021-07-18,2480
2021-07-19,1497
2021-07-20,1309
2021-07-21,0
2021-07-22,1243
2021-07-23,1442
2021-07-24,1501
2021-07-25,1249
2021-07-26,1127
2021-07-27,1243
2021-07-28,2525
2021-07-29,1286
2021-07-30,992
2021-07-31,1063
2021-08-01,1019
2021-08-02,1444
2021-08-03,1178
2021-08-04,1246
2021-08-05,972
2021-08-06,1463
2021-08-07,1071
