dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,2
2020-03-31,2
2020-04-01,2
2020-04-02,6
2020-04-03,8
2020-04-04,8
2020-04-05,8
2020-04-06,8
2020-04-07,8
2020-04-08,8
2020-04-09,11
2020-04-10,11
2020-04-11,11
2020-04-12,11
2020-04-13,11
2020-04-14,11
2020-04-15,13
2020-04-16,13
2020-04-17,13
2020-04-18,14
2020-04-19,14
2020-04-20,14
2020-04-21,14
2020-04-22,14
2020-04-23,14
2020-04-24,14
2020-04-25,14
2020-04-26,14
2020-04-27,14
2020-04-28,14
2020-04-29,14
2020-04-30,14
2020-05-01,14
2020-05-02,14
2020-05-03,14
2020-05-04,14
2020-05-05,14
2020-05-06,14
2020-05-07,15
2020-05-08,15
2020-05-09,15
2020-05-10,16
2020-05-11,16
2020-05-12,19
2020-05-13,19
2020-05-14,19
2020-05-15,19
2020-05-16,19
2020-05-17,21
2020-05-18,21
2020-05-19,21
2020-05-20,21
2020-05-21,21
2020-05-22,22
2020-05-23,22
2020-05-24,22
2020-05-25,22
2020-05-26,22
2020-05-27,22
2020-05-28,22
2020-05-29,22
2020-05-30,22
2020-05-31,22
2020-06-01,22
2020-06-02,22
2020-06-03,23
2020-06-04,24
2020-06-05,26
2020-06-06,26
2020-06-07,26
2020-06-08,27
2020-06-09,28
2020-06-10,30
2020-06-11,30
2020-06-12,30
2020-06-13,30
2020-06-14,30
2020-06-15,30
2020-06-16,30
2020-06-17,30
2020-06-18,30
2020-06-19,30
2020-06-20,30
2020-06-21,30
2020-06-22,30
2020-06-23,30
2020-06-24,30
2020-06-25,30
2020-06-26,30
2020-06-27,30
2020-06-28,30
2020-06-29,30
2020-06-30,30
2020-07-01,30
2020-07-02,30
2020-07-03,31
2020-07-04,31
2020-07-05,31
2020-07-06,31
2020-07-07,31
2020-07-08,31
2020-07-09,31
2020-07-10,31
2020-07-11,31
2020-07-12,33
2020-07-13,33
2020-07-14,33
2020-07-15,36
2020-07-16,36
2020-07-17,37
2020-07-18,37
2020-07-19,37
2020-07-20,37
2020-07-21,37
2020-07-22,38
2020-07-23,38
2020-07-24,38
2020-07-25,38
2020-07-26,39
2020-07-27,40
2020-07-28,40
2020-07-29,40
2020-07-30,40
2020-07-31,42
2020-08-01,42
2020-08-02,44
2020-08-03,45
2020-08-04,46
2020-08-05,46
2020-08-06,46
2020-08-07,47
2020-08-08,47
2020-08-09,48
2020-08-10,48
2020-08-11,49
2020-08-12,49
2020-08-13,49
2020-08-14,49
2020-08-15,50
2020-08-16,50
2020-08-17,50
2020-08-18,54
2020-08-19,54
2020-08-20,54
2020-08-21,54
2020-08-22,54
2020-08-23,54
2020-08-24,54
2020-08-25,54
2020-08-26,54
2020-08-27,54
2020-08-28,54
2020-08-29,54
2020-08-30,56
2020-08-31,56
2020-09-01,56
2020-09-02,57
2020-09-03,57
2020-09-04,57
2020-09-05,57
2020-09-06,58
2020-09-07,58
2020-09-08,59
2020-09-09,59
2020-09-10,59
2020-09-11,59
2020-09-12,59
2020-09-13,60
2020-09-14,60
2020-09-15,61
2020-09-16,61
2020-09-17,61
2020-09-18,62
2020-09-19,62
2020-09-20,68
2020-09-21,68
2020-09-22,69
2020-09-23,69
2020-09-24,69
2020-09-25,69
2020-09-26,69
2020-09-27,70
2020-09-28,70
2020-09-29,70
2020-09-30,70
2020-10-01,70
2020-10-02,73
2020-10-03,73
2020-10-04,73
2020-10-05,73
2020-10-06,75
2020-10-07,75
2020-10-08,75
2020-10-09,75
2020-10-10,75
2020-10-11,77
2020-10-12,77
2020-10-13,77
2020-10-14,77
2020-10-15,77
2020-10-16,80
2020-10-17,80
2020-10-18,86
2020-10-19,86
2020-10-20,86
2020-10-21,88
2020-10-22,88
2020-10-23,88
2020-10-24,88
2020-10-25,88
2020-10-26,88
2020-10-27,92
2020-10-28,92
2020-10-29,92
2020-10-30,92
2020-10-31,92
2020-11-01,96
2020-11-02,96
2020-11-03,96
2020-11-04,96
2020-11-05,96
2020-11-06,98
2020-11-07,98
2020-11-08,98
2020-11-09,98
2020-11-10,100
2020-11-11,100
2020-11-12,100
2020-11-13,100
2020-11-14,100
2020-11-15,102
2020-11-16,102
2020-11-17,103
2020-11-18,103
2020-11-19,103
2020-11-20,103
2020-11-21,103
2020-11-22,104
2020-11-23,104
2020-11-24,104
2020-11-25,104
2020-11-26,104
2020-11-27,104
2020-11-28,104
2020-11-29,105
2020-11-30,105
2020-12-01,106
2020-12-02,106
2020-12-03,106
2020-12-04,106
2020-12-05,106
2020-12-06,109
2020-12-07,109
2020-12-08,111
2020-12-09,113
2020-12-10,113
2020-12-11,113
2020-12-12,113
2020-12-13,113
2020-12-14,113
2020-12-15,113
2020-12-16,113
2020-12-17,113
2020-12-18,115
2020-12-19,115
2020-12-20,116
2020-12-21,116
2020-12-22,116
2020-12-23,118
2020-12-24,118
2020-12-25,122
2020-12-26,122
2020-12-27,122
2020-12-28,122
2020-12-29,122
2020-12-30,122
2020-12-31,122
2021-01-01,122
2021-01-02,122
2021-01-03,124
2021-01-04,125
2021-01-05,125
2021-01-06,125
2021-01-07,125
2021-01-08,125
2021-01-09,125
2021-01-10,125
2021-01-11,128
2021-01-12,128
2021-01-13,128
2021-01-14,128
2021-01-15,128
2021-01-16,128
2021-01-17,129
2021-01-18,129
2021-01-19,129
2021-01-20,129
2021-01-21,129
2021-01-22,129
2021-01-23,132
2021-01-24,132
2021-01-25,132
2021-01-26,132
2021-01-27,132
2021-01-28,132
2021-01-29,132
2021-01-30,132
2021-01-31,132
2021-02-01,133
2021-02-02,133
2021-02-03,133
2021-02-04,133
2021-02-05,133
2021-02-06,133
2021-02-07,133
2021-02-08,133
2021-02-09,133
2021-02-10,133
2021-02-11,134
2021-02-12,134
2021-02-13,134
2021-02-14,134
2021-02-15,134
2021-02-16,135
2021-02-17,135
2021-02-18,135
2021-02-19,135
2021-02-20,143
2021-02-21,143
2021-02-22,143
2021-02-23,143
2021-02-24,143
2021-02-25,143
2021-02-26,143
2021-02-27,143
2021-02-28,143
2021-03-01,143
2021-03-02,144
2021-03-03,144
2021-03-04,144
2021-03-05,144
2021-03-06,145
2021-03-07,145
2021-03-08,146
2021-03-09,146
2021-03-10,146
2021-03-11,146
2021-03-12,147
2021-03-13,150
2021-03-14,154
2021-03-15,156
2021-03-16,156
2021-03-17,157
2021-03-18,157
2021-03-19,157
2021-03-20,157
2021-03-21,157
2021-03-22,158
2021-03-23,158
2021-03-24,159
2021-03-25,159
2021-03-26,159
2021-03-27,159
2021-03-28,159
2021-03-29,159
2021-03-30,159
2021-03-31,159
2021-04-01,159
2021-04-02,159
2021-04-03,159
2021-04-04,159
2021-04-05,159
2021-04-06,160
2021-04-07,160
2021-04-08,160
2021-04-09,160
2021-04-10,160
2021-04-11,160
2021-04-12,160
2021-04-13,160
2021-04-14,161
2021-04-15,162
2021-04-16,162
2021-04-17,162
2021-04-18,162
2021-04-19,162
2021-04-20,162
2021-04-21,162
2021-04-22,164
2021-04-23,164
2021-04-24,164
2021-04-25,164
2021-04-26,164
2021-04-27,164
2021-04-28,164
2021-04-29,164
2021-04-30,168
2021-05-01,168
2021-05-02,168
2021-05-03,168
2021-05-04,168
2021-05-05,168
2021-05-06,168
2021-05-07,169
2021-05-08,169
2021-05-09,170
2021-05-10,170
2021-05-11,170
2021-05-12,170
2021-05-13,170
2021-05-14,172
2021-05-15,173
2021-05-16,173
2021-05-17,173
2021-05-18,174
2021-05-19,175
2021-05-20,176
2021-05-21,181
2021-05-22,181
2021-05-23,181
2021-05-24,181
2021-05-25,181
2021-05-26,181
2021-05-27,183
2021-05-28,183
2021-05-29,183
2021-05-30,183
2021-05-31,183
2021-06-01,183
2021-06-02,183
2021-06-03,183
2021-06-04,183
2021-06-05,183
2021-06-06,183
2021-06-07,183
2021-06-08,183
2021-06-09,183
2021-06-10,183
2021-06-11,183
2021-06-12,183
2021-06-13,183
2021-06-14,183
2021-06-15,183
2021-06-16,183
2021-06-17,183
2021-06-18,183
2021-06-19,183
2021-06-20,183
2021-06-21,183
2021-06-22,183
2021-06-23,183
2021-06-24,183
2021-06-25,183
2021-06-26,183
2021-06-27,183
2021-06-28,183
2021-06-29,183
2021-06-30,183
2021-07-01,183
2021-07-02,183
2021-07-03,183
2021-07-04,183
2021-07-05,184
2021-07-06,184
2021-07-07,184
2021-07-08,185
2021-07-09,185
2021-07-10,185
2021-07-11,185
2021-07-12,185
2021-07-13,187
2021-07-14,187
2021-07-15,187
2021-07-16,187
2021-07-17,187
2021-07-18,187
2021-07-19,188
2021-07-20,188
2021-07-21,188
2021-07-22,188
2021-07-23,188
2021-07-24,188
2021-07-25,190
2021-07-26,190
2021-07-27,190
2021-07-28,190
2021-07-29,190
2021-07-30,190
2021-07-31,190
2021-08-01,196
2021-08-02,198
2021-08-03,198
2021-08-04,198
2021-08-05,198
2021-08-06,206
2021-08-07,206
2021-08-08,206
2021-08-09,210
2021-08-10,210
2021-08-11,211
2021-08-12,211
2021-08-13,214
2021-08-14,214
2021-08-15,214
2021-08-16,219
