dates,cumulativecount_medicaltest_conditioncovid_19
2020-04-04,2
2020-04-07,3
2020-04-08,10
2020-04-14,11
2020-04-15,12
2020-04-16,13
2020-04-17,18
2020-04-18,21
2020-04-19,22
2020-04-20,24
2020-04-21,27
2020-04-22,30
2020-04-23,75
2020-04-24,140
2020-04-25,245
2020-04-26,251
2020-04-27,379
2020-04-28,438
2020-04-29,485
2020-04-30,709
2020-05-01,838
2020-05-02,940
2020-05-03,1183
2020-05-04,1392
2020-05-05,1709
2020-05-06,1857
2020-05-07,1891
2020-05-08,1913
2020-05-09,2335
2020-05-10,2650
2020-05-11,2973
2020-05-12,3074
2020-05-13,3295
2020-05-14,3540
2020-05-15,3828
2020-05-16,3853
2020-05-17,3866
2020-05-18,3884
2020-05-19,4266
2020-05-20,4466
2020-05-21,4767
2020-05-22,5069
2020-05-23,5392
2020-05-24,5503
2020-05-25,5512
2020-05-26,5736
2020-05-27,6037
2020-05-28,6380
2020-05-29,6666
2020-05-30,6899
2020-05-31,7093
2020-06-01,7394
2020-06-02,7735
2020-06-03,8020
2020-06-04,8090
2020-06-05,8101
2020-06-06,8235
2020-06-07,8533
2020-06-08,8832
2020-06-09,9101
2020-06-10,9141
2020-06-11,9416
2020-06-12,9527
2020-06-13,9780
2020-06-14,9790
2020-06-15,10001
2020-06-16,10079
2020-06-17,10111
2020-06-18,10308
2020-06-19,10354
2020-06-20,10440
2020-06-21,10446
2020-06-22,10462
2020-06-23,10549
2020-06-24,10564
2020-06-25,10596
2020-06-26,10619
2020-06-27,10630
2020-06-28,10645
2020-06-29,10666
2020-06-30,10718
2020-07-01,10925
2020-07-02,10974
2020-07-03,11018
2020-07-04,11064
2020-07-05,11080
2020-07-06,11103
2020-07-07,11258
2020-07-08,11419
2020-07-09,11506
2020-07-10,11637
2020-07-11,11661
2020-07-12,11671
2020-07-13,11756
2020-07-14,11862
2020-07-15,12174
2020-07-16,12211
2020-07-17,12346
2020-07-18,12358
2020-07-19,12368
2020-07-20,12661
2020-07-21,12739
2020-07-22,12794
2020-07-23,12899
2020-07-24,13066
2020-07-25,13118
2020-07-26,13130
2020-07-27,13370
2020-07-28,13469
2020-07-29,13680
2020-07-30,13763
2020-07-31,13920
2020-08-01,14092
2020-08-02,14102
2020-08-03,14453
2020-08-04,14597
2020-08-05,14615
2020-08-06,14786
2020-08-07,15017
2020-08-08,15063
2020-08-09,15082
2020-08-10,15377
2020-08-11,15501
2020-08-12,15776
2020-08-13,15810
2020-08-14,16055
2020-08-15,16067
2020-08-16,16077
2020-08-17,16105
2020-08-18,16690
2020-08-19,16728
2020-08-20,16772
2020-08-21,16816
