dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,149
2020-04-01,149
2020-04-02,149
2020-04-03,149
2020-04-04,149
2020-04-05,149
2020-04-06,149
2020-04-07,149
2020-04-08,149
2020-04-09,149
2020-04-10,149
2020-04-11,149
2020-04-12,149
2020-04-13,149
2020-04-14,149
2020-04-15,149
2020-04-16,149
2020-04-17,149
2020-04-18,149
2020-04-19,149
2020-04-20,149
2020-04-21,149
2020-04-22,149
2020-04-23,149
2020-04-24,149
2020-04-25,149
2020-04-26,149
2020-04-27,149
2020-04-28,149
2020-04-29,149
2020-04-30,149
2020-05-01,149
2020-05-02,149
2020-05-03,149
2020-05-04,149
2020-05-05,149
2020-05-06,149
2020-05-07,149
2020-05-08,149
2020-05-09,149
2020-05-10,149
2020-05-11,149
2020-05-12,149
2020-05-13,149
2020-05-14,149
2020-05-15,149
2020-05-16,149
2020-05-17,149
2020-05-18,149
2020-05-19,149
2020-05-20,149
2020-05-21,149
2020-05-22,153
2020-05-23,153
2020-05-24,154
2020-05-25,154
2020-05-26,157
2020-05-27,161
2020-05-28,164
2020-05-29,167
2020-05-30,168
2020-05-31,171
2020-06-01,171
2020-06-02,174
2020-06-03,179
2020-06-04,184
2020-06-05,187
2020-06-06,191
2020-06-07,197
2020-06-08,203
2020-06-09,207
2020-06-10,209
2020-06-11,219
2020-06-12,222
2020-06-13,229
2020-06-14,231
2020-06-15,235
2020-06-16,241
2020-06-17,241
2020-06-18,243
2020-06-19,245
2020-06-20,250
2020-06-21,256
2020-06-22,259
2020-06-23,260
2020-06-24,260
2020-06-25,264
2020-06-26,267
2020-06-27,268
2020-06-28,269
2020-06-29,274
2020-06-30,276
2020-07-01,277
2020-07-02,277
2020-07-03,277
2020-07-04,277
2020-07-05,277
2020-07-06,278
2020-07-07,281
2020-07-08,283
2020-07-09,287
2020-07-10,292
2020-07-11,292
2020-07-12,292
2020-07-13,295
2020-07-14,297
2020-07-15,297
2020-07-16,297
2020-07-17,298
2020-07-18,299
2020-07-19,301
2020-07-20,303
2020-07-21,303
2020-07-22,303
2020-07-23,303
2020-07-24,304
2020-07-25,304
2020-07-26,304
2020-07-27,304
2020-07-28,304
2020-07-29,304
2020-07-30,304
2020-07-31,305
2020-08-01,305
2020-08-02,305
2020-08-03,305
2020-08-04,305
2020-08-05,305
2020-08-06,305
2020-08-07,305
2020-08-08,305
2020-08-09,305
2020-08-10,305
2020-08-11,305
2020-08-12,305
2020-08-13,305
2020-08-14,305
2020-08-15,305
2020-08-16,305
2020-08-17,305
2020-08-18,305
2020-08-19,305
2020-08-20,306
2020-08-21,306
2020-08-22,306
2020-08-23,306
2020-08-24,306
2020-08-25,306
2020-08-26,306
2020-08-27,306
2020-08-28,306
2020-08-29,306
2020-08-30,306
2020-08-31,307
2020-09-01,307
2020-09-02,307
2020-09-03,307
2020-09-04,307
2020-09-05,307
2020-09-06,307
2020-09-07,307
2020-09-08,307
2020-09-09,307
2020-09-10,308
2020-09-11,308
2020-09-12,308
2020-09-13,308
2020-09-14,308
2020-09-15,308
2020-09-16,308
2020-09-17,308
2020-09-18,308
2020-09-19,308
2020-09-20,308
2020-09-21,308
2020-09-22,308
2020-09-23,308
2020-09-24,308
2020-09-25,308
2020-09-26,308
2020-09-27,308
2020-09-28,308
2020-09-29,308
2020-09-30,308
2020-10-01,308
2020-10-02,308
2020-10-03,308
2020-10-04,308
2020-10-05,308
2020-10-06,308
2020-10-07,308
2020-10-08,308
2020-10-09,308
2020-10-10,308
2020-10-11,308
2020-10-12,308
2020-10-13,308
2020-10-14,308
2020-10-15,308
2020-10-16,308
2020-10-17,308
2020-10-18,308
2020-10-19,308
2020-10-20,308
2020-10-21,308
2020-10-22,308
2020-10-23,308
2020-10-24,308
2020-10-25,308
2020-10-26,308
2020-10-27,308
2020-10-28,308
2020-10-29,308
2020-10-30,308
2020-10-31,308
2020-11-01,308
2020-11-02,308
2020-11-03,308
2020-11-04,308
2020-11-05,308
2020-11-06,308
2020-11-07,308
2020-11-08,308
2020-11-09,308
2020-11-10,310
2020-11-11,310
2020-11-12,310
2020-11-13,310
2020-11-14,310
2020-11-15,310
2020-11-16,310
2020-11-17,313
2020-11-18,313
2020-11-19,313
2020-11-20,313
2020-11-21,314
2020-11-22,314
2020-11-23,314
2020-11-24,314
2020-11-25,314
2020-11-26,314
2020-11-27,314
2020-11-28,315
2020-11-29,315
2020-11-30,315
2020-12-01,317
2020-12-02,317
2020-12-03,317
2020-12-04,317
2020-12-05,317
2020-12-06,317
2020-12-07,321
2020-12-08,327
2020-12-09,327
2020-12-10,327
2020-12-11,327
2020-12-12,327
2020-12-13,334
2020-12-14,337
2020-12-15,337
2020-12-16,337
2020-12-17,337
2020-12-18,337
2020-12-19,337
2020-12-20,337
2020-12-21,337
2020-12-22,337
2020-12-23,337
2020-12-24,337
2020-12-25,337
2020-12-26,337
2020-12-27,337
2020-12-28,340
2020-12-29,340
2020-12-30,340
2020-12-31,340
2021-01-01,348
2021-01-02,350
2021-01-03,354
2021-01-04,359
2021-01-05,361
2021-01-06,368
2021-01-07,374
2021-01-08,379
2021-01-09,383
2021-01-10,384
2021-01-11,385
2021-01-12,388
2021-01-13,393
2021-01-14,396
2021-01-15,397
2021-01-16,401
2021-01-17,402
2021-01-18,403
2021-01-19,408
2021-01-20,408
2021-01-21,408
2021-01-22,411
2021-01-23,417
2021-01-24,417
2021-01-25,417
2021-01-26,418
2021-01-27,419
2021-01-28,419
2021-01-29,419
2021-01-30,419
2021-01-31,420
2021-02-01,421
2021-02-02,421
2021-02-03,423
2021-02-04,424
2021-02-05,425
2021-02-06,425
2021-02-07,425
2021-02-08,426
2021-02-09,427
2021-02-10,427
2021-02-11,427
2021-02-12,427
2021-02-13,427
2021-02-14,428
2021-02-15,430
2021-02-16,430
2021-02-17,431
2021-02-18,432
2021-02-19,433
2021-02-20,433
2021-02-21,434
2021-02-22,434
2021-02-23,435
2021-02-24,437
2021-02-25,439
2021-02-26,439
2021-02-27,439
2021-02-28,440
2021-03-01,441
2021-03-02,441
2021-03-03,441
2021-03-04,442
2021-03-05,442
2021-03-06,442
2021-03-07,442
2021-03-08,442
2021-03-09,442
2021-03-10,442
2021-03-11,442
2021-03-12,442
2021-03-13,442
2021-03-14,443
2021-03-15,444
2021-03-16,444
2021-03-17,444
2021-03-18,445
2021-03-19,445
2021-03-20,446
2021-03-21,446
2021-03-22,446
2021-03-23,447
2021-03-24,447
2021-03-25,447
2021-03-26,447
2021-03-27,448
2021-03-28,448
2021-03-29,448
2021-03-30,449
2021-03-31,449
2021-04-01,449
2021-04-02,449
2021-04-03,449
2021-04-04,449
2021-04-05,449
2021-04-06,449
2021-04-07,450
2021-04-08,450
2021-04-09,450
2021-04-10,450
2021-04-11,450
2021-04-12,450
2021-04-13,450
2021-04-14,451
2021-04-15,452
2021-04-16,452
2021-04-17,452
2021-04-18,452
2021-04-19,453
2021-04-20,454
2021-04-21,454
2021-04-22,454
2021-04-23,454
2021-04-24,454
2021-04-25,454
2021-04-26,454
2021-04-27,455
2021-04-28,455
2021-04-29,455
2021-04-30,455
2021-05-01,455
2021-05-02,455
2021-05-03,455
2021-05-04,455
2021-05-05,455
2021-05-06,456
2021-05-07,456
2021-05-08,456
2021-05-09,456
2021-05-10,456
2021-05-11,456
2021-05-12,457
2021-05-13,457
2021-05-14,457
2021-05-15,457
2021-05-16,457
2021-05-17,457
2021-05-18,457
2021-05-19,457
2021-05-20,457
2021-05-21,457
2021-05-22,458
2021-05-23,458
2021-05-24,458
2021-05-25,460
2021-05-26,460
2021-05-27,461
2021-05-28,462
2021-05-29,462
2021-05-30,463
2021-05-31,463
2021-06-01,463
2021-06-02,463
2021-06-03,464
2021-06-04,466
2021-06-05,466
2021-06-06,466
2021-06-07,468
2021-06-08,470
2021-06-09,470
2021-06-10,470
2021-06-11,472
2021-06-12,473
2021-06-13,475
2021-06-14,475
2021-06-15,476
2021-06-16,477
2021-06-17,479
2021-06-18,480
2021-06-19,480
2021-06-20,480
2021-06-21,481
2021-06-22,481
2021-06-23,482
2021-06-24,482
2021-06-25,483
2021-06-26,486
2021-06-27,486
2021-06-28,486
2021-06-29,487
2021-06-30,487
2021-07-01,489
2021-07-02,489
2021-07-03,489
2021-07-04,489
2021-07-05,489
2021-07-06,489
2021-07-07,489
2021-07-08,490
2021-07-09,490
2021-07-10,493
2021-07-11,494
2021-07-12,495
2021-07-13,495
2021-07-14,496
2021-07-15,499
2021-07-16,503
2021-07-17,508
2021-07-18,508
2021-07-19,509
2021-07-20,511
2021-07-21,512
2021-07-22,516
2021-07-23,517
2021-07-24,520
2021-07-25,528
2021-07-26,535
2021-07-27,538
2021-07-28,542
2021-07-29,547
2021-07-30,553
2021-07-31,558
2021-08-01,562
2021-08-02,567
2021-08-03,571
2021-08-04,576
2021-08-05,581
2021-08-06,583
2021-08-07,592
2021-08-08,599
2021-08-09,605
2021-08-10,609
2021-08-11,616
2021-08-12,620
2021-08-13,627
2021-08-14,634
2021-08-15,636
2021-08-16,640
