dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,3
2020-04-04,3
2020-04-05,3
2020-04-06,4
2020-04-07,4
2020-04-08,8
2020-04-09,8
2020-04-10,8
2020-04-11,9
2020-04-12,12
2020-04-13,13
2020-04-14,16
2020-04-15,16
2020-04-16,16
2020-04-17,16
2020-04-18,17
2020-04-19,17
2020-04-20,17
2020-04-21,17
2020-04-22,18
2020-04-23,23
2020-04-24,33
2020-04-25,33
2020-04-26,33
2020-04-27,34
2020-04-28,36
2020-04-29,36
2020-04-30,36
2020-05-01,37
2020-05-02,37
2020-05-03,38
2020-05-04,39
2020-05-05,41
2020-05-06,41
2020-05-07,43
2020-05-08,43
2020-05-09,43
2020-05-10,56
2020-05-11,56
2020-05-12,57
2020-05-13,58
2020-05-14,63
2020-05-15,63
2020-05-16,65
2020-05-17,70
2020-05-18,70
2020-05-19,70
2020-05-20,72
2020-05-21,72
2020-05-22,72
2020-05-23,82
2020-05-24,83
2020-05-25,83
2020-05-26,101
2020-05-27,101
2020-05-28,101
2020-05-29,203
2020-05-30,279
2020-05-31,279
2020-06-01,284
2020-06-02,336
2020-06-03,358
2020-06-04,369
2020-06-05,393
2020-06-06,409
2020-06-07,409
2020-06-08,438
2020-06-09,443
2020-06-10,455
2020-06-11,455
2020-06-12,481
2020-06-13,481
2020-06-14,529
2020-06-15,547
2020-06-16,556
2020-06-17,564
2020-06-18,572
2020-06-19,592
2020-06-20,620
2020-06-21,730
2020-06-22,749
2020-06-23,803
2020-06-24,848
2020-06-25,941
2020-06-26,960
2020-06-27,1005
2020-06-28,1038
2020-06-29,1152
2020-06-30,1224
2020-07-01,1265
2020-07-02,1342
2020-07-03,1402
2020-07-04,1498
2020-07-05,1613
2020-07-06,1742
2020-07-07,1818
2020-07-08,1877
2020-07-09,1942
2020-07-10,2069
2020-07-11,2069
2020-07-12,2261
2020-07-13,2364
2020-07-14,2430
2020-07-15,2497
2020-07-16,2614
2020-07-17,2716
2020-07-18,2810
2020-07-19,2907
2020-07-20,2992
2020-07-21,3045
2020-07-22,3149
2020-07-23,3302
2020-07-24,3386
2020-07-25,3454
2020-07-26,3557
2020-07-27,3664
2020-07-28,3709
2020-07-29,3738
2020-07-30,3858
2020-07-31,3981
2020-08-01,4078
2020-08-02,4186
2020-08-03,4231
2020-08-04,4273
2020-08-05,4361
2020-08-06,4426
2020-08-07,4491
2020-08-08,4575
2020-08-09,4624
2020-08-10,4658
2020-08-11,4674
2020-08-12,4714
2020-08-13,4752
2020-08-14,4912
2020-08-15,4988
2020-08-16,5026
2020-08-17,5072
2020-08-18,5125
2020-08-19,5193
2020-08-20,5240
2020-08-21,5282
2020-08-22,5322
2020-08-23,5382
2020-08-24,5414
2020-08-25,5419
2020-08-26,5423
2020-08-27,5474
2020-08-28,5496
2020-08-29,5523
2020-08-30,5528
2020-08-31,5536
2020-09-01,5566
2020-09-02,5576
2020-09-03,5579
2020-09-04,5593
2020-09-05,5608
2020-09-06,5611
2020-09-07,5614
2020-09-08,5621
2020-09-09,5630
2020-09-10,5653
2020-09-11,5655
2020-09-12,5669
2020-09-13,5676
2020-09-14,5690
2020-09-15,5697
2020-09-16,5701
2020-09-17,5704
2020-09-18,5711
2020-09-19,5716
2020-09-20,5718
2020-09-21,5731
2020-09-22,5733
2020-09-23,5739
2020-09-24,5746
2020-09-25,5747
2020-09-26,5764
2020-09-27,5766
2020-09-28,5768
2020-09-29,5770
2020-09-30,5772
2020-10-01,5773
2020-10-02,5779
2020-10-03,5783
2020-10-04,5783
2020-10-05,5786
2020-10-06,5794
2020-10-07,5796
2020-10-08,5803
2020-10-09,5809
2020-10-10,5813
2020-10-11,5821
2020-10-12,5821
2020-10-13,5824
2020-10-14,5827
2020-10-15,5829
2020-10-16,5836
2020-10-17,5842
2020-10-18,5852
2020-10-19,5857
2020-10-20,5860
2020-10-21,5861
2020-10-22,5864
2020-10-23,5874
2020-10-24,5885
2020-10-25,5887
2020-10-26,5890
2020-10-27,5894
2020-10-28,5897
2020-10-29,5904
2020-10-30,5916
2020-10-31,5923
2020-11-01,5930
2020-11-02,5932
2020-11-03,5933
2020-11-04,5934
2020-11-05,5934
2020-11-06,5940
2020-11-07,5942
2020-11-08,5948
2020-11-09,5951
2020-11-10,5953
2020-11-11,5953
2020-11-12,5955
2020-11-13,5958
2020-11-14,5962
2020-11-15,5964
2020-11-16,5965
2020-11-17,5971
2020-11-18,5994
2020-11-19,5998
2020-11-20,6002
2020-11-21,6003
2020-11-22,6003
2020-11-23,6003
2020-11-24,6009
2020-11-25,6017
2020-11-26,6018
2020-11-27,6020
2020-11-28,6024
2020-11-29,6025
2020-11-30,6025
2020-12-01,6028
2020-12-02,6028
2020-12-03,6040
2020-12-04,6043
2020-12-05,6047
2020-12-06,6049
2020-12-07,6051
2020-12-08,6051
2020-12-09,6051
2020-12-10,6051
2020-12-11,6053
2020-12-12,6055
2020-12-13,6063
2020-12-14,6066
2020-12-15,6070
2020-12-16,6080
2020-12-17,6091
2020-12-18,6138
2020-12-19,6148
2020-12-20,6153
2020-12-21,6161
2020-12-22,6202
2020-12-23,6248
2020-12-24,6261
2020-12-25,6277
2020-12-26,6339
2020-12-27,6343
2020-12-28,6359
2020-12-29,6378
2020-12-30,6389
2020-12-31,6471
2021-01-01,6583
2021-01-02,6683
2021-01-03,6710
2021-01-04,6843
2021-01-05,6933
2021-01-06,7108
2021-01-07,7335
2021-01-08,7609
2021-01-09,7923
2021-01-10,8304
2021-01-11,8573
2021-01-12,9025
2021-01-13,9398
2021-01-14,9989
2021-01-15,10492
2021-01-16,11221
2021-01-17,11783
2021-01-18,12468
2021-01-19,13025
2021-01-20,13878
2021-01-21,14849
2021-01-22,16047
2021-01-23,17363
2021-01-24,18439
2021-01-25,19395
2021-01-26,19987
2021-01-27,20830
2021-01-28,21660
2021-01-29,22304
2021-01-30,23020
2021-01-31,23497
2021-02-01,23963
2021-02-02,24365
2021-02-03,24903
2021-02-04,25449
2021-02-05,25884
2021-02-06,26360
2021-02-07,26875
2021-02-08,27195
2021-02-09,27422
2021-02-10,27722
2021-02-11,28050
2021-02-12,28270
2021-02-13,28630
2021-02-14,28876
2021-02-15,29035
2021-02-16,29181
2021-02-17,29421
2021-02-18,29634
2021-02-19,29837
2021-02-20,30277
2021-02-21,30528
2021-02-22,30742
2021-02-23,30942
2021-02-24,31106
2021-02-25,31295
2021-02-26,31502
2021-02-27,31675
2021-02-28,31798
2021-03-01,31945
2021-03-02,32008
2021-03-03,32148
2021-03-04,32229
2021-03-05,32283
2021-03-06,32357
2021-03-07,32398
2021-03-08,32442
2021-03-09,32469
2021-03-10,32528
2021-03-11,32614
2021-03-12,32673
2021-03-13,32746
2021-03-14,32789
2021-03-15,32831
2021-03-16,32864
2021-03-17,32894
2021-03-18,32970
2021-03-19,33045
2021-03-20,33174
2021-03-21,33216
2021-03-22,33237
2021-03-23,33270
2021-03-24,33323
2021-03-25,33354
2021-03-26,33387
2021-03-27,33415
2021-03-28,33458
2021-03-29,33481
2021-03-30,33505
2021-03-31,33525
2021-04-01,33551
2021-04-02,33584
2021-04-03,33639
2021-04-04,33647
2021-04-05,33661
2021-04-06,33673
2021-04-07,33685
2021-04-08,33718
2021-04-09,33738
2021-04-10,33779
2021-04-11,33805
2021-04-12,33827
2021-04-13,33859
2021-04-14,33872
2021-04-15,33891
2021-04-16,33902
2021-04-17,33919
2021-04-18,33934
2021-04-19,33941
2021-04-20,33959
2021-04-21,33968
2021-04-22,33975
2021-04-23,33989
2021-04-24,33997
2021-04-25,34011
2021-04-26,34016
2021-04-27,34021
2021-04-28,34031
2021-04-29,34052
2021-04-30,34062
2021-05-01,34078
2021-05-02,34095
2021-05-03,34096
2021-05-04,34099
2021-05-05,34123
2021-05-06,34143
2021-05-07,34151
2021-05-08,34158
2021-05-09,34166
2021-05-10,34171
2021-05-11,34180
2021-05-12,34183
2021-05-13,34186
2021-05-14,34200
2021-05-15,34206
2021-05-16,34210
2021-05-17,34214
2021-05-18,34216
2021-05-19,34231
2021-05-20,34238
2021-05-21,34251
2021-05-22,34261
2021-05-23,34274
2021-05-24,34284
2021-05-25,34293
2021-05-26,34295
2021-05-27,34304
2021-05-28,34309
2021-05-29,34323
2021-05-30,34329
2021-05-31,34335
2021-06-01,34338
2021-06-02,34346
2021-06-03,34360
2021-06-04,34365
2021-06-05,34371
2021-06-06,34384
2021-06-07,34390
2021-06-08,34403
2021-06-09,34410
2021-06-10,34432
2021-06-11,34447
2021-06-12,34470
2021-06-13,34485
2021-06-14,34506
2021-06-15,34564
2021-06-16,34588
2021-06-17,34650
2021-06-18,34702
2021-06-19,34781
2021-06-20,34832
2021-06-21,34868
2021-06-22,34914
2021-06-23,34996
2021-06-24,35115
2021-06-25,35219
2021-06-26,35388
2021-06-27,35554
2021-06-28,35629
2021-06-29,35709
2021-06-30,35897
2021-07-01,36126
2021-07-02,36359
2021-07-03,36573
2021-07-04,36820
2021-07-05,36926
2021-07-06,37057
