dates,incrementalcount_vaccine_covid_19_administered
2021-03-18,3674
2021-03-19,6235
2021-03-22,1039
2021-03-23,13215
2021-03-24,15833
2021-03-27,19419
2021-03-28,2066
2021-03-31,11192
2021-04-01,10690
2021-04-02,9822
2021-04-05,871
2021-04-06,4288
2021-04-10,10631
2021-04-11,5095
2021-04-12,3262
2021-04-13,16605
2021-04-14,11524
2021-04-19,353
2021-04-20,2507
2021-04-21,3317
2021-04-22,3362
2021-04-27,3607
2021-04-28,4775
2021-04-29,4520
2021-04-30,5783
2021-05-09,1185
2021-05-10,977
2021-05-18,869
2021-05-19,1594
2021-05-20,2655
2021-05-21,2217
2021-05-22,2696
2021-05-23,253
2021-05-26,1832
2021-05-29,2170
2021-05-30,316
2021-05-31,25
2021-06-01,1016
2021-06-02,881
2021-06-03,635
2021-06-07,176
2021-06-10,2318
2021-06-11,4594
2021-06-12,3346
2021-06-15,6106
2021-06-16,5950
2021-06-17,12854
2021-06-18,7794
2021-06-19,6724
2021-06-22,2543
2021-06-23,1305
2021-06-24,1084
2021-06-25,290
2021-06-26,591
2021-06-27,70
2021-06-28,16
2021-07-28,55787
2021-07-31,11306
2021-08-01,2470
2021-08-02,1202
2021-08-03,2327
2021-08-04,546
2021-08-05,23810
2021-08-15,3551
2021-08-16,591
2021-08-17,20799
2021-08-18,18142
2021-08-19,20096
2021-08-20,17940
2021-08-23,270
2021-08-24,12851
2021-08-25,11087
2021-08-30,187
2021-08-31,5294
2021-09-01,9630
2021-09-04,11237
2021-09-05,909
2021-09-06,945
2021-09-07,5485
2021-09-11,4315
2021-09-12,3203
2021-09-13,5706
2021-09-14,9266
2021-09-17,6530
2021-09-18,5852
2021-09-19,2444
2021-09-20,1527
2021-09-21,8083
2021-09-22,9662
2021-09-23,7986
2021-09-24,9289
2021-09-25,8367
2021-09-26,2037
2021-09-27,964
2021-10-02,3289
2021-10-03,1877
2021-10-04,804
2021-10-05,7285
2021-10-06,8135
2021-10-07,8221
2021-10-08,6762
2021-10-09,11168
2021-10-10,4621
2021-10-11,2143
2021-10-12,5280
2021-10-15,7299
2021-10-16,3135
2021-10-17,2649
2021-10-20,6987
2021-10-23,5524
2021-10-24,5056
2021-10-25,4907
2021-10-26,9201
2021-10-27,8249
2021-10-28,6783
2021-10-29,10190
2021-10-30,7181
2021-10-31,3009
2021-11-01,1416
2021-11-04,4380
2021-11-05,4355
2021-11-06,2943
2021-11-07,45
2021-11-08,6168
2021-11-09,6300
2021-11-10,5829
2021-11-11,7700
2021-11-14,3107
2021-11-17,5857
2021-11-20,7883
2021-11-23,20442
2021-11-24,9056
2021-11-25,9763
2021-11-26,6267
2021-11-29,419
2021-11-30,6609
2021-12-01,17389
2021-12-02,19151
2021-12-05,6006
2021-12-06,3612
2021-12-07,10817
2021-12-08,9761
2021-12-09,10427
2021-12-10,16152
2021-12-11,11011
2021-12-12,14610
2021-12-13,6746
2021-12-14,15581
2021-12-15,11813
2021-12-16,13022
2021-12-17,28248
2021-12-18,10776
2021-12-19,14045
2021-12-20,5375
2021-12-21,15425
2021-12-22,9996
2021-12-23,29099
2021-12-24,17415
2021-12-25,8468
2021-12-26,5692
2021-12-27,871
2021-12-28,18715
2021-12-29,13228
2022-01-01,7958
2022-01-02,105
2022-01-03,110
2022-01-04,4388
2022-01-05,2823
2022-01-06,14836
2022-01-07,3469
2022-01-08,3629
2022-01-09,2420
2022-01-14,1125
2022-01-15,1865
2022-01-16,1379
2022-01-21,2193
2022-01-22,2648
2022-01-23,284
2022-01-24,242
2022-01-25,441
2022-01-26,1098
2022-01-27,1653
2022-01-28,1667
2022-01-29,2593
2022-02-01,815
2022-02-02,1984
2022-02-03,1710
2022-02-04,785
2022-02-05,941
2022-02-08,1056
2022-02-09,1783
2022-02-12,1676
2022-02-15,11303
2022-02-18,567
2022-02-19,562
2022-02-20,402
2022-02-21,7
2022-02-26,108
2022-02-27,14163
