dates,incrementalcount_medicaltest_conditioncovid_19
2020-01-24,2
2020-01-25,5
2020-01-26,14
2020-01-27,24
2020-01-28,53
2020-01-29,71
2020-01-30,42
2020-01-31,47
2020-02-01,28
2020-02-02,66
2020-02-03,41
2020-02-04,51
2020-02-05,50
2020-02-06,224
2020-02-07,187
2020-02-08,76
2020-02-09,108
2020-02-10,80
2020-02-11,211
2020-02-12,220
2020-02-13,170
2020-02-14,116
2020-02-15,153
2020-02-16,124
2020-02-17,85
2020-02-18,262
2020-02-19,99
2020-02-20,96
2020-02-21,72
2020-02-22,33
2020-02-23,119
2020-02-24,54
2020-02-25,117
2020-02-26,193
2020-02-27,139
2020-02-28,236
2020-02-29,211
2020-03-01,198
2020-03-02,236
2020-03-03,540
2020-03-04,615
2020-03-05,782
2020-03-06,617
2020-03-07,916
2020-03-08,456
2020-03-09,595
2020-03-10,958
2020-03-11,852
2020-03-12,1327
2020-03-13,2107
2020-03-14,2498
2020-03-15,1942
2020-03-16,2468
2020-03-17,2927
2020-03-18,3411
2020-03-19,3304
2020-03-20,3635
2020-03-21,3955
2020-03-22,3398
2020-03-23,3824
2020-03-24,3381
2020-03-25,3899
2020-03-26,3875
2020-03-27,6540
2020-03-28,5302
2020-03-29,4736
2020-03-30,5444
2020-03-31,7049
2020-04-01,7044
2020-04-02,6556
2020-04-03,8218
2020-04-04,8941
2020-04-05,8401
2020-04-06,5685
2020-04-07,9597
2020-04-08,8711
2020-04-09,8025
2020-04-10,10153
2020-04-11,9435
2020-04-12,7209
2020-04-13,5874
2020-04-14,7748
2020-04-15,9797
2020-04-16,9395
2020-04-17,9300
2020-04-18,9648
2020-04-19,9111
2020-04-20,9300
2020-04-21,10003
2020-04-22,12184
2020-04-23,12733
2020-04-24,15587
2020-04-25,13959
2020-04-26,9442
2020-04-27,12329
2020-04-28,12571
2020-04-29,14472
2020-04-30,12042
2020-05-01,14009
2020-05-02,11153
2020-05-03,12537
2020-05-04,9831
2020-05-05,10935
2020-05-06,12895
2020-05-07,13734
2020-05-08,11723
2020-05-09,10417
2020-05-10,10142
2020-05-11,9807
2020-05-12,10503
2020-05-13,10430
2020-05-14,12023
2020-05-15,11600
2020-05-16,11408
2020-05-17,8945
2020-05-18,11747
2020-05-19,10991
2020-05-20,12499
2020-05-21,11419
2020-05-22,11292
2020-05-23,10095
2020-05-24,7588
2020-05-25,7742
2020-05-26,7315
2020-05-27,8221
2020-05-28,10873
2020-05-29,13094
2020-05-30,9315
2020-05-31,8631
2020-06-01,8143
2020-06-02,12178
2020-06-03,12165
2020-06-04,11430
2020-06-05,13486
2020-06-06,10766
2020-06-07,7479
2020-06-08,6711
2020-06-09,6754
2020-06-10,7413
2020-06-11,11580
2020-06-12,7121
2020-06-13,6737
2020-06-14,5829
2020-06-15,4082
2020-06-16,6398
2020-06-17,6350
2020-06-18,5967
2020-06-19,6321
2020-06-20,5662
2020-06-21,5249
2020-06-22,6291
2020-06-23,6954
2020-06-24,7451
2020-06-25,7343
2020-06-26,7342
2020-06-27,5907
2020-06-28,4343
2020-06-29,5443
2020-06-30,8004
2020-07-01,7063
2020-07-02,7910
2020-07-03,6947
2020-07-04,6459
2020-07-05,4647
2020-07-06,5717
2020-07-07,6089
2020-07-08,6769
2020-07-09,6060
2020-07-10,5762
2020-07-11,4674
2020-07-12,4133
2020-07-13,4890
2020-07-14,6055
2020-07-15,6860
2020-07-16,5709
2020-07-17,3941
2020-07-18,3262
2020-07-19,4054
2020-07-20,3354
2020-07-21,4280
2020-07-22,4613
2020-07-23,4827
2020-07-24,4884
2020-07-25,3248
2020-07-26,4831
2020-07-27,6258
2020-07-28,4599
2020-07-29,6907
2020-07-30,6972
2020-07-31,4508
2020-08-01,4471
2020-08-02,3945
2020-08-03,7647
2020-08-04,6567
2020-08-05,8038
2020-08-06,8010
2020-08-07,7822
2020-08-08,6431
2020-08-09,6400
2020-08-10,6712
2020-08-11,7564
2020-08-12,9190
2020-08-13,8679
2020-08-14,6641
2020-08-15,5284
2020-08-16,4535
2020-08-17,6106
2020-08-18,7776
2020-08-19,8186
2020-08-20,5368
2020-08-21,5980
2020-08-22,5075
2020-08-23,5577
2020-08-24,6860
2020-08-25,8432
2020-08-26,7478
2020-08-27,7887
2020-08-28,7283
2020-08-29,8836
2020-08-30,9506
2020-08-31,9021
2020-09-01,8361
2020-09-02,8779
2020-09-03,7429
2020-09-04,6214
2020-09-05,5920
2020-09-06,5755
2020-09-07,6132
2020-09-08,8909
2020-09-09,8270
2020-09-10,11032
2020-09-11,9670
2020-09-12,7660
2020-09-13,9375
2020-09-14,11625
2020-09-15,11335
2020-09-16,7417
2020-09-17,8830
2020-09-18,9236
2020-09-19,9104
2020-09-20,8344
2020-09-21,10198
2020-09-22,12222
2020-09-23,10355
2020-09-24,9605
2020-09-25,11398
2020-09-26,8587
2020-09-27,7503
2020-09-28,12975
2020-09-29,15977
2020-09-30,14279
