dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,2
2020-04-03,2
2020-04-04,2
2020-04-05,2
2020-04-06,2
2020-04-07,2
2020-04-08,2
2020-04-09,2
2020-04-10,2
2020-04-11,2
2020-04-12,2
2020-04-13,3
2020-04-14,3
2020-04-15,3
2020-04-16,3
2020-04-17,3
2020-04-18,4
2020-04-19,4
2020-04-20,4
2020-04-21,4
2020-04-22,4
2020-04-23,4
2020-04-24,4
2020-04-25,4
2020-04-26,4
2020-04-27,4
2020-04-28,4
2020-04-29,4
2020-04-30,4
2020-05-01,4
2020-05-02,4
2020-05-03,6
2020-05-04,6
2020-05-05,6
2020-05-06,9
2020-05-07,9
2020-05-08,10
2020-05-09,11
2020-05-10,11
2020-05-11,11
2020-05-12,12
2020-05-13,12
2020-05-14,14
2020-05-15,16
2020-05-16,16
2020-05-17,16
2020-05-18,18
2020-05-19,18
2020-05-20,19
2020-05-21,19
2020-05-22,19
2020-05-23,19
2020-05-24,19
2020-05-25,20
2020-05-26,20
2020-05-27,20
2020-05-28,20
2020-05-29,21
2020-05-30,21
2020-05-31,21
2020-06-01,23
2020-06-02,24
2020-06-03,24
2020-06-04,24
2020-06-05,25
2020-06-06,25
2020-06-07,25
2020-06-08,25
2020-06-09,26
2020-06-10,28
2020-06-11,28
2020-06-12,28
2020-06-13,28
2020-06-14,29
2020-06-15,29
2020-06-16,28
2020-06-17,29
2020-06-18,29
2020-06-19,29
2020-06-20,29
2020-06-21,31
2020-06-22,31
2020-06-23,32
2020-06-24,32
2020-06-25,34
2020-06-26,34
2020-06-27,34
2020-06-28,35
2020-06-29,35
2020-06-30,35
2020-07-01,35
2020-07-02,35
2020-07-03,35
2020-07-04,36
2020-07-05,36
2020-07-06,36
2020-07-07,36
2020-07-08,36
2020-07-09,36
2020-07-10,37
2020-07-11,37
2020-07-12,37
2020-07-13,37
2020-07-14,37
2020-07-15,37
2020-07-16,37
2020-07-17,37
2020-07-18,37
2020-07-19,37
2020-07-20,37
2020-07-21,38
2020-07-22,38
2020-07-23,38
2020-07-24,38
2020-07-25,38
2020-07-26,38
2020-07-27,38
2020-07-28,38
2020-07-29,39
2020-07-30,39
2020-07-31,39
2020-08-01,39
2020-08-02,39
2020-08-03,39
2020-08-04,39
2020-08-05,39
2020-08-06,39
2020-08-07,39
2020-08-08,39
2020-08-09,39
2020-08-10,39
2020-08-11,39
2020-08-12,39
2020-08-13,39
2020-08-14,39
2020-08-15,39
2020-08-16,39
2020-08-17,39
2020-08-18,39
2020-08-19,39
2020-08-20,39
2020-08-21,39
2020-08-22,39
2020-08-23,39
2020-08-24,39
2020-08-25,39
2020-08-26,39
2020-08-27,39
2020-08-28,40
2020-08-29,40
2020-08-30,40
2020-08-31,40
2020-09-01,40
2020-09-02,40
2020-09-03,40
2020-09-04,40
2020-09-05,40
2020-09-06,40
2020-09-07,40
2020-09-08,40
2020-09-09,40
2020-09-10,40
2020-09-11,40
2020-09-12,40
2020-09-13,40
2020-09-14,40
2020-09-15,40
2020-09-16,40
2020-09-17,40
2020-09-18,40
2020-09-19,40
2020-09-20,40
2020-09-21,40
2020-09-22,40
2020-09-23,40
2020-09-24,40
2020-09-25,40
2020-09-26,40
2020-09-27,40
2020-09-28,40
2020-09-29,40
2020-09-30,42
2020-10-01,42
2020-10-02,42
2020-10-03,42
2020-10-04,42
2020-10-05,42
2020-10-06,42
2020-10-07,42
2020-10-08,42
2020-10-09,42
2020-10-10,43
2020-10-11,43
2020-10-12,43
2020-10-13,43
2020-10-14,43
2020-10-15,43
2020-10-16,43
2020-10-17,43
2020-10-18,43
2020-10-19,43
2020-10-20,43
2020-10-21,44
2020-10-22,44
2020-10-23,44
2020-10-24,44
2020-10-25,44
2020-10-26,44
2020-10-27,44
2020-10-28,44
2020-10-29,44
2020-10-30,44
2020-10-31,44
2020-11-01,44
2020-11-02,44
2020-11-03,45
2020-11-04,45
2020-11-05,45
2020-11-06,45
2020-11-07,45
2020-11-08,45
2020-11-09,45
2020-11-10,46
2020-11-11,46
2020-11-12,46
2020-11-13,46
2020-11-14,46
2020-11-15,46
2020-11-16,46
2020-11-17,46
2020-11-18,46
2020-11-19,48
2020-11-20,48
2020-11-21,48
2020-11-22,48
2020-11-23,48
2020-11-24,49
2020-11-25,49
2020-11-26,49
2020-11-27,49
2020-11-28,49
2020-11-29,49
2020-11-30,49
2020-12-01,49
2020-12-02,49
2020-12-03,49
2020-12-04,49
2020-12-05,49
2020-12-06,49
2020-12-07,49
2020-12-08,49
2020-12-09,49
2020-12-10,51
2020-12-11,51
2020-12-12,52
2020-12-13,52
2020-12-14,52
2020-12-15,53
2020-12-16,53
2020-12-17,53
2020-12-18,53
2020-12-19,53
2020-12-20,53
2020-12-21,53
2020-12-22,53
2020-12-23,54
2020-12-24,54
2020-12-25,54
2020-12-26,54
2020-12-27,54
2020-12-28,54
2020-12-29,55
2020-12-30,55
2020-12-31,55
2021-01-01,55
2021-01-02,55
2021-01-03,55
2021-01-04,55
2021-01-05,56
2021-01-06,56
2021-01-07,56
2021-01-08,56
2021-01-09,56
2021-01-10,56
2021-01-11,56
2021-01-12,56
2021-01-13,56
2021-01-14,56
2021-01-15,58
2021-01-16,58
2021-01-17,58
2021-01-18,58
2021-01-19,58
2021-01-20,58
2021-01-21,58
2021-01-22,58
2021-01-23,58
2021-01-24,59
2021-01-25,59
2021-01-26,59
2021-01-27,59
2021-01-28,60
2021-01-29,61
2021-01-30,61
2021-01-31,61
2021-02-01,61
2021-02-02,61
2021-02-03,61
2021-02-04,62
2021-02-05,63
2021-02-06,64
2021-02-07,64
2021-02-08,64
2021-02-09,65
2021-02-10,68
2021-02-11,69
2021-02-12,72
2021-02-13,72
2021-02-14,78
2021-02-15,78
2021-02-16,81
2021-02-17,85
2021-02-18,85
2021-02-19,89
2021-02-20,92
2021-02-21,92
2021-02-22,92
2021-02-23,95
2021-02-24,98
2021-02-25,98
2021-02-26,102
2021-02-27,102
2021-02-28,102
2021-03-01,110
2021-03-02,110
2021-03-03,110
2021-03-04,110
2021-03-05,125
2021-03-06,125
2021-03-07,125
2021-03-08,128
2021-03-09,129
2021-03-10,129
2021-03-11,129
2021-03-12,129
2021-03-13,129
2021-03-14,129
2021-03-15,137
2021-03-16,137
2021-03-17,137
2021-03-18,142
2021-03-19,142
2021-03-20,151
2021-03-21,151
2021-03-22,151
2021-03-23,151
2021-03-24,154
2021-03-25,154
2021-03-26,154
2021-03-27,154
2021-03-28,154
2021-03-29,154
2021-03-30,154
2021-03-31,161
2021-04-01,161
2021-04-02,161
2021-04-03,162
2021-04-04,162
2021-04-05,162
2021-04-06,162
2021-04-07,167
2021-04-08,167
2021-04-09,167
2021-04-10,167
2021-04-11,167
2021-04-12,167
2021-04-13,167
2021-04-14,167
2021-04-15,168
2021-04-16,168
2021-04-17,168
2021-04-18,168
2021-04-19,168
2021-04-20,169
2021-04-21,169
2021-04-22,169
2021-04-23,169
2021-04-24,169
2021-04-25,169
2021-04-26,169
2021-04-27,169
2021-04-28,170
2021-04-29,170
2021-04-30,170
2021-05-01,170
2021-05-02,170
2021-05-03,170
2021-05-04,170
2021-05-05,170
2021-05-06,170
2021-05-07,170
2021-05-08,170
2021-05-09,170
2021-05-10,170
2021-05-11,170
2021-05-12,171
2021-05-13,171
2021-05-14,171
2021-05-15,171
2021-05-16,171
2021-05-17,171
2021-05-18,171
2021-05-19,171
2021-05-20,171
2021-05-21,171
2021-05-22,171
2021-05-23,171
2021-05-24,171
2021-05-25,171
2021-05-26,171
2021-05-27,171
2021-05-28,171
2021-05-29,173
2021-05-30,173
2021-05-31,173
2021-06-01,173
2021-06-02,173
2021-06-03,173
2021-06-04,173
2021-06-05,173
2021-06-06,173
2021-06-07,173
2021-06-08,173
2021-06-09,173
2021-06-10,173
2021-06-11,173
2021-06-12,173
2021-06-13,173
2021-06-14,173
2021-06-15,173
2021-06-16,173
2021-06-17,173
2021-06-18,174
2021-06-19,174
2021-06-20,174
2021-06-21,174
2021-06-22,174
2021-06-23,174
2021-06-24,174
2021-06-25,174
2021-06-26,174
2021-06-27,174
2021-06-28,174
2021-06-29,174
2021-06-30,174
2021-07-01,174
2021-07-02,174
2021-07-03,174
2021-07-04,174
2021-07-05,174
2021-07-06,174
2021-07-07,174
2021-07-08,174
2021-07-09,174
2021-07-10,174
2021-07-11,174
2021-07-12,174
2021-07-13,174
2021-07-14,174
2021-07-15,174
2021-07-16,174
2021-07-17,174
2021-07-18,174
2021-07-19,174
2021-07-20,174
2021-07-21,174
2021-07-22,174
2021-07-23,174
2021-07-24,174
2021-07-25,174
2021-07-26,174
2021-07-27,174
2021-07-28,174
2021-07-29,174
2021-07-30,174
2021-07-31,174
2021-08-01,174
2021-08-02,174
2021-08-03,174
2021-08-04,174
2021-08-05,174
2021-08-06,174
2021-08-07,174
2021-08-08,174
2021-08-09,175
2021-08-10,175
2021-08-11,175
2021-08-12,175
2021-08-13,175
2021-08-14,175
2021-08-15,175
2021-08-16,175
