dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,1
2020-07-11,1
2020-07-12,1
2020-07-13,1
2020-07-14,2
2020-07-15,2
2020-07-16,2
2020-07-17,2
2020-07-18,2
2020-07-19,4
2020-07-20,7
2020-07-21,7
2020-07-22,7
2020-07-23,7
2020-07-24,7
2020-07-25,7
2020-07-26,7
2020-07-27,7
2020-07-28,7
2020-07-29,8
2020-07-30,9
2020-07-31,9
2020-08-01,10
2020-08-02,10
2020-08-03,11
2020-08-04,11
2020-08-05,11
2020-08-06,14
2020-08-07,15
2020-08-08,15
2020-08-09,18
2020-08-10,18
2020-08-11,19
2020-08-12,23
2020-08-13,27
2020-08-14,31
2020-08-15,34
2020-08-16,36
2020-08-17,38
2020-08-18,38
2020-08-19,40
2020-08-20,43
2020-08-21,45
2020-08-22,50
2020-08-23,54
2020-08-24,59
2020-08-25,63
2020-08-26,63
2020-08-27,65
2020-08-28,71
2020-08-29,77
2020-08-30,78
2020-08-31,81
2020-09-01,85
2020-09-02,87
2020-09-03,87
2020-09-04,89
2020-09-05,90
2020-09-06,90
2020-09-07,92
2020-09-08,95
2020-09-09,98
2020-09-10,100
2020-09-11,101
2020-09-12,102
2020-09-13,107
2020-09-14,111
2020-09-15,116
2020-09-16,117
2020-09-17,120
2020-09-18,124
2020-09-19,125
2020-09-20,127
2020-09-21,127
2020-09-22,127
2020-09-23,128
2020-09-24,129
2020-09-25,129
2020-09-26,129
2020-09-27,130
2020-09-28,130
2020-09-29,131
2020-09-30,131
2020-10-01,132
2020-10-02,133
2020-10-03,133
2020-10-04,135
2020-10-05,135
2020-10-06,137
2020-10-07,137
2020-10-08,137
2020-10-09,137
2020-10-10,138
2020-10-11,138
2020-10-12,138
2020-10-13,140
2020-10-14,140
2020-10-15,140
2020-10-16,140
2020-10-17,140
2020-10-18,141
2020-10-19,142
2020-10-20,142
2020-10-21,142
2020-10-22,142
2020-10-23,142
2020-10-24,142
2020-10-25,142
2020-10-26,142
2020-10-27,142
2020-10-28,142
2020-10-29,142
2020-10-30,142
2020-10-31,142
2020-11-01,142
2020-11-02,142
2020-11-03,142
2020-11-04,142
2020-11-05,142
2020-11-06,142
2020-11-07,144
2020-11-08,144
2020-11-09,144
2020-11-10,145
2020-11-11,145
2020-11-12,146
2020-11-13,147
2020-11-14,148
2020-11-15,148
2020-11-16,148
2020-11-17,150
2020-11-18,151
2020-11-19,153
2020-11-20,153
2020-11-21,153
2020-11-22,154
2020-11-23,156
2020-11-24,156
2020-11-25,157
2020-11-26,160
2020-11-27,160
2020-11-28,160
2020-11-29,161
2020-11-30,161
2020-12-01,162
2020-12-02,163
2020-12-03,164
2020-12-04,164
2020-12-05,164
2020-12-06,164
2020-12-07,164
2020-12-08,167
2020-12-09,167
2020-12-10,170
2020-12-11,170
2020-12-12,171
2020-12-13,171
2020-12-14,171
2020-12-15,171
2020-12-16,173
2020-12-17,175
2020-12-18,178
2020-12-19,179
2020-12-20,180
2020-12-21,183
2020-12-22,184
2020-12-23,186
2020-12-24,189
2020-12-25,190
2020-12-26,190
2020-12-27,195
2020-12-28,197
2020-12-29,203
2020-12-30,206
2020-12-31,208
2021-01-01,208
2021-01-02,209
2021-01-03,216
2021-01-04,219
2021-01-05,223
2021-01-06,237
2021-01-07,242
2021-01-08,247
2021-01-09,253
2021-01-10,256
2021-01-11,263
2021-01-12,267
2021-01-13,267
2021-01-14,274
2021-01-15,279
2021-01-16,284
2021-01-17,284
2021-01-18,292
2021-01-19,301
2021-01-20,304
2021-01-21,309
2021-01-22,319
2021-01-23,322
2021-01-24,331
2021-01-25,338
2021-01-26,345
2021-01-27,346
2021-01-28,350
2021-01-29,354
2021-01-30,357
2021-01-31,358
2021-02-01,358
2021-02-02,359
2021-02-03,364
2021-02-04,372
2021-02-05,376
2021-02-06,378
2021-02-07,379
2021-02-08,380
2021-02-09,383
2021-02-10,387
2021-02-11,390
2021-02-12,390
2021-02-13,391
2021-02-14,395
2021-02-15,399
2021-02-16,401
2021-02-17,403
2021-02-18,405
2021-02-19,405
2021-02-20,409
2021-02-21,409
2021-02-22,409
2021-02-23,409
2021-02-24,412
2021-02-25,412
2021-02-26,414
2021-02-27,416
2021-02-28,422
2021-03-01,426
2021-03-02,432
2021-03-03,442
2021-03-04,446
2021-03-05,448
2021-03-06,451
2021-03-07,456
2021-03-08,458
2021-03-09,460
2021-03-10,461
2021-03-11,464
2021-03-12,467
2021-03-13,469
2021-03-14,471
2021-03-15,475
2021-03-16,479
2021-03-17,480
2021-03-18,483
2021-03-19,490
2021-03-20,496
2021-03-21,499
2021-03-22,501
2021-03-23,504
2021-03-24,505
2021-03-25,507
2021-03-26,509
2021-03-27,511
2021-03-28,512
2021-03-29,512
2021-03-30,520
2021-03-31,523
2021-04-01,528
2021-04-02,531
2021-04-03,533
2021-04-04,537
2021-04-05,538
2021-04-06,542
2021-04-07,548
2021-04-08,557
2021-04-09,559
2021-04-10,564
2021-04-11,570
2021-04-12,575
2021-04-13,586
2021-04-14,592
2021-04-15,596
2021-04-16,599
2021-04-17,602
2021-04-18,604
2021-04-19,604
2021-04-20,608
2021-04-21,609
2021-04-22,616
2021-04-23,622
2021-04-24,624
2021-04-25,625
2021-04-26,628
2021-04-27,634
2021-04-28,638
2021-04-29,642
2021-04-30,643
2021-05-01,649
2021-05-02,652
2021-05-03,659
2021-05-04,663
2021-05-05,667
2021-05-06,674
2021-05-07,682
2021-05-08,683
2021-05-09,689
2021-05-10,691
2021-05-11,696
2021-05-12,702
2021-05-13,704
2021-05-14,705
2021-05-15,710
2021-05-16,718
2021-05-17,723
2021-05-18,733
2021-05-19,739
2021-05-20,749
2021-05-21,759
2021-05-22,763
2021-05-23,765
2021-05-24,774
2021-05-25,779
2021-05-26,789
2021-05-27,795
2021-05-28,807
2021-05-29,818
2021-05-30,824
2021-05-31,830
2021-06-01,854
2021-06-02,865
2021-06-03,877
2021-06-04,899
2021-06-05,905
2021-06-06,912
2021-06-07,920
2021-06-08,936
2021-06-09,950
2021-06-10,968
2021-06-11,973
2021-06-12,993
2021-06-13,995
2021-06-14,1008
2021-06-15,1040
2021-06-16,1073
2021-06-17,1107
2021-06-18,1134
2021-06-19,1161
2021-06-20,1164
2021-06-21,1179
2021-06-22,1224
2021-06-23,1279
2021-06-24,1305
2021-06-25,1345
2021-06-26,1400
2021-06-27,1445
2021-06-28,1467
2021-06-29,1521
2021-06-30,1556
2021-07-01,1586
2021-07-02,1626
2021-07-03,1649
2021-07-04,1662
2021-07-05,1690
2021-07-06,1742
2021-07-07,1812
2021-07-08,1883
2021-07-09,1911
2021-07-10,1991
2021-07-11,2019
2021-07-12,2090
2021-07-13,2240
2021-07-14,2270
2021-07-15,2371
2021-07-16,2467
2021-07-17,2506
2021-07-18,2532
2021-07-19,2557
2021-07-20,2620
2021-07-21,2665
2021-07-22,2714
2021-07-23,2760
2021-07-24,2811
2021-07-25,2834
2021-07-26,2871
2021-07-27,2927
2021-07-28,2970
2021-07-29,2999
2021-07-30,3044
2021-07-31,3057
2021-08-01,3064
2021-08-02,3080
2021-08-03,3112
2021-08-04,3142
2021-08-05,3158
2021-08-06,3182
2021-08-07,3191
2021-08-08,3196
2021-08-09,3204
2021-08-10,3226
